sw2957A-ms98-a-0001,0.790000,1.040000,yes,B,o,u-1-1
sw2957A-ms98-a-0001,1.040000,1.260000,what,B,qw,u-1-2
sw2957A-ms98-a-0001,1.380000,1.580000,what,I,qw,u-1-2
sw2957A-ms98-a-0001,1.580000,1.900000,major,I,qw,u-1-2
sw2957A-ms98-a-0001,1.900000,2.480000,changes,I,qw,u-1-2
sw2957A-ms98-a-0001,2.480000,2.650000,have,I,qw,u-1-2
sw2957A-ms98-a-0001,2.650000,3.120000,affected,I,qw,u-1-2
sw2957A-ms98-a-0001,3.120000,3.290000,your,I,qw,u-1-2
sw2957A-ms98-a-0001,3.290000,3.770000,life,I,qw,u-1-2
sw2957A-ms98-a-0003,15.897750,16.057750,you,B,qr,u-3-1
sw2957A-ms98-a-0003,16.057750,16.237750,mean,I,qr,u-3-1
sw2957A-ms98-a-0003,16.237750,16.847750,yourself,I,qr,u-3-1
sw2957A-ms98-a-0003,16.847750,17.097750,or,I,qr,u-3-1
sw2957A-ms98-a-0003,17.097750,17.417750,women,I,qr,u-3-1
sw2957A-ms98-a-0003,17.417750,17.527750,in,I,qr,u-3-1
sw2957A-ms98-a-0003,17.527750,18.067750,general,I,qr,u-3-1
sw2957A-ms98-a-0005,23.351250,23.664500,um-hum,B,b,u-5-1
sw2957A-ms98-a-0007,37.255750,37.695750,uh-huh,B,b,u-7-1
sw2957A-ms98-a-0009,57.458875,57.845875,uh-huh,B,b,u-9-1
sw2957A-ms98-a-0011,73.186125,73.506125,uh-huh,B,b,u-11-1
sw2957A-ms98-a-0013,81.037750,81.434125,uh-huh,B,b,u-13-1
sw2957A-ms98-a-0013,81.591875,81.864000,uh-huh,B,b^r,u-13-2
sw2957A-ms98-a-0014,82.993375,83.193375,that's,B,sv,u-13-3
sw2957A-ms98-a-0014,83.193375,83.763375,interesting,I,sv,u-13-3
sw2957A-ms98-a-0014,83.763375,84.138625,because,B,sd,u-13-4
sw2957A-ms98-a-0014,84.387250,84.543375,that,I,sd,u-13-4
sw2957A-ms98-a-0014,84.543375,85.003375,relates,I,sd,u-13-4
sw2957A-ms98-a-0014,85.003375,85.143375,to,I,sd,u-13-4
sw2957A-ms98-a-0014,85.143375,85.243375,the,I,sd,u-13-4
sw2957A-ms98-a-0014,85.243375,85.553375,thing,I,sd,u-13-4
sw2957A-ms98-a-0014,85.553375,85.813375,that,I,sd,u-13-4
sw2957A-ms98-a-0014,85.923375,86.103375,that,I,sd,u-13-4
sw2957A-ms98-a-0014,86.103375,86.563375,strikes,I,sd,u-13-4
sw2957A-ms98-a-0014,86.563375,86.733375,me,I,sd,u-13-4
sw2957A-ms98-a-0014,86.733375,86.813375,the,I,sd,u-13-4
sw2957A-ms98-a-0014,86.813375,87.223375,most,I,sd,u-13-4
sw2957A-ms98-a-0014,87.223375,87.363375,and,B,sv,u-13-5
sw2957A-ms98-a-0014,87.363375,87.493375,i'm,I,sv,u-13-5
sw2957A-ms98-a-0014,87.493375,87.933375,sure,I,sv,u-13-5
sw2957A-ms98-a-0014,87.933375,88.293375,you've,I,sv,u-13-5
sw2957A-ms98-a-0014,88.413375,88.813375,you've,I,sv,u-13-5
sw2957A-ms98-a-0014,88.813375,89.123375,labeled,I,sv,u-13-5
sw2957A-ms98-a-0014,89.123375,89.193375,the,I,sv,u-13-5
sw2957A-ms98-a-0014,89.193375,89.803375,cause,I,sv,u-13-5
sw2957A-ms98-a-0014,89.803375,90.203375,because,I,sv,u-13-5
sw2957A-ms98-a-0014,90.203375,90.383375,what,I,sv,u-13-5
sw2957A-ms98-a-0014,90.383375,90.763375,strikes,I,sv,u-13-5
sw2957A-ms98-a-0014,90.763375,90.913375,me,I,sv,u-13-5
sw2957A-ms98-a-0014,90.913375,90.993375,the,I,sv,u-13-5
sw2957A-ms98-a-0014,90.993375,91.363375,most,I,sv,u-13-5
sw2957A-ms98-a-0014,91.363375,91.583375,in,I,sv,u-13-5
sw2957A-ms98-a-0014,91.583375,91.873375,uh,I,sv,u-13-5
sw2957A-ms98-a-0014,91.873375,92.033375,the,I,sv,u-13-5
sw2957A-ms98-a-0014,92.033375,92.543375,changes,I,sv,u-13-5
sw2957A-ms98-a-0014,92.543375,92.693375,in,I,sv,u-13-5
sw2957A-ms98-a-0014,92.693375,93.323375,society,I,sv,u-13-5
sw2957A-ms98-a-0014,93.323375,93.473375,is,I,sv,u-13-5
sw2957A-ms98-a-0014,93.473375,93.543375,the,I,sv,u-13-5
sw2957A-ms98-a-0014,93.543375,93.703375,way,I,sv,u-13-5
sw2957A-ms98-a-0014,93.703375,94.063375,kids,I,sv,u-13-5
sw2957A-ms98-a-0014,94.063375,94.748375,behave,I,sv,u-13-5
sw2957A-ms98-a-0015,95.626750,96.126750,and,B,%,u-13-6
sw2957A-ms98-a-0017,98.256750,98.656750,that's,B,ba,u-15-1
sw2957A-ms98-a-0017,98.656750,99.036750,right,I,ba,u-15-1
sw2957A-ms98-a-0017,99.036750,99.276750,that's,B,ba^r,u-15-2
sw2957A-ms98-a-0017,99.276750,99.516750,right,I,ba^r,u-15-2
sw2957A-ms98-a-0017,99.516750,99.766750,and,B,sd,u-15-3
sw2957A-ms98-a-0017,99.766750,99.856750,you,I,sd,u-15-3
sw2957A-ms98-a-0017,99.856750,100.086750,know,I,sd,u-15-3
sw2957A-ms98-a-0017,100.086750,100.236750,i,I,sd,u-15-3
sw2957A-ms98-a-0017,100.236750,100.426750,mean,I,sd,u-15-3
sw2957A-ms98-a-0017,100.426750,100.566750,i,I,sd,u-15-3
sw2957A-ms98-a-0017,100.566750,100.726750,was,I,sd,u-15-3
sw2957A-ms98-a-0017,100.726750,101.026750,thinking,I,sd,u-15-3
sw2957A-ms98-a-0017,101.026750,101.146750,it,I,sd,u-15-3
sw2957A-ms98-a-0017,101.146750,101.436750,just,I,sd,u-15-3
sw2957A-ms98-a-0017,101.756750,101.836750,you,I,sd,u-15-3
sw2957A-ms98-a-0017,101.836750,102.269000,know,I,sd,u-15-3
sw2957A-ms98-a-0017,102.269000,102.506750,my,B,sv,u-15-4
sw2957A-ms98-a-0017,102.506750,103.026750,complaint,I,sv,u-15-4
sw2957A-ms98-a-0017,103.026750,103.196750,would,I,sv,u-15-4
sw2957A-ms98-a-0017,103.366750,103.556750,would,I,sv,u-15-4
sw2957A-ms98-a-0017,103.556750,103.916750,be,I,sv,u-15-4
sw2957A-ms98-a-0017,103.916750,104.476750,um,I,sv,u-15-4
sw2957A-ms98-a-0017,104.476750,104.606750,that,I,sv,u-15-4
sw2957A-ms98-a-0017,104.606750,104.760500,i,I,sv,u-15-4
sw2957A-ms98-a-0017,104.760500,105.106750,think,I,sv,u-15-4
sw2957A-ms98-a-0017,105.236750,105.506750,that,I,sv,u-15-4
sw2957A-ms98-a-0018,105.861750,105.941750,you,I,sv,u-15-4
sw2957A-ms98-a-0018,105.941750,106.081750,know,I,sv,u-15-4
sw2957A-ms98-a-0018,106.081750,106.151750,the,I,sv,u-15-4
sw2957A-ms98-a-0018,106.151750,106.431750,kids,I,sv,u-15-4
sw2957A-ms98-a-0018,106.431750,106.531750,in,I,sv,u-15-4
sw2957A-ms98-a-0018,106.531750,106.601750,the,I,sv,u-15-4
sw2957A-ms98-a-0018,106.601750,107.161750,neighborhood,I,sv,u-15-4
sw2957A-ms98-a-0018,107.161750,107.391750,run,I,sv,u-15-4
sw2957A-ms98-a-0018,107.391750,107.971750,wild,I,sv,u-15-4
sw2957A-ms98-a-0018,107.971750,108.081750,and,B,sv,u-15-5
sw2957A-ms98-a-0018,108.081750,108.381750,they,I,sv,u-15-5
sw2957A-ms98-a-0018,108.381750,108.537500,they,I,sv,u-15-5
sw2957A-ms98-a-0018,108.537500,108.958000,destroy,I,sv,u-15-5
sw2957A-ms98-a-0018,108.958000,109.741750,property,I,sv,u-15-5
sw2957A-ms98-a-0018,109.741750,109.991750,and,B,sd,u-15-6
sw2957A-ms98-a-0018,109.991750,110.437000,they,I,sd,u-15-6
sw2957A-ms98-a-0018,110.693000,110.851750,you,I,sd,u-15-6
sw2957A-ms98-a-0018,110.851750,111.001750,know,I,sd,u-15-6
sw2957A-ms98-a-0018,111.001750,111.361750,steal,I,sd,u-15-6
sw2957A-ms98-a-0018,111.361750,111.551750,each,I,sd,u-15-6
sw2957A-ms98-a-0018,111.551750,111.871750,other's,I,sd,u-15-6
sw2957A-ms98-a-0018,112.081750,112.551750,toys,I,sd,u-15-6
sw2957A-ms98-a-0018,112.551750,112.691750,and,I,sd,u-15-6
sw2957A-ms98-a-0018,112.691750,113.111750,stuff,I,sd,u-15-6
sw2957A-ms98-a-0018,113.111750,113.331750,and,B,sv,u-15-7
sw2957A-ms98-a-0018,113.681750,113.841750,there's,B,+,u-17-1
sw2957A-ms98-a-0018,113.841750,114.061750,just,I,+,u-17-1
sw2957A-ms98-a-0018,114.061750,114.531750,no,I,+,u-17-1
sw2957A-ms98-a-0018,114.531750,115.231750,respect,I,+,u-17-1
sw2957A-ms98-a-0018,115.231750,115.631750,for,I,+,u-17-1
sw2957A-ms98-a-0018,115.631750,115.838625,for,I,+,u-17-1
sw2957A-ms98-a-0018,115.838625,116.414875,people,I,+,u-17-1
sw2957A-ms98-a-0018,116.414875,116.681750,or,I,+,u-17-1
sw2957A-ms98-a-0018,116.681750,117.391750,property,I,+,u-17-1
sw2957A-ms98-a-0019,118.025375,118.822750,and,B,sv,u-17-2
