sw2917A-ms98-a-0002,0.855125,1.295125,hi,B,fp,u-1-1
sw2917A-ms98-a-0002,1.295125,1.535125,what,B,qo,u-1-2
sw2917A-ms98-a-0002,1.535125,1.595125,do,I,qo,u-1-2
sw2917A-ms98-a-0002,1.595125,1.765125,you,I,qo,u-1-2
sw2917A-ms98-a-0002,1.765125,1.965125,do,I,qo,u-1-2
sw2917A-ms98-a-0002,1.965125,2.105125,with,I,qo,u-1-2
sw2917A-ms98-a-0002,2.105125,2.255125,your,I,qo,u-1-2
sw2917A-ms98-a-0002,2.255125,2.575125,credit,I,qo,u-1-2
sw2917A-ms98-a-0002,2.575125,3.105125,cards,I,qo,u-1-2
sw2917A-ms98-a-0003,3.656000,5.374000,[laughter],O,,
sw2917A-ms98-a-0005,16.053875,16.634250,[laughter-oh],O,,
sw2917A-ms98-a-0005,16.634250,17.291500,jeez,B,ba,u-7-1
sw2917A-ms98-a-0007,27.223875,27.413875,[laughter],O,,
sw2917A-ms98-a-0008,28.665000,28.911125,oh,B,sd,u-11-1
sw2917A-ms98-a-0008,28.911125,29.011125,i,I,sd,u-11-1
sw2917A-ms98-a-0008,29.011125,29.141125,was,I,sd,u-11-1
sw2917A-ms98-a-0008,29.141125,29.301125,going,I,sd,u-11-1
sw2917A-ms98-a-0008,29.301125,29.361125,to,I,sd,u-11-1
sw2917A-ms98-a-0008,29.361125,29.521125,say,I,sd,u-11-1
sw2917A-ms98-a-0008,29.521125,29.841125,that,I,sd,u-11-1
sw2917A-ms98-a-0008,29.841125,30.141125,that,I,sd,u-11-1
sw2917A-ms98-a-0008,30.141125,30.541125,sounds,I,sd,u-11-1
sw2917A-ms98-a-0008,30.541125,30.952750,like,I,sd,u-11-1
sw2917A-ms98-a-0008,30.952750,31.481125,like,I,sd,u-11-1
sw2917A-ms98-a-0008,31.481125,31.661125,pretty,I,sd,u-11-1
sw2917A-ms98-a-0008,31.661125,32.021125,many,I,sd,u-11-1
sw2917A-ms98-a-0008,32.021125,32.231125,but,B,sd,u-11-2
sw2917A-ms98-a-0008,32.231125,32.371125,i,I,sd,u-11-2
sw2917A-ms98-a-0008,32.371125,32.531125,see,I,sd,u-11-2
sw2917A-ms98-a-0008,32.531125,32.721125,what,I,sd,u-11-2
sw2917A-ms98-a-0008,32.721125,32.801125,you,I,sd,u-11-2
sw2917A-ms98-a-0008,32.801125,33.081125,meant,I,sd,u-11-2
sw2917A-ms98-a-0008,33.081125,33.261125,you,B,bf,u-11-3
sw2917A-ms98-a-0008,33.261125,33.441125,had,I,bf,u-11-3
sw2917A-ms98-a-0008,33.441125,33.581125,them,I,bf,u-11-3
sw2917A-ms98-a-0008,33.581125,33.731125,for,I,bf,u-11-3
sw2917A-ms98-a-0008,33.731125,34.031125,each,I,bf,u-11-3
sw2917A-ms98-a-0008,34.031125,34.111125,of,I,bf,u-11-3
sw2917A-ms98-a-0008,34.111125,34.181125,the,I,bf,u-11-3
sw2917A-ms98-a-0008,34.181125,34.731125,individual,I,bf,u-11-3
sw2917A-ms98-a-0008,34.731125,35.582000,stores,I,bf,u-11-3
sw2917A-ms98-a-0010,39.690750,39.970125,um-hum,B,b,u-13-1
sw2917A-ms98-a-0010,39.970125,40.648625,um-hum,B,b^r,u-13-2
sw2917A-ms98-a-0012,53.762250,54.080000,oh,B,ba,u-15-1
sw2917A-ms98-a-0012,54.080000,54.535000,gee,I,ba,u-15-1
sw2917A-ms98-a-0012,54.535000,54.910000,[laughter],O,,
sw2917A-ms98-a-0014,66.449000,66.718625,oh,B,aa,u-17-1
sw2917A-ms98-a-0014,66.718625,67.270500,sure,I,aa,u-17-1
sw2917A-ms98-a-0016,73.485000,73.761125,um-hum,B,aa,u-19-1
sw2917A-ms98-a-0016,73.761125,74.388125,um-hum,B,aa^r,u-19-2
sw2917A-ms98-a-0018,77.950750,78.330750,but,B,qy^g,u-21-1
sw2917A-ms98-a-0018,78.330750,78.560750,each,I,qy^g,u-21-1
sw2917A-ms98-a-0018,78.560750,78.670750,of,I,qy^g,u-21-1
sw2917A-ms98-a-0018,78.670750,78.980750,these,I,qy^g,u-21-1
sw2917A-ms98-a-0018,78.980750,79.340750,had,I,qy^g,u-21-1
sw2917A-ms98-a-0018,79.340750,79.480750,an,I,qy^g,u-21-1
sw2917A-ms98-a-0018,79.480750,79.830750,annual,I,qy^g,u-21-1
sw2917A-ms98-a-0018,79.830750,80.150750,fee,I,qy^g,u-21-1
sw2917A-ms98-a-0018,80.150750,80.580750,also,I,qy^g,u-21-1
sw2917A-ms98-a-0018,80.580750,81.002375,right,I,qy^g,u-21-1
sw2917A-ms98-a-0020,92.062250,92.437625,um-hum,B,b,u-23-1
sw2917A-ms98-a-0022,96.761625,96.961625,yeah,B,b,u-25-1
sw2917A-ms98-a-0022,96.961625,97.051625,i'm,O,,
sw2917A-ms98-a-0022,97.051625,97.351625,forty,B,ar,u-25-2
sw2917A-ms98-a-0022,97.351625,97.966750,five,I,ar,u-25-2
sw2917A-ms98-a-0023,98.633875,98.877375,right,B,%,u-25-3
sw2917A-ms98-a-0023,98.877375,98.967375,i,O,,
sw2917A-ms98-a-0023,98.967375,101.167375,[laughter],O,,
sw2917A-ms98-a-0023,101.167375,101.598875,i,B,%,u-25-4
