sw2061B-ms98-a-0003,3.458250,3.918250,hello,B,fp,u-2-1
sw2061B-ms98-a-0004,5.124375,5.394375,not,B,fp,u-4-1
sw2061B-ms98-a-0004,5.394375,5.694375,bad,I,fp,u-4-1
sw2061B-ms98-a-0004,5.694375,5.904375,not,B,fp^r,u-4-2
sw2061B-ms98-a-0004,5.904375,6.084375,bad,I,fp^r,u-4-2
sw2061B-ms98-a-0004,6.084375,6.244375,What's,B,fp,u-4-3
sw2061B-ms98-a-0004,6.244375,6.344375,your,I,fp,u-4-3
sw2061B-ms98-a-0004,6.344375,6.594375,name,I,fp,u-4-3
sw2061B-ms98-a-0005,7.714375,8.154375,Fernando,B,b^m,u-6-1
sw2061B-ms98-a-0005,8.154375,8.274375,my,B,fp,u-6-2
sw2061B-ms98-a-0005,8.274375,8.424375,name,I,fp,u-6-2
sw2061B-ms98-a-0005,8.424375,8.504375,is,I,fp,u-6-2
sw2061B-ms98-a-0005,8.504375,8.859125,Nick,I,fp,u-6-2
sw2061B-ms98-a-0007,10.957750,11.403500,sure,B,aa,u-8-1
sw2061B-ms98-a-0009,15.518125,15.989125,really,B,bh,u-10-1
sw2061B-ms98-a-0011,17.974125,18.212500,man,B,%,u-12-2
sw2061B-ms98-a-0011,18.212500,18.331375,am,O,,
sw2061B-ms98-a-0011,18.331375,18.454125,i,O,,
sw2061B-ms98-a-0013,20.412125,20.702125,no,B,nn,u-14-1
sw2061B-ms98-a-0013,20.702125,20.912125,no,B,nn^r,u-14-2
sw2061B-ms98-a-0013,20.912125,21.002125,i'm,B,sd^e,u-14-3
sw2061B-ms98-a-0013,21.002125,21.092125,in,I,sd^e,u-14-3
sw2061B-ms98-a-0013,21.092125,21.532125,Detroit,I,sd^e,u-14-3
sw2061B-ms98-a-0013,21.532125,21.662125,or,B,ar,u-14-4
sw2061B-ms98-a-0013,21.662125,21.842125,not,I,ar,u-14-4
sw2061B-ms98-a-0013,21.842125,22.212125,Detroit,I,ar,u-14-4
sw2061B-ms98-a-0013,22.212125,22.302125,i'm,I,ar,u-14-4
sw2061B-ms98-a-0013,22.302125,22.452125,in,I,ar,u-14-4
