sw4378A-ms98-a-0002,2.663000,2.877500,okay,B,b,u-2-1
sw4378A-ms98-a-0004,6.874625,6.996000,you,B,bf,u-4-1
sw4378A-ms98-a-0004,6.996000,7.076000,were,I,bf,u-4-1
sw4378A-ms98-a-0004,7.076000,7.446000,helping,I,bf,u-4-1
sw4378A-ms98-a-0004,7.446000,7.570625,your,I,bf,u-4-1
sw4378A-ms98-a-0004,7.570625,8.072875,parents,I,bf,u-4-1
sw4378A-ms98-a-0006,15.683250,16.003250,uh-huh,B,b,u-6-1
sw4378A-ms98-a-0008,23.827500,23.947500,so,B,qy^d,u-8-1
sw4378A-ms98-a-0008,23.947500,24.157500,you're,I,qy^d,u-8-1
sw4378A-ms98-a-0008,24.157500,24.847625,remodeling,I,qy^d,u-8-1
sw4378A-ms98-a-0008,25.503125,25.938750,okay,B,bk,u-10-1
sw4378A-ms98-a-0010,28.354750,28.459250,well,B,sd,u-12-1
sw4378A-ms98-a-0010,28.459250,28.624875,i,I,sd,u-12-1
sw4378A-ms98-a-0010,28.624875,28.753375,i,I,sd,u-12-1
sw4378A-ms98-a-0010,28.753375,29.023375,just,I,sd,u-12-1
sw4378A-ms98-a-0010,29.023375,29.173375,live,I,sd,u-12-1
sw4378A-ms98-a-0010,29.173375,29.283375,in,I,sd,u-12-1
sw4378A-ms98-a-0010,29.283375,29.414875,a,I,sd,u-12-1
sw4378A-ms98-a-0010,29.603250,29.789250,i,I,sd,u-12-1
sw4378A-ms98-a-0010,29.789250,29.951125,live,I,sd,u-12-1
sw4378A-ms98-a-0010,29.951125,30.063375,in,I,sd,u-12-1
sw4378A-ms98-a-0010,30.063375,30.633375,apartment,I,sd,u-12-1
sw4378A-ms98-a-0010,30.633375,30.843375,now,I,sd,u-12-1
sw4378A-ms98-a-0010,30.843375,31.063375,i,B,sd,u-12-2
sw4378A-ms98-a-0010,31.063375,31.333375,uh,I,sd,u-12-2
sw4378A-ms98-a-0011,32.671125,32.856750,two,I,sd,u-12-2
sw4378A-ms98-a-0011,32.856750,33.336750,summers,I,sd,u-12-2
sw4378A-ms98-a-0011,33.336750,33.626750,ago,I,sd,u-12-2
sw4378A-ms98-a-0011,33.626750,33.726750,i,I,sd,u-12-2
sw4378A-ms98-a-0011,33.726750,33.986750,went,I,sd,u-12-2
sw4378A-ms98-a-0011,33.986750,34.076750,to,I,sd,u-12-2
sw4378A-ms98-a-0011,34.076750,35.246750,Massachusetts,I,sd,u-12-2
sw4378A-ms98-a-0012,36.007000,36.117000,and,B,sd,u-14-1
sw4378A-ms98-a-0012,36.117000,36.227000,i,I,sd,u-14-1
sw4378A-ms98-a-0012,36.227000,36.397000,went,I,sd,u-14-1
sw4378A-ms98-a-0012,36.397000,36.537000,with,I,sd,u-14-1
sw4378A-ms98-a-0012,36.537000,36.587000,a,I,sd,u-14-1
sw4378A-ms98-a-0012,36.587000,36.977000,friend,I,sd,u-14-1
sw4378A-ms98-a-0012,36.977000,37.047000,of,I,sd,u-14-1
sw4378A-ms98-a-0012,37.047000,37.427000,mine,I,sd,u-14-1
sw4378A-ms98-a-0012,37.427000,37.877000,and,B,sd,u-14-2
sw4378A-ms98-a-0012,37.877000,38.097000,we,I,sd,u-14-2
sw4378A-ms98-a-0012,38.097000,38.733625,undertook,I,sd,u-14-2
sw4378A-ms98-a-0012,39.317375,39.482125,a,I,sd,u-14-2
sw4378A-ms98-a-0012,39.629000,40.107000,building,I,sd,u-14-2
sw4378A-ms98-a-0012,40.107000,40.707000,house,I,sd,u-14-2
sw4378A-ms98-a-0013,41.961125,42.311125,and,B,sd,u-16-1
sw4378A-ms98-a-0013,42.311125,42.501125,this,I,sd,u-16-1
sw4378A-ms98-a-0013,42.501125,42.741125,was,I,sd,u-16-1
sw4378A-ms98-a-0013,42.741125,43.081125,um,I,sd,u-16-1
sw4378A-ms98-a-0013,43.581125,43.631125,a,I,sd,u-16-1
sw4378A-ms98-a-0013,43.631125,44.301125,Lincoln,I,sd,u-16-1
sw4378A-ms98-a-0013,44.301125,44.801125,log,I,sd,u-16-1
sw4378A-ms98-a-0013,44.801125,45.821125,house,I,sd,u-16-1
sw4378A-ms98-a-0013,46.031125,46.581875,where,I,sd,u-16-1
sw4378A-ms98-a-0013,47.184500,47.401125,you,I,sd,u-16-1
sw4378A-ms98-a-0013,47.401125,47.929500,have,I,sd,u-16-1
sw4378A-ms98-a-0013,48.475625,48.571125,the,I,sd,u-16-1
sw4378A-ms98-a-0013,48.571125,49.041125,wall,I,sd,u-16-1
sw4378A-ms98-a-0013,49.041125,49.781125,partitions,I,sd,u-16-1
sw4378A-ms98-a-0013,49.781125,49.931125,and,B,sd,u-16-2
sw4378A-ms98-a-0013,49.931125,50.308625,it's,I,sd,u-16-2
sw4378A-ms98-a-0013,50.698500,51.671125,preconstructed,I,sd,u-16-2
sw4378A-ms98-a-0013,51.671125,51.731125,you,I,sd,u-16-2
sw4378A-ms98-a-0013,51.731125,52.121125,might,I,sd,u-16-2
sw4378A-ms98-a-0013,52.121125,52.461125,say,I,sd,u-16-2
sw4378A-ms98-a-0014,53.422375,54.062375,and,B,sd,u-18-1
sw4378A-ms98-a-0014,54.062375,54.262375,we,I,sd,u-18-1
sw4378A-ms98-a-0014,54.262375,54.932375,started,I,sd,u-18-1
sw4378A-ms98-a-0014,54.932375,55.222375,in,I,sd,u-18-1
sw4378A-ms98-a-0014,55.222375,55.716750,um,I,sd,u-18-1
sw4378A-ms98-a-0015,56.904750,57.019875,we,I,sd,u-18-1
sw4378A-ms98-a-0015,57.019875,57.519875,started,I,sd,u-18-1
sw4378A-ms98-a-0015,57.519875,57.819875,from,I,sd,u-18-1
sw4378A-ms98-a-0015,57.819875,57.889875,an,I,sd,u-18-1
sw4378A-ms98-a-0015,57.889875,58.239875,empty,I,sd,u-18-1
sw4378A-ms98-a-0015,58.239875,58.670875,lot,I,sd,u-18-1
sw4378A-ms98-a-0015,58.670875,59.025000,with,I,sd,u-18-1
sw4378A-ms98-a-0015,59.025000,59.603375,um,I,sd,u-18-1
sw4378A-ms98-a-0015,60.032750,60.509875,trees,B,+,u-20-1
sw4378A-ms98-a-0015,60.509875,60.619875,and,I,+,u-20-1
sw4378A-ms98-a-0015,60.619875,60.959875,stuff,I,+,u-20-1
sw4378A-ms98-a-0015,60.959875,61.149875,on,I,+,u-20-1
sw4378A-ms98-a-0015,61.149875,61.209875,it,I,+,u-20-1
sw4378A-ms98-a-0015,61.209875,61.299875,and,B,sd,u-20-2
sw4378A-ms98-a-0015,61.299875,61.399875,we,I,sd,u-20-2
sw4378A-ms98-a-0015,61.399875,61.609875,had,I,sd,u-20-2
sw4378A-ms98-a-0015,61.609875,61.679875,to,I,sd,u-20-2
sw4378A-ms98-a-0015,61.679875,61.969875,cut,I,sd,u-20-2
sw4378A-ms98-a-0015,61.969875,62.129875,them_1,I,sd,u-20-2
sw4378A-ms98-a-0015,62.129875,62.189875,uh,I,sd,u-20-2
sw4378A-ms98-a-0015,62.189875,62.629875,down,I,sd,u-20-2
sw4378A-ms98-a-0015,62.629875,62.749875,and,I,sd,u-20-2
sw4378A-ms98-a-0015,62.749875,63.069875,clear,I,sd,u-20-2
sw4378A-ms98-a-0015,63.069875,63.149875,the,I,sd,u-20-2
sw4378A-ms98-a-0015,63.149875,63.549875,lot,I,sd,u-20-2
sw4378A-ms98-a-0015,63.769875,63.889875,we,B,sd,u-20-3
sw4378A-ms98-a-0015,63.889875,64.149875,had,I,sd,u-20-3
sw4378A-ms98-a-0015,64.149875,64.209875,to,I,sd,u-20-3
sw4378A-ms98-a-0015,64.209875,64.639875,call,I,sd,u-20-3
sw4378A-ms98-a-0015,64.639875,64.869875,in,I,sd,u-20-3
