sw3646B-ms98-a-0002,1.150500,1.920500,okay,O,,
sw3646B-ms98-a-0004,4.639875,4.889875,well,B,sv,u-2-1
sw3646B-ms98-a-0004,4.889875,4.949875,i,I,sv,u-2-1
sw3646B-ms98-a-0004,4.949875,5.159875,think,I,sv,u-2-1
sw3646B-ms98-a-0004,5.159875,5.539875,they're,I,sv,u-2-1
sw3646B-ms98-a-0004,5.669875,5.809875,they're,I,sv,u-2-1
sw3646B-ms98-a-0004,5.809875,6.019875,having,I,sv,u-2-1
sw3646B-ms98-a-0004,6.019875,6.049875,a,I,sv,u-2-1
sw3646B-ms98-a-0004,6.049875,6.269875,lot,I,sv,u-2-1
sw3646B-ms98-a-0004,6.269875,6.369875,of,I,sv,u-2-1
sw3646B-ms98-a-0004,6.369875,6.799875,trouble,I,sv,u-2-1
sw3646B-ms98-a-0004,7.039875,7.299875,right,I,sv,u-2-1
sw3646B-ms98-a-0004,7.299875,7.609875,now,I,sv,u-2-1
sw3646B-ms98-a-0004,7.609875,7.659875,i,B,sd,u-2-2
sw3646B-ms98-a-0004,7.659875,7.829875,know,I,sd,u-2-2
sw3646B-ms98-a-0004,7.829875,8.009875,my,I,sd,u-2-2
sw3646B-ms98-a-0004,8.009875,8.259875,son,I,sd,u-2-2
sw3646B-ms98-a-0004,8.259875,8.449875,goes,I,sd,u-2-2
sw3646B-ms98-a-0004,8.449875,8.529875,to,I,sd,u-2-2
sw3646B-ms98-a-0004,8.529875,8.609875,a,I,sd,u-2-2
sw3646B-ms98-a-0004,8.609875,9.009875,private,I,sd,u-2-2
sw3646B-ms98-a-0004,9.009875,9.369875,school,I,sd,u-2-2
sw3646B-ms98-a-0004,9.709875,9.989875,but,B,sv,u-2-3
sw3646B-ms98-a-0004,10.019875,10.189875,uh,I,sv,u-2-3
sw3646B-ms98-a-0005,10.949875,10.979875,i,I,sv,u-2-3
sw3646B-ms98-a-0005,10.979875,11.129875,think,I,sv,u-2-3
sw3646B-ms98-a-0005,11.129875,11.489875,they're,I,sv,u-2-3
sw3646B-ms98-a-0005,11.999875,12.389875,big,I,sv,u-2-3
sw3646B-ms98-a-0005,12.389875,12.809875,city,I,sv,u-2-3
sw3646B-ms98-a-0005,12.809875,13.189875,public,I,sv,u-2-3
sw3646B-ms98-a-0005,13.189875,13.539875,schools,I,sv,u-2-3
sw3646B-ms98-a-0005,13.539875,13.679875,by,I,sv,u-2-3
sw3646B-ms98-a-0005,13.679875,14.279875,definition,I,sv,u-2-3
sw3646B-ms98-a-0005,14.279875,14.449875,are,I,sv,u-2-3
sw3646B-ms98-a-0005,14.449875,14.789875,having,I,sv,u-2-3
sw3646B-ms98-a-0005,14.789875,14.959875,a,I,sv,u-2-3
sw3646B-ms98-a-0005,15.229875,15.299875,a,I,sv,u-2-3
sw3646B-ms98-a-0005,15.299875,15.559875,tough,I,sv,u-2-3
sw3646B-ms98-a-0005,15.559875,15.959875,time,I,sv,u-2-3
