sw2942B-ms98-a-0003,6.764000,7.495500,uh-huh,B,ny,u-2-1
sw2942B-ms98-a-0003,8.307500,8.754375,well,B,sd^e,u-2-2
sw2942B-ms98-a-0003,8.754375,9.414000,having,I,sd^e,u-2-2
sw2942B-ms98-a-0003,9.414000,9.624000,been,I,sd^e,u-2-2
sw2942B-ms98-a-0003,9.624000,9.824000,there,I,sd^e,u-2-2
sw2942B-ms98-a-0003,9.824000,10.054000,not,I,sd^e,u-2-2
sw2942B-ms98-a-0003,10.054000,10.174000,too,I,sd^e,u-2-2
sw2942B-ms98-a-0003,10.174000,10.444000,long,I,sd^e,u-2-2
sw2942B-ms98-a-0003,10.444000,10.924000,ago,I,sd^e,u-2-2
sw2942B-ms98-a-0003,10.924000,11.324000,and,I,sd^e,u-2-2
sw2942B-ms98-a-0003,11.324000,11.494000,my,I,sd^e,u-2-2
sw2942B-ms98-a-0003,11.494000,11.824000,wife,I,sd^e,u-2-2
sw2942B-ms98-a-0003,11.824000,12.194000,having,I,sd^e,u-2-2
sw2942B-ms98-a-0003,12.564000,12.854000,only,I,sd^e,u-2-2
sw2942B-ms98-a-0003,12.854000,13.404000,recently,I,sd^e,u-2-2
sw2942B-ms98-a-0003,13.404000,13.904000,completed,I,sd^e,u-2-2
sw2942B-ms98-a-0003,13.904000,13.964000,a,I,sd^e,u-2-2
sw2942B-ms98-a-0003,13.964000,14.364000,doctorate,I,sd^e,u-2-2
sw2942B-ms98-a-0003,15.134000,15.364000,i'm,B,+,u-4-1
sw2942B-ms98-a-0003,15.734000,16.074000,fairly,I,+,u-4-1
sw2942B-ms98-a-0003,16.074000,16.354000,full,I,+,u-4-1
sw2942B-ms98-a-0003,16.354000,16.456500,of,I,+,u-4-1
sw2942B-ms98-a-0003,16.456500,16.610875,it,I,+,u-4-1
sw2942B-ms98-a-0003,16.610875,16.844000,of,I,+,u-4-1
sw2942B-ms98-a-0003,16.844000,16.984000,it,I,+,u-4-1
sw2942B-ms98-a-0003,16.984000,17.635875,myself,I,+,u-4-1
sw2942B-ms98-a-0003,18.563125,19.150125,uh,B,sv,u-6-1
sw2942B-ms98-a-0004,19.528375,19.906875,the,I,sv,u-6-1
sw2942B-ms98-a-0004,19.906875,20.618875,main,I,sv,u-6-1
sw2942B-ms98-a-0004,20.778375,21.178375,point,I,sv,u-6-1
sw2942B-ms98-a-0004,21.178375,21.338375,that,I,sv,u-6-1
sw2942B-ms98-a-0004,21.338375,21.528375,i,I,sv,u-6-1
sw2942B-ms98-a-0004,21.528375,22.021125,have,I,sv,u-6-1
sw2942B-ms98-a-0004,22.228625,22.688375,about,I,sv,u-6-1
sw2942B-ms98-a-0006,24.521625,25.201625,choosing,I,sv,u-6-1
sw2942B-ms98-a-0006,25.361625,25.481625,where,I,sv,u-6-1
sw2942B-ms98-a-0006,25.481625,25.571625,you,I,sv,u-6-1
sw2942B-ms98-a-0006,25.571625,25.721625,want,I,sv,u-6-1
sw2942B-ms98-a-0006,25.721625,25.781625,to,I,sv,u-6-1
sw2942B-ms98-a-0006,25.781625,25.891625,go,I,sv,u-6-1
sw2942B-ms98-a-0006,25.891625,25.991625,to,I,sv,u-6-1
sw2942B-ms98-a-0006,25.991625,26.501625,school,I,sv,u-6-1
sw2942B-ms98-a-0007,27.293500,27.673500,is,I,sv,u-6-1
sw2942B-ms98-a-0007,27.673500,27.973500,that,I,sv,u-6-1
sw2942B-ms98-a-0008,29.087625,29.430375,def[initely]-,I,sv,u-6-1
sw2942B-ms98-a-0008,29.562250,29.717625,you,I,sv,u-6-1
sw2942B-ms98-a-0008,29.717625,29.857625,have,I,sv,u-6-1
sw2942B-ms98-a-0008,29.857625,30.027625,to,I,sv,u-6-1
sw2942B-ms98-a-0008,30.027625,30.337625,early,I,sv,u-6-1
sw2942B-ms98-a-0008,30.337625,30.577625,on,I,sv,u-6-1
sw2942B-ms98-a-0008,30.577625,31.267625,define,I,sv,u-6-1
sw2942B-ms98-a-0008,31.267625,31.447625,what,I,sv,u-6-1
sw2942B-ms98-a-0008,31.447625,31.557625,it,I,sv,u-6-1
sw2942B-ms98-a-0008,31.557625,31.747625,is,I,sv,u-6-1
sw2942B-ms98-a-0008,31.747625,31.867625,you,I,sv,u-6-1
sw2942B-ms98-a-0008,31.867625,32.037625,want,I,sv,u-6-1
sw2942B-ms98-a-0008,32.037625,32.127625,to,I,sv,u-6-1
sw2942B-ms98-a-0008,32.127625,32.490875,do,I,sv,u-6-1
sw2942B-ms98-a-0009,33.888625,34.092625,or,B,+,u-8-1
sw2942B-ms98-a-0009,34.092625,34.182250,at,I,+,u-8-1
sw2942B-ms98-a-0009,34.182250,34.468625,least,I,+,u-8-1
sw2942B-ms98-a-0009,34.468625,34.598625,what,I,+,u-8-1
sw2942B-ms98-a-0009,34.598625,34.998625,area,I,+,u-8-1
sw2942B-ms98-a-0009,34.998625,35.138625,you,I,+,u-8-1
sw2942B-ms98-a-0009,35.138625,35.308625,want,I,+,u-8-1
sw2942B-ms98-a-0009,35.308625,35.368625,to,I,+,u-8-1
sw2942B-ms98-a-0009,35.368625,35.588625,be,I,+,u-8-1
sw2942B-ms98-a-0009,35.588625,35.961625,in,I,+,u-8-1
sw2942B-ms98-a-0010,37.292375,37.522375,uh,B,sd,u-8-2
sw2942B-ms98-a-0010,37.522375,37.692375,i,I,sd,u-8-2
sw2942B-ms98-a-0010,37.692375,37.872375,had,I,sd,u-8-2
sw2942B-ms98-a-0010,37.872375,38.032375,the,I,sd,u-8-2
sw2942B-ms98-a-0010,38.032375,38.562375,unpleasant,I,sd,u-8-2
sw2942B-ms98-a-0010,38.562375,39.262375,experience,I,sd,u-8-2
sw2942B-ms98-a-0010,39.262375,39.382375,of,I,sd,u-8-2
sw2942B-ms98-a-0010,39.382375,39.652375,going,I,sd,u-8-2
sw2942B-ms98-a-0010,39.652375,39.862375,through,I,sd,u-8-2
sw2942B-ms98-a-0010,39.862375,40.487750,several,I,sd,u-8-2
sw2942B-ms98-a-0011,41.336125,41.926125,schools,I,sd,u-8-2
sw2942B-ms98-a-0011,41.926125,42.046125,that,I,sd,u-8-2
sw2942B-ms98-a-0011,42.046125,42.156125,were,I,sd,u-8-2
sw2942B-ms98-a-0011,42.156125,42.416125,very,I,sd,u-8-2
sw2942B-ms98-a-0011,42.416125,43.356125,specialized,I,sd,u-8-2
sw2942B-ms98-a-0012,44.110750,44.223000,i,B,sd,u-8-3
sw2942B-ms98-a-0012,44.223000,44.350750,went,I,sd,u-8-3
sw2942B-ms98-a-0012,44.350750,44.510750,through,I,sd,u-8-3
sw2942B-ms98-a-0012,44.510750,44.560750,a,I,sd,u-8-3
sw2942B-ms98-a-0012,44.560750,44.920750,number,I,sd,u-8-3
sw2942B-ms98-a-0012,44.920750,45.090750,of,I,sd,u-8-3
sw2942B-ms98-a-0012,45.090750,45.204500,them_1,O,,
sw2942B-ms98-a-0012,45.483250,45.878375,uh,B,+,u-10-1
sw2942B-ms98-a-0012,46.108125,46.720750,undergraduate,I,+,u-10-1
sw2942B-ms98-a-0012,46.720750,47.292125,schools,I,+,u-10-1
sw2942B-ms98-a-0013,48.377125,48.707125,before,I,+,u-10-1
sw2942B-ms98-a-0013,48.707125,48.757125,i,I,+,u-10-1
sw2942B-ms98-a-0013,48.757125,49.097125,found,I,+,u-10-1
sw2942B-ms98-a-0013,49.097125,49.260125,a,I,+,u-10-1
sw2942B-ms98-a-0013,49.260125,49.444625,a,I,+,u-10-1
sw2942B-ms98-a-0013,49.444625,49.687125,good,I,+,u-10-1
sw2942B-ms98-a-0013,49.687125,50.107125,school,I,+,u-10-1
sw2942B-ms98-a-0013,50.107125,50.277125,that,I,+,u-10-1
sw2942B-ms98-a-0013,50.277125,50.513125,was,I,+,u-10-1
sw2942B-ms98-a-0013,50.513125,50.814500,more,I,+,u-10-1
sw2942B-ms98-a-0013,50.814500,51.516750,general,I,+,u-10-1
sw2942B-ms98-a-0013,52.055375,52.381125,uh,I,+,u-10-1
sw2942B-ms98-a-0013,52.727625,52.867125,to,I,+,u-10-1
sw2942B-ms98-a-0013,52.867125,53.027125,give,I,+,u-10-1
sw2942B-ms98-a-0013,53.027125,53.190500,me,I,+,u-10-1
sw2942B-ms98-a-0013,53.190500,53.647125,time,I,+,u-10-1
sw2942B-ms98-a-0013,53.647125,53.757125,to,I,+,u-10-1
sw2942B-ms98-a-0013,53.757125,53.967125,make,I,+,u-10-1
sw2942B-ms98-a-0013,53.967125,54.067125,up,I,+,u-10-1
sw2942B-ms98-a-0013,54.067125,54.187125,my,I,+,u-10-1
sw2942B-ms98-a-0013,54.187125,54.517125,mind,I,+,u-10-1
sw2942B-ms98-a-0015,87.268375,87.518375,that's,B,ba,u-14-1
sw2942B-ms98-a-0015,87.518375,87.988375,wonderful,I,ba,u-14-1
sw2942B-ms98-a-0015,87.988375,88.118375,i'm,B,sd,u-14-2
sw2942B-ms98-a-0015,88.118375,88.210500,a,I,sd,u-14-2
sw2942B-ms98-a-0015,88.210500,88.462875,great,I,sd,u-14-2
sw2942B-ms98-a-0015,88.462875,88.828375,[vocalized-noise],I,sd,u-14-2
sw2942B-ms98-a-0015,88.828375,89.398375,proponent,I,sd,u-14-2
sw2942B-ms98-a-0015,89.398375,89.578375,of,I,sd,u-14-2
sw2942B-ms98-a-0015,89.578375,89.848375,liberal,I,sd,u-14-2
sw2942B-ms98-a-0015,89.848375,90.088375,arts,I,sd,u-14-2
sw2942B-ms98-a-0015,90.088375,90.678375,education,I,sd,u-14-2
sw2942B-ms98-a-0015,91.148375,91.328375,for,B,+,u-16-1
sw2942B-ms98-a-0015,91.328375,91.935250,anybody,I,+,u-16-1
sw2942B-ms98-a-0016,92.639875,93.006125,uh,B,sd,u-18-1
sw2942B-ms98-a-0016,93.281125,93.544750,being,I,sd,u-18-1
sw2942B-ms98-a-0016,93.544750,93.644750,an,I,sd,u-18-1
sw2942B-ms98-a-0016,93.644750,94.064750,engineer,I,sd,u-18-1
sw2942B-ms98-a-0016,94.064750,94.604875,now,I,sd,u-18-1
sw2942B-ms98-a-0016,94.604875,95.053125,i,I,sd,u-18-1
sw2942B-ms98-a-0016,95.487750,95.814750,believe,I,sd,u-18-1
sw2942B-ms98-a-0016,95.814750,95.954750,in,I,sd,u-18-1
sw2942B-ms98-a-0016,95.954750,96.084750,it,I,sd,u-18-1
sw2942B-ms98-a-0016,96.084750,96.264750,even,I,sd,u-18-1
sw2942B-ms98-a-0016,96.264750,96.454750,more,I,sd,u-18-1
sw2942B-ms98-a-0016,96.454750,96.894750,strongly,I,sd,u-18-1
sw2942B-ms98-a-0016,96.894750,97.074750,than,I,sd,u-18-1
sw2942B-ms98-a-0016,97.074750,97.154750,i,I,sd,u-18-1
sw2942B-ms98-a-0016,97.154750,97.344750,did,I,sd,u-18-1
sw2942B-ms98-a-0016,97.344750,97.924250,before,I,sd,u-18-1
sw2942B-ms98-a-0018,123.614750,123.764750,well,B,sd,u-20-1
sw2942B-ms98-a-0018,123.764750,123.984750,thus,I,sd,u-20-1
sw2942B-ms98-a-0018,123.984750,124.174750,far,I,sd,u-20-1
sw2942B-ms98-a-0018,124.174750,124.354750,it's,I,sd,u-20-1
sw2942B-ms98-a-0018,124.354750,124.684750,working,I,sd,u-20-1
sw2942B-ms98-a-0018,124.684750,124.744750,to,I,sd,u-20-1
sw2942B-ms98-a-0018,124.744750,124.944750,my,I,sd,u-20-1
sw2942B-ms98-a-0018,124.944750,125.793500,advantage,I,sd,u-20-1
sw2942B-ms98-a-0018,126.039875,126.701250,uh,B,sd,u-20-2
sw2942B-ms98-a-0019,126.905750,127.197875,the,I,sd,u-20-2
sw2942B-ms98-a-0019,127.197875,127.498250,great,I,sd,u-20-2
sw2942B-ms98-a-0019,127.618250,128.179625,gap,I,sd,u-20-2
sw2942B-ms98-a-0019,128.789375,129.738250,historically,I,sd,u-20-2
sw2942B-ms98-a-0019,129.738250,130.088000,has,I,sd,u-20-2
sw2942B-ms98-a-0019,130.480500,130.887250,with,I,sd,u-20-2
sw2942B-ms98-a-0019,130.887250,131.618250,engineers,I,sd,u-20-2
sw2942B-ms98-a-0019,131.618250,131.828250,has,I,sd,u-20-2
sw2942B-ms98-a-0019,131.828250,132.118250,been,I,sd,u-20-2
sw2942B-ms98-a-0019,132.118250,132.338250,while,I,sd,u-20-2
sw2942B-ms98-a-0019,132.338250,132.488250,they,I,sd,u-20-2
sw2942B-ms98-a-0019,132.488250,132.708250,may,I,sd,u-20-2
sw2942B-ms98-a-0019,132.708250,132.958250,have,I,sd,u-20-2
sw2942B-ms98-a-0019,132.958250,133.138250,all,I,sd,u-20-2
sw2942B-ms98-a-0019,133.138250,133.288250,this,I,sd,u-20-2
sw2942B-ms98-a-0019,133.288250,133.748250,technical,I,sd,u-20-2
sw2942B-ms98-a-0019,133.748250,134.368250,information,I,sd,u-20-2
sw2942B-ms98-a-0019,134.368250,134.508250,they,I,sd,u-20-2
sw2942B-ms98-a-0019,134.508250,134.668250,have,I,sd,u-20-2
sw2942B-ms98-a-0019,134.668250,134.828250,no,I,sd,u-20-2
sw2942B-ms98-a-0019,134.828250,135.038250,way,I,sd,u-20-2
sw2942B-ms98-a-0019,135.038250,135.198250,of,I,sd,u-20-2
sw2942B-ms98-a-0019,135.198250,135.748250,imparting,I,sd,u-20-2
