sw3142A-ms98-a-0002,15.418625,15.868625,uh-huh,B,b,u-2-1
sw3142A-ms98-a-0004,29.754125,30.020750,yes,B,b,u-4-1
sw3142A-ms98-a-0006,35.292875,35.652875,uh-huh,B,b,u-6-1
sw3142A-ms98-a-0007,36.578500,36.634625,do,B,qr,u-8-1
sw3142A-ms98-a-0007,36.634625,36.694625,you,I,qr,u-8-1
sw3142A-ms98-a-0007,36.694625,36.934625,usually,I,qr,u-8-1
sw3142A-ms98-a-0007,36.934625,37.094625,go,I,qr,u-8-1
sw3142A-ms98-a-0007,37.094625,37.339625,out,I,qr,u-8-1
sw3142A-ms98-a-0007,37.561875,37.784625,uh,I,qr,u-8-1
sw3142A-ms98-a-0007,37.784625,37.964625,with,I,qr,u-8-1
sw3142A-ms98-a-0007,37.964625,38.024625,the,I,qr,u-8-1
sw3142A-ms98-a-0007,38.024625,38.444625,children,I,qr,u-8-1
sw3142A-ms98-a-0007,38.444625,38.504625,or,I,qr,u-8-1
sw3142A-ms98-a-0007,38.504625,38.814625,without,I,qr,u-8-1
sw3142A-ms98-a-0007,38.814625,38.913500,them,I,qr,u-8-1
sw3142A-ms98-a-0009,43.456750,44.335625,[laughter],O,,
sw3142A-ms98-a-0011,46.302500,46.692500,right,B,b,u-12-1
sw3142A-ms98-a-0011,46.692500,47.304125,[laughter],O,,
sw3142A-ms98-a-0013,50.303000,50.537000,yes,B,b,u-14-1
sw3142A-ms98-a-0015,64.175000,64.518750,yes,B,b,u-16-1
sw3142A-ms98-a-0016,65.820500,66.224500,yes,B,b,u-18-1
sw3142A-ms98-a-0018,68.637375,68.717250,well,B,%,u-20-1
sw3142A-ms98-a-0018,68.717250,68.969625,i,O,,
sw3142A-ms98-a-0020,76.480125,76.720125,no,O,,
sw3142A-ms98-a-0020,76.720125,76.880750,i-,O,,
sw3142A-ms98-a-0022,82.487125,83.146000,uh,B,sd,u-24-1
sw3142A-ms98-a-0022,83.534000,83.987125,well,I,sd,u-24-1
sw3142A-ms98-a-0022,83.987125,84.197125,uh,I,sd,u-24-1
sw3142A-ms98-a-0022,84.197125,84.357125,we,I,sd,u-24-1
sw3142A-ms98-a-0022,84.357125,84.537125,don't,I,sd,u-24-1
sw3142A-ms98-a-0022,84.537125,84.737125,have,I,sd,u-24-1
sw3142A-ms98-a-0022,84.737125,84.887125,any,I,sd,u-24-1
sw3142A-ms98-a-0022,84.887125,85.377125,children,I,sd,u-24-1
sw3142A-ms98-a-0022,85.377125,85.892375,so,B,sd,u-24-2
sw3142A-ms98-a-0022,86.020500,86.464750,uh,I,sd,u-24-2
sw3142A-ms98-a-0022,86.686875,86.907125,we,I,sd,u-24-2
sw3142A-ms98-a-0022,86.907125,87.267125,tend,I,sd,u-24-2
sw3142A-ms98-a-0022,87.267125,87.542375,to,I,sd,u-24-2
sw3142A-ms98-a-0022,87.847375,88.107125,like,B,+,u-26-1
sw3142A-ms98-a-0022,88.107125,88.207125,to,I,+,u-26-1
sw3142A-ms98-a-0022,88.207125,88.723000,try,I,+,u-26-1
sw3142A-ms98-a-0022,89.265375,89.397125,all,I,+,u-26-1
sw3142A-ms98-a-0022,89.397125,89.627125,sorts,I,+,u-26-1
sw3142A-ms98-a-0022,89.627125,89.717125,of,I,+,u-26-1
sw3142A-ms98-a-0022,89.717125,90.067125,different,I,+,u-26-1
sw3142A-ms98-a-0022,90.067125,90.498500,things,I,+,u-26-1
sw3142A-ms98-a-0022,91.233000,91.737125,and,B,sd,u-26-2
sw3142A-ms98-a-0022,91.737125,92.017125,uh,I,sd,u-26-2
sw3142A-ms98-a-0022,92.017125,92.187125,we're,I,sd,u-26-2
sw3142A-ms98-a-0022,92.187125,92.437125,very,I,sd,u-26-2
sw3142A-ms98-a-0022,92.437125,92.887125,attracted,I,sd,u-26-2
sw3142A-ms98-a-0022,92.887125,93.027125,to,I,sd,u-26-2
