sw3697B-ms98-a-0002,2.410875,2.934875,um-hum,B,b,u-2-1
sw3697B-ms98-a-0006,8.867125,9.047625,well,B,sd,u-4-1
sw3697B-ms98-a-0006,9.047625,9.137625,i'll,I,sd,u-4-1
sw3697B-ms98-a-0006,9.137625,9.407625,tell,I,sd,u-4-1
sw3697B-ms98-a-0006,9.407625,9.587625,you,I,sd,u-4-1
sw3697B-ms98-a-0006,9.587625,9.687625,i,I,sd,u-4-1
sw3697B-ms98-a-0006,9.687625,9.957625,used,I,sd,u-4-1
sw3697B-ms98-a-0006,9.957625,10.067625,to,I,sd,u-4-1
sw3697B-ms98-a-0006,10.067625,10.287625,do,I,sd,u-4-1
sw3697B-ms98-a-0006,10.287625,10.327625,a,I,sd,u-4-1
sw3697B-ms98-a-0006,10.327625,10.607625,lot,I,sd,u-4-1
sw3697B-ms98-a-0006,10.607625,10.827625,more,I,sd,u-4-1
sw3697B-ms98-a-0006,10.827625,11.504625,repairs,I,sd,u-4-1
sw3697B-ms98-a-0006,12.107375,12.307625,when,I,sd,u-4-1
sw3697B-ms98-a-0006,12.307625,12.657625,cars,I,sd,u-4-1
sw3697B-ms98-a-0006,12.657625,12.717625,were,I,sd,u-4-1
sw3697B-ms98-a-0006,12.717625,12.997625,easy,I,sd,u-4-1
sw3697B-ms98-a-0006,12.997625,13.107625,to,I,sd,u-4-1
sw3697B-ms98-a-0006,13.107625,13.427625,work,I,sd,u-4-1
sw3697B-ms98-a-0006,13.427625,13.791250,on,I,sd,u-4-1
sw3697B-ms98-a-0006,14.220625,14.327625,than,I,sd,u-4-1
sw3697B-ms98-a-0006,14.327625,14.427625,i,I,sd,u-4-1
sw3697B-ms98-a-0006,14.427625,14.697625,do,I,sd,u-4-1
sw3697B-ms98-a-0006,14.697625,15.326500,now,I,sd,u-4-1
sw3697B-ms98-a-0007,16.794000,16.992250,i,B,sd,u-6-1
sw3697B-ms98-a-0007,16.992250,17.154125,do,I,sd,u-6-1
sw3697B-ms98-a-0007,17.154125,17.374125,uh,I,sd,u-6-1
sw3697B-ms98-a-0007,17.374125,17.574125,i,I,sd,u-6-1
sw3697B-ms98-a-0007,17.574125,17.774125,do,I,sd,u-6-1
sw3697B-ms98-a-0007,17.774125,17.924125,the,I,sd,u-6-1
sw3697B-ms98-a-0007,17.924125,18.244125,easy,I,sd,u-6-1
sw3697B-ms98-a-0007,18.244125,18.564125,stuff,I,sd,u-6-1
sw3697B-ms98-a-0007,18.564125,18.754125,now,I,sd,u-6-1
sw3697B-ms98-a-0007,18.754125,18.922250,i-,O,,
sw3697B-ms98-a-0007,18.922250,19.214875,i,B,sd,u-6-2
sw3697B-ms98-a-0007,19.214875,19.614125,change,I,sd,u-6-2
sw3697B-ms98-a-0007,19.614125,20.064500,oil,I,sd,u-6-2
sw3697B-ms98-a-0008,20.827125,21.615250,uh,B,sd,u-6-3
sw3697B-ms98-a-0008,21.615250,21.807125,and,I,sd,u-6-3
sw3697B-ms98-a-0008,21.807125,22.133500,then,I,sd,u-6-3
sw3697B-ms98-a-0008,22.348250,22.557125,what,I,sd,u-6-3
sw3697B-ms98-a-0008,22.557125,22.814750,some,I,sd,u-6-3
sw3697B-ms98-a-0008,23.116000,23.357125,people,I,sd,u-6-3
sw3697B-ms98-a-0008,23.357125,23.457125,would,I,sd,u-6-3
sw3697B-ms98-a-0008,23.457125,24.037125,consider,I,sd,u-6-3
sw3697B-ms98-a-0008,24.037125,24.087125,a,I,sd,u-6-3
sw3697B-ms98-a-0008,24.087125,24.317125,little,I,sd,u-6-3
sw3697B-ms98-a-0008,24.317125,24.467125,more,I,sd,u-6-3
sw3697B-ms98-a-0008,24.467125,25.137125,difficult,I,sd,u-6-3
sw3697B-ms98-a-0008,25.137125,25.277125,i,I,sd,u-6-3
sw3697B-ms98-a-0008,25.277125,25.594125,i'll,I,sd,u-6-3
sw3697B-ms98-a-0008,25.594125,25.947125,change,I,sd,u-6-3
sw3697B-ms98-a-0008,25.947125,26.287125,spark,I,sd,u-6-3
sw3697B-ms98-a-0008,26.287125,26.777125,plugs,I,sd,u-6-3
sw3697B-ms98-a-0008,26.777125,27.053750,and,B,sd,u-6-4
sw3697B-ms98-a-0009,27.621250,27.813000,i'll,B,+,u-8-1
sw3697B-ms98-a-0009,27.813000,28.397375,change,I,+,u-8-1
sw3697B-ms98-a-0009,28.397375,28.543000,you,I,+,u-8-1
sw3697B-ms98-a-0009,28.543000,28.683000,know,I,+,u-8-1
sw3697B-ms98-a-0009,28.683000,29.313000,points,I,+,u-8-1
sw3697B-ms98-a-0009,29.313000,29.770000,and,I,+,u-8-1
sw3697B-ms98-a-0009,30.278500,30.472500,y[ou]-,I,+,u-8-1
sw3697B-ms98-a-0009,30.472500,30.653000,you,I,+,u-8-1
sw3697B-ms98-a-0009,30.653000,30.980500,know,I,+,u-8-1
sw3697B-ms98-a-0009,30.980500,31.161625,th[e]-,I,+,u-8-1
sw3697B-ms98-a-0009,31.161625,31.483000,air,I,+,u-8-1
sw3697B-ms98-a-0009,31.483000,32.103000,filters,I,+,u-8-1
sw3697B-ms98-a-0009,32.103000,32.283000,that,I,+,u-8-1
sw3697B-ms98-a-0009,32.283000,32.483000,kind,I,+,u-8-1
sw3697B-ms98-a-0009,32.483000,32.553000,of,I,+,u-8-1
sw3697B-ms98-a-0009,32.553000,33.022875,stuff,I,+,u-8-1
sw3697B-ms98-a-0010,33.951125,34.301125,but,B,sd,u-10-1
sw3697B-ms98-a-0010,34.301125,34.683750,uh,I,sd,u-10-1
sw3697B-ms98-a-0010,35.018875,35.121125,i,I,sd,u-10-1
sw3697B-ms98-a-0010,35.121125,35.451125,can't,I,sd,u-10-1
sw3697B-ms98-a-0010,35.451125,35.571125,do,I,sd,u-10-1
sw3697B-ms98-a-0010,35.571125,35.701125,as,I,sd,u-10-1
sw3697B-ms98-a-0010,35.701125,35.861125,much,I,sd,u-10-1
sw3697B-ms98-a-0010,35.861125,35.931125,as,I,sd,u-10-1
sw3697B-ms98-a-0010,35.931125,36.031125,i,I,sd,u-10-1
sw3697B-ms98-a-0010,36.031125,36.361125,used,I,sd,u-10-1
sw3697B-ms98-a-0010,36.361125,36.461125,to,I,sd,u-10-1
sw3697B-ms98-a-0010,36.461125,36.791125,um,B,sd,u-10-2
sw3697B-ms98-a-0010,36.791125,36.881125,i,I,sd,u-10-2
sw3697B-ms98-a-0010,36.881125,37.051125,used,I,sd,u-10-2
sw3697B-ms98-a-0010,37.051125,37.141125,to,I,sd,u-10-2
sw3697B-ms98-a-0010,37.141125,37.301125,do,I,sd,u-10-2
sw3697B-ms98-a-0010,37.301125,37.411125,a,I,sd,u-10-2
sw3697B-ms98-a-0010,37.411125,37.661125,whole,I,sd,u-10-2
sw3697B-ms98-a-0010,37.661125,37.911125,lot,I,sd,u-10-2
sw3697B-ms98-a-0010,37.911125,38.221125,more,I,sd,u-10-2
sw3697B-ms98-a-0010,38.221125,38.511125,but,I,sd,u-10-2
sw3697B-ms98-a-0010,38.511125,38.800250,not,I,sd,u-10-2
sw3697B-ms98-a-0010,38.800250,39.221125,anymore,O,,
sw3697B-ms98-a-0010,39.221125,39.464625,they're,B,sd,u-10-3
sw3697B-ms98-a-0010,39.464625,39.630375,just,I,sd,u-10-3
sw3697B-ms98-a-0010,40.448250,40.751125,too,I,sd,u-10-3
sw3697B-ms98-a-0010,40.751125,41.201125,weird,I,sd,u-10-3
sw3697B-ms98-a-0010,41.201125,41.291125,to,I,sd,u-10-3
sw3697B-ms98-a-0010,41.291125,41.561125,work,I,sd,u-10-3
sw3697B-ms98-a-0010,41.561125,41.731125,on,I,sd,u-10-3
sw3697B-ms98-a-0010,41.731125,42.111125,now,I,sd,u-10-3
sw3697B-ms98-a-0012,48.467000,48.713125,well,B,sd,u-12-1
sw3697B-ms98-a-0012,48.713125,48.983125,that's,I,sd,u-12-1
