sw3196B-ms98-a-0002,2.418250,2.778250,hello,B,fp,u-2-1
sw3196B-ms98-a-0003,3.965875,4.445875,hello,B,fp,u-4-1
sw3196B-ms98-a-0005,7.556625,7.946625,oh,B,sd,u-6-1
sw3196B-ms98-a-0005,7.946625,8.356625,[laughter],I,sd,u-6-1
sw3196B-ms98-a-0005,8.356625,8.556625,well,I,sd,u-6-1
sw3196B-ms98-a-0005,8.556625,8.626625,i'm,I,sd,u-6-1
sw3196B-ms98-a-0005,8.626625,8.826625,glad,I,sd,u-6-1
sw3196B-ms98-a-0005,8.826625,8.936625,you,I,sd,u-6-1
sw3196B-ms98-a-0005,8.936625,9.186625,found,I,sd,u-6-1
sw3196B-ms98-a-0005,9.186625,9.386625,me,I,sd,u-6-1
sw3196B-ms98-a-0008,14.072000,14.162000,yes,B,ny,u-10-1
sw3196B-ms98-a-0008,14.232000,14.342000,my,B,sd,u-10-2
sw3196B-ms98-a-0008,14.342000,14.532000,name,I,sd,u-10-2
sw3196B-ms98-a-0008,14.532000,14.672000,is,I,sd,u-10-2
sw3196B-ms98-a-0008,14.672000,15.222000,Carolyn,I,sd,u-10-2
sw3196B-ms98-a-0010,17.927000,18.317000,okay,B,aa,u-12-1
sw3196B-ms98-a-0010,18.847000,18.937000,i'll,B,sd,u-12-2
sw3196B-ms98-a-0010,18.937000,19.117000,just,I,sd,u-12-2
sw3196B-ms98-a-0010,19.117000,19.237000,let,I,sd,u-12-2
sw3196B-ms98-a-0010,19.237000,19.387000,you,I,sd,u-12-2
sw3196B-ms98-a-0010,19.387000,19.797000,start,I,sd,u-12-2
sw3196B-ms98-a-0012,42.655125,42.795125,i,B,aa,u-14-1
sw3196B-ms98-a-0012,42.795125,43.025125,think,I,aa,u-14-1
sw3196B-ms98-a-0012,43.025125,43.185125,they,I,aa,u-14-1
sw3196B-ms98-a-0012,43.185125,43.295125,are,I,aa,u-14-1
sw3196B-ms98-a-0012,43.295125,43.515125,too,I,aa,u-14-1
sw3196B-ms98-a-0012,43.515125,44.025125,and,B,sd,u-14-2
sw3196B-ms98-a-0012,44.115125,44.915125,unfortunately,I,sd,u-14-2
sw3196B-ms98-a-0012,45.015125,45.385125,um,I,sd,u-14-2
sw3196B-ms98-a-0013,46.017375,46.177375,we,I,sd,u-14-2
sw3196B-ms98-a-0013,46.177375,46.467375,use,I,sd,u-14-2
sw3196B-ms98-a-0013,46.467375,46.767375,ours,I,sd,u-14-2
sw3196B-ms98-a-0013,46.817375,47.657375,in,I,sd,u-14-2
sw3196B-ms98-a-0013,47.657375,47.777375,we,I,sd,u-14-2
sw3196B-ms98-a-0013,47.777375,47.947375,don't,I,sd,u-14-2
sw3196B-ms98-a-0013,47.947375,48.137375,use,I,sd,u-14-2
sw3196B-ms98-a-0013,48.137375,48.227375,them_1,I,sd,u-14-2
sw3196B-ms98-a-0013,48.227375,48.357375,all,I,sd,u-14-2
sw3196B-ms98-a-0013,48.357375,48.437375,the,I,sd,u-14-2
sw3196B-ms98-a-0013,48.437375,48.787375,time,I,sd,u-14-2
sw3196B-ms98-a-0013,48.787375,48.917375,but,B,sd,u-14-3
sw3196B-ms98-a-0013,48.917375,49.037375,we,I,sd,u-14-3
sw3196B-ms98-a-0013,49.037375,49.307375,use,I,sd,u-14-3
sw3196B-ms98-a-0013,49.307375,49.517375,them_1,I,sd,u-14-3
sw3196B-ms98-a-0013,49.517375,49.717375,like,I,sd,u-14-3
sw3196B-ms98-a-0013,49.717375,49.817375,at,I,sd,u-14-3
sw3196B-ms98-a-0013,49.817375,50.227375,Christmas,I,sd,u-14-3
sw3196B-ms98-a-0013,50.227375,50.637375,time,I,sd,u-14-3
sw3196B-ms98-a-0013,51.017375,51.197375,and,B,sv,u-14-4
sw3196B-ms98-a-0013,51.257375,51.357375,then,I,sv,u-14-4
sw3196B-ms98-a-0013,51.357375,51.427375,it,I,sv,u-14-4
sw3196B-ms98-a-0013,51.427375,51.627375,seems,I,sv,u-14-4
sw3196B-ms98-a-0013,51.627375,51.807375,like,I,sv,u-14-4
sw3196B-ms98-a-0013,51.807375,51.887375,it,I,sv,u-14-4
sw3196B-ms98-a-0013,51.887375,52.167375,takes,I,sv,u-14-4
sw3196B-ms98-a-0013,52.167375,52.297375,all,I,sv,u-14-4
sw3196B-ms98-a-0013,52.297375,52.537375,year,I,sv,u-14-4
sw3196B-ms98-a-0013,52.537375,52.597375,to,I,sv,u-14-4
sw3196B-ms98-a-0013,52.597375,52.827375,pay,I,sv,u-14-4
sw3196B-ms98-a-0013,52.827375,52.947375,them,I,sv,u-14-4
sw3196B-ms98-a-0013,52.947375,53.377375,off,I,sv,u-14-4
sw3196B-ms98-a-0013,53.737375,53.907375,when,I,sv,u-14-4
sw3196B-ms98-a-0013,53.907375,53.987375,you,I,sv,u-14-4
sw3196B-ms98-a-0013,53.987375,54.257375,use,I,sv,u-14-4
sw3196B-ms98-a-0013,54.257375,54.467375,them_1,I,sv,u-14-4
sw3196B-ms98-a-0014,55.592750,55.842750,like,I,sv,u-14-4
sw3196B-ms98-a-0014,55.842750,56.012750,that,I,sv,u-14-4
sw3196B-ms98-a-0014,56.012750,57.342750,[laughter],O,,
sw3196B-ms98-a-0014,57.342750,57.652750,but,B,sd,u-16-1
sw3196B-ms98-a-0014,57.652750,57.942750,um,I,sd,u-16-1
