sw4380B-ms98-a-0003,6.179500,6.492500,uh-huh,B,b,u-2-1
sw4380B-ms98-a-0005,18.137125,18.431500,really,B,bh,u-4-1
sw4380B-ms98-a-0006,19.483375,19.560625,yeah,B,ny,u-6-1
sw4380B-ms98-a-0006,19.560625,19.670625,i-,O,,
sw4380B-ms98-a-0006,19.670625,19.790625,i,B,sv,u-6-2
sw4380B-ms98-a-0006,19.790625,20.050625,feel,I,sv,u-6-2
sw4380B-ms98-a-0006,20.050625,20.160625,that,I,sv,u-6-2
sw4380B-ms98-a-0006,20.160625,20.460625,my,I,sv,u-6-2
sw4380B-ms98-a-0006,20.460625,20.687375,uh,I,sv,u-6-2
sw4380B-ms98-a-0006,21.372875,21.551750,i'm,B,sd,u-6-3
sw4380B-ms98-a-0006,21.551750,21.775000,a,I,sd,u-6-3
sw4380B-ms98-a-0006,21.827750,22.110625,junior,I,sd,u-6-3
sw4380B-ms98-a-0006,22.110625,22.190625,in,I,sd,u-6-3
sw4380B-ms98-a-0006,22.190625,22.570625,college,I,sd,u-6-3
sw4380B-ms98-a-0006,22.620625,22.969625,now,I,sd,u-6-3
sw4380B-ms98-a-0006,23.338750,23.530750,and,B,sd,u-6-4
sw4380B-ms98-a-0006,23.813125,23.890625,i,B,+,u-8-1
sw4380B-ms98-a-0006,23.890625,23.990625,go,I,+,u-8-1
sw4380B-ms98-a-0006,23.990625,24.070625,to,I,+,u-8-1
sw4380B-ms98-a-0006,24.070625,24.303625,Tech,I,+,u-8-1
sw4380B-ms98-a-0006,24.390250,24.600625,Georgia,I,+,u-8-1
sw4380B-ms98-a-0006,24.600625,24.980500,Tech,I,+,u-8-1
sw4380B-ms98-a-0007,26.088750,26.265375,and,B,%,u-10-1
sw4380B-ms98-a-0007,26.265375,26.557250,uh,O,,
sw4380B-ms98-a-0009,28.798750,29.063125,[laughter],O,,
sw4380B-ms98-a-0010,29.739375,30.117125,okay,B,na^r,u-12-1
sw4380B-ms98-a-0010,30.847125,31.147875,uh,B,%,u-12-2
sw4380B-ms98-a-0011,32.565625,32.998500,i've,I,%,u-12-2
sw4380B-ms98-a-0011,33.318625,33.401875,the,B,sd,u-12-3
sw4380B-ms98-a-0011,33.401875,33.541875,high,I,sd,u-12-3
sw4380B-ms98-a-0011,33.541875,33.741875,school,I,sd,u-12-3
sw4380B-ms98-a-0011,33.741875,33.801875,i,I,sd,u-12-3
sw4380B-ms98-a-0011,33.801875,33.991875,went,I,sd,u-12-3
sw4380B-ms98-a-0011,33.991875,34.211875,to,I,sd,u-12-3
sw4380B-ms98-a-0011,34.211875,34.451875,was,I,sd,u-12-3
sw4380B-ms98-a-0011,34.451875,34.721875,uh,I,sd,u-12-3
sw4380B-ms98-a-0012,35.985625,36.100500,was,I,sd,u-12-3
sw4380B-ms98-a-0012,36.100500,36.180500,a,I,sd,u-12-3
sw4380B-ms98-a-0012,36.180500,36.350500,good,I,sd,u-12-3
sw4380B-ms98-a-0012,36.350500,36.460500,one,I,sd,u-12-3
sw4380B-ms98-a-0012,36.460500,36.941750,also,I,sd,u-12-3
sw4380B-ms98-a-0012,36.941750,37.063625,and,B,sv,u-12-4
sw4380B-ms98-a-0012,38.050500,38.335625,i,I,sv,u-12-4
sw4380B-ms98-a-0012,38.335625,38.501375,well,I,sv,u-12-4
sw4380B-ms98-a-0012,38.501375,38.580500,i,I,sv,u-12-4
sw4380B-ms98-a-0012,38.580500,38.780500,guess,I,sv,u-12-4
sw4380B-ms98-a-0012,38.780500,38.850500,you,I,sv,u-12-4
sw4380B-ms98-a-0012,38.850500,38.990500,could,I,sv,u-12-4
sw4380B-ms98-a-0012,38.990500,39.130500,say,I,sv,u-12-4
sw4380B-ms98-a-0012,39.130500,39.270500,one,I,sv,u-12-4
sw4380B-ms98-a-0012,39.270500,39.330500,of,I,sv,u-12-4
sw4380B-ms98-a-0012,39.330500,39.390500,the,I,sv,u-12-4
sw4380B-ms98-a-0012,39.390500,39.980500,problems,I,sv,u-12-4
sw4380B-ms98-a-0012,40.340500,40.440500,with,I,sv,u-12-4
sw4380B-ms98-a-0012,40.440500,40.510500,the,I,sv,u-12-4
sw4380B-ms98-a-0012,40.510500,40.840500,public,I,sv,u-12-4
sw4380B-ms98-a-0012,40.840500,41.400500,education,I,sv,u-12-4
sw4380B-ms98-a-0012,41.400500,41.780500,system,I,sv,u-12-4
sw4380B-ms98-a-0012,41.780500,42.070500,is,I,sv,u-12-4
sw4380B-ms98-a-0012,42.380500,42.460500,the,I,sv,u-12-4
sw4380B-ms98-a-0012,42.460500,43.050500,disparity,I,sv,u-12-4
sw4380B-ms98-a-0012,43.050500,43.469500,between,I,sv,u-12-4
sw4380B-ms98-a-0012,43.635250,43.920500,different,I,sv,u-12-4
sw4380B-ms98-a-0012,43.920500,44.360500,schools,I,sv,u-12-4
sw4380B-ms98-a-0012,44.360500,44.610500,because_1,O,,
sw4380B-ms98-a-0012,44.610500,44.680500,the,B,sv,u-12-5
sw4380B-ms98-a-0012,44.680500,44.810500,one,I,sv,u-12-5
sw4380B-ms98-a-0012,44.810500,44.860500,i,I,sv,u-12-5
sw4380B-ms98-a-0012,44.860500,45.070500,went,I,sv,u-12-5
sw4380B-ms98-a-0012,45.070500,45.220500,to,I,sv,u-12-5
sw4380B-ms98-a-0012,45.220500,45.502375,was,I,sv,u-12-5
sw4380B-ms98-a-0012,46.067375,46.123500,you,I,sv,u-12-5
sw4380B-ms98-a-0012,46.123500,46.266250,know,I,sv,u-12-5
sw4380B-ms98-a-0013,47.056000,47.195375,i'm,I,sv,u-12-5
sw4380B-ms98-a-0013,47.195375,47.675375,sure,I,sv,u-12-5
sw4380B-ms98-a-0013,47.675375,47.745375,a,I,sv,u-12-5
sw4380B-ms98-a-0013,47.745375,47.815375,a,I,sv,u-12-5
sw4380B-ms98-a-0013,47.815375,48.085375,lot,I,sv,u-12-5
sw4380B-ms98-a-0013,48.085375,48.435375,nicer,I,sv,u-12-5
sw4380B-ms98-a-0013,48.435375,48.584750,than,I,sv,u-12-5
sw4380B-ms98-a-0013,49.040500,49.105375,you,I,sv,u-12-5
sw4380B-ms98-a-0013,49.105375,49.195375,know,I,sv,u-12-5
sw4380B-ms98-a-0013,49.195375,49.235375,a,I,sv,u-12-5
sw4380B-ms98-a-0013,49.235375,49.435375,lot,I,sv,u-12-5
sw4380B-ms98-a-0013,49.435375,49.535375,of,I,sv,u-12-5
sw4380B-ms98-a-0013,49.535375,49.615375,the,I,sv,u-12-5
sw4380B-ms98-a-0013,49.615375,49.845375,inner,I,sv,u-12-5
sw4380B-ms98-a-0013,49.845375,50.155375,city,I,sv,u-12-5
sw4380B-ms98-a-0013,50.155375,50.715375,schools,I,sv,u-12-5
sw4380B-ms98-a-0013,50.715375,50.806000,and,I,sv,u-12-5
sw4380B-ms98-a-0013,51.306875,51.395375,the,B,+,u-14-1
sw4380B-ms98-a-0013,51.395375,51.625375,things,I,+,u-14-1
sw4380B-ms98-a-0013,51.625375,51.825375,around,I,+,u-14-1
sw4380B-ms98-a-0013,51.825375,52.267500,Atlanta,I,+,u-14-1
sw4380B-ms98-a-0015,55.261000,55.629250,yeah,B,ny,u-16-1
sw4380B-ms98-a-0017,68.563500,68.751125,what,B,qw,u-20-1
sw4380B-ms98-a-0017,68.751125,68.922250,[vocalized-noise],O,,
sw4380B-ms98-a-0019,75.674125,75.878375,yeah,B,aa,u-22-1
sw4380B-ms98-a-0019,75.878375,76.098375,that's,B,aa,u-22-2
sw4380B-ms98-a-0019,76.098375,76.452750,true,I,aa,u-22-2
sw4380B-ms98-a-0021,81.465375,81.642125,yeah,B,b,u-24-1
sw4380B-ms98-a-0021,81.642125,81.732125,and,B,%,u-24-2
sw4380B-ms98-a-0021,81.732125,81.872125,i'm,I,%,u-24-2
sw4380B-ms98-a-0021,81.872125,82.262125,also,I,%,u-24-2
sw4380B-ms98-a-0021,82.262125,82.302125,i,B,sv,u-26-1
sw4380B-ms98-a-0021,82.302125,82.502125,mean,I,sv,u-26-1
sw4380B-ms98-a-0021,82.502125,82.602125,in,I,sv,u-26-1
sw4380B-ms98-a-0021,82.602125,82.884000,the,I,sv,u-26-1
sw4380B-ms98-a-0021,83.415125,83.522125,in,I,sv,u-26-1
sw4380B-ms98-a-0021,83.522125,83.752125,those,I,sv,u-26-1
sw4380B-ms98-a-0021,83.752125,84.212125,places,I,sv,u-26-1
sw4380B-ms98-a-0021,84.212125,84.462125,where,I,sv,u-26-1
sw4380B-ms98-a-0021,84.462125,84.652125,uh,I,sv,u-26-1
sw4380B-ms98-a-0022,85.329250,85.484375,like,I,sv,u-26-1
sw4380B-ms98-a-0022,85.484375,85.564375,the,I,sv,u-26-1
sw4380B-ms98-a-0022,85.564375,85.954375,economy,I,sv,u-26-1
sw4380B-ms98-a-0022,85.954375,86.074375,is,I,sv,u-26-1
sw4380B-ms98-a-0022,86.074375,86.264375,really,I,sv,u-26-1
sw4380B-ms98-a-0022,86.264375,86.484375,bad,I,sv,u-26-1
sw4380B-ms98-a-0022,86.484375,86.584375,they,I,sv,u-26-1
sw4380B-ms98-a-0022,86.584375,86.834375,might,I,sv,u-26-1
sw4380B-ms98-a-0022,86.904375,86.994375,you,I,sv,u-26-1
