sw3028B-ms98-a-0002,1.678500,1.972000,um-hum,B,ny,u-2-1
sw3028B-ms98-a-0004,4.252750,4.447375,oh,B,nd^t,u-4-1
sw3028B-ms98-a-0004,4.447375,4.547375,i,I,nd^t,u-4-1
sw3028B-ms98-a-0004,4.547375,4.830875,didn't,I,nd^t,u-4-1
sw3028B-ms98-a-0004,5.008000,5.117375,i,I,nd^t,u-4-1
sw3028B-ms98-a-0004,5.117375,5.397375,didn't,I,nd^t,u-4-1
sw3028B-ms98-a-0004,5.397375,5.687375,quite,I,nd^t,u-4-1
sw3028B-ms98-a-0004,5.687375,5.847375,hear,I,nd^t,u-4-1
sw3028B-ms98-a-0004,5.847375,6.027375,all,I,nd^t,u-4-1
sw3028B-ms98-a-0004,6.027375,6.107375,of,I,nd^t,u-4-1
sw3028B-ms98-a-0004,6.107375,6.227375,it,I,nd^t,u-4-1
sw3028B-ms98-a-0006,13.109375,13.451125,right,B,b,u-6-1
sw3028B-ms98-a-0008,16.923375,17.371250,well,B,sd,u-8-1
sw3028B-ms98-a-0008,17.371250,17.771625,i,I,sd,u-8-1
sw3028B-ms98-a-0008,17.982500,18.184750,i,I,sd,u-8-1
sw3028B-ms98-a-0008,18.184750,18.761000,really,I,sd,u-8-1
sw3028B-ms98-a-0008,18.955125,19.191250,choose,I,sd,u-8-1
sw3028B-ms98-a-0008,19.191250,19.661250,restaurants,I,sd,u-8-1
sw3028B-ms98-a-0008,19.661250,19.861250,more,I,sd,u-8-1
sw3028B-ms98-a-0008,19.861250,20.021250,for,I,sd,u-8-1
sw3028B-ms98-a-0008,20.021250,20.101250,the,I,sd,u-8-1
sw3028B-ms98-a-0008,20.101250,20.631250,quality,I,sd,u-8-1
sw3028B-ms98-a-0008,20.631250,20.701250,of,I,sd,u-8-1
sw3028B-ms98-a-0008,20.701250,21.290000,food,I,sd,u-8-1
sw3028B-ms98-a-0008,21.632750,21.751250,than,I,sd,u-8-1
sw3028B-ms98-a-0008,21.751250,22.141250,anything,I,sd,u-8-1
sw3028B-ms98-a-0008,22.141250,22.551375,else,I,sd,u-8-1
sw3028B-ms98-a-0009,24.054375,24.385250,well,B,na,u-10-1
sw3028B-ms98-a-0009,24.385250,24.456125,a,I,na,u-10-1
sw3028B-ms98-a-0009,24.456125,24.688250,little,I,na,u-10-1
sw3028B-ms98-a-0009,24.688250,24.995500,bit,I,na,u-10-1
sw3028B-ms98-a-0009,25.315625,25.528250,for,B,+,u-12-1
sw3028B-ms98-a-0009,25.528250,25.608250,the,I,+,u-12-1
sw3028B-ms98-a-0009,25.608250,26.088250,price,I,+,u-12-1
sw3028B-ms98-a-0009,26.088250,26.528250,but,B,sd,u-12-2
sw3028B-ms98-a-0009,26.528250,26.892875,uh,I,sd,u-12-2
sw3028B-ms98-a-0009,27.386375,27.518250,i,I,sd,u-12-2
sw3028B-ms98-a-0009,27.518250,27.818250,think,I,sd,u-12-2
sw3028B-ms98-a-0009,27.818250,28.441000,that,I,sd,u-12-2
sw3028B-ms98-a-0009,28.975875,29.198250,as,I,sd,u-12-2
sw3028B-ms98-a-0009,29.198250,29.418250,far,I,sd,u-12-2
sw3028B-ms98-a-0009,29.418250,29.528250,as,I,sd,u-12-2
sw3028B-ms98-a-0009,29.528250,29.998250,quality,I,sd,u-12-2
sw3028B-ms98-a-0009,29.998250,30.118250,of,I,sd,u-12-2
sw3028B-ms98-a-0009,30.118250,30.318250,food,I,sd,u-12-2
sw3028B-ms98-a-0009,30.318250,30.598250,goes,I,sd,u-12-2
sw3028B-ms98-a-0009,30.598250,30.688250,the,I,sd,u-12-2
sw3028B-ms98-a-0009,30.688250,30.854500,m[ost]-,I,sd,u-12-2
sw3028B-ms98-a-0009,31.167125,31.408250,some,I,sd,u-12-2
sw3028B-ms98-a-0009,31.408250,31.508250,of,I,sd,u-12-2
sw3028B-ms98-a-0009,31.508250,31.578250,the,I,sd,u-12-2
sw3028B-ms98-a-0009,31.578250,31.908250,most,I,sd,u-12-2
sw3028B-ms98-a-0009,31.908250,32.438250,expensive,I,sd,u-12-2
sw3028B-ms98-a-0009,32.438250,32.868250,places,I,sd,u-12-2
sw3028B-ms98-a-0009,32.868250,33.028250,i've,I,sd,u-12-2
sw3028B-ms98-a-0009,33.028250,33.400500,been,I,sd,u-12-2
sw3028B-ms98-a-0009,33.848625,34.048250,had,B,+,u-14-1
sw3028B-ms98-a-0009,34.048250,34.380500,the,I,+,u-14-1
sw3028B-ms98-a-0009,34.380500,34.796000,the,I,+,u-14-1
sw3028B-ms98-a-0009,34.954250,35.238250,really,I,+,u-14-1
sw3028B-ms98-a-0009,35.238250,35.474125,the,I,+,u-14-1
sw3028B-ms98-a-0009,35.859750,36.072875,the,B,+,u-16-1
sw3028B-ms98-a-0009,36.072875,36.348250,worst,I,+,u-16-1
sw3028B-ms98-a-0009,36.348250,36.788250,quality,I,+,u-16-1
sw3028B-ms98-a-0009,36.788250,36.858250,of,I,+,u-16-1
sw3028B-ms98-a-0009,36.858250,37.362875,food,I,+,u-16-1
