sw2105A-ms98-a-0002,8.648125,9.257250,uh-huh,B,b,u-2-1
sw2105A-ms98-a-0004,18.873750,19.688750,yeah,B,b,u-4-1
sw2105A-ms98-a-0006,21.982375,22.685625,oh,B,aa,u-6-1
sw2105A-ms98-a-0006,22.685625,23.201625,[laughter-no],O,,
sw2105A-ms98-a-0006,23.201625,23.585875,[laughter-no],O,,
sw2105A-ms98-a-0006,23.585875,23.775875,[laughter-they're],O,,
sw2105A-ms98-a-0006,23.775875,24.095875,[laughter-not],O,,
sw2105A-ms98-a-0006,24.095875,24.285875,[laughter-are],O,,
sw2105A-ms98-a-0006,24.285875,24.644000,[laughter-they],O,,
sw2105A-ms98-a-0008,26.862875,27.405125,oh,B,ba,u-8-1
sw2105A-ms98-a-0008,27.405125,27.855125,goodness,I,ba,u-8-1
sw2105A-ms98-a-0008,27.855125,28.005125,i,B,sd,u-8-2
sw2105A-ms98-a-0008,28.005125,28.265125,would,I,sd,u-8-2
sw2105A-ms98-a-0008,28.265125,28.705125,too,I,sd,u-8-2
sw2105A-ms98-a-0008,28.705125,28.945125,even,B,sd,u-8-3
sw2105A-ms98-a-0008,28.945125,29.035125,the,I,sd,u-8-3
sw2105A-ms98-a-0008,29.035125,29.355125,bench,I,sd,u-8-3
sw2105A-ms98-a-0008,29.355125,29.865125,warmer,I,sd,u-8-3
sw2105A-ms98-a-0008,29.865125,30.092125,i,I,sd,u-8-3
sw2105A-ms98-a-0008,30.092125,30.308625,would,I,sd,u-8-3
sw2105A-ms98-a-0008,30.308625,31.817250,[laughter],O,,
sw2105A-ms98-a-0010,38.572125,39.066500,um-hum,B,b,u-10-1
sw2105A-ms98-a-0012,43.729375,44.954000,[vocalized-noise],O,,
sw2105A-ms98-a-0012,44.954000,45.568250,yeah,B,b,u-12-1
sw2105A-ms98-a-0013,46.804375,47.008625,i,B,aa,u-14-1
sw2105A-ms98-a-0013,47.008625,47.189375,do,I,aa,u-14-1
sw2105A-ms98-a-0013,47.189375,47.570375,to,I,aa,u-14-1
sw2105A-ms98-a-0013,47.570375,47.927375,um,I,aa,u-14-1
sw2105A-ms98-a-0013,48.435875,48.610375,i,B,sd,u-14-2
sw2105A-ms98-a-0013,48.610375,49.058250,have,I,sd,u-14-2
sw2105A-ms98-a-0013,49.058250,49.840375,boys,I,sd,u-14-2
sw2105A-ms98-a-0013,49.840375,49.950375,you,I,sd,u-14-2
