sw2812A-ms98-a-0002,0.402125,0.642125,yeah,B,ny,u-2-1
sw2812A-ms98-a-0002,0.642125,0.722125,the,B,sd^t,u-2-2
sw2812A-ms98-a-0002,0.722125,1.142125,changing,I,sd^t,u-2-2
sw2812A-ms98-a-0002,1.142125,1.362125,roles,I,sd^t,u-2-2
sw2812A-ms98-a-0002,1.362125,1.512125,of,I,sd^t,u-2-2
sw2812A-ms98-a-0002,1.512125,1.852125,women,I,sd^t,u-2-2
sw2812A-ms98-a-0002,1.852125,2.122125,how,I,sd^t,u-2-2
sw2812A-ms98-a-0002,2.122125,2.402125,roles,I,sd^t,u-2-2
sw2812A-ms98-a-0002,2.402125,2.932125,changed,I,sd^t,u-2-2
sw2812A-ms98-a-0002,2.932125,3.062125,and,B,sd^t,u-2-3
sw2812A-ms98-a-0002,3.062125,3.152125,what,I,sd^t,u-2-3
sw2812A-ms98-a-0002,3.152125,3.212125,do,I,sd^t,u-2-3
sw2812A-ms98-a-0002,3.212125,3.302125,you,I,sd^t,u-2-3
sw2812A-ms98-a-0002,3.302125,3.412125,see,I,sd^t,u-2-3
sw2812A-ms98-a-0002,3.412125,3.712125,coming,I,sd^t,u-2-3
sw2812A-ms98-a-0002,3.712125,3.782125,in,I,sd^t,u-2-3
sw2812A-ms98-a-0002,3.782125,3.882125,the,I,sd^t,u-2-3
sw2812A-ms98-a-0002,3.882125,4.392125,future,I,sd^t,u-2-3
sw2812A-ms98-a-0004,6.079625,6.419625,okay,B,b,u-4-1
sw2812A-ms98-a-0004,6.419625,6.579625,yeah,B,b,u-4-2
sw2812A-ms98-a-0004,6.579625,6.879625,[laughter],O,,
sw2812A-ms98-a-0004,6.879625,7.189625,sounds,B,sv,u-4-3
sw2812A-ms98-a-0004,7.189625,7.482000,good,I,sv,u-4-3
sw2812A-ms98-a-0005,8.106875,8.406875,okay,B,b,u-6-1
sw2812A-ms98-a-0005,8.406875,8.636875,hold,B,ad,u-6-2
sw2812A-ms98-a-0005,8.636875,8.776875,on,I,ad,u-6-2
sw2812A-ms98-a-0008,12.795875,12.875875,are,B,qy,u-8-1
sw2812A-ms98-a-0008,12.875875,12.935875,you,I,qy,u-8-1
sw2812A-ms98-a-0008,12.935875,13.303875,there,I,qy,u-8-1
sw2812A-ms98-a-0008,13.514750,13.625875,oh,B,fe,u-10-1
sw2812A-ms98-a-0008,13.625875,13.785875,my,I,fe,u-10-1
sw2812A-ms98-a-0008,13.785875,14.035875,goodness,I,fe,u-10-1
sw2812A-ms98-a-0008,14.035875,14.085875,i,B,sd,u-10-2
sw2812A-ms98-a-0008,14.085875,14.265875,can't,I,sd,u-10-2
sw2812A-ms98-a-0008,14.265875,14.475875,believe,I,sd,u-10-2
sw2812A-ms98-a-0008,14.475875,14.525875,i,I,sd,u-10-2
sw2812A-ms98-a-0008,14.525875,14.735875,did,I,sd,u-10-2
sw2812A-ms98-a-0008,14.735875,14.925875,that,I,sd,u-10-2
sw2812A-ms98-a-0008,14.925875,15.175875,okay,B,^h,u-10-3
sw2812A-ms98-a-0008,15.175875,15.335875,hold,B,ad,u-10-4
sw2812A-ms98-a-0008,15.335875,15.395875,on,I,ad,u-10-4
sw2812A-ms98-a-0008,15.395875,15.995875,[laughter],O,,
sw2812A-ms98-a-0010,17.636875,17.986875,okay,B,o,u-12-1
sw2812A-ms98-a-0011,18.673750,19.083750,um,I,o,u-12-1
sw2812A-ms98-a-0012,19.731625,19.821375,[vocalized-noise],O,,
sw2812A-ms98-a-0014,22.244625,22.418250,no,B,nn,u-14-1
sw2812A-ms98-a-0014,22.418250,22.568250,i,B,sd^e,u-14-2
sw2812A-ms98-a-0014,22.568250,22.828250,i'm,I,sd^e,u-14-2
sw2812A-ms98-a-0014,22.828250,23.128250,twenty,I,sd^e,u-14-2
sw2812A-ms98-a-0014,23.128250,23.439250,three,I,sd^e,u-14-2
sw2812A-ms98-a-0015,24.161875,24.498000,um-hum,B,b,u-16-1
sw2812A-ms98-a-0017,26.319250,26.694750,um-hum,B,b,u-18-1
sw2812A-ms98-a-0017,26.811625,27.191750,uh-huh,B,b^r,u-18-2
