sw2253A-ms98-a-0001,0.568500,0.760000,yeah,B,o,u-1-1
sw2253A-ms98-a-0001,0.760000,0.820000,the,B,qw,u-1-2
sw2253A-ms98-a-0001,0.820000,1.250000,question,I,qw,u-1-2
sw2253A-ms98-a-0001,1.250000,1.730000,was,I,qw,u-1-2
sw2253A-ms98-a-0001,1.730000,2.040000,uh,I,qw,u-1-2
sw2253A-ms98-a-0001,2.040000,2.320000,what,I,qw,u-1-2
sw2253A-ms98-a-0001,2.320000,2.530000,kind,I,qw,u-1-2
sw2253A-ms98-a-0001,2.530000,2.590000,of,I,qw,u-1-2
sw2253A-ms98-a-0001,2.590000,2.850000,books,I,qw,u-1-2
sw2253A-ms98-a-0001,2.850000,2.910000,do,I,qw,u-1-2
sw2253A-ms98-a-0001,2.910000,3.030000,you,I,qw,u-1-2
sw2253A-ms98-a-0001,3.030000,3.230000,read,I,qw,u-1-2
sw2253A-ms98-a-0001,3.230000,3.380000,for,I,qw,u-1-2
sw2253A-ms98-a-0001,3.380000,4.260000,entertainment,I,qw,u-1-2
sw2253A-ms98-a-0001,4.260000,4.628125,uh,I,qw,u-1-2
sw2253A-ms98-a-0002,5.473000,5.888750,uh,I,qw,u-1-2
sw2253A-ms98-a-0002,6.710750,7.082125,[laughter],I,qw,u-1-2
sw2253A-ms98-a-0002,7.082125,7.229000,i,I,qw,u-1-2
sw2253A-ms98-a-0002,7.229000,7.608500,guess,I,qw,u-1-2
sw2253A-ms98-a-0003,9.261625,9.814750,okay,B,bk,u-3-1
sw2253A-ms98-a-0003,9.814750,10.961250,[laughter],O,,
sw2253A-ms98-a-0003,10.961250,11.280500,with,B,ba,u-5-1
sw2253A-ms98-a-0003,11.483875,11.601500,two,I,ba,u-5-1
sw2253A-ms98-a-0003,11.601500,11.771500,little,I,ba,u-5-1
sw2253A-ms98-a-0003,11.771500,12.021500,kids,I,ba,u-5-1
sw2253A-ms98-a-0003,12.021500,12.101500,i,I,ba,u-5-1
sw2253A-ms98-a-0003,12.101500,12.221500,can,I,ba,u-5-1
sw2253A-ms98-a-0003,12.221500,12.681500,understand,I,ba,u-5-1
sw2253A-ms98-a-0003,12.681500,12.859375,that,I,ba,u-5-1
sw2253A-ms98-a-0003,12.859375,13.314375,[vocalized-noise],O,,
sw2253A-ms98-a-0005,16.657000,17.032500,oh,B,b,u-7-1
sw2253A-ms98-a-0005,17.032500,17.711750,[laughter],O,,
sw2253A-ms98-a-0006,18.345375,18.547750,what,B,qw,u-9-1
sw2253A-ms98-a-0006,18.663375,19.001875,uh,I,qw,u-9-1
sw2253A-ms98-a-0006,19.261750,19.370000,what,I,qw,u-9-1
sw2253A-ms98-a-0006,19.370000,19.610000,kind,I,qw,u-9-1
sw2253A-ms98-a-0006,19.610000,19.793375,of,I,qw,u-9-1
sw2253A-ms98-a-0008,31.618750,31.955375,hum,O,,
sw2253A-ms98-a-0010,41.479875,41.799875,oh,B,b,u-13-1
sw2253A-ms98-a-0012,45.051750,45.452750,um-hum,B,b,u-15-1
sw2253A-ms98-a-0013,47.305875,47.695875,by,B,qy,u-17-1
sw2253A-ms98-a-0013,47.695875,47.894625,uh,I,qy,u-17-1
sw2253A-ms98-a-0013,48.211000,48.605875,somebody,I,qy,u-17-1
sw2253A-ms98-a-0013,48.605875,48.685875,who,I,qy,u-17-1
sw2253A-ms98-a-0013,48.685875,48.855875,was,I,qy,u-17-1
sw2253A-ms98-a-0013,48.855875,49.324750,there,I,qy,u-17-1
sw2253A-ms98-a-0013,49.324750,49.700500,or,B,%,u-17-2
sw2253A-ms98-a-0015,53.290625,53.806375,um-hum,B,b,u-19-1
sw2253A-ms98-a-0017,58.132250,58.583625,yeah,B,b,u-21-1
sw2253A-ms98-a-0017,58.583625,58.722250,well,B,%,u-21-2
sw2253A-ms98-a-0017,58.722250,58.812250,any,I,%,u-21-2
sw2253A-ms98-a-0017,58.812250,58.872250,of,I,%,u-21-2
sw2253A-ms98-a-0017,58.872250,58.932250,the,I,%,u-21-2
sw2253A-ms98-a-0017,58.932250,59.232250,guys,I,%,u-21-2
sw2253A-ms98-a-0017,59.232250,59.382250,that,I,%,u-21-2
sw2253A-ms98-a-0017,59.382250,59.532250,were,I,%,u-21-2
sw2253A-ms98-a-0017,59.532250,59.847125,ground,I,%,u-21-2
sw2253A-ms98-a-0017,59.847125,60.107000,[vocalized-noise],O,,
sw2253A-ms98-a-0017,60.107000,60.523750,yes,B,%,u-21-3
sw2253A-ms98-a-0017,60.708250,60.932250,yeah,B,%,u-21-4
sw2253A-ms98-a-0017,60.932250,60.972250,i,B,ba,u-21-5
sw2253A-ms98-a-0017,60.972250,61.112250,can,I,ba,u-21-5
sw2253A-ms98-a-0017,61.112250,61.603875,imagine,I,ba,u-21-5
sw2253A-ms98-a-0018,62.887500,63.187375,yeah,O,,
sw2253A-ms98-a-0018,63.972000,64.349375,well,B,^h,u-23-1
sw2253A-ms98-a-0018,64.349375,64.389375,i,I,^h,u-23-1
sw2253A-ms98-a-0018,64.389375,64.569375,tell,I,^h,u-23-1
sw2253A-ms98-a-0018,64.569375,64.689375,you,I,^h,u-23-1
sw2253A-ms98-a-0018,64.689375,64.929375,what,I,^h,u-23-1
sw2253A-ms98-a-0018,64.929375,65.069375,i'm,B,^h,u-23-2
sw2253A-ms98-a-0018,65.069375,65.119375,a,I,^h,u-23-2
sw2253A-ms98-a-0018,65.119375,65.369375,kind,I,^h,u-23-2
sw2253A-ms98-a-0018,65.369375,65.479375,of,I,^h,u-23-2
sw2253A-ms98-a-0018,65.479375,65.689375,uh,I,^h,u-23-2
sw2253A-ms98-a-0018,66.045375,66.222375,a,I,^h,u-23-2
sw2253A-ms98-a-0018,66.222375,66.764125,history,I,^h,u-23-2
sw2253A-ms98-a-0019,67.899750,68.358500,nut,I,^h,u-23-2
sw2253A-ms98-a-0019,68.358500,68.578500,i'm,B,^h,u-23-3
sw2253A-ms98-a-0019,68.578500,68.928500,trying,I,^h,u-23-3
sw2253A-ms98-a-0019,68.928500,69.098500,to,I,^h,u-23-3
sw2253A-ms98-a-0019,69.098500,69.328500,think,I,^h,u-23-3
sw2253A-ms98-a-0019,69.328500,69.698500,back,I,^h,u-23-3
sw2253A-ms98-a-0019,69.698500,69.938500,now,I,^h,u-23-3
sw2253A-ms98-a-0019,69.938500,70.028500,i,B,sd,u-23-4
sw2253A-ms98-a-0019,70.028500,70.248500,read,I,sd,u-23-4
sw2253A-ms98-a-0019,70.248500,70.388500,an,I,sd,u-23-4
sw2253A-ms98-a-0019,70.388500,70.798500,awful,I,sd,u-23-4
sw2253A-ms98-a-0019,70.798500,71.028500,lot,I,sd,u-23-4
sw2253A-ms98-a-0019,71.028500,71.318500,of,I,sd,u-23-4
sw2253A-ms98-a-0019,71.318500,71.618625,uh,I,sd,u-23-4
sw2253A-ms98-a-0020,72.527000,73.469625,periodicals,I,sd,u-23-4
sw2253A-ms98-a-0020,73.469625,73.809625,and,I,sd,u-23-4
sw2253A-ms98-a-0020,73.809625,74.030000,uh,I,sd,u-23-4
sw2253A-ms98-a-0020,74.263500,74.329625,you,I,sd,u-23-4
sw2253A-ms98-a-0020,74.329625,74.429625,know,I,sd,u-23-4
sw2253A-ms98-a-0020,74.429625,74.699625,almost,I,sd,u-23-4
sw2253A-ms98-a-0020,74.699625,74.799625,what,I,sd,u-23-4
sw2253A-ms98-a-0020,74.799625,74.879625,you,I,sd,u-23-4
sw2253A-ms98-a-0020,74.879625,75.109625,call,I,sd,u-23-4
sw2253A-ms98-a-0020,75.109625,75.648000,reference,I,sd,u-23-4
sw2253A-ms98-a-0020,75.648000,76.086000,book,O,,
sw2253A-ms98-a-0020,76.980000,77.516750,and,B,sd,u-25-1
sw2253A-ms98-a-0020,77.516750,77.853125,uh,I,sd,u-25-1
sw2253A-ms98-a-0020,78.470875,78.579625,the,I,sd,u-25-1
sw2253A-ms98-a-0020,78.579625,79.139625,last,I,sd,u-25-1
sw2253A-ms98-a-0020,79.139625,79.441625,uh,I,sd,u-25-1
sw2253A-ms98-a-0020,80.566000,80.719625,i'm,I,sd,u-25-1
sw2253A-ms98-a-0020,80.719625,81.119625,embarrassed,I,sd,u-25-1
sw2253A-ms98-a-0020,81.119625,81.179625,to,I,sd,u-25-1
sw2253A-ms98-a-0020,81.179625,81.389625,say,I,sd,u-25-1
sw2253A-ms98-a-0020,81.389625,81.469625,the,I,sd,u-25-1
sw2253A-ms98-a-0020,81.469625,81.755875,last,I,sd,u-25-1
sw2253A-ms98-a-0020,82.334875,82.485500,you,I,sd,u-25-1
sw2253A-ms98-a-0020,82.485500,82.589625,know,I,sd,u-25-1
sw2253A-ms98-a-0020,82.589625,82.839625,honest,I,sd,u-25-1
sw2253A-ms98-a-0020,82.839625,82.919625,to,I,sd,u-25-1
sw2253A-ms98-a-0020,82.919625,83.396625,gosh,I,sd,u-25-1
sw2253A-ms98-a-0020,83.494500,83.739625,cover,I,sd,u-25-1
sw2253A-ms98-a-0020,83.739625,83.799625,to,I,sd,u-25-1
sw2253A-ms98-a-0020,83.799625,84.079625,cover,I,sd,u-25-1
sw2253A-ms98-a-0020,84.079625,84.369625,book,I,sd,u-25-1
sw2253A-ms98-a-0020,84.369625,84.529625,that,I,sd,u-25-1
sw2253A-ms98-a-0020,84.529625,84.569625,i,I,sd,u-25-1
sw2253A-ms98-a-0020,84.569625,84.809625,read,I,sd,u-25-1
sw2253A-ms98-a-0020,84.809625,84.953250,i,I,sd,u-25-1
sw2253A-ms98-a-0020,84.953250,85.299875,cannot,I,sd,u-25-1
sw2253A-ms98-a-0021,86.322000,86.537875,right,I,sd,u-25-1
sw2253A-ms98-a-0021,86.537875,86.977875,offhand,I,sd,u-25-1
sw2253A-ms98-a-0021,86.977875,87.017875,i,I,sd,u-25-1
sw2253A-ms98-a-0021,87.017875,87.327875,tried,I,sd,u-25-1
sw2253A-ms98-a-0021,87.327875,87.447875,to,I,sd,u-25-1
sw2253A-ms98-a-0021,87.447875,87.867875,read,I,sd,u-25-1
sw2253A-ms98-a-0021,87.867875,88.135875,uh,I,sd,u-25-1
sw2253A-ms98-a-0021,88.241375,88.367875,one,I,sd,u-25-1
sw2253A-ms98-a-0021,88.367875,88.467875,of,I,sd,u-25-1
sw2253A-ms98-a-0021,88.467875,88.587875,the,I,sd,u-25-1
sw2253A-ms98-a-0021,88.587875,88.707875,the,I,sd,u-25-1
sw2253A-ms98-a-0021,88.707875,89.427875,Michener,I,sd,u-25-1
sw2253A-ms98-a-0021,89.427875,89.696250,uh,I,sd,u-25-1
sw2253A-ms98-a-0021,89.696250,89.957875,Lone,I,sd,u-25-1
sw2253A-ms98-a-0021,89.957875,90.377875,Star,I,sd,u-25-1
sw2253A-ms98-a-0021,90.377875,90.507875,or,I,sd,u-25-1
sw2253A-ms98-a-0021,90.507875,90.868375,the,I,sd,u-25-1
sw2253A-ms98-a-0021,91.015250,91.087875,the,I,sd,u-25-1
sw2253A-ms98-a-0021,91.087875,91.487875,Texas,I,sd,u-25-1
sw2253A-ms98-a-0021,91.487875,91.827875,History,I,sd,u-25-1
sw2253A-ms98-a-0021,91.827875,92.071875,Book,I,sd,u-25-1
sw2253A-ms98-a-0023,94.262125,94.432125,oh,B,sd,u-27-1
sw2253A-ms98-a-0023,94.432125,94.827875,well,I,sd,u-27-1
sw2253A-ms98-a-0023,95.358875,95.790250,i've,I,sd,u-27-1
sw2253A-ms98-a-0023,95.790250,96.043250,had,I,sd,u-27-1
sw2253A-ms98-a-0023,96.306875,96.692125,similar,I,sd,u-27-1
sw2253A-ms98-a-0023,96.692125,97.152125,problems,I,sd,u-27-1
sw2253A-ms98-a-0023,97.152125,97.282125,it,B,sv,u-27-2
sw2253A-ms98-a-0023,97.282125,97.512125,does,I,sv,u-27-2
sw2253A-ms98-a-0023,97.512125,97.802125,tend,I,sv,u-27-2
sw2253A-ms98-a-0023,97.802125,98.017875,to,I,sv,u-27-2
sw2253A-ms98-a-0023,98.965750,99.263750,to,I,sv,u-27-2
sw2253A-ms98-a-0024,100.417250,100.819000,yeah,B,ny,u-29-1
sw2253A-ms98-a-0024,100.920000,101.037250,as,I,ny,u-29-1
sw2253A-ms98-a-0024,101.037250,101.087250,a,I,ny,u-29-1
sw2253A-ms98-a-0024,101.087250,101.397250,matter,I,ny,u-29-1
sw2253A-ms98-a-0024,101.397250,101.457250,of,I,ny,u-29-1
sw2253A-ms98-a-0024,101.457250,101.797250,fact,I,ny,u-29-1
sw2253A-ms98-a-0024,101.797250,102.078500,yeah,B,ny^r,u-29-2
sw2253A-ms98-a-0024,102.078500,102.808125,[laughter],O,,
sw2253A-ms98-a-0026,115.309125,115.618875,yeah,B,b,u-31-1
sw2253A-ms98-a-0028,119.759625,120.108875,uh-huh,B,b,u-33-1
sw2253A-ms98-a-0030,124.391250,125.191625,uh-huh,B,b,u-35-1
sw2253A-ms98-a-0031,126.874625,127.588375,[vocalized-noise],O,,
sw2253A-ms98-a-0033,129.900625,130.240375,yeah,B,b,u-39-1
sw2253A-ms98-a-0035,141.281750,141.586000,uh-huh,B,b,u-41-1
sw2253A-ms98-a-0037,152.024375,152.426000,uh-huh,B,b,u-43-1
sw2253A-ms98-a-0037,152.584625,152.714375,there,B,qy^g,u-43-2
sw2253A-ms98-a-0037,152.714375,152.804375,was,I,qy^g,u-43-2
sw2253A-ms98-a-0037,152.804375,152.834375,a,I,qy^g,u-43-2
sw2253A-ms98-a-0037,152.834375,152.984375,lot,I,qy^g,u-43-2
sw2253A-ms98-a-0037,152.984375,153.134375,more,I,qy^g,u-43-2
sw2253A-ms98-a-0037,153.134375,153.254375,to,I,qy^g,u-43-2
sw2253A-ms98-a-0037,153.254375,153.404375,it,I,qy^g,u-43-2
sw2253A-ms98-a-0037,153.404375,153.494375,than,I,qy^g,u-43-2
sw2253A-ms98-a-0037,153.494375,153.704375,that,I,qy^g,u-43-2
sw2253A-ms98-a-0037,153.704375,153.874375,weren't,I,qy^g,u-43-2
sw2253A-ms98-a-0037,153.874375,154.043625,there,I,qy^g,u-43-2
sw2253A-ms98-a-0039,160.571750,160.782250,yeah,B,b,u-45-1
sw2253A-ms98-a-0039,160.862750,160.973375,well,B,sv,u-45-2
sw2253A-ms98-a-0039,160.973375,161.053375,it,I,sv,u-45-2
sw2253A-ms98-a-0039,161.053375,161.173375,was,I,sv,u-45-2
sw2253A-ms98-a-0039,161.173375,161.223375,a,I,sv,u-45-2
sw2253A-ms98-a-0039,161.223375,161.763375,political,I,sv,u-45-2
sw2253A-ms98-a-0039,161.763375,162.196875,move,I,sv,u-45-2
sw2253A-ms98-a-0039,162.618750,163.103375,it,B,sv,u-47-1
sw2253A-ms98-a-0039,163.103375,163.243375,was,I,sv,u-47-1
sw2253A-ms98-a-0039,163.243375,163.527250,made,I,sv,u-47-1
sw2253A-ms98-a-0039,163.527250,163.899875,to,I,sv,u-47-1
sw2253A-ms98-a-0039,164.137125,164.644125,placate,I,sv,u-47-1
sw2253A-ms98-a-0039,165.137500,165.363375,some,I,sv,u-47-1
sw2253A-ms98-a-0039,165.363375,165.433375,of,I,sv,u-47-1
sw2253A-ms98-a-0039,165.433375,165.493375,the,I,sv,u-47-1
sw2253A-ms98-a-0039,165.493375,166.084250,northern,I,sv,u-47-1
sw2253A-ms98-a-0039,166.604000,167.163375,support,I,sv,u-47-1
sw2253A-ms98-a-0039,167.163375,167.623375,but,I,sv,u-47-1
sw2253A-ms98-a-0039,167.623375,167.873375,not,I,sv,u-47-1
sw2253A-ms98-a-0039,167.873375,168.933375,completely,I,sv,u-47-1
sw2253A-ms98-a-0039,168.933375,169.543375,alienate,I,sv,u-47-1
sw2253A-ms98-a-0039,169.543375,169.733375,all,I,sv,u-47-1
sw2253A-ms98-a-0039,169.733375,169.823375,the,I,sv,u-47-1
sw2253A-ms98-a-0039,169.823375,170.310625,southern,I,sv,u-47-1
sw2253A-ms98-a-0040,170.991375,171.495750,support,I,sv,u-47-1
sw2253A-ms98-a-0040,171.495750,171.875750,because,I,sv,u-47-1
sw2253A-ms98-a-0040,171.875750,171.945750,you,I,sv,u-47-1
sw2253A-ms98-a-0040,171.945750,172.125750,know,I,sv,u-47-1
sw2253A-ms98-a-0040,172.125750,172.275750,it,I,sv,u-47-1
sw2253A-ms98-a-0040,172.275750,172.701875,was,I,sv,u-47-1
sw2253A-ms98-a-0040,173.104875,173.785750,uh,I,sv,u-47-1
sw2253A-ms98-a-0040,173.785750,173.965750,if,I,sv,u-47-1
sw2253A-ms98-a-0040,173.965750,174.075750,you,I,sv,u-47-1
sw2253A-ms98-a-0040,174.075750,174.275750,read,I,sv,u-47-1
sw2253A-ms98-a-0040,174.275750,174.426000,it,I,sv,u-47-1
sw2253A-ms98-a-0040,175.126625,175.265750,it,I,sv,u-47-1
sw2253A-ms98-a-0040,175.265750,175.795750,only,I,sv,u-47-1
sw2253A-ms98-a-0040,175.795750,176.595750,emancipated,I,sv,u-47-1
sw2253A-ms98-a-0040,176.595750,176.995750,those,I,sv,u-47-1
sw2253A-ms98-a-0040,176.995750,177.349375,who,I,sv,u-47-1
sw2253A-ms98-a-0040,177.349375,177.880500,were,I,sv,u-47-1
sw2253A-ms98-a-0040,177.880500,178.319875,in,I,sv,u-47-1
sw2253A-ms98-a-0041,179.258750,180.018750,areas,I,sv,u-47-1
sw2253A-ms98-a-0041,180.018750,180.450750,uh,I,sv,u-47-1
sw2253A-ms98-a-0041,181.042125,181.218750,in,I,sv,u-47-1
sw2253A-ms98-a-0041,181.218750,181.808750,rebellion,I,sv,u-47-1
sw2253A-ms98-a-0041,181.808750,182.168750,against,I,sv,u-47-1
sw2253A-ms98-a-0041,182.168750,182.228750,the,I,sv,u-47-1
sw2253A-ms98-a-0041,182.228750,182.528750,United,I,sv,u-47-1
sw2253A-ms98-a-0041,182.528750,182.918750,States,I,sv,u-47-1
sw2253A-ms98-a-0041,182.918750,183.118750,all,B,sv,u-47-2
sw2253A-ms98-a-0041,183.118750,183.208750,the,I,sv,u-47-2
sw2253A-ms98-a-0041,183.208750,183.488750,other,I,sv,u-47-2
sw2253A-ms98-a-0041,183.488750,183.997125,areas,I,sv,u-47-2
sw2253A-ms98-a-0041,184.509375,184.658750,which,I,sv,u-47-2
sw2253A-ms98-a-0041,184.658750,184.838750,would,I,sv,u-47-2
sw2253A-ms98-a-0041,184.838750,184.958750,i,I,sv,u-47-2
sw2253A-ms98-a-0041,184.958750,185.248750,think,I,sv,u-47-2
sw2253A-ms98-a-0041,185.248750,185.338750,at,I,sv,u-47-2
sw2253A-ms98-a-0041,185.338750,185.518750,that,I,sv,u-47-2
sw2253A-ms98-a-0041,185.518750,185.738750,time,I,sv,u-47-2
sw2253A-ms98-a-0041,185.738750,185.848750,would,I,sv,u-47-2
sw2253A-ms98-a-0041,185.848750,185.948750,have,I,sv,u-47-2
sw2253A-ms98-a-0041,185.948750,186.468750,included,I,sv,u-47-2
sw2253A-ms98-a-0041,186.468750,186.708750,West,I,sv,u-47-2
sw2253A-ms98-a-0041,186.708750,187.439125,Virginia,I,sv,u-47-2
sw2253A-ms98-a-0041,187.439125,187.918750,and,I,sv,u-47-2
sw2253A-ms98-a-0042,188.885875,189.419250,oh,I,sv,u-47-2
sw2253A-ms98-a-0042,189.419250,189.625875,may,I,sv,u-47-2
sw2253A-ms98-a-0042,189.625875,189.715875,have,I,sv,u-47-2
sw2253A-ms98-a-0042,189.715875,189.875875,been,I,sv,u-47-2
sw2253A-ms98-a-0042,189.875875,190.365875,Kentucky,I,sv,u-47-2
sw2253A-ms98-a-0042,190.365875,190.405875,a,I,sv,u-47-2
sw2253A-ms98-a-0042,190.405875,190.595875,few,I,sv,u-47-2
sw2253A-ms98-a-0042,190.595875,191.151250,states,I,sv,u-47-2
sw2253A-ms98-a-0042,191.305625,191.405875,you,I,sv,u-47-2
sw2253A-ms98-a-0042,191.405875,191.565875,know,I,sv,u-47-2
sw2253A-ms98-a-0042,191.565875,191.705875,that,I,sv,u-47-2
sw2253A-ms98-a-0042,191.705875,191.825875,were,I,sv,u-47-2
sw2253A-ms98-a-0042,191.825875,192.075875,not,I,sv,u-47-2
sw2253A-ms98-a-0042,192.075875,192.285875,part,I,sv,u-47-2
sw2253A-ms98-a-0042,192.285875,192.345875,of,I,sv,u-47-2
sw2253A-ms98-a-0042,192.345875,192.415875,the,I,sv,u-47-2
sw2253A-ms98-a-0042,192.415875,192.775875,South,I,sv,u-47-2
sw2253A-ms98-a-0042,192.775875,192.895875,but,I,sv,u-47-2
sw2253A-ms98-a-0042,192.895875,193.095875,still,I,sv,u-47-2
sw2253A-ms98-a-0042,193.095875,193.325875,had,I,sv,u-47-2
sw2253A-ms98-a-0042,193.325875,193.775250,slaves,I,sv,u-47-2
sw2253A-ms98-a-0042,194.095375,194.145875,they,B,sv,u-49-1
sw2253A-ms98-a-0042,194.145875,194.335875,didn't,I,sv,u-49-1
sw2253A-ms98-a-0042,194.335875,194.855875,emancipate,I,sv,u-49-1
sw2253A-ms98-a-0042,194.855875,195.139750,them,I,sv,u-49-1
sw2253A-ms98-a-0044,198.498625,198.762250,um-hum,B,b,u-51-1
sw2253A-ms98-a-0045,200.269750,200.383875,i've,B,sd,u-53-1
sw2253A-ms98-a-0045,200.383875,200.523875,got,I,sd,u-53-1
sw2253A-ms98-a-0045,200.523875,200.583875,the,I,sd,u-53-1
sw2253A-ms98-a-0045,200.583875,200.813875,same,I,sd,u-53-1
sw2253A-ms98-a-0045,200.813875,201.301250,problem,I,sd,u-53-1
sw2253A-ms98-a-0046,201.854500,204.246500,[laughter],O,,
sw2253A-ms98-a-0048,206.125000,206.415875,yeah,B,b,u-57-1
sw2253A-ms98-a-0049,206.780625,207.102000,[laughter],O,,
sw2253A-ms98-a-0051,221.041125,221.443500,isn't,O,,
sw2253A-ms98-a-0051,221.624375,221.832375,isn't,B,qy^g,u-61-2
sw2253A-ms98-a-0051,221.832375,222.052375,much,I,qy^g,u-61-2
sw2253A-ms98-a-0051,222.052375,222.342375,there,I,qy^g,u-61-2
sw2253A-ms98-a-0051,222.342375,222.572375,is,I,qy^g,u-61-2
