sw4927A-ms98-a-0003,20.414875,20.755625,uh-huh,B,b,u-5-1
sw4927A-ms98-a-0004,22.147125,22.557000,and,B,%,u-7-1
sw4927A-ms98-a-0004,22.877125,23.148250,in,B,qw,u-9-1
sw4927A-ms98-a-0004,23.148250,23.408250,what,I,qw,u-9-1
sw4927A-ms98-a-0004,23.408250,23.658250,way,I,qw,u-9-1
sw4927A-ms98-a-0004,23.658250,23.718250,are,I,qw,u-9-1
sw4927A-ms98-a-0004,23.718250,23.838250,you,I,qw,u-9-1
sw4927A-ms98-a-0004,23.838250,24.168250,talking,I,qw,u-9-1
sw4927A-ms98-a-0004,24.168250,24.466875,about,I,qw,u-9-1
sw4927A-ms98-a-0006,28.779000,29.179750,right,B,b,u-11-1
sw4927A-ms98-a-0008,48.109000,48.255375,r[ight]-,O,,
sw4927A-ms98-a-0008,49.038875,49.476250,yeah,B,b,u-15-1
sw4927A-ms98-a-0008,50.278500,50.715625,right,B,b,u-17-1
sw4927A-ms98-a-0010,66.055375,66.222875,see,B,%,u-19-1
sw4927A-ms98-a-0010,66.222875,66.360750,i-,I,%,u-19-1
sw4927A-ms98-a-0010,66.360750,66.527250,i,I,%,u-19-1
sw4927A-ms98-a-0010,66.527250,66.975625,yeah,B,b,u-19-2
sw4927A-ms98-a-0010,66.975625,67.102000,and,B,sd,u-19-3
sw4927A-ms98-a-0010,67.102000,67.172875,i,I,sd,u-19-3
sw4927A-ms98-a-0010,67.172875,67.581250,also,I,sd,u-19-3
sw4927A-ms98-a-0010,67.581250,67.852875,thought,I,sd,u-19-3
sw4927A-ms98-a-0010,67.852875,68.132875,that,I,sd,u-19-3
sw4927A-ms98-a-0010,68.132875,68.556125,um,I,sd,u-19-3
sw4927A-ms98-a-0010,68.556125,68.742875,that,I,sd,u-19-3
sw4927A-ms98-a-0010,68.742875,68.892875,would,I,sd,u-19-3
sw4927A-ms98-a-0010,68.892875,69.362875,interfere,I,sd,u-19-3
sw4927A-ms98-a-0010,69.362875,69.588375,with,I,sd,u-19-3
sw4927A-ms98-a-0010,69.750250,69.932875,with,I,sd,u-19-3
sw4927A-ms98-a-0010,69.932875,70.382875,college,I,sd,u-19-3
sw4927A-ms98-a-0010,70.382875,70.760750,work,I,sd,u-19-3
sw4927A-ms98-a-0010,70.760750,70.986625,and,B,%,u-21-1
sw4927A-ms98-a-0011,71.855250,72.195375,[vocalized-noise],I,%,u-21-1
