sw2226B-ms98-a-0003,2.823625,3.119500,yes,B,b,u-2-1
sw2226B-ms98-a-0005,5.957625,6.227625,that's,B,ba,u-4-1
sw2226B-ms98-a-0005,6.227625,6.467625,very,I,ba,u-4-1
sw2226B-ms98-a-0005,6.467625,6.777625,good,I,ba,u-4-1
sw2226B-ms98-a-0005,6.777625,6.902750,i,B,sd,u-4-2
sw2226B-ms98-a-0005,6.902750,7.058000,do,I,sd,u-4-2
sw2226B-ms98-a-0005,7.058000,7.417625,too,I,sd,u-4-2
sw2226B-ms98-a-0007,11.884750,12.224750,uh-huh,B,b,u-6-1
sw2226B-ms98-a-0009,22.338625,22.923750,uh-huh,B,b,u-8-1
sw2226B-ms98-a-0011,26.488625,26.848625,yeah,B,aa,u-10-1
sw2226B-ms98-a-0011,26.848625,26.968625,it,B,sv,u-10-2
sw2226B-ms98-a-0011,26.968625,27.515125,does,I,sv,u-10-2
sw2226B-ms98-a-0011,27.761750,28.006125,it,B,%,u-10-3
sw2226B-ms98-a-0013,34.985625,35.135625,that's,B,ba,u-12-1
sw2226B-ms98-a-0013,35.135625,35.629125,good,I,ba,u-12-1
sw2226B-ms98-a-0015,37.086875,37.296875,that's,B,ba,u-14-1
sw2226B-ms98-a-0015,37.296875,37.536875,good,I,ba,u-14-1
sw2226B-ms98-a-0015,37.536875,37.736875,it,B,sd,u-14-2
sw2226B-ms98-a-0015,37.736875,38.246875,it,I,sd,u-14-2
sw2226B-ms98-a-0015,39.076875,39.446875,it's,I,sd,u-14-2
sw2226B-ms98-a-0015,39.446875,39.869500,uh,I,sd,u-14-2
sw2226B-ms98-a-0015,40.196875,40.416875,it's,I,sd,u-14-2
sw2226B-ms98-a-0015,40.416875,40.636875,hard,I,sd,u-14-2
sw2226B-ms98-a-0015,40.636875,40.766875,for,I,sd,u-14-2
sw2226B-ms98-a-0015,40.766875,40.946875,me,I,sd,u-14-2
sw2226B-ms98-a-0015,40.946875,41.046875,to,I,sd,u-14-2
sw2226B-ms98-a-0015,41.046875,41.329375,find,I,sd,u-14-2
sw2226B-ms98-a-0015,41.329375,41.540375,time,I,sd,u-14-2
sw2226B-ms98-a-0015,41.540375,41.876875,also,I,sd,u-14-2
sw2226B-ms98-a-0015,41.876875,41.996875,to,I,sd,u-14-2
sw2226B-ms98-a-0015,41.996875,42.316875,read,I,sd,u-14-2
sw2226B-ms98-a-0015,43.123125,43.450875,uh,B,sd,u-14-3
sw2226B-ms98-a-0015,43.450875,43.586875,a,I,sd,u-14-3
sw2226B-ms98-a-0015,43.586875,43.716875,lot,I,sd,u-14-3
sw2226B-ms98-a-0015,43.716875,43.786875,of,I,sd,u-14-3
sw2226B-ms98-a-0015,43.786875,44.016875,times,I,sd,u-14-3
sw2226B-ms98-a-0015,44.016875,44.066875,i,I,sd,u-14-3
sw2226B-ms98-a-0015,44.066875,44.346875,do,I,sd,u-14-3
sw2226B-ms98-a-0015,44.346875,44.556875,just,I,sd,u-14-3
sw2226B-ms98-a-0015,44.556875,44.796875,read,I,sd,u-14-3
sw2226B-ms98-a-0015,44.796875,45.466875,magazines,I,sd,u-14-3
sw2226B-ms98-a-0015,45.466875,45.616875,and,I,sd,u-14-3
sw2226B-ms98-a-0015,45.616875,45.806875,stuff,I,sd,u-14-3
sw2226B-ms98-a-0015,45.806875,45.946875,like,I,sd,u-14-3
sw2226B-ms98-a-0015,45.946875,46.166875,that,I,sd,u-14-3
sw2226B-ms98-a-0015,46.166875,46.491375,for,I,sd,u-14-3
sw2226B-ms98-a-0016,47.546000,47.641625,you,I,sd,u-14-3
sw2226B-ms98-a-0016,47.641625,47.991625,know,I,sd,u-14-3
sw2226B-ms98-a-0016,47.991625,48.201625,because,I,sd,u-14-3
sw2226B-ms98-a-0016,48.201625,48.261625,i,I,sd,u-14-3
sw2226B-ms98-a-0016,48.261625,48.451625,don't,I,sd,u-14-3
sw2226B-ms98-a-0016,48.451625,48.581625,have,I,sd,u-14-3
sw2226B-ms98-a-0016,48.581625,48.631625,a,I,sd,u-14-3
sw2226B-ms98-a-0016,48.631625,48.761625,lot,I,sd,u-14-3
sw2226B-ms98-a-0016,48.761625,48.821625,of,I,sd,u-14-3
sw2226B-ms98-a-0016,48.821625,49.291625,time,I,sd,u-14-3
sw2226B-ms98-a-0016,49.291625,49.451625,but,B,sd,u-14-4
sw2226B-ms98-a-0016,49.451625,49.571625,when,I,sd,u-14-4
sw2226B-ms98-a-0016,49.571625,49.661625,i,I,sd,u-14-4
sw2226B-ms98-a-0016,49.661625,49.851625,do,I,sd,u-14-4
sw2226B-ms98-a-0016,49.851625,50.011625,get,I,sd,u-14-4
sw2226B-ms98-a-0016,50.011625,50.121625,to,I,sd,u-14-4
sw2226B-ms98-a-0016,50.121625,50.371625,sit,I,sd,u-14-4
sw2226B-ms98-a-0016,50.371625,50.671625,down,I,sd,u-14-4
sw2226B-ms98-a-0016,50.671625,50.951625,and,I,sd,u-14-4
sw2226B-ms98-a-0016,51.611625,51.801625,and,I,sd,u-14-4
sw2226B-ms98-a-0016,51.801625,52.291625,read,I,sd,u-14-4
sw2226B-ms98-a-0016,52.291625,52.581625,i,I,sd,u-14-4
sw2226B-ms98-a-0016,52.581625,52.781625,like,I,sd,u-14-4
sw2226B-ms98-a-0016,52.781625,52.891625,to,I,sd,u-14-4
sw2226B-ms98-a-0016,52.891625,53.011625,read,I,sd,u-14-4
sw2226B-ms98-a-0016,53.011625,53.071625,the,I,sd,u-14-4
sw2226B-ms98-a-0016,53.071625,53.591625,Bible,I,sd,u-14-4
sw2226B-ms98-a-0016,53.591625,53.841625,and,B,sd,u-14-5
sw2226B-ms98-a-0016,53.841625,53.911625,i,I,sd,u-14-5
sw2226B-ms98-a-0016,53.911625,54.111625,like,I,sd,u-14-5
