sw2585B-ms98-a-0002,1.583250,1.922625,hello,B,fp,u-2-1
sw2585B-ms98-a-0002,1.922625,3.422625,[laughter],O,,
sw2585B-ms98-a-0002,3.422625,3.502625,[laughter-i],O,,
sw2585B-ms98-a-0002,3.502625,3.802625,[laughter-was],O,,
sw2585B-ms98-a-0002,3.802625,3.842625,i,B,sd^t,u-2-2
sw2585B-ms98-a-0002,3.842625,4.302625,was,I,sd^t,u-2-2
sw2585B-ms98-a-0002,4.302625,4.672625,thinking,I,sd^t,u-2-2
sw2585B-ms98-a-0002,4.672625,5.062625,about,I,sd^t,u-2-2
sw2585B-ms98-a-0002,5.062625,5.422625,our,I,sd^t,u-2-2
sw2585B-ms98-a-0002,5.422625,5.852625,topic,I,sd^t,u-2-2
sw2585B-ms98-a-0002,5.852625,6.062625,for,I,sd^t,u-2-2
sw2585B-ms98-a-0002,6.062625,6.132625,the,I,sd^t,u-2-2
sw2585B-ms98-a-0002,6.132625,6.352625,[laughter-night],I,sd^t,u-2-2
sw2585B-ms98-a-0002,6.352625,8.152625,[laughter],I,sd^t,u-2-2
sw2585B-ms98-a-0002,8.152625,8.552625,um,I,sd^t,u-2-2
sw2585B-ms98-a-0002,9.602625,10.152625,immigration,I,sd^t,u-2-2
sw2585B-ms98-a-0002,10.152625,10.811625,problems,I,sd^t,u-2-2
sw2585B-ms98-a-0002,11.090250,11.272625,we,B,sd,u-2-3
sw2585B-ms98-a-0002,11.272625,11.452625,have,I,sd,u-2-3
sw2585B-ms98-a-0002,11.452625,12.062625,immigration,I,sd,u-2-3
sw2585B-ms98-a-0002,12.062625,12.572625,problems,I,sd,u-2-3
sw2585B-ms98-a-0002,12.572625,12.722625,and,B,qo,u-2-4
sw2585B-ms98-a-0002,12.722625,12.822625,what,I,qo,u-2-4
sw2585B-ms98-a-0002,12.822625,12.882625,do,I,qo,u-2-4
sw2585B-ms98-a-0002,12.882625,12.942625,do,I,qo,u-2-4
sw2585B-ms98-a-0002,12.942625,13.022625,you,I,qo,u-2-4
sw2585B-ms98-a-0002,13.022625,13.232625,think,I,qo,u-2-4
sw2585B-ms98-a-0002,13.232625,13.552625,about,I,qo,u-2-4
sw2585B-ms98-a-0002,13.552625,13.762625,it,I,qo,u-2-4
sw2585B-ms98-a-0002,13.762625,15.471000,[laughter],O,,
sw2585B-ms98-a-0004,56.057125,56.810625,um-hum,B,b,u-8-1
sw2585B-ms98-a-0005,57.321500,57.850375,um-hum,B,b,u-10-1
sw2585B-ms98-a-0006,58.700375,58.930375,where,B,qw,u-12-1
sw2585B-ms98-a-0006,58.930375,59.070375,are,I,qw,u-12-1
sw2585B-ms98-a-0006,59.070375,59.260375,you,I,qw,u-12-1
sw2585B-ms98-a-0007,60.488500,61.198375,[vocalized-noise],O,,
sw2585B-ms98-a-0009,64.466750,64.932875,well,B,sd,u-16-1
sw2585B-ms98-a-0009,64.932875,65.102875,we've,I,sd,u-16-1
sw2585B-ms98-a-0009,65.102875,65.242875,got,I,sd,u-16-1
sw2585B-ms98-a-0009,65.242875,65.312875,a,I,sd,u-16-1
sw2585B-ms98-a-0009,65.312875,65.592875,lot,I,sd,u-16-1
sw2585B-ms98-a-0009,65.592875,65.792875,too,I,sd,u-16-1
sw2585B-ms98-a-0009,65.792875,65.902875,i'm,B,sd,u-16-2
sw2585B-ms98-a-0009,65.902875,65.982875,in,I,sd,u-16-2
sw2585B-ms98-a-0009,65.982875,66.972875,Texas,I,sd,u-16-2
