sw3328A-ms98-a-0001,0.600000,0.700000,yeah,B,o,u-1-1
sw3328A-ms98-a-0001,0.700000,0.830875,they,B,sd,u-1-2
sw3328A-ms98-a-0001,0.830875,1.060000,just,I,sd,u-1-2
sw3328A-ms98-a-0001,1.060000,1.330000,raised,I,sd,u-1-2
sw3328A-ms98-a-0001,1.330000,1.430000,our,I,sd,u-1-2
sw3328A-ms98-a-0001,1.430000,1.830000,taxes,I,sd,u-1-2
sw3328A-ms98-a-0001,1.830000,2.020000,up,I,sd,u-1-2
sw3328A-ms98-a-0001,2.020000,2.180000,here,I,sd,u-1-2
sw3328A-ms98-a-0001,2.180000,2.514250,about,I,sd,u-1-2
sw3328A-ms98-a-0001,2.514250,2.660000,a,I,sd,u-1-2
sw3328A-ms98-a-0001,2.660000,2.890000,year,I,sd,u-1-2
sw3328A-ms98-a-0001,2.890000,3.249875,ago,I,sd,u-1-2
sw3328A-ms98-a-0003,24.185500,24.864500,oh,B,b,u-3-1
sw3328A-ms98-a-0003,24.864500,25.134500,right,I,b,u-3-1
sw3328A-ms98-a-0003,25.134500,25.774500,Indianapolis,B,qy^g,u-3-2
sw3328A-ms98-a-0003,25.774500,26.014500,got,I,qy^g,u-3-2
sw3328A-ms98-a-0003,26.014500,26.164500,that,I,qy^g,u-3-2
sw3328A-ms98-a-0003,26.164500,26.404500,didn't,I,qy^g,u-3-2
sw3328A-ms98-a-0003,26.404500,26.623625,they,I,qy^g,u-3-2
sw3328A-ms98-a-0005,44.317125,44.861500,yeah,B,b,u-5-1
sw3328A-ms98-a-0007,48.679625,48.939625,oh,O,,
sw3328A-ms98-a-0007,48.939625,49.059625,it,B,sv,u-7-1
sw3328A-ms98-a-0007,49.059625,49.259625,seems,I,sv,u-7-1
sw3328A-ms98-a-0007,49.259625,49.399625,like,I,sv,u-7-1
sw3328A-ms98-a-0007,49.399625,49.509625,a,I,sv,u-7-1
sw3328A-ms98-a-0007,49.509625,49.769625,big,I,sv,u-7-1
sw3328A-ms98-a-0007,49.769625,50.359625,politics,I,sv,u-7-1
sw3328A-ms98-a-0007,50.359625,50.659625,game,I,sv,u-7-1
sw3328A-ms98-a-0007,50.659625,50.865250,like,B,sd,u-7-2
sw3328A-ms98-a-0007,50.865250,51.119625,up,I,sd,u-7-2
sw3328A-ms98-a-0007,51.119625,51.466500,here,I,sd,u-7-2
sw3328A-ms98-a-0007,52.054000,52.429625,last,I,sd,u-7-2
sw3328A-ms98-a-0007,52.429625,52.709625,year,I,sd,u-7-2
sw3328A-ms98-a-0007,52.709625,52.769625,the,I,sd,u-7-2
sw3328A-ms98-a-0007,52.769625,53.209625,governor's,I,sd,u-7-2
sw3328A-ms98-a-0007,53.209625,53.389625,up,I,sd,u-7-2
sw3328A-ms98-a-0007,53.389625,53.529625,for,I,sd,u-7-2
sw3328A-ms98-a-0007,53.529625,54.279000,reelection,O,,
sw3328A-ms98-a-0007,54.452250,54.760125,so,B,sd,u-7-3
sw3328A-ms98-a-0008,55.358500,55.541250,he,I,sd,u-7-3
sw3328A-ms98-a-0008,55.541250,55.728500,said,I,sd,u-7-3
sw3328A-ms98-a-0008,55.728500,55.841750,the,I,sd,u-7-3
sw3328A-ms98-a-0008,55.841750,56.098500,budget,I,sd,u-7-3
sw3328A-ms98-a-0008,56.098500,56.248500,was,I,sd,u-7-3
sw3328A-ms98-a-0008,56.248500,56.618500,fine,I,sd,u-7-3
sw3328A-ms98-a-0008,56.618500,56.718500,an[d]-,O,,
sw3328A-ms98-a-0008,56.718500,56.778500,tha[t]-,O,,
sw3328A-ms98-a-0008,56.778500,56.919000,the,B,sd,u-7-4
sw3328A-ms98-a-0008,57.171250,57.458500,state,I,sd,u-7-4
sw3328A-ms98-a-0008,57.458500,57.638500,didn't,I,sd,u-7-4
sw3328A-ms98-a-0008,57.638500,57.758500,have,I,sd,u-7-4
sw3328A-ms98-a-0008,57.758500,57.958500,any,I,sd,u-7-4
sw3328A-ms98-a-0008,57.958500,58.402000,money,I,sd,u-7-4
sw3328A-ms98-a-0008,58.579000,58.638500,and,B,sd,u-7-5
sw3328A-ms98-a-0008,58.638500,58.788500,then,I,sd,u-7-5
sw3328A-ms98-a-0008,58.788500,58.938500,right,I,sd,u-7-5
sw3328A-ms98-a-0008,58.938500,59.248500,after,I,sd,u-7-5
sw3328A-ms98-a-0008,59.248500,59.368500,he,I,sd,u-7-5
sw3328A-ms98-a-0008,59.368500,59.763750,won,I,sd,u-7-5
sw3328A-ms98-a-0008,60.058375,60.216500,the,I,sd,u-7-5
sw3328A-ms98-a-0008,60.216500,60.748375,election,I,sd,u-7-5
sw3328A-ms98-a-0008,61.125000,61.238500,he,I,sd,u-7-5
sw3328A-ms98-a-0008,61.238500,61.448500,said,I,sd,u-7-5
sw3328A-ms98-a-0008,61.448500,61.548500,we,I,sd,u-7-5
sw3328A-ms98-a-0008,61.548500,61.668500,owed,I,sd,u-7-5
sw3328A-ms98-a-0008,61.668500,61.718500,a,I,sd,u-7-5
sw3328A-ms98-a-0008,61.718500,61.938500,lot,I,sd,u-7-5
sw3328A-ms98-a-0008,61.938500,62.038500,of,I,sd,u-7-5
sw3328A-ms98-a-0008,62.038500,62.278500,money,I,sd,u-7-5
sw3328A-ms98-a-0008,62.278500,62.388500,so,B,sd,u-7-6
sw3328A-ms98-a-0008,62.388500,62.478500,they,I,sd,u-7-6
sw3328A-ms98-a-0008,62.478500,62.778500,raised,I,sd,u-7-6
sw3328A-ms98-a-0008,62.778500,62.838500,all,I,sd,u-7-6
sw3328A-ms98-a-0008,62.838500,62.918500,our,I,sd,u-7-6
sw3328A-ms98-a-0008,62.918500,63.485000,taxes,I,sd,u-7-6
sw3328A-ms98-a-0009,64.740500,64.890500,and,B,sd,u-9-1
sw3328A-ms98-a-0009,64.890500,65.100500,now,I,sd,u-9-1
sw3328A-ms98-a-0009,65.100500,65.350500,it's,I,sd,u-9-1
sw3328A-ms98-a-0009,65.350500,65.750500,election,I,sd,u-9-1
sw3328A-ms98-a-0009,65.750500,66.000500,time,I,sd,u-9-1
sw3328A-ms98-a-0009,66.000500,66.629875,again,I,sd,u-9-1
sw3328A-ms98-a-0009,66.946250,67.050500,so,B,sd,u-9-2
sw3328A-ms98-a-0009,67.050500,67.140500,they're,I,sd,u-9-2
sw3328A-ms98-a-0009,67.140500,67.390500,trying,I,sd,u-9-2
sw3328A-ms98-a-0009,67.390500,67.470500,to,I,sd,u-9-2
sw3328A-ms98-a-0009,67.470500,67.760500,lower,I,sd,u-9-2
sw3328A-ms98-a-0009,67.760500,67.960500,them_1,O,,
sw3328A-ms98-a-0010,69.471125,69.727000,so,B,sd,u-11-1
sw3328A-ms98-a-0010,69.727000,69.927000,they're,I,sd,u-11-1
sw3328A-ms98-a-0010,69.927000,70.247000,just,I,sd,u-11-1
sw3328A-ms98-a-0010,70.247000,70.477000,talk,I,sd,u-11-1
sw3328A-ms98-a-0010,70.477000,70.777000,about,I,sd,u-11-1
sw3328A-ms98-a-0010,70.777000,71.087000,lowering,I,sd,u-11-1
sw3328A-ms98-a-0010,71.087000,71.167000,them_1,O,,
sw3328A-ms98-a-0010,71.167000,71.297000,but,B,sd,u-11-2
sw3328A-ms98-a-0010,71.297000,71.377000,they,I,sd,u-11-2
sw3328A-ms98-a-0010,71.377000,71.597000,never,I,sd,u-11-2
sw3328A-ms98-a-0010,71.597000,71.777000,do,I,sd,u-11-2
sw3328A-ms98-a-0010,71.777000,71.877000,they,B,sd,u-11-3
sw3328A-ms98-a-0010,71.877000,71.997000,just,I,sd,u-11-3
sw3328A-ms98-a-0010,71.997000,72.207000,keep,I,sd,u-11-3
sw3328A-ms98-a-0010,72.207000,72.517000,raising,I,sd,u-11-3
sw3328A-ms98-a-0010,72.517000,72.683500,them_1,O,,
sw3328A-ms98-a-0012,76.029250,76.363375,yeah,B,b,u-13-1
sw3328A-ms98-a-0012,76.363375,76.594500,me,B,sd,u-13-2
sw3328A-ms98-a-0012,76.594500,77.519250,neither,I,sd,u-13-2
sw3328A-ms98-a-0012,77.519250,77.779250,well,B,sd,u-13-3
sw3328A-ms98-a-0012,77.779250,78.239250,actually,I,sd,u-13-3
sw3328A-ms98-a-0012,78.239250,78.379250,they're,I,sd,u-13-3
sw3328A-ms98-a-0012,78.379250,78.709250,going,I,sd,u-13-3
sw3328A-ms98-a-0012,78.709250,78.850750,to,I,sd,u-13-3
sw3328A-ms98-a-0012,78.850750,79.042875,here,I,sd,u-13-3
sw3328A-ms98-a-0012,79.042875,79.519250,because,I,sd,u-13-3
sw3328A-ms98-a-0012,80.039250,80.159250,they,I,sd,u-13-3
sw3328A-ms98-a-0012,80.159250,80.379250,didn't,I,sd,u-13-3
sw3328A-ms98-a-0012,80.379250,80.509250,have,I,sd,u-13-3
sw3328A-ms98-a-0012,80.509250,80.619250,a,I,sd,u-13-3
sw3328A-ms98-a-0012,80.619250,80.989250,budget,I,sd,u-13-3
sw3328A-ms98-a-0012,80.989250,81.159250,for,I,sd,u-13-3
sw3328A-ms98-a-0012,81.159250,81.389250,so,I,sd,u-13-3
sw3328A-ms98-a-0012,81.389250,81.761625,long,I,sd,u-13-3
sw3328A-ms98-a-0012,82.123250,82.239250,so,B,sd,u-13-4
sw3328A-ms98-a-0012,82.239250,82.359250,they,I,sd,u-13-4
sw3328A-ms98-a-0012,82.359250,82.699250,raised,I,sd,u-13-4
sw3328A-ms98-a-0012,82.699250,82.759250,the,I,sd,u-13-4
sw3328A-ms98-a-0012,82.759250,83.159250,tax,I,sd,u-13-4
sw3328A-ms98-a-0012,83.159250,83.509250,rate,I,sd,u-13-4
sw3328A-ms98-a-0012,83.509250,83.749250,real,I,sd,u-13-4
sw3328A-ms98-a-0012,83.749250,84.016250,high,I,sd,u-13-4
sw3328A-ms98-a-0012,84.016250,84.345750,for,I,sd,u-13-4
sw3328A-ms98-a-0012,84.519250,84.599250,the,I,sd,u-13-4
sw3328A-ms98-a-0012,84.599250,84.949250,last,I,sd,u-13-4
sw3328A-ms98-a-0012,84.949250,85.109250,three,I,sd,u-13-4
sw3328A-ms98-a-0012,85.109250,85.359250,months,I,sd,u-13-4
sw3328A-ms98-a-0012,85.359250,85.459250,of,I,sd,u-13-4
sw3328A-ms98-a-0012,85.459250,85.689250,this,I,sd,u-13-4
sw3328A-ms98-a-0012,85.689250,86.021000,year,I,sd,u-13-4
sw3328A-ms98-a-0012,86.348625,86.479250,and,B,sd,u-13-5
sw3328A-ms98-a-0012,86.479250,86.569250,they're,I,sd,u-13-5
sw3328A-ms98-a-0012,86.569250,86.749250,gonna,I,sd,u-13-5
sw3328A-ms98-a-0012,86.749250,87.049250,lower,I,sd,u-13-5
sw3328A-ms98-a-0012,87.049250,87.119250,it,I,sd,u-13-5
sw3328A-ms98-a-0012,87.119250,87.209250,for,I,sd,u-13-5
sw3328A-ms98-a-0012,87.209250,87.489250,next,I,sd,u-13-5
sw3328A-ms98-a-0012,87.489250,87.679250,year,I,sd,u-13-5
sw3328A-ms98-a-0014,89.772500,89.894125,i,B,sv,u-15-1
sw3328A-ms98-a-0014,89.894125,90.320375,guess,I,sv,u-15-1
sw3328A-ms98-a-0014,90.320375,90.450375,they,I,sv,u-15-1
sw3328A-ms98-a-0014,90.450375,90.700375,figure,I,sv,u-15-1
sw3328A-ms98-a-0014,90.700375,90.850375,they're,I,sv,u-15-1
sw3328A-ms98-a-0014,90.850375,91.040375,gonna,I,sv,u-15-1
sw3328A-ms98-a-0014,91.040375,91.270375,make,I,sv,u-15-1
sw3328A-ms98-a-0014,91.270375,91.450375,up,I,sv,u-15-1
sw3328A-ms98-a-0014,91.450375,91.560375,for,I,sv,u-15-1
sw3328A-ms98-a-0014,91.560375,91.640375,all,I,sv,u-15-1
sw3328A-ms98-a-0014,91.640375,91.750375,they,I,sv,u-15-1
sw3328A-ms98-a-0014,91.750375,92.060375,didn't,I,sv,u-15-1
sw3328A-ms98-a-0014,92.060375,92.200375,get,I,sv,u-15-1
sw3328A-ms98-a-0014,92.200375,92.310375,when,I,sv,u-15-1
sw3328A-ms98-a-0014,92.310375,92.400375,they,I,sv,u-15-1
sw3328A-ms98-a-0014,92.400375,92.650375,should've,I,sv,u-15-1
sw3328A-ms98-a-0014,92.650375,92.770375,had,I,sv,u-15-1
sw3328A-ms98-a-0014,92.770375,92.840375,a,I,sv,u-15-1
sw3328A-ms98-a-0014,92.840375,93.250375,budget,I,sv,u-15-1
sw3328A-ms98-a-0016,96.564000,96.944000,yeah,B,aa,u-17-1
sw3328A-ms98-a-0016,96.944000,98.484000,[laughter],O,,
sw3328A-ms98-a-0016,98.484000,98.614000,yeah,B,aa^r,u-17-2
sw3328A-ms98-a-0016,98.614000,98.744000,they,B,sd,u-17-3
sw3328A-ms98-a-0016,98.744000,98.974000,say,I,sd,u-17-3
sw3328A-ms98-a-0016,98.974000,99.094000,they're,I,sd,u-17-3
sw3328A-ms98-a-0016,99.094000,99.324000,gonna,I,sd,u-17-3
sw3328A-ms98-a-0016,99.324000,99.594000,lower,I,sd,u-17-3
sw3328A-ms98-a-0016,99.594000,99.804000,but,B,sd,u-17-4
sw3328A-ms98-a-0016,99.804000,99.964000,i'll,I,sd,u-17-4
sw3328A-ms98-a-0016,99.964000,100.559125,see,I,sd,u-17-4
sw3328A-ms98-a-0018,129.988250,130.277750,yeah,B,b,u-19-1
sw3328A-ms98-a-0018,130.277750,130.538250,so,B,sd,u-19-2
sw3328A-ms98-a-0018,130.538250,130.662375,do,I,sd,u-19-2
sw3328A-ms98-a-0018,130.662375,130.828250,i-,O,,
sw3328A-ms98-a-0018,130.828250,130.907375,i,B,sd,u-19-3
sw3328A-ms98-a-0018,130.907375,131.048250,mean,I,sd,u-19-3
sw3328A-ms98-a-0018,131.048250,131.178250,i'm,I,sd,u-19-3
sw3328A-ms98-a-0018,131.178250,131.478250,a,I,sd,u-19-3
sw3328A-ms98-a-0018,131.668250,131.758250,a,I,sd,u-19-3
sw3328A-ms98-a-0018,131.758250,132.058250,middle,I,sd,u-19-3
sw3328A-ms98-a-0018,132.058250,132.518250,class,I,sd,u-19-3
sw3328A-ms98-a-0018,132.518250,132.958250,barely,I,sd,u-19-3
sw3328A-ms98-a-0018,132.958250,133.178250,but,B,sv,u-19-4
sw3328A-ms98-a-0018,133.178250,133.385875,uh,I,sv,u-19-4
sw3328A-ms98-a-0018,133.664500,133.738250,i,I,sv,u-19-4
sw3328A-ms98-a-0018,133.738250,133.868250,don't,I,sv,u-19-4
sw3328A-ms98-a-0018,133.868250,134.008250,think,I,sv,u-19-4
sw3328A-ms98-a-0018,134.008250,134.128250,the,I,sv,u-19-4
sw3328A-ms98-a-0018,134.128250,134.388250,rich,I,sv,u-19-4
sw3328A-ms98-a-0018,134.388250,134.498250,are,I,sv,u-19-4
sw3328A-ms98-a-0018,134.498250,134.898250,paying,I,sv,u-19-4
sw3328A-ms98-a-0018,134.898250,135.088250,more,I,sv,u-19-4
