sw2283B-ms98-a-0003,6.337750,6.607750,yeah,B,ny,u-2-1
sw2283B-ms98-a-0003,6.607750,6.910500,well,B,%,u-2-2
sw2283B-ms98-a-0003,6.910500,7.182625,i,I,%,u-2-2
sw2283B-ms98-a-0003,7.182625,7.777750,um,I,%,u-2-2
sw2283B-ms98-a-0004,8.215500,8.813750,about,B,sd^e,u-2-3
sw2283B-ms98-a-0004,8.813750,8.950000,a,I,sd^e,u-2-3
sw2283B-ms98-a-0004,8.950000,9.174125,or,I,sd^e,u-2-3
sw2283B-ms98-a-0004,9.174125,9.424125,just,I,sd^e,u-2-3
sw2283B-ms98-a-0004,9.424125,9.714125,over,I,sd^e,u-2-3
sw2283B-ms98-a-0004,9.714125,9.754125,a,I,sd^e,u-2-3
sw2283B-ms98-a-0004,9.754125,10.024125,year,I,sd^e,u-2-3
sw2283B-ms98-a-0004,10.024125,10.244125,ago,I,sd^e,u-2-3
sw2283B-ms98-a-0004,10.244125,10.334125,i,I,sd^e,u-2-3
sw2283B-ms98-a-0004,10.334125,10.754125,bought,I,sd^e,u-2-3
sw2283B-ms98-a-0004,10.754125,11.209375,my,I,sd^e,u-2-3
sw2283B-ms98-a-0005,11.673750,11.903750,my,I,sd^e,u-2-3
sw2283B-ms98-a-0005,11.903750,12.053750,own,I,sd^e,u-2-3
sw2283B-ms98-a-0005,12.053750,12.563750,house,I,sd^e,u-2-3
sw2283B-ms98-a-0005,12.563750,12.876000,so,B,sd,u-2-4
sw2283B-ms98-a-0005,13.331750,13.513750,this,I,sd,u-2-4
sw2283B-ms98-a-0005,13.513750,13.658375,has,I,sd,u-2-4
sw2283B-ms98-a-0005,13.658375,14.068875,been,I,sd,u-2-4
sw2283B-ms98-a-0005,14.068875,14.272000,the,I,sd,u-2-4
sw2283B-ms98-a-0005,14.415125,14.888500,first,I,sd,u-2-4
sw2283B-ms98-a-0005,15.028875,15.973750,opportunity,I,sd,u-2-4
sw2283B-ms98-a-0005,15.973750,16.143750,i've,I,sd,u-2-4
sw2283B-ms98-a-0005,16.143750,16.503750,had,I,sd,u-2-4
sw2283B-ms98-a-0005,16.503750,16.797125,to,I,sd,u-2-4
sw2283B-ms98-a-0005,17.249125,17.663750,uh,I,sd,u-2-4
