sw3234B-ms98-a-0003,5.145000,5.702125,oh,B,b,u-2-1
sw3234B-ms98-a-0005,8.312250,8.564125,well,B,sd,u-4-1
sw3234B-ms98-a-0005,8.564125,8.754125,it's,I,sd,u-4-1
sw3234B-ms98-a-0005,8.754125,8.964125,kind,I,sd,u-4-1
sw3234B-ms98-a-0005,8.964125,9.054125,of,I,sd,u-4-1
sw3234B-ms98-a-0005,9.054125,9.134125,a,I,sd,u-4-1
sw3234B-ms98-a-0005,9.134125,9.504125,mixed,I,sd,u-4-1
sw3234B-ms98-a-0005,9.504125,9.774125,breed,I,sd,u-4-1
sw3234B-ms98-a-0005,9.774125,9.864125,that,I,sd,u-4-1
sw3234B-ms98-a-0005,9.864125,9.984125,we,I,sd,u-4-1
sw3234B-ms98-a-0005,9.984125,10.214125,got,I,sd,u-4-1
sw3234B-ms98-a-0005,10.214125,10.364125,from,I,sd,u-4-1
sw3234B-ms98-a-0005,10.364125,10.504125,the,I,sd,u-4-1
sw3234B-ms98-a-0005,10.504125,10.909375,Humane,I,sd,u-4-1
sw3234B-ms98-a-0005,10.909375,11.602500,Society,I,sd,u-4-1
sw3234B-ms98-a-0005,11.602500,12.254125,[laughter],O,,
sw3234B-ms98-a-0007,27.228625,27.432250,oh,B,ba,u-6-1
sw3234B-ms98-a-0007,27.432250,28.011125,my,I,ba,u-6-1
sw3234B-ms98-a-0009,38.037125,38.526000,oh,B,b,u-8-1
sw3234B-ms98-a-0013,57.028875,57.468250,uh-huh,B,b,u-10-1
sw3234B-ms98-a-0015,66.349750,66.675875,well,B,sd,u-12-1
sw3234B-ms98-a-0015,66.819000,67.131875,my,I,sd,u-12-1
sw3234B-ms98-a-0015,67.131875,67.564500,children,I,sd,u-12-1
sw3234B-ms98-a-0015,67.564500,67.684500,are,I,sd,u-12-1
sw3234B-ms98-a-0015,67.684500,67.754500,the,I,sd,u-12-1
sw3234B-ms98-a-0015,67.754500,67.984500,ones,I,sd,u-12-1
sw3234B-ms98-a-0015,67.984500,68.144500,that,I,sd,u-12-1
sw3234B-ms98-a-0015,68.144500,68.474500,wanted,I,sd,u-12-1
sw3234B-ms98-a-0015,68.474500,68.673750,our,I,sd,u-12-1
sw3234B-ms98-a-0015,68.673750,69.324500,pet,I,sd,u-12-1
sw3234B-ms98-a-0015,69.324500,69.812375,and,B,sd,u-12-2
sw3234B-ms98-a-0015,70.626000,70.844500,this,I,sd,u-12-2
