sw2821A-ms98-a-0002,1.220000,1.517250,yes,B,ny,u-2-1
sw2821A-ms98-a-0004,2.796375,3.585250,[laughter-okay],O,,
sw2821A-ms98-a-0006,12.010250,12.234250,no,B,nn,u-6-1
sw2821A-ms98-a-0006,12.234250,12.378000,i,B,sd^e,u-6-2
sw2821A-ms98-a-0006,12.378000,12.794000,haven't,I,sd^e,u-6-2
sw2821A-ms98-a-0006,13.065125,13.150250,is,B,qy,u-6-3
sw2821A-ms98-a-0006,13.150250,13.300250,that,I,qy,u-6-3
sw2821A-ms98-a-0006,13.300250,13.566875,good,I,qy,u-6-3
sw2821A-ms98-a-0008,17.412625,17.666875,it's,B,sd,u-8-1
sw2821A-ms98-a-0008,17.727125,17.953875,it's,I,sd,u-8-1
sw2821A-ms98-a-0008,17.953875,18.133875,not,I,sd,u-8-1
sw2821A-ms98-a-0008,18.133875,18.243875,my,I,sd,u-8-1
sw2821A-ms98-a-0008,18.243875,18.843875,favorite,I,sd,u-8-1
sw2821A-ms98-a-0008,18.843875,18.993875,but,B,sd,u-8-2
sw2821A-ms98-a-0008,18.993875,19.093875,i,B,+,u-10-1
sw2821A-ms98-a-0008,19.093875,19.413875,like,I,+,u-10-1
sw2821A-ms98-a-0008,19.413875,19.553875,it,I,+,u-10-1
sw2821A-ms98-a-0008,19.553875,19.956750,okay,I,+,u-10-1
sw2821A-ms98-a-0010,24.084000,24.408500,uh-huh,B,b,u-12-1
sw2821A-ms98-a-0012,33.817250,34.023500,that's,B,bd,u-14-1
sw2821A-ms98-a-0012,34.023500,34.502000,okay,I,bd,u-14-1
sw2821A-ms98-a-0014,39.234625,42.498875,[laughter],O,,
sw2821A-ms98-a-0016,45.628500,46.026250,uh-huh,B,b,u-18-1
sw2821A-ms98-a-0018,49.057000,50.081750,oh,O,,
sw2821A-ms98-a-0018,50.382375,50.985500,oh,B,b,u-20-1
sw2821A-ms98-a-0018,51.268000,51.465750,oh,B,ba,u-22-1
sw2821A-ms98-a-0018,51.465750,51.675750,that,I,ba,u-22-1
sw2821A-ms98-a-0018,51.675750,51.975750,sounds,I,ba,u-22-1
sw2821A-ms98-a-0018,51.975750,52.205750,really,I,ba,u-22-1
sw2821A-ms98-a-0018,52.205750,52.656500,good,I,ba,u-22-1
sw2821A-ms98-a-0020,57.182000,57.653500,[laughter-y[eah]-],O,,
sw2821A-ms98-a-0020,57.653500,58.341375,[laughter-yeah],O,,
sw2821A-ms98-a-0022,61.541625,61.676250,well,B,qy,u-26-1
sw2821A-ms98-a-0022,61.676250,61.856250,are,I,qy,u-26-1
sw2821A-ms98-a-0022,61.856250,62.016250,there,I,qy,u-26-1
sw2821A-ms98-a-0022,62.016250,62.196250,just,I,qy,u-26-1
sw2821A-ms98-a-0022,62.196250,62.276250,the,I,qy,u-26-1
sw2821A-ms98-a-0022,62.276250,62.476250,two,I,qy,u-26-1
sw2821A-ms98-a-0022,62.476250,62.576250,of,I,qy,u-26-1
sw2821A-ms98-a-0022,62.576250,62.826000,you,I,qy,u-26-1
sw2821A-ms98-a-0023,63.729375,64.147625,okay,B,bk,u-28-1
sw2821A-ms98-a-0023,64.147625,64.515625,well,B,sd,u-28-2
sw2821A-ms98-a-0023,64.696375,64.896625,when,I,sd,u-28-2
sw2821A-ms98-a-0023,64.896625,65.046625,my,I,sd,u-28-2
sw2821A-ms98-a-0023,65.046625,65.466625,husband,I,sd,u-28-2
sw2821A-ms98-a-0023,65.466625,65.596625,and,I,sd,u-28-2
sw2821A-ms98-a-0023,65.596625,65.746625,i,I,sd,u-28-2
sw2821A-ms98-a-0023,65.746625,65.886625,go,I,sd,u-28-2
sw2821A-ms98-a-0023,65.886625,66.086625,out,I,sd,u-28-2
sw2821A-ms98-a-0023,66.086625,66.186625,we,I,sd,u-28-2
sw2821A-ms98-a-0023,66.186625,66.346625,have,I,sd,u-28-2
sw2821A-ms98-a-0023,66.346625,66.576625,four,I,sd,u-28-2
sw2821A-ms98-a-0023,66.576625,67.146625,children,I,sd,u-28-2
sw2821A-ms98-a-0023,67.497000,67.656625,so,B,sd,u-30-1
sw2821A-ms98-a-0023,67.656625,67.856625,that,I,sd,u-30-1
sw2821A-ms98-a-0023,67.856625,68.096625,makes,I,sd,u-30-1
sw2821A-ms98-a-0023,68.096625,68.166625,a,I,sd,u-30-1
sw2821A-ms98-a-0023,68.166625,68.627500,difference,I,sd,u-30-1
sw2821A-ms98-a-0023,68.627500,68.736625,for,B,sd,u-30-2
sw2821A-ms98-a-0023,68.736625,68.996625,us,I,sd,u-30-2
sw2821A-ms98-a-0023,68.996625,69.116625,when,I,sd,u-30-2
sw2821A-ms98-a-0023,69.116625,69.216625,we,I,sd,u-30-2
sw2821A-ms98-a-0023,69.216625,69.316625,go,I,sd,u-30-2
sw2821A-ms98-a-0023,69.316625,69.466625,out,I,sd,u-30-2
sw2821A-ms98-a-0023,69.466625,69.576625,with,I,sd,u-30-2
sw2821A-ms98-a-0023,69.576625,69.646625,the,I,sd,u-30-2
sw2821A-ms98-a-0023,69.646625,70.016625,kids,I,sd,u-30-2
sw2821A-ms98-a-0023,70.016625,70.576625,obviously,I,sd,u-30-2
sw2821A-ms98-a-0023,70.576625,70.776625,we,I,sd,u-30-2
sw2821A-ms98-a-0023,70.776625,70.976625,want,I,sd,u-30-2
sw2821A-ms98-a-0023,70.976625,71.036625,to,I,sd,u-30-2
sw2821A-ms98-a-0023,71.036625,71.206625,go,I,sd,u-30-2
sw2821A-ms98-a-0023,71.206625,71.596625,somewhere,I,sd,u-30-2
sw2821A-ms98-a-0023,71.596625,71.716625,that,I,sd,u-30-2
sw2821A-ms98-a-0023,71.716625,71.796625,we,I,sd,u-30-2
sw2821A-ms98-a-0023,71.796625,72.044375,can,I,sd,u-30-2
sw2821A-ms98-a-0023,72.583000,72.916625,the,B,sd,u-30-3
sw2821A-ms98-a-0023,72.916625,73.386625,fast,I,sd,u-30-3
sw2821A-ms98-a-0023,73.386625,73.616625,food,I,sd,u-30-3
sw2821A-ms98-a-0023,73.616625,73.886625,ones,I,sd,u-30-3
sw2821A-ms98-a-0023,73.886625,73.966625,are,I,sd,u-30-3
sw2821A-ms98-a-0023,73.966625,74.336625,probably,I,sd,u-30-3
sw2821A-ms98-a-0023,74.336625,74.396625,the,I,sd,u-30-3
sw2821A-ms98-a-0023,74.396625,74.626625,ones,I,sd,u-30-3
sw2821A-ms98-a-0023,74.626625,74.786625,they,I,sd,u-30-3
sw2821A-ms98-a-0023,74.786625,75.036625,like,I,sd,u-30-3
sw2821A-ms98-a-0023,75.036625,75.190375,the,I,sd,u-30-3
sw2821A-ms98-a-0023,75.190375,75.818250,best,I,sd,u-30-3
sw2821A-ms98-a-0024,76.368500,76.638500,but,B,sd,u-32-1
sw2821A-ms98-a-0024,76.638500,76.778500,we,I,sd,u-32-1
sw2821A-ms98-a-0024,76.778500,76.938500,don't,I,sd,u-32-1
sw2821A-ms98-a-0024,76.938500,77.078500,like,I,sd,u-32-1
sw2821A-ms98-a-0024,77.078500,77.148500,to,I,sd,u-32-1
sw2821A-ms98-a-0024,77.148500,77.308500,go,I,sd,u-32-1
sw2821A-ms98-a-0024,77.308500,77.468500,there,I,sd,u-32-1
sw2821A-ms98-a-0024,77.468500,77.638500,because_1,I,sd,u-32-1
sw2821A-ms98-a-0024,77.638500,77.878500,that's,I,sd,u-32-1
sw2821A-ms98-a-0024,77.878500,77.958500,the,I,sd,u-32-1
sw2821A-ms98-a-0024,77.958500,78.168500,most,I,sd,u-32-1
sw2821A-ms98-a-0024,78.168500,78.748500,expensive,I,sd,u-32-1
sw2821A-ms98-a-0024,78.748500,78.848500,so,B,sd,u-32-2
sw2821A-ms98-a-0024,78.848500,78.948500,we,I,sd,u-32-2
sw2821A-ms98-a-0024,78.948500,79.108500,like,I,sd,u-32-2
sw2821A-ms98-a-0024,79.108500,79.168500,to,I,sd,u-32-2
sw2821A-ms98-a-0024,79.168500,79.298500,go,I,sd,u-32-2
sw2821A-ms98-a-0024,79.298500,79.448500,to,I,sd,u-32-2
sw2821A-ms98-a-0024,79.448500,79.498500,a,I,sd,u-32-2
sw2821A-ms98-a-0024,79.498500,79.828500,pizza,I,sd,u-32-2
sw2821A-ms98-a-0024,79.828500,80.188500,place,I,sd,u-32-2
sw2821A-ms98-a-0024,80.188500,80.512875,where,I,sd,u-32-2
sw2821A-ms98-a-0024,80.512875,80.658500,you,I,sd,u-32-2
sw2821A-ms98-a-0024,80.658500,80.768500,can,I,sd,u-32-2
sw2821A-ms98-a-0024,80.768500,80.948500,buy,I,sd,u-32-2
sw2821A-ms98-a-0024,80.948500,80.998500,a,I,sd,u-32-2
sw2821A-ms98-a-0024,80.998500,81.653750,pizza,I,sd,u-32-2
sw2821A-ms98-a-0024,81.989000,82.148500,for,I,sd,u-32-2
sw2821A-ms98-a-0024,82.148500,82.368500,one,I,sd,u-32-2
sw2821A-ms98-a-0024,82.368500,82.818500,price,I,sd,u-32-2
sw2821A-ms98-a-0024,82.818500,83.155375,an[d]-,I,sd,u-32-2
sw2821A-ms98-a-0024,83.155375,83.298500,and,I,sd,u-32-2
sw2821A-ms98-a-0024,83.298500,83.528500,feed,I,sd,u-32-2
sw2821A-ms98-a-0024,83.528500,83.638500,the,I,sd,u-32-2
sw2821A-ms98-a-0024,83.638500,83.778500,whole,I,sd,u-32-2
sw2821A-ms98-a-0024,83.778500,84.208500,family,I,sd,u-32-2
sw2821A-ms98-a-0024,84.208500,84.458500,like,B,+,u-34-1
sw2821A-ms98-a-0024,84.458500,84.845750,that,I,+,u-34-1
sw2821A-ms98-a-0026,86.482875,87.076750,right,B,b,u-36-1
sw2821A-ms98-a-0027,88.530375,88.770375,right,B,b,u-38-1
sw2821A-ms98-a-0027,88.770375,88.900375,but,B,sd,u-38-2
sw2821A-ms98-a-0027,88.900375,89.050375,when,I,sd,u-38-2
sw2821A-ms98-a-0027,89.050375,89.220375,my,I,sd,u-38-2
sw2821A-ms98-a-0027,89.220375,89.570375,husband,I,sd,u-38-2
sw2821A-ms98-a-0027,89.570375,89.700375,and,I,sd,u-38-2
sw2821A-ms98-a-0027,89.700375,89.846125,i,I,sd,u-38-2
sw2821A-ms98-a-0027,89.846125,90.275750,go,I,sd,u-38-2
sw2821A-ms98-a-0027,90.403875,90.736875,out,I,sd,u-38-2
sw2821A-ms98-a-0027,90.906375,91.070375,we,I,sd,u-38-2
sw2821A-ms98-a-0027,91.070375,91.260375,like,I,sd,u-38-2
