sw2197A-ms98-a-0002,0.899625,1.249625,okay,B,o,u-1-1
sw2197A-ms98-a-0002,1.249625,1.399625,we're,B,sd,u-1-2
sw2197A-ms98-a-0002,1.399625,1.799625,rolling,I,sd,u-1-2
sw2197A-ms98-a-0003,2.645250,3.103250,i,B,%,u-1-3
sw2197A-ms98-a-0003,3.103250,3.745250,uh,I,%,u-1-3
sw2197A-ms98-a-0003,3.745250,3.955250,what,B,qw,u-1-4
sw2197A-ms98-a-0003,3.955250,4.225250,what,I,qw,u-1-4
sw2197A-ms98-a-0003,4.225250,4.385250,would,I,qw,u-1-4
sw2197A-ms98-a-0003,4.385250,4.743000,you,I,qw,u-1-4
sw2197A-ms98-a-0003,4.908750,5.075250,what,I,qw,u-1-4
sw2197A-ms98-a-0003,5.075250,5.214625,would,I,qw,u-1-4
sw2197A-ms98-a-0003,5.214625,5.435250,has,I,qw,u-1-4
sw2197A-ms98-a-0003,5.435250,5.620000,your,I,qw,u-1-4
sw2197A-ms98-a-0003,5.620000,6.125250,experience,I,qw,u-1-4
sw2197A-ms98-a-0003,6.125250,6.325250,lead,I,qw,u-1-4
sw2197A-ms98-a-0003,6.325250,6.484375,you,I,qw,u-1-4
sw2197A-ms98-a-0003,6.484375,6.605250,to,I,qw,u-1-4
sw2197A-ms98-a-0003,6.605250,7.035250,advise,I,qw,u-1-4
sw2197A-ms98-a-0003,7.035250,7.662000,uh,I,qw,u-1-4
sw2197A-ms98-a-0003,8.092500,8.258250,if,I,qw,u-1-4
sw2197A-ms98-a-0003,8.258250,8.536500,my,I,qw,u-1-4
sw2197A-ms98-a-0003,8.536500,8.837625,child,I,qw,u-1-4
sw2197A-ms98-a-0003,8.837625,9.187875,were,I,qw,u-1-4
sw2197A-ms98-a-0003,9.187875,9.495250,thinking,I,qw,u-1-4
sw2197A-ms98-a-0003,9.495250,9.595250,of,I,qw,u-1-4
sw2197A-ms98-a-0003,9.595250,9.785250,going,I,qw,u-1-4
sw2197A-ms98-a-0003,9.785250,9.845250,to,I,qw,u-1-4
sw2197A-ms98-a-0003,9.845250,9.905250,the,I,qw,u-1-4
sw2197A-ms98-a-0003,9.905250,10.035250,Air,I,qw,u-1-4
sw2197A-ms98-a-0003,10.035250,10.305250,Force,I,qw,u-1-4
sw2197A-ms98-a-0003,10.305250,10.795250,Academy,I,qw,u-1-4
sw2197A-ms98-a-0003,10.795250,10.945250,what,B,qw,u-1-5
sw2197A-ms98-a-0003,10.945250,11.065250,would,I,qw,u-1-5
sw2197A-ms98-a-0003,11.065250,11.185250,you,I,qw,u-1-5
sw2197A-ms98-a-0003,11.185250,11.868875,say,I,qw,u-1-5
sw2197A-ms98-a-0005,13.892625,14.377125,um-hum,B,b,u-3-1
sw2197A-ms98-a-0007,19.205875,19.550500,um-hum,B,b,u-5-1
sw2197A-ms98-a-0007,19.673000,20.081250,um-hum,B,b^r,u-5-2
sw2197A-ms98-a-0009,33.447375,33.802500,um-hum,B,b,u-7-1
sw2197A-ms98-a-0011,38.960625,39.317000,um-hum,B,b,u-9-1
sw2197A-ms98-a-0013,42.172375,42.536750,um-hum,B,b^r,u-11-1
sw2197A-ms98-a-0013,42.701750,43.050875,um-hum,B,b^r,u-11-2
sw2197A-ms98-a-0013,43.162000,43.502750,um-hum,B,b^r,u-11-3
sw2197A-ms98-a-0013,44.165750,44.331625,how,B,qo,u-13-1
sw2197A-ms98-a-0013,44.331625,44.412375,do,I,qo,u-13-1
sw2197A-ms98-a-0013,44.412375,44.492375,you,I,qo,u-13-1
sw2197A-ms98-a-0013,44.492375,44.682375,feel,I,qo,u-13-1
sw2197A-ms98-a-0013,44.682375,44.892375,about,I,qo,u-13-1
sw2197A-ms98-a-0013,44.892375,44.982375,it,B,sv,u-13-2
sw2197A-ms98-a-0013,45.132375,45.372375,must,I,sv,u-13-2
sw2197A-ms98-a-0013,45.372375,45.492375,be,I,sv,u-13-2
sw2197A-ms98-a-0013,45.492375,45.542375,a,I,sv,u-13-2
sw2197A-ms98-a-0013,45.542375,45.852375,somewhat,I,sv,u-13-2
sw2197A-ms98-a-0013,45.852375,46.102375,different,I,sv,u-13-2
sw2197A-ms98-a-0013,46.102375,46.642375,environment,I,sv,u-13-2
sw2197A-ms98-a-0013,46.642375,46.802375,from,I,sv,u-13-2
sw2197A-ms98-a-0013,46.802375,46.907250,a,I,sv,u-13-2
sw2197A-ms98-a-0013,46.907250,47.276375,regular,I,sv,u-13-2
sw2197A-ms98-a-0013,47.276375,47.702375,college,I,sv,u-13-2
sw2197A-ms98-a-0013,47.702375,47.919000,how,B,qw,u-13-3
sw2197A-ms98-a-0013,47.919000,48.132375,does,I,qw,u-13-3
sw2197A-ms98-a-0013,48.132375,48.339875,that,I,qw,u-13-3
sw2197A-ms98-a-0013,48.422875,48.751625,uh,I,qw,u-13-3
sw2197A-ms98-a-0014,49.536500,49.691500,how,B,qw,u-13-4
sw2197A-ms98-a-0014,49.691500,49.733125,do,I,qw,u-13-4
sw2197A-ms98-a-0014,49.733125,49.793125,you,I,qw,u-13-4
sw2197A-ms98-a-0014,49.793125,50.014500,feel,I,qw,u-13-4
sw2197A-ms98-a-0014,50.014500,50.217875,that,I,qw,u-13-4
sw2197A-ms98-a-0014,50.217875,50.413125,is,I,qw,u-13-4
sw2197A-ms98-a-0014,50.413125,50.543125,for,I,qw,u-13-4
sw2197A-ms98-a-0014,50.543125,50.873125,someone,I,qw,u-13-4
sw2197A-ms98-a-0014,50.873125,50.998250,at,I,qw,u-13-4
sw2197A-ms98-a-0014,51.209125,51.393125,at,I,qw,u-13-4
sw2197A-ms98-a-0014,51.393125,51.613125,that,I,qw,u-13-4
sw2197A-ms98-a-0014,51.613125,51.835875,phase,I,qw,u-13-4
sw2197A-ms98-a-0014,51.835875,51.971500,in,I,qw,u-13-4
sw2197A-ms98-a-0014,51.971500,52.093125,their,I,qw,u-13-4
sw2197A-ms98-a-0014,52.093125,52.533125,life,I,qw,u-13-4
sw2197A-ms98-a-0016,61.827375,62.185250,um-hum,B,b,u-15-1
sw2197A-ms98-a-0018,67.529125,67.871000,um-hum,B,b^r,u-17-1
sw2197A-ms98-a-0019,68.755750,69.098250,um-hum,B,b^r,u-17-2
sw2197A-ms98-a-0019,69.257125,69.695750,um-hum,B,b^r,u-17-3
sw2197A-ms98-a-0021,72.230000,72.553125,um-hum,B,b^r,u-19-1
sw2197A-ms98-a-0023,86.412750,86.810250,uh-huh,B,b^r,u-21-1
sw2197A-ms98-a-0025,88.235250,88.605250,uh-huh,B,b^r,u-23-1
sw2197A-ms98-a-0027,90.900125,91.766875,[laughter],O,,
sw2197A-ms98-a-0029,98.236000,98.411000,well,B,sd,u-27-1
sw2197A-ms98-a-0029,98.411000,98.531000,i,I,sd,u-27-1
sw2197A-ms98-a-0029,98.771000,98.971000,sort,I,sd,u-27-1
sw2197A-ms98-a-0029,98.971000,99.171000,of,I,sd,u-27-1
sw2197A-ms98-a-0029,99.171000,99.371000,one,B,sd,u-27-2
sw2197A-ms98-a-0029,99.371000,99.431000,of,I,sd,u-27-2
sw2197A-ms98-a-0029,99.431000,99.491000,the,I,sd,u-27-2
sw2197A-ms98-a-0029,99.491000,99.647250,reasons,I,sd,u-27-2
sw2197A-ms98-a-0029,99.647250,99.854500,it's,I,sd,u-27-2
sw2197A-ms98-a-0029,99.854500,100.151000,taken,I,sd,u-27-2
sw2197A-ms98-a-0029,100.151000,100.358500,so,I,sd,u-27-2
sw2197A-ms98-a-0029,100.358500,100.504750,long,I,sd,u-27-2
sw2197A-ms98-a-0029,100.504750,100.621000,is,I,sd,u-27-2
sw2197A-ms98-a-0029,100.621000,100.741000,i've,I,sd,u-27-2
sw2197A-ms98-a-0029,100.741000,100.841000,been,I,sd,u-27-2
sw2197A-ms98-a-0029,100.841000,101.277625,working,I,sd,u-27-2
sw2197A-ms98-a-0030,101.581875,101.766250,uh,I,sd,u-27-2
sw2197A-ms98-a-0030,101.766250,101.873000,you,I,sd,u-27-2
sw2197A-ms98-a-0030,101.873000,102.046250,know,I,sd,u-27-2
sw2197A-ms98-a-0030,102.046250,102.166500,it's,O,,
sw2197A-ms98-a-0030,102.166500,102.281875,sort,B,+,u-29-1
sw2197A-ms98-a-0030,102.281875,102.361875,of,I,+,u-29-1
sw2197A-ms98-a-0030,102.361875,102.821875,half,I,+,u-29-1
sw2197A-ms98-a-0030,102.821875,103.211875,student,I,+,u-29-1
sw2197A-ms98-a-0030,103.211875,103.491875,half,I,+,u-29-1
sw2197A-ms98-a-0030,103.491875,103.811875,working,I,+,u-29-1
sw2197A-ms98-a-0030,103.811875,103.941875,and,I,+,u-29-1
