sw3052A-ms98-a-0003,6.665125,7.008000,um-hum,B,b,u-2-1
sw3052A-ms98-a-0005,14.137125,14.261875,well,B,sd,u-4-1
sw3052A-ms98-a-0005,14.261875,14.411875,my,I,sd,u-4-1
sw3052A-ms98-a-0005,14.411875,14.791875,parents,I,sd,u-4-1
sw3052A-ms98-a-0005,14.791875,14.851875,are,I,sd,u-4-1
sw3052A-ms98-a-0005,14.851875,15.121875,both,I,sd,u-4-1
sw3052A-ms98-a-0005,15.121875,15.241875,in,I,sd,u-4-1
sw3052A-ms98-a-0005,15.241875,15.381875,their,I,sd,u-4-1
sw3052A-ms98-a-0005,15.381875,15.951875,seventies,I,sd,u-4-1
sw3052A-ms98-a-0005,15.951875,16.317750,my,B,sd,u-4-2
sw3052A-ms98-a-0005,16.317750,16.792625,my,I,sd,u-4-2
sw3052A-ms98-a-0005,16.792625,17.161875,mother,I,sd,u-4-2
sw3052A-ms98-a-0005,17.161875,17.521125,and,I,sd,u-4-2
sw3052A-ms98-a-0005,17.521125,18.211875,stepfather,I,sd,u-4-2
sw3052A-ms98-a-0005,18.211875,18.481875,and,I,sd,u-4-2
sw3052A-ms98-a-0005,18.481875,18.671875,my,I,sd,u-4-2
sw3052A-ms98-a-0005,18.671875,19.051875,father,I,sd,u-4-2
sw3052A-ms98-a-0005,19.051875,19.141875,and,I,sd,u-4-2
sw3052A-ms98-a-0005,19.141875,19.821125,stepmother,I,sd,u-4-2
sw3052A-ms98-a-0005,20.209000,20.411875,are,I,sd,u-4-2
sw3052A-ms98-a-0005,20.411875,20.631875,all,I,sd,u-4-2
sw3052A-ms98-a-0005,20.631875,20.721875,in,I,sd,u-4-2
sw3052A-ms98-a-0005,20.721875,20.861875,their,I,sd,u-4-2
sw3052A-ms98-a-0005,20.861875,21.831875,seventies,I,sd,u-4-2
sw3052A-ms98-a-0005,21.831875,22.011875,and,B,sd,u-4-3
sw3052A-ms98-a-0005,22.011875,22.331875,my,I,sd,u-4-3
sw3052A-ms98-a-0005,22.331875,22.657000,um,I,sd,u-4-3
sw3052A-ms98-a-0006,23.878125,24.663625,um,I,sd,u-4-3
sw3052A-ms98-a-0007,25.699125,26.472750,father,I,sd,u-4-3
sw3052A-ms98-a-0007,26.472750,26.819750,and,I,sd,u-4-3
sw3052A-ms98-a-0007,26.819750,27.359750,stepmother,I,sd,u-4-3
sw3052A-ms98-a-0007,27.359750,27.419750,are,I,sd,u-4-3
sw3052A-ms98-a-0007,27.419750,27.679750,not,I,sd,u-4-3
sw3052A-ms98-a-0007,27.679750,27.759750,in,I,sd,u-4-3
sw3052A-ms98-a-0007,27.759750,27.979750,very,I,sd,u-4-3
sw3052A-ms98-a-0007,27.979750,28.119750,good,I,sd,u-4-3
sw3052A-ms98-a-0007,28.119750,28.586750,health,I,sd,u-4-3
sw3052A-ms98-a-0007,28.586750,28.829750,so,B,sd,u-4-4
sw3052A-ms98-a-0007,28.829750,29.029750,this,I,sd,u-4-4
sw3052A-ms98-a-0007,29.029750,29.347375,is,I,sd,u-4-4
sw3052A-ms98-a-0008,30.298250,30.788250,something,I,sd,u-4-4
sw3052A-ms98-a-0008,30.788250,31.021375,that,I,sd,u-4-4
sw3052A-ms98-a-0008,31.021375,31.701875,[vocalized-noise],O,,
sw3052A-ms98-a-0009,32.285125,32.997625,yes,B,ny,u-6-1
sw3052A-ms98-a-0009,32.997625,33.209375,it,B,sd^e,u-6-2
sw3052A-ms98-a-0009,33.209375,33.623125,is,I,sd^e,u-6-2
sw3052A-ms98-a-0011,36.371625,36.971125,yes,B,ny,u-8-1
sw3052A-ms98-a-0011,37.136875,37.370750,they,B,sd^e,u-8-2
sw3052A-ms98-a-0011,37.370750,37.668500,are,I,sd^e,u-8-2
sw3052A-ms98-a-0011,37.853125,38.140750,they,B,sd^r,u-10-1
sw3052A-ms98-a-0011,38.140750,38.473625,are,I,sd^r,u-10-1
sw3052A-ms98-a-0013,42.453375,42.980625,not,B,ng,u-12-1
sw3052A-ms98-a-0013,42.980625,43.120625,for,I,ng,u-12-1
sw3052A-ms98-a-0013,43.120625,43.370625,them,I,ng,u-12-1
sw3052A-ms98-a-0013,43.370625,43.640625,my,I,ng,u-12-1
sw3052A-ms98-a-0013,43.640625,43.860625,my,I,ng,u-12-1
sw3052A-ms98-a-0013,43.860625,44.320625,mother,I,ng,u-12-1
sw3052A-ms98-a-0013,44.320625,44.450625,and,I,ng,u-12-1
sw3052A-ms98-a-0013,44.450625,45.090625,stepfather,I,ng,u-12-1
sw3052A-ms98-a-0013,45.090625,45.407500,have,I,ng,u-12-1
sw3052A-ms98-a-0013,45.407500,45.830625,have,I,ng,u-12-1
sw3052A-ms98-a-0013,45.830625,46.249125,um,I,ng,u-12-1
sw3052A-ms98-a-0014,47.029125,47.247250,set,I,ng,u-12-1
sw3052A-ms98-a-0014,47.247250,47.397250,up,I,ng,u-12-1
sw3052A-ms98-a-0014,47.397250,47.457250,an,I,ng,u-12-1
sw3052A-ms98-a-0014,47.457250,48.057250,arrangement,I,ng,u-12-1
sw3052A-ms98-a-0014,48.057250,48.187250,where,I,ng,u-12-1
sw3052A-ms98-a-0014,48.187250,48.347250,they,I,ng,u-12-1
sw3052A-ms98-a-0014,48.347250,48.567250,have,I,ng,u-12-1
sw3052A-ms98-a-0014,48.567250,48.737250,a,I,ng,u-12-1
sw3052A-ms98-a-0014,48.737250,48.787250,a,I,ng,u-12-1
sw3052A-ms98-a-0014,48.787250,49.197250,large,I,ng,u-12-1
sw3052A-ms98-a-0014,49.197250,49.839625,home,I,ng,u-12-1
sw3052A-ms98-a-0014,49.839625,50.147250,and,I,ng,u-12-1
sw3052A-ms98-a-0014,50.147250,50.371875,uh,I,ng,u-12-1
sw3052A-ms98-a-0014,50.371875,50.517250,two,I,ng,u-12-1
sw3052A-ms98-a-0014,50.517250,50.617250,of,I,ng,u-12-1
sw3052A-ms98-a-0014,50.617250,50.813625,my,I,ng,u-12-1
sw3052A-ms98-a-0014,50.813625,51.395875,sisters,I,ng,u-12-1
sw3052A-ms98-a-0015,52.074375,52.511625,and,I,ng,u-12-1
sw3052A-ms98-a-0015,52.511625,52.837625,and,I,ng,u-12-1
sw3052A-ms98-a-0015,52.837625,52.957625,their,I,ng,u-12-1
sw3052A-ms98-a-0015,52.957625,53.607625,families,I,ng,u-12-1
sw3052A-ms98-a-0015,53.607625,53.757625,one,I,ng,u-12-1
sw3052A-ms98-a-0015,53.757625,53.857625,of,I,ng,u-12-1
sw3052A-ms98-a-0015,53.857625,54.057625,them_1,I,ng,u-12-1
sw3052A-ms98-a-0015,54.057625,54.467625,husband,I,ng,u-12-1
sw3052A-ms98-a-0015,54.467625,54.587625,and,I,ng,u-12-1
sw3052A-ms98-a-0015,54.587625,54.687625,then,I,ng,u-12-1
sw3052A-ms98-a-0015,54.687625,54.887625,all,I,ng,u-12-1
sw3052A-ms98-a-0015,54.887625,54.957625,the,I,ng,u-12-1
sw3052A-ms98-a-0015,54.957625,55.357625,children,I,ng,u-12-1
