sw2155B-ms98-a-0003,2.055375,2.392750,okay,B,b^m,u-2-1
sw2155B-ms98-a-0005,4.812375,5.430750,um,B,sv,u-4-1
sw2155B-ms98-a-0005,6.132250,6.293500,i,I,sv,u-4-1
sw2155B-ms98-a-0005,6.293500,6.603500,like,I,sv,u-4-1
sw2155B-ms98-a-0005,6.603500,6.783500,the,I,sv,u-4-1
sw2155B-ms98-a-0005,6.783500,7.113500,idea,I,sv,u-4-1
sw2155B-ms98-a-0005,7.113500,7.173500,of,I,sv,u-4-1
sw2155B-ms98-a-0005,7.173500,7.573500,nursing,I,sv,u-4-1
sw2155B-ms98-a-0005,7.573500,7.893500,homes,I,sv,u-4-1
sw2155B-ms98-a-0005,7.893500,8.053500,as,I,sv,u-4-1
sw2155B-ms98-a-0005,8.053500,8.323000,a,I,sv,u-4-1
sw2155B-ms98-a-0005,8.323000,8.523500,as,I,sv,u-4-1
sw2155B-ms98-a-0005,8.523500,8.613500,a,I,sv,u-4-1
sw2155B-ms98-a-0005,8.613500,9.299375,growing,I,sv,u-4-1
sw2155B-ms98-a-0006,10.049000,10.426750,choi[ce]-,I,sv,u-4-1
sw2155B-ms98-a-0006,10.426750,10.696750,the,I,sv,u-4-1
sw2155B-ms98-a-0006,10.696750,11.116750,choices,I,sv,u-4-1
sw2155B-ms98-a-0006,11.116750,11.206750,you,I,sv,u-4-1
sw2155B-ms98-a-0006,11.206750,11.396750,have,I,sv,u-4-1
sw2155B-ms98-a-0006,11.396750,11.506750,in,I,sv,u-4-1
sw2155B-ms98-a-0006,11.506750,11.876750,nursing,I,sv,u-4-1
sw2155B-ms98-a-0006,11.876750,12.166750,homes,I,sv,u-4-1
sw2155B-ms98-a-0006,12.166750,12.537000,now,I,sv,u-4-1
sw2155B-ms98-a-0006,12.755375,13.046750,whereas,I,sv,u-4-1
sw2155B-ms98-a-0006,13.046750,13.246750,used,I,sv,u-4-1
sw2155B-ms98-a-0006,13.246750,13.316750,to,I,sv,u-4-1
sw2155B-ms98-a-0006,13.316750,13.396750,you,I,sv,u-4-1
sw2155B-ms98-a-0006,13.396750,13.766750,used,I,sv,u-4-1
sw2155B-ms98-a-0006,13.766750,13.866750,to,I,sv,u-4-1
sw2155B-ms98-a-0006,13.866750,14.116750,have,I,sv,u-4-1
sw2155B-ms98-a-0006,14.116750,14.591250,only,I,sv,u-4-1
sw2155B-ms98-a-0006,14.591250,14.686750,you,I,sv,u-4-1
sw2155B-ms98-a-0006,14.686750,14.993750,put,I,sv,u-4-1
sw2155B-ms98-a-0006,14.993750,15.226750,you,I,sv,u-4-1
sw2155B-ms98-a-0006,15.226750,15.566750,know,I,sv,u-4-1
sw2155B-ms98-a-0006,15.566750,15.746750,when,B,sv,u-4-2
sw2155B-ms98-a-0006,15.746750,15.846750,when,I,sv,u-4-2
sw2155B-ms98-a-0006,15.846750,16.126750,people,I,sv,u-4-2
sw2155B-ms98-a-0006,16.126750,16.216750,got,I,sv,u-4-2
sw2155B-ms98-a-0006,16.216750,16.276750,to,I,sv,u-4-2
sw2155B-ms98-a-0006,16.276750,16.376750,the,I,sv,u-4-2
sw2155B-ms98-a-0006,16.376750,16.636750,point,I,sv,u-4-2
sw2155B-ms98-a-0006,16.636750,16.726750,where,I,sv,u-4-2
sw2155B-ms98-a-0006,16.726750,16.826750,they,I,sv,u-4-2
sw2155B-ms98-a-0006,16.826750,16.886750,were,I,sv,u-4-2
sw2155B-ms98-a-0006,16.886750,17.476750,debilitated,I,sv,u-4-2
sw2155B-ms98-a-0006,17.476750,17.566750,and,I,sv,u-4-2
sw2155B-ms98-a-0006,17.566750,17.786750,couldn't,I,sv,u-4-2
sw2155B-ms98-a-0006,17.786750,17.966750,take,I,sv,u-4-2
sw2155B-ms98-a-0006,17.966750,18.166750,care,I,sv,u-4-2
sw2155B-ms98-a-0006,18.166750,18.256750,of,I,sv,u-4-2
sw2155B-ms98-a-0006,18.256750,18.875125,themselves,I,sv,u-4-2
sw2155B-ms98-a-0006,19.308375,19.506750,and,B,sv,u-6-1
sw2155B-ms98-a-0006,19.506750,19.596750,there,I,sv,u-6-1
sw2155B-ms98-a-0006,19.596750,19.706750,was,I,sv,u-6-1
sw2155B-ms98-a-0006,19.706750,19.866750,no,I,sv,u-6-1
sw2155B-ms98-a-0006,19.866750,20.016750,other,I,sv,u-6-1
sw2155B-ms98-a-0006,20.016750,20.558500,choice,I,sv,u-6-1
sw2155B-ms98-a-0006,20.558500,20.816750,you,B,sv,u-6-2
sw2155B-ms98-a-0006,20.816750,21.046750,couldn't,I,sv,u-6-2
sw2155B-ms98-a-0006,21.046750,21.176750,take,I,sv,u-6-2
sw2155B-ms98-a-0006,21.176750,21.266750,them,I,sv,u-6-2
sw2155B-ms98-a-0006,21.266750,21.336750,in,I,sv,u-6-2
sw2155B-ms98-a-0006,21.336750,21.466750,your,I,sv,u-6-2
sw2155B-ms98-a-0006,21.466750,21.636750,own,I,sv,u-6-2
sw2155B-ms98-a-0006,21.636750,21.946750,home,I,sv,u-6-2
sw2155B-ms98-a-0006,21.946750,22.086750,then,B,sv,u-6-3
sw2155B-ms98-a-0006,22.086750,22.166750,they,I,sv,u-6-3
sw2155B-ms98-a-0006,22.166750,22.346750,went,I,sv,u-6-3
sw2155B-ms98-a-0006,22.346750,22.506750,into,I,sv,u-6-3
sw2155B-ms98-a-0006,22.506750,22.536750,a,I,sv,u-6-3
sw2155B-ms98-a-0006,22.536750,22.826750,nursing,I,sv,u-6-3
sw2155B-ms98-a-0006,22.826750,23.056750,home,I,sv,u-6-3
sw2155B-ms98-a-0006,23.056750,23.116750,you,B,sv,u-6-4
sw2155B-ms98-a-0006,23.116750,23.176750,know,I,sv,u-6-4
sw2155B-ms98-a-0006,23.176750,23.446750,maybe,I,sv,u-6-4
sw2155B-ms98-a-0006,23.446750,23.586750,you,I,sv,u-6-4
sw2155B-ms98-a-0006,23.586750,24.086750,lived,I,sv,u-6-4
sw2155B-ms98-a-0007,24.385500,24.555500,too,I,sv,u-6-4
sw2155B-ms98-a-0007,24.555500,24.785500,far,I,sv,u-6-4
sw2155B-ms98-a-0007,24.785500,25.005500,away,I,sv,u-6-4
sw2155B-ms98-a-0007,25.005500,25.085500,to,I,sv,u-6-4
sw2155B-ms98-a-0007,25.085500,25.335500,care,I,sv,u-6-4
sw2155B-ms98-a-0007,25.335500,25.585500,for,I,sv,u-6-4
sw2155B-ms98-a-0007,25.585500,25.965500,them,I,sv,u-6-4
sw2155B-ms98-a-0007,25.965500,26.205500,or,B,sv,u-8-1
sw2155B-ms98-a-0007,26.205500,26.535500,your,I,sv,u-8-1
sw2155B-ms98-a-0007,26.535500,26.925500,daily,I,sv,u-8-1
sw2155B-ms98-a-0007,26.925500,27.205500,job,I,sv,u-8-1
sw2155B-ms98-a-0007,27.205500,27.285500,or,I,sv,u-8-1
sw2155B-ms98-a-0007,27.285500,27.545500,whatever,I,sv,u-8-1
sw2155B-ms98-a-0007,27.545500,28.005500,prevented,I,sv,u-8-1
sw2155B-ms98-a-0007,28.005500,28.229750,it,I,sv,u-8-1
sw2155B-ms98-a-0008,28.816750,29.276750,but,B,sd,u-8-2
sw2155B-ms98-a-0008,29.276750,29.787500,um,I,sd,u-8-2
sw2155B-ms98-a-0008,29.787500,29.916750,i,I,sd,u-8-2
sw2155B-ms98-a-0008,29.916750,30.126750,like,I,sd,u-8-2
sw2155B-ms98-a-0008,30.126750,30.196750,the,I,sd,u-8-2
sw2155B-ms98-a-0008,30.196750,30.616750,choices,I,sd,u-8-2
sw2155B-ms98-a-0008,30.616750,30.706750,you,I,sd,u-8-2
sw2155B-ms98-a-0008,30.706750,30.856750,have,I,sd,u-8-2
sw2155B-ms98-a-0008,30.856750,31.136750,now,I,sd,u-8-2
sw2155B-ms98-a-0008,31.136750,31.326750,where,I,sd,u-8-2
sw2155B-ms98-a-0008,31.326750,31.436750,they,I,sd,u-8-2
sw2155B-ms98-a-0008,31.436750,31.616750,can,I,sd,u-8-2
sw2155B-ms98-a-0008,31.616750,31.776750,go,I,sd,u-8-2
sw2155B-ms98-a-0008,31.776750,32.176750,into,I,sd,u-8-2
sw2155B-ms98-a-0008,32.176750,32.286750,an,I,sd,u-8-2
sw2155B-ms98-a-0008,32.286750,32.806750,apartment,I,sd,u-8-2
sw2155B-ms98-a-0008,32.806750,33.046750,type,I,sd,u-8-2
sw2155B-ms98-a-0008,33.046750,33.519375,setting,I,sd,u-8-2
sw2155B-ms98-a-0008,33.786750,33.956750,and,I,sd,u-8-2
sw2155B-ms98-a-0008,33.956750,34.146750,have,I,sd,u-8-2
sw2155B-ms98-a-0008,34.146750,34.646750,some,I,sd,u-8-2
sw2155B-ms98-a-0008,35.000750,35.456750,basically,I,sd,u-8-2
sw2155B-ms98-a-0008,35.456750,35.636750,have,I,sd,u-8-2
sw2155B-ms98-a-0008,35.636750,35.826750,a,I,sd,u-8-2
sw2155B-ms98-a-0008,35.826750,36.286750,independent,I,sd,u-8-2
sw2155B-ms98-a-0008,36.286750,36.896750,lifestyle,I,sd,u-8-2
sw2155B-ms98-a-0008,36.896750,37.086750,but,I,sd,u-8-2
sw2155B-ms98-a-0008,37.086750,37.576750,assisted,I,sd,u-8-2
sw2155B-ms98-a-0008,37.576750,38.040000,care,I,sd,u-8-2
sw2155B-ms98-a-0009,38.509000,38.870625,and,B,sv,u-10-1
sw2155B-ms98-a-0009,38.870625,39.130625,then,I,sv,u-10-1
sw2155B-ms98-a-0009,39.130625,39.220625,if,I,sv,u-10-1
sw2155B-ms98-a-0009,39.220625,39.600625,things,I,sv,u-10-1
sw2155B-ms98-a-0009,39.600625,40.420625,deteriorate,I,sv,u-10-1
sw2155B-ms98-a-0009,40.420625,40.520625,they,I,sv,u-10-1
sw2155B-ms98-a-0009,40.520625,40.710625,can,I,sv,u-10-1
sw2155B-ms98-a-0009,40.710625,40.890625,go,I,sv,u-10-1
sw2155B-ms98-a-0009,40.890625,41.060625,to,I,sv,u-10-1
sw2155B-ms98-a-0009,41.060625,41.296750,a,I,sv,u-10-1
sw2155B-ms98-a-0009,41.522750,42.050625,second,I,sv,u-10-1
sw2155B-ms98-a-0009,42.050625,42.525625,level,I,sv,u-10-1
sw2155B-ms98-a-0009,42.796750,43.010625,which,I,sv,u-10-1
sw2155B-ms98-a-0009,43.010625,43.472375,is,I,sv,u-10-1
sw2155B-ms98-a-0010,44.314250,44.424250,you,I,sv,u-10-1
sw2155B-ms98-a-0010,44.424250,44.484250,know,I,sv,u-10-1
sw2155B-ms98-a-0010,44.484250,44.674250,like,I,sv,u-10-1
sw2155B-ms98-a-0010,44.674250,44.774250,where,I,sv,u-10-1
sw2155B-ms98-a-0010,44.774250,44.854250,they,I,sv,u-10-1
sw2155B-ms98-a-0010,44.854250,45.274250,prepare,I,sv,u-10-1
sw2155B-ms98-a-0010,45.274250,45.404250,their,I,sv,u-10-1
sw2155B-ms98-a-0010,45.404250,45.794250,meals,I,sv,u-10-1
sw2155B-ms98-a-0010,45.794250,45.934250,for,I,sv,u-10-1
sw2155B-ms98-a-0010,45.934250,46.334250,them,I,sv,u-10-1
sw2155B-ms98-a-0010,46.334250,46.514250,and,B,sv,u-12-1
sw2155B-ms98-a-0010,46.514250,46.674250,and,I,sv,u-12-1
sw2155B-ms98-a-0010,46.674250,46.892250,they,I,sv,u-12-1
sw2155B-ms98-a-0010,46.892250,47.324250,still,I,sv,u-12-1
sw2155B-ms98-a-0010,47.324250,47.494250,live,I,sv,u-12-1
sw2155B-ms98-a-0010,47.494250,47.894250,somewhat,I,sv,u-12-1
sw2155B-ms98-a-0010,47.894250,48.534250,independently,I,sv,u-12-1
sw2155B-ms98-a-0010,48.534250,48.714250,but,B,sv,u-12-2
sw2155B-ms98-a-0010,48.714250,48.784250,they,I,sv,u-12-2
sw2155B-ms98-a-0010,48.784250,48.914250,have,I,sv,u-12-2
sw2155B-ms98-a-0010,48.914250,49.194250,people,I,sv,u-12-2
sw2155B-ms98-a-0010,49.194250,49.614250,checking,I,sv,u-12-2
sw2155B-ms98-a-0010,49.614250,49.744250,on,I,sv,u-12-2
sw2155B-ms98-a-0010,49.744250,49.864250,them,I,sv,u-12-2
sw2155B-ms98-a-0010,49.864250,49.964250,and,I,sv,u-12-2
sw2155B-ms98-a-0010,49.964250,50.234250,making,I,sv,u-12-2
sw2155B-ms98-a-0010,50.234250,50.424250,sure,I,sv,u-12-2
sw2155B-ms98-a-0010,50.424250,50.504250,they,I,sv,u-12-2
sw2155B-ms98-a-0010,50.504250,50.684250,have,I,sv,u-12-2
sw2155B-ms98-a-0010,50.684250,50.858250,hot,I,sv,u-12-2
sw2155B-ms98-a-0010,50.858250,51.168500,meals,I,sv,u-12-2
sw2155B-ms98-a-0010,51.695750,51.823875,and,B,sv,u-14-1
sw2155B-ms98-a-0010,51.823875,52.181500,then,I,sv,u-14-1
sw2155B-ms98-a-0010,52.595875,52.804250,where,I,sv,u-14-1
sw2155B-ms98-a-0010,52.804250,52.874250,the,I,sv,u-14-1
sw2155B-ms98-a-0010,52.874250,53.144250,same,I,sv,u-14-1
sw2155B-ms98-a-0010,53.144250,53.753750,community,I,sv,u-14-1
sw2155B-ms98-a-0010,53.753750,53.884250,a,I,sv,u-14-1
sw2155B-ms98-a-0010,53.884250,54.094250,lot,I,sv,u-14-1
sw2155B-ms98-a-0010,54.094250,54.154250,of,I,sv,u-14-1
sw2155B-ms98-a-0010,54.154250,54.374250,times,I,sv,u-14-1
sw2155B-ms98-a-0010,54.374250,54.484250,will,I,sv,u-14-1
sw2155B-ms98-a-0010,54.484250,54.714250,also,I,sv,u-14-1
sw2155B-ms98-a-0010,54.714250,54.854250,have,I,sv,u-14-1
sw2155B-ms98-a-0010,54.854250,54.914250,the,I,sv,u-14-1
sw2155B-ms98-a-0010,54.914250,55.359250,third,I,sv,u-14-1
sw2155B-ms98-a-0010,55.664375,56.034250,level,I,sv,u-14-1
