sw4038B-ms98-a-0003,3.700750,4.033375,yeah,B,b,u-2-1
sw4038B-ms98-a-0004,5.237750,5.534500,so,B,qy,u-4-1
sw4038B-ms98-a-0004,5.733125,5.932500,have,I,qy,u-4-1
sw4038B-ms98-a-0004,5.932500,6.002500,you,I,qy,u-4-1
sw4038B-ms98-a-0004,6.002500,6.142500,ever,I,qy,u-4-1
sw4038B-ms98-a-0004,6.142500,6.452500,served,I,qy,u-4-1
sw4038B-ms98-a-0004,6.452500,6.532500,on,I,qy,u-4-1
sw4038B-ms98-a-0004,6.532500,6.642500,a,I,qy,u-4-1
sw4038B-ms98-a-0004,6.642500,6.990125,jury,I,qy,u-4-1
sw4038B-ms98-a-0006,18.363125,18.569000,yeah,B,ny,u-6-1
sw4038B-ms98-a-0006,18.569000,18.699000,i,B,sd^e,u-6-2
sw4038B-ms98-a-0006,18.699000,19.049000,finally,I,sd^e,u-6-2
sw4038B-ms98-a-0006,19.049000,19.329000,served,I,sd^e,u-6-2
sw4038B-ms98-a-0006,19.329000,19.459000,on,I,sd^e,u-6-2
sw4038B-ms98-a-0006,19.459000,19.609000,one,I,sd^e,u-6-2
sw4038B-ms98-a-0006,19.609000,19.959000,last,I,sd^e,u-6-2
sw4038B-ms98-a-0006,19.959000,20.219000,year,I,sd^e,u-6-2
sw4038B-ms98-a-0006,20.219000,20.376500,i've,B,sd,u-6-3
sw4038B-ms98-a-0006,20.685250,20.972750,um,I,sd,u-6-3
sw4038B-ms98-a-0006,21.842875,21.979000,been,I,sd,u-6-3
sw4038B-ms98-a-0006,21.979000,22.329000,voting,I,sd,u-6-3
sw4038B-ms98-a-0006,22.329000,22.479000,for,I,sd,u-6-3
sw4038B-ms98-a-0006,22.479000,22.829000,years,I,sd,u-6-3
sw4038B-ms98-a-0006,22.829000,22.939000,and,B,sd,u-6-4
sw4038B-ms98-a-0006,22.939000,22.989000,i,I,sd,u-6-4
sw4038B-ms98-a-0006,22.989000,23.269000,couldn't,I,sd,u-6-4
sw4038B-ms98-a-0006,23.269000,23.589000,figure,I,sd,u-6-4
sw4038B-ms98-a-0006,23.589000,23.689000,out,I,sd,u-6-4
sw4038B-ms98-a-0006,23.689000,23.849000,why,I,sd,u-6-4
sw4038B-ms98-a-0006,23.849000,23.909000,i,I,sd,u-6-4
