sw3189A-ms98-a-0002,5.927375,6.368750,yes,B,ny,u-2-1
sw3189A-ms98-a-0002,6.368750,6.608750,just,B,sd^e,u-2-2
sw3189A-ms98-a-0002,6.608750,6.748750,this,I,sd^e,u-2-2
sw3189A-ms98-a-0002,6.748750,7.048750,last,I,sd^e,u-2-2
sw3189A-ms98-a-0002,7.048750,7.408750,summer,I,sd^e,u-2-2
sw3189A-ms98-a-0002,7.408750,7.558750,we,I,sd^e,u-2-2
sw3189A-ms98-a-0002,7.558750,7.758750,went,I,sd^e,u-2-2
sw3189A-ms98-a-0002,7.758750,7.988750,back,I,sd^e,u-2-2
sw3189A-ms98-a-0002,7.988750,8.118750,to,I,sd^e,u-2-2
sw3189A-ms98-a-0002,8.118750,8.674875,Utah,I,sd^e,u-2-2
sw3189A-ms98-a-0002,9.062875,9.348750,and,B,sd,u-2-3
sw3189A-ms98-a-0002,9.348750,9.468750,we,I,sd,u-2-3
sw3189A-ms98-a-0002,9.468750,9.898750,met,I,sd,u-2-3
sw3189A-ms98-a-0002,9.898750,9.978750,it,I,sd,u-2-3
sw3189A-ms98-a-0002,9.978750,10.168750,was,I,sd,u-2-3
sw3189A-ms98-a-0002,10.168750,10.456000,my,I,sd,u-2-3
sw3189A-ms98-a-0002,10.889125,11.028750,we,B,sd,u-2-4
sw3189A-ms98-a-0002,11.028750,11.348750,usually,I,sd,u-2-4
sw3189A-ms98-a-0002,11.348750,11.458750,go,I,sd,u-2-4
sw3189A-ms98-a-0002,11.458750,11.548750,to,I,sd,u-2-4
sw3189A-ms98-a-0002,11.548750,11.828750,my,I,sd,u-2-4
sw3189A-ms98-a-0002,11.828750,12.238750,family,I,sd,u-2-4
sw3189A-ms98-a-0002,12.238750,12.748750,reunion,I,sd,u-2-4
sw3189A-ms98-a-0002,12.748750,12.928750,but,B,sd,u-2-5
sw3189A-ms98-a-0002,12.928750,13.128750,this,I,sd,u-2-5
sw3189A-ms98-a-0002,13.128750,13.248750,one,I,sd,u-2-5
sw3189A-ms98-a-0002,13.248750,13.428750,was,I,sd,u-2-5
sw3189A-ms98-a-0002,13.428750,13.607375,my,I,sd,u-2-5
sw3189A-ms98-a-0002,13.607375,14.261250,husband's,I,sd,u-2-5
sw3189A-ms98-a-0003,14.815000,15.226625,and,B,sd,u-4-1
sw3189A-ms98-a-0003,15.313250,15.650500,they're,I,sd,u-4-1
sw3189A-ms98-a-0003,15.801125,16.100000,usually,I,sd,u-4-1
sw3189A-ms98-a-0003,16.100000,16.440000,quite,I,sd,u-4-1
sw3189A-ms98-a-0003,16.440000,16.900000,similar,I,sd,u-4-1
sw3189A-ms98-a-0003,16.900000,17.069250,i,I,sd,u-4-1
sw3189A-ms98-a-0003,17.069250,17.442750,think,I,sd,u-4-1
sw3189A-ms98-a-0004,18.866125,19.216125,no,B,nn,u-6-1
sw3189A-ms98-a-0004,19.216125,19.496125,he's,B,sd^e,u-6-2
sw3189A-ms98-a-0004,19.496125,19.776125,from,I,sd^e,u-6-2
sw3189A-ms98-a-0004,19.776125,20.137000,here,I,sd^e,u-6-2
sw3189A-ms98-a-0005,21.066250,21.626250,but,B,sd,u-8-1
sw3189A-ms98-a-0005,21.626250,21.866250,um,I,sd,u-8-1
sw3189A-ms98-a-0005,21.866250,22.146250,most,I,sd,u-8-1
sw3189A-ms98-a-0005,22.146250,22.216250,of,I,sd,u-8-1
sw3189A-ms98-a-0005,22.216250,22.426250,his,I,sd,u-8-1
sw3189A-ms98-a-0005,22.426250,22.726250,people,I,sd,u-8-1
sw3189A-ms98-a-0005,22.726250,22.806250,are,I,sd,u-8-1
sw3189A-ms98-a-0005,22.806250,23.016250,from,I,sd,u-8-1
sw3189A-ms98-a-0005,23.016250,23.486250,Oregon,I,sd,u-8-1
sw3189A-ms98-a-0005,23.486250,23.636250,so,B,sd,u-8-2
sw3189A-ms98-a-0005,23.636250,23.736250,we,I,sd,u-8-2
sw3189A-ms98-a-0005,23.736250,23.966250,kind,I,sd,u-8-2
sw3189A-ms98-a-0005,23.966250,24.046250,of,I,sd,u-8-2
sw3189A-ms98-a-0005,24.046250,24.256375,met,I,sd,u-8-2
sw3189A-ms98-a-0005,24.456000,25.250750,halfway,I,sd,u-8-2
sw3189A-ms98-a-0006,26.041500,26.371500,and,B,sd,u-10-1
sw3189A-ms98-a-0006,26.371500,26.830375,so,I,sd,u-10-1
sw3189A-ms98-a-0006,27.150500,27.381500,this,I,sd,u-10-1
sw3189A-ms98-a-0006,27.381500,27.601500,was,I,sd,u-10-1
sw3189A-ms98-a-0006,27.601500,27.881500,one,I,sd,u-10-1
sw3189A-ms98-a-0006,27.881500,28.031500,and,B,sd,u-10-2
sw3189A-ms98-a-0006,28.031500,28.419625,they,I,sd,u-10-2
sw3189A-ms98-a-0006,28.419625,28.986625,um,I,sd,u-10-2
sw3189A-ms98-a-0006,29.276625,29.611500,planned,I,sd,u-10-2
sw3189A-ms98-a-0006,29.611500,29.721500,it,I,sd,u-10-2
sw3189A-ms98-a-0006,29.721500,29.911500,up,I,sd,u-10-2
sw3189A-ms98-a-0006,29.911500,29.991500,in,I,sd,u-10-2
sw3189A-ms98-a-0006,29.991500,30.051500,the,I,sd,u-10-2
sw3189A-ms98-a-0006,30.051500,30.681500,mountains,I,sd,u-10-2
sw3189A-ms98-a-0006,30.681500,30.771500,and,I,sd,u-10-2
sw3189A-ms98-a-0006,30.771500,30.961500,got,I,sd,u-10-2
sw3189A-ms98-a-0006,30.961500,31.011500,a,I,sd,u-10-2
sw3189A-ms98-a-0006,31.011500,31.691500,cabin,I,sd,u-10-2
sw3189A-ms98-a-0006,31.691500,32.001750,and,B,+,u-12-1
sw3189A-ms98-a-0006,32.148625,32.581500,and,I,+,u-12-1
sw3189A-ms98-a-0006,32.581500,32.835000,had,I,+,u-12-1
sw3189A-ms98-a-0006,33.324625,33.421500,you,I,+,u-12-1
sw3189A-ms98-a-0006,33.421500,33.631500,know,I,+,u-12-1
sw3189A-ms98-a-0006,33.631500,33.891500,things,B,sv,u-12-2
sw3189A-ms98-a-0006,33.891500,34.071500,like,I,sv,u-12-2
sw3189A-ms98-a-0006,34.071500,34.251500,that,I,sv,u-12-2
sw3189A-ms98-a-0006,34.251500,34.451500,have,I,sv,u-12-2
sw3189A-ms98-a-0006,34.451500,34.561500,to,I,sv,u-12-2
sw3189A-ms98-a-0006,34.561500,34.691500,be,I,sv,u-12-2
sw3189A-ms98-a-0006,34.691500,35.201500,planned,I,sv,u-12-2
sw3189A-ms98-a-0006,35.201500,35.391500,like,B,sd,u-12-3
sw3189A-ms98-a-0006,35.391500,35.511500,they,I,sd,u-12-3
sw3189A-ms98-a-0006,35.511500,35.721500,had,I,sd,u-12-3
sw3189A-ms98-a-0006,35.721500,36.131500,planned,I,sd,u-12-3
sw3189A-ms98-a-0006,36.131500,36.524125,that,B,sd,u-12-4
sw3189A-ms98-a-0007,37.199750,37.262625,we,I,sd,u-12-4
sw3189A-ms98-a-0007,37.262625,37.452625,went,I,sd,u-12-4
