sw4376B-ms98-a-0002,0.654000,1.057625,okay,B,aa,u-2-1
sw4376B-ms98-a-0002,1.751625,2.167250,uh,B,sv,u-2-2
sw4376B-ms98-a-0002,2.324250,2.407125,i,I,sv,u-2-2
sw4376B-ms98-a-0002,2.407125,2.541875,don't,I,sv,u-2-2
sw4376B-ms98-a-0002,2.541875,2.691875,think,I,sv,u-2-2
sw4376B-ms98-a-0002,2.691875,2.781875,they,I,sv,u-2-2
sw4376B-ms98-a-0002,2.781875,2.911875,should,I,sv,u-2-2
sw4376B-ms98-a-0002,2.911875,3.301875,abolish,I,sv,u-2-2
sw4376B-ms98-a-0002,3.301875,3.511875,it,I,sv,u-2-2
sw4376B-ms98-a-0003,3.918125,4.224625,[laughter],O,,
sw4376B-ms98-a-0003,4.224625,4.296750,i,B,sv,u-2-3
sw4376B-ms98-a-0003,4.296750,4.414625,think,I,sv,u-2-3
sw4376B-ms98-a-0003,4.414625,4.584625,it's,I,sv,u-2-3
sw4376B-ms98-a-0003,4.584625,4.674625,i,I,sv,u-2-3
sw4376B-ms98-a-0003,4.674625,4.874625,think,I,sv,u-2-3
sw4376B-ms98-a-0003,4.874625,4.954625,if,I,sv,u-2-3
sw4376B-ms98-a-0003,4.954625,5.054625,they,I,sv,u-2-3
sw4376B-ms98-a-0003,5.054625,5.224625,put,I,sv,u-2-3
sw4376B-ms98-a-0003,5.224625,5.544000,it,I,sv,u-2-3
sw4376B-ms98-a-0003,5.664625,5.984625,into,I,sv,u-2-3
sw4376B-ms98-a-0003,5.984625,6.304625,force,I,sv,u-2-3
sw4376B-ms98-a-0003,6.304625,6.524625,more,I,sv,u-2-3
sw4376B-ms98-a-0003,6.524625,7.024625,often,I,sv,u-2-3
sw4376B-ms98-a-0003,7.024625,7.134625,they,I,sv,u-2-3
sw4376B-ms98-a-0003,7.134625,7.344625,wouldn't,I,sv,u-2-3
sw4376B-ms98-a-0003,7.344625,7.444625,have,I,sv,u-2-3
sw4376B-ms98-a-0003,7.444625,7.534625,as,I,sv,u-2-3
