sw3206B-ms98-a-0002,1.038750,1.549250,yes,B,ny,u-2-1
sw3206B-ms98-a-0004,5.518875,5.708875,uh,B,ny,u-4-1
sw3206B-ms98-a-0004,5.708875,6.038875,yes,I,ny,u-4-1
sw3206B-ms98-a-0004,6.038875,6.198875,it's,B,sd^e,u-4-2
sw3206B-ms98-a-0004,6.198875,6.548875,about,I,sd^e,u-4-2
sw3206B-ms98-a-0004,6.548875,6.978875,why,I,sd^e,u-4-2
sw3206B-ms98-a-0004,6.978875,7.148875,there,I,sd^e,u-4-2
sw3206B-ms98-a-0004,7.148875,7.328875,aren't,I,sd^e,u-4-2
sw3206B-ms98-a-0004,7.328875,7.498875,more,I,sd^e,u-4-2
sw3206B-ms98-a-0004,7.498875,7.848875,people,I,sd^e,u-4-2
sw3206B-ms98-a-0004,7.848875,7.978875,that,I,sd^e,u-4-2
sw3206B-ms98-a-0004,7.978875,8.078875,are,I,sd^e,u-4-2
sw3206B-ms98-a-0004,8.078875,8.448875,voting,I,sd^e,u-4-2
sw3206B-ms98-a-0004,8.448875,8.558875,and,I,sd^e,u-4-2
sw3206B-ms98-a-0004,8.558875,9.338875,participating,I,sd^e,u-4-2
sw3206B-ms98-a-0004,9.338875,9.529750,in,I,sd^e,u-4-2
sw3206B-ms98-a-0006,15.044125,15.227000,oh,B,na,u-6-1
sw3206B-ms98-a-0006,15.227000,16.087000,absolutely,I,na,u-6-1
sw3206B-ms98-a-0008,17.757250,18.149875,um,B,sv,u-8-1
sw3206B-ms98-a-0008,18.931125,19.158000,i,I,sv,u-8-1
sw3206B-ms98-a-0008,19.158000,19.436750,think,I,sv,u-8-1
sw3206B-ms98-a-0008,19.436750,19.719125,that,I,sv,u-8-1
sw3206B-ms98-a-0008,19.719125,20.033125,uh,I,sv,u-8-1
sw3206B-ms98-a-0009,21.045625,21.305625,it's,I,sv,u-8-1
sw3206B-ms98-a-0009,21.305625,21.535625,kind,I,sv,u-8-1
sw3206B-ms98-a-0009,21.535625,21.753625,of,I,sv,u-8-1
sw3206B-ms98-a-0009,21.877875,22.565625,discouraging,I,sv,u-8-1
sw3206B-ms98-a-0009,22.565625,22.891625,to,I,sv,u-8-1
sw3206B-ms98-a-0009,23.306000,23.735625,um,I,sv,u-8-1
sw3206B-ms98-a-0009,23.735625,23.835625,i,B,sd,u-8-2
sw3206B-ms98-a-0009,23.835625,24.005625,have,I,sd,u-8-2
sw3206B-ms98-a-0009,24.285625,24.495625,been,I,sd,u-8-2
sw3206B-ms98-a-0009,24.495625,24.868750,involved,I,sd,u-8-2
sw3206B-ms98-a-0009,24.868750,25.038250,in,I,sd,u-8-2
sw3206B-ms98-a-0009,25.038250,25.348750,some,I,sd,u-8-2
sw3206B-ms98-a-0009,25.838500,26.235625,political,I,sd,u-8-2
sw3206B-ms98-a-0009,26.235625,26.855625,campaigns,I,sd,u-8-2
sw3206B-ms98-a-0009,26.855625,26.945625,and,I,sd,u-8-2
sw3206B-ms98-a-0009,26.945625,27.075625,that,I,sd,u-8-2
sw3206B-ms98-a-0009,27.075625,27.275625,kind,I,sd,u-8-2
sw3206B-ms98-a-0009,27.275625,27.335625,of,I,sd,u-8-2
