sw2177A-ms98-a-0003,2.772500,3.059500,no,B,nn,u-2-1
sw2177A-ms98-a-0003,3.059500,3.262375,i,B,sd^e,u-2-2
sw2177A-ms98-a-0003,3.262375,3.747375,haven't,I,sd^e,u-2-2
sw2177A-ms98-a-0003,4.037500,4.182500,have,B,qy,u-2-3
sw2177A-ms98-a-0003,4.182500,4.466125,you,I,qy,u-2-3
sw2177A-ms98-a-0004,5.618000,5.935875,uh-huh,B,b,u-4-1
sw2177A-ms98-a-0004,5.935875,6.118000,it's,B,%,u-4-2
sw2177A-ms98-a-0004,6.118000,6.348000,not,I,%,u-4-2
sw2177A-ms98-a-0004,6.508000,6.704375,the,B,qy,u-4-3
sw2177A-ms98-a-0004,6.704375,6.988000,length,I,qy,u-4-3
sw2177A-ms98-a-0004,6.988000,7.283250,isn't,I,qy,u-4-3
sw2177A-ms98-a-0004,7.283250,7.479125,too,I,qy,u-4-3
sw2177A-ms98-a-0004,7.479125,7.848000,long,I,qy,u-4-3
sw2177A-ms98-a-0005,8.983250,9.363250,uh-huh,B,b,u-6-1
sw2177A-ms98-a-0006,10.422000,11.056750,oh,O,,
sw2177A-ms98-a-0006,11.056750,11.270125,well,B,+,u-10-1
sw2177A-ms98-a-0006,11.270125,11.622000,[vocalized-noise],I,+,u-10-1
sw2177A-ms98-a-0007,12.751375,13.076625,really,I,+,u-10-1
sw2177A-ms98-a-0007,13.076625,13.221375,i've,I,+,u-10-1
sw2177A-ms98-a-0007,13.221375,13.402375,heard,I,+,u-10-1
sw2177A-ms98-a-0007,13.402375,13.654750,different,I,+,u-10-1
sw2177A-ms98-a-0007,13.654750,14.171375,opinions,I,+,u-10-1
sw2177A-ms98-a-0007,14.171375,14.591375,about,I,+,u-10-1
sw2177A-ms98-a-0007,14.591375,14.857000,it,I,+,u-10-1
sw2177A-ms98-a-0007,14.857000,15.415375,uh,B,%,u-10-2
sw2177A-ms98-a-0007,15.781375,16.159125,uh-huh,B,ny,u-12-1
sw2177A-ms98-a-0007,16.159125,16.421375,one,B,%,u-12-2
sw2177A-ms98-a-0007,16.421375,16.591375,that,I,%,u-12-2
sw2177A-ms98-a-0007,16.591375,16.663000,you,I,%,u-12-2
sw2177A-ms98-a-0007,16.663000,16.840000,know,I,%,u-12-2
sw2177A-ms98-a-0007,16.840000,17.041375,yeah,B,%,u-12-3
sw2177A-ms98-a-0007,17.041375,17.101375,it,B,sd,u-12-4
sw2177A-ms98-a-0007,17.101375,17.291375,was,I,sd,u-12-4
sw2177A-ms98-a-0007,17.291375,17.485250,too,I,sd,u-12-4
sw2177A-ms98-a-0007,17.485250,17.751375,long,I,sd,u-12-4
sw2177A-ms98-a-0007,17.751375,17.881375,and,B,sd,u-12-5
sw2177A-ms98-a-0007,17.881375,18.028875,they,I,sd,u-12-5
sw2177A-ms98-a-0007,18.028875,18.351375,thought,I,sd,u-12-5
sw2177A-ms98-a-0007,18.351375,18.581375,that,I,sd,u-12-5
sw2177A-ms98-a-0007,19.161375,19.253000,you,I,sd,u-12-5
sw2177A-ms98-a-0007,19.253000,19.351375,know,I,sd,u-12-5
sw2177A-ms98-a-0007,19.351375,19.481375,at,I,sd,u-12-5
sw2177A-ms98-a-0007,19.481375,19.731375,certain,I,sd,u-12-5
sw2177A-ms98-a-0007,19.731375,20.089125,points,I,sd,u-12-5
sw2177A-ms98-a-0007,20.089125,20.239750,that,I,sd,u-12-5
sw2177A-ms98-a-0007,20.239750,20.331375,it,I,sd,u-12-5
sw2177A-ms98-a-0007,20.331375,20.441375,was,I,sd,u-12-5
sw2177A-ms98-a-0007,20.441375,20.571375,going,I,sd,u-12-5
sw2177A-ms98-a-0007,20.571375,20.673125,to,I,sd,u-12-5
sw2177A-ms98-a-0007,20.673125,20.950000,end,I,sd,u-12-5
sw2177A-ms98-a-0007,20.950000,21.063000,and,B,sd,u-12-6
sw2177A-ms98-a-0007,21.063000,21.201375,it,I,sd,u-12-6
sw2177A-ms98-a-0007,21.201375,21.541375,didn't,I,sd,u-12-6
sw2177A-ms98-a-0007,21.541375,21.671375,and,B,sd,u-12-7
sw2177A-ms98-a-0007,21.671375,21.761375,it,I,sd,u-12-7
sw2177A-ms98-a-0007,21.761375,21.971375,kept,I,sd,u-12-7
sw2177A-ms98-a-0007,21.971375,22.301375,going,I,sd,u-12-7
sw2177A-ms98-a-0007,22.301375,22.861375,on,I,sd,u-12-7
sw2177A-ms98-a-0007,22.861375,23.228750,and,B,%,u-12-8
sw2177A-ms98-a-0007,23.614875,24.092125,uh-huh,B,%,u-12-9
sw2177A-ms98-a-0009,25.913625,26.335375,really,B,bh,u-14-1
sw2177A-ms98-a-0009,26.983250,27.123625,now,B,sd,u-16-1
sw2177A-ms98-a-0009,27.123625,27.253625,i've,I,sd,u-16-1
sw2177A-ms98-a-0009,27.253625,27.553625,seen,I,sd,u-16-1
sw2177A-ms98-a-0009,27.553625,27.646500,you,I,sd,u-16-1
sw2177A-ms98-a-0009,27.646500,27.800875,know,I,sd,u-16-1
sw2177A-ms98-a-0009,27.800875,27.984750,some,I,sd,u-16-1
sw2177A-ms98-a-0009,27.984750,28.343625,different,I,sd,u-16-1
sw2177A-ms98-a-0009,28.343625,28.763625,clips,I,sd,u-16-1
sw2177A-ms98-a-0009,28.763625,28.943625,of,I,sd,u-16-1
sw2177A-ms98-a-0009,28.943625,29.140875,it,I,sd,u-16-1
sw2177A-ms98-a-0009,29.551375,30.147375,um,I,sd,u-16-1
sw2177A-ms98-a-0010,30.978500,31.126000,and,B,sv,u-16-2
sw2177A-ms98-a-0010,31.126000,31.268875,it,I,sv,u-16-2
sw2177A-ms98-a-0010,31.268875,31.418500,it,I,sv,u-16-2
sw2177A-ms98-a-0010,31.418500,31.638500,looks,I,sv,u-16-2
sw2177A-ms98-a-0010,31.638500,31.788500,good,I,sv,u-16-2
sw2177A-ms98-a-0010,31.788500,31.886250,it's,B,sd,u-16-3
sw2177A-ms98-a-0010,31.886250,32.021875,just,I,sd,u-16-3
sw2177A-ms98-a-0010,32.021875,32.155000,i,I,sd,u-16-3
sw2177A-ms98-a-0010,32.155000,32.378500,haven't,I,sd,u-16-3
sw2177A-ms98-a-0010,32.378500,32.528500,had,I,sd,u-16-3
sw2177A-ms98-a-0010,32.528500,32.618625,the,I,sd,u-16-3
sw2177A-ms98-a-0010,32.618625,32.878500,time,I,sd,u-16-3
sw2177A-ms98-a-0010,32.878500,32.974000,to,I,sd,u-16-3
sw2177A-ms98-a-0010,32.974000,33.105750,go,I,sd,u-16-3
sw2177A-ms98-a-0010,33.105750,33.188500,to,I,sd,u-16-3
sw2177A-ms98-a-0010,33.188500,33.286000,the,I,sd,u-16-3
sw2177A-ms98-a-0010,33.286000,33.628500,movies,I,sd,u-16-3
sw2177A-ms98-a-0010,33.628500,34.158500,lately,I,sd,u-16-3
sw2177A-ms98-a-0010,34.158500,35.038500,[laughter],O,,
sw2177A-ms98-a-0012,42.850500,43.326875,uh-huh,B,b,u-18-1
sw2177A-ms98-a-0014,50.804625,51.236500,uh-huh,B,b,u-20-1
sw2177A-ms98-a-0016,57.282000,57.748250,uh-huh,B,b,u-22-1
sw2177A-ms98-a-0018,62.623875,62.883875,uh-huh,B,b,u-24-1
sw2177A-ms98-a-0018,62.883875,63.075000,oh,O,,
sw2177A-ms98-a-0018,63.075000,64.580500,[laughter],O,,
sw2177A-ms98-a-0020,68.333500,70.268000,[vocalized-noise],O,,
sw2177A-ms98-a-0020,70.268000,70.422000,hey,B,ba,u-26-1
sw2177A-ms98-a-0020,70.422000,70.598000,that'd,B,ba,u-26-2
sw2177A-ms98-a-0020,70.598000,70.818000,work,I,ba,u-26-2
sw2177A-ms98-a-0020,70.818000,70.958000,for,I,ba,u-26-2
sw2177A-ms98-a-0020,70.958000,71.228000,me,I,ba,u-26-2
sw2177A-ms98-a-0020,71.228000,71.348000,let,B,co,u-26-3
sw2177A-ms98-a-0020,71.348000,71.466875,me,I,co,u-26-3
sw2177A-ms98-a-0020,71.466875,71.708000,tell,I,co,u-26-3
sw2177A-ms98-a-0020,71.708000,71.828000,you,I,co,u-26-3
sw2177A-ms98-a-0020,71.828000,73.518000,[laughter],O,,
sw2177A-ms98-a-0022,74.991125,75.583625,uh-huh,B,b,u-28-1
sw2177A-ms98-a-0022,75.922625,76.179250,uh-huh,B,b^r,u-28-2
sw2177A-ms98-a-0022,76.179250,76.363750,now,B,sd,u-28-3
sw2177A-ms98-a-0022,76.363750,76.521125,i've,I,sd,u-28-3
sw2177A-ms98-a-0022,76.521125,76.731125,seen,I,sd,u-28-3
sw2177A-ms98-a-0022,76.731125,77.107625,another,I,sd,u-28-3
sw2177A-ms98-a-0022,77.299750,77.541125,clip,I,sd,u-28-3
sw2177A-ms98-a-0022,77.541125,77.771125,of,I,sd,u-28-3
sw2177A-ms98-a-0022,77.771125,78.364875,um,I,sd,u-28-3
sw2177A-ms98-a-0023,79.070875,79.178000,the,I,sd,u-28-3
sw2177A-ms98-a-0023,79.178000,79.351625,guy,I,sd,u-28-3
sw2177A-ms98-a-0023,79.351625,79.469125,that,I,sd,u-28-3
sw2177A-ms98-a-0023,79.469125,79.709125,plays,I,sd,u-28-3
sw2177A-ms98-a-0023,79.709125,79.829125,in,I,sd,u-28-3
sw2177A-ms98-a-0023,79.829125,80.169125,Murphy,I,sd,u-28-3
sw2177A-ms98-a-0023,80.169125,80.822750,Brown,I,sd,u-28-3
sw2177A-ms98-a-0023,81.150375,81.246875,i,B,h,u-28-4
sw2177A-ms98-a-0023,81.246875,81.449125,don't,I,h,u-28-4
sw2177A-ms98-a-0023,81.449125,81.569125,know,I,h,u-28-4
sw2177A-ms98-a-0023,81.569125,81.809125,his,I,h,u-28-4
sw2177A-ms98-a-0023,81.809125,82.219125,name,I,h,u-28-4
sw2177A-ms98-a-0023,82.219125,82.329125,but,B,sd,u-28-5
sw2177A-ms98-a-0023,82.329125,82.509125,he's,I,sd,u-28-5
sw2177A-ms98-a-0023,82.679125,82.809125,he,I,sd,u-28-5
sw2177A-ms98-a-0023,82.809125,83.073750,played,I,sd,u-28-5
sw2177A-ms98-a-0023,83.073750,83.254625,the,I,sd,u-28-5
sw2177A-ms98-a-0023,83.254625,83.489125,uh,I,sd,u-28-5
sw2177A-ms98-a-0023,83.489125,83.792125,the,I,sd,u-28-5
sw2177A-ms98-a-0023,83.792125,83.912750,the,I,sd,u-28-5
sw2177A-ms98-a-0023,83.912750,84.375750,character,I,sd,u-28-5
sw2177A-ms98-a-0023,84.375750,84.539125,in,I,sd,u-28-5
sw2177A-ms98-a-0023,84.539125,84.789125,it,I,sd,u-28-5
sw2177A-ms98-a-0023,84.789125,85.184875,that,I,sd,u-28-5
sw2177A-ms98-a-0024,85.671750,85.894375,was,I,sd,u-28-5
sw2177A-ms98-a-0024,85.894375,86.173750,very,I,sd,u-28-5
sw2177A-ms98-a-0024,86.173750,86.421750,like,I,sd,u-28-5
sw2177A-ms98-a-0024,86.421750,86.914250,gross,I,sd,u-28-5
sw2177A-ms98-a-0024,87.129000,87.254375,i,I,sd,u-28-5
sw2177A-ms98-a-0024,87.254375,87.661375,mean,I,sd,u-28-5
sw2177A-ms98-a-0024,87.661375,87.900125,very,I,sd,u-28-5
sw2177A-ms98-a-0024,87.900125,88.421750,dirty,I,sd,u-28-5
sw2177A-ms98-a-0024,88.421750,88.545750,an[d]-,O,,
sw2177A-ms98-a-0024,89.220000,89.625000,oh,B,sd,u-30-1
sw2177A-ms98-a-0024,89.625000,89.773500,i,I,sd,u-30-1
sw2177A-ms98-a-0024,89.773500,89.931750,saw,I,sd,u-30-1
sw2177A-ms98-a-0024,89.931750,90.057125,the,I,sd,u-30-1
sw2177A-ms98-a-0024,90.057125,90.251750,one,I,sd,u-30-1
sw2177A-ms98-a-0024,90.251750,90.491750,clip,I,sd,u-30-1
sw2177A-ms98-a-0024,90.491750,90.631750,of,I,sd,u-30-1
sw2177A-ms98-a-0024,90.631750,90.973375,him,I,sd,u-30-1
sw2177A-ms98-a-0024,90.973375,91.229000,and,B,fe,u-30-2
sw2177A-ms98-a-0024,91.229000,92.140875,ugh,I,fe,u-30-2
sw2177A-ms98-a-0024,92.140875,92.349000,it,B,%,u-30-3
sw2177A-ms98-a-0024,92.349000,92.490625,when,I,%,u-30-3
sw2177A-ms98-a-0024,92.490625,92.596125,he,I,%,u-30-3
sw2177A-ms98-a-0024,92.596125,92.771750,was,I,%,u-30-3
