sw3862B-ms98-a-0002,1.012625,1.452625,hello,B,fp,u-2-1
sw3862B-ms98-a-0004,4.388875,4.808875,hi,B,fp,u-4-1
sw3862B-ms98-a-0004,4.808875,4.988875,my,B,fp,u-4-2
sw3862B-ms98-a-0004,4.988875,5.258875,name,I,fp,u-4-2
sw3862B-ms98-a-0004,5.258875,5.388875,is,I,fp,u-4-2
sw3862B-ms98-a-0004,5.388875,5.748875,Pat,I,fp,u-4-2
sw3862B-ms98-a-0004,5.748875,6.278875,Johnson,I,fp,u-4-2
sw3862B-ms98-a-0004,6.278875,6.438875,and,B,fp,u-4-3
sw3862B-ms98-a-0004,6.438875,6.538875,i,I,fp,u-4-3
sw3862B-ms98-a-0004,6.538875,6.738875,live,I,fp,u-4-3
sw3862B-ms98-a-0004,6.738875,6.908875,in,I,fp,u-4-3
sw3862B-ms98-a-0004,6.908875,7.228875,[Tela[s]-/Texas],I,fp,u-4-3
sw3862B-ms98-a-0004,7.228875,7.878875,Texas,I,fp,u-4-3
sw3862B-ms98-a-0004,7.878875,8.193125,too,I,fp,u-4-3
sw3862B-ms98-a-0004,8.286000,8.478875,[vocalized-noise],O,,
sw3862B-ms98-a-0006,11.344625,11.646125,no,B,nn,u-6-1
sw3862B-ms98-a-0007,12.871625,13.061625,no,B,nn,u-8-1
sw3862B-ms98-a-0007,13.061625,13.221625,i,B,sd^e,u-8-2
sw3862B-ms98-a-0007,13.221625,13.411625,live,I,sd^e,u-8-2
sw3862B-ms98-a-0007,13.411625,13.551625,in,I,sd^e,u-8-2
sw3862B-ms98-a-0007,13.551625,14.041625,Dallas,I,sd^e,u-8-2
sw3862B-ms98-a-0007,14.041625,14.141625,i,B,sd,u-8-3
sw3862B-ms98-a-0007,14.141625,14.371625,work,I,sd,u-8-3
sw3862B-ms98-a-0007,14.371625,14.481625,for,I,sd,u-8-3
sw3862B-ms98-a-0007,14.481625,14.551625,the,I,sd,u-8-3
sw3862B-ms98-a-0007,14.551625,14.931625,Dallas,I,sd,u-8-3
sw3862B-ms98-a-0007,14.931625,15.251625,school,I,sd,u-8-3
sw3862B-ms98-a-0007,15.251625,15.787625,system,I,sd,u-8-3
sw3862B-ms98-a-0009,19.059500,19.238375,we,B,na,u-10-1
sw3862B-ms98-a-0009,19.238375,19.518375,might,I,na,u-10-1
sw3862B-ms98-a-0009,19.518375,19.648375,as,I,na,u-10-1
sw3862B-ms98-a-0009,19.648375,20.026500,well,I,na,u-10-1
sw3862B-ms98-a-0009,20.128375,20.468375,[laughter],O,,
sw3862B-ms98-a-0011,28.533750,29.083750,understand,B,qy^g^t,u-12-1
