sw3666A-ms98-a-0003,2.263875,2.792250,hello,B,fp,u-1-1
sw3666A-ms98-a-0005,4.700500,5.698875,[laughter],O,,
sw3666A-ms98-a-0006,6.177750,6.313625,well,B,sd^t,u-5-1
sw3666A-ms98-a-0006,6.313625,6.466625,i,I,sd^t,u-5-1
sw3666A-ms98-a-0006,6.466625,6.786625,hit,I,sd^t,u-5-1
sw3666A-ms98-a-0006,6.786625,6.966625,one,I,sd^t,u-5-1
sw3666A-ms98-a-0006,6.966625,7.076625,and,I,sd^t,u-5-1
sw3666A-ms98-a-0006,7.076625,7.416625,nothing,I,sd^t,u-5-1
sw3666A-ms98-a-0006,7.416625,7.976625,happened,I,sd^t,u-5-1
sw3666A-ms98-a-0006,7.976625,8.136625,what's,B,qw,u-5-2
sw3666A-ms98-a-0006,8.136625,8.336625,going,I,qw,u-5-2
sw3666A-ms98-a-0006,8.336625,8.809000,on,I,qw,u-5-2
sw3666A-ms98-a-0008,10.873500,11.033500,are,B,qy,u-7-1
sw3666A-ms98-a-0008,11.033500,11.173500,you,I,qy,u-7-1
sw3666A-ms98-a-0008,11.173500,11.653500,sure,I,qy,u-7-1
sw3666A-ms98-a-0008,11.653500,11.883500,don't,B,qy^t,u-9-1
sw3666A-ms98-a-0008,11.883500,11.983500,they,I,qy^t,u-9-1
sw3666A-ms98-a-0008,11.983500,12.473500,usually,I,qy^t,u-9-1
sw3666A-ms98-a-0008,12.473500,12.683500,tell,I,qy^t,u-9-1
sw3666A-ms98-a-0008,12.683500,12.773500,you,I,qy^t,u-9-1
sw3666A-ms98-a-0008,12.773500,12.883500,to,I,qy^t,u-9-1
sw3666A-ms98-a-0008,12.883500,13.113500,say,I,qy^t,u-9-1
sw3666A-ms98-a-0008,13.113500,13.678750,something,I,qy^t,u-9-1
sw3666A-ms98-a-0009,14.776750,15.236375,oh,B,b,u-11-1
sw3666A-ms98-a-0009,15.756125,16.356750,okay,B,b,u-13-1
sw3666A-ms98-a-0009,16.356750,16.516750,we're,B,sd,u-13-2
sw3666A-ms98-a-0009,16.516750,16.866750,supposed,I,sd,u-13-2
sw3666A-ms98-a-0009,16.866750,16.926750,to,I,sd,u-13-2
sw3666A-ms98-a-0009,16.926750,17.166750,talk,I,sd,u-13-2
sw3666A-ms98-a-0009,17.166750,17.456750,about,I,sd,u-13-2
sw3666A-ms98-a-0009,17.456750,17.666750,lawn,I,sd,u-13-2
sw3666A-ms98-a-0009,17.666750,17.816750,and,I,sd,u-13-2
sw3666A-ms98-a-0009,17.816750,18.246750,garden,I,sd,u-13-2
sw3666A-ms98-a-0011,21.619000,21.729000,what,B,qy,u-15-1
sw3666A-ms98-a-0011,21.729000,21.869000,do,I,qy,u-15-1
sw3666A-ms98-a-0011,21.869000,22.013875,i,I,qy,u-15-1
sw3666A-ms98-a-0011,22.013875,22.373625,do,I,qy,u-15-1
sw3666A-ms98-a-0011,22.853875,23.177750,well,B,sd,u-17-1
sw3666A-ms98-a-0011,23.177750,23.539000,i,I,sd,u-17-1
sw3666A-ms98-a-0011,23.539000,23.789750,uh,I,sd,u-17-1
sw3666A-ms98-a-0011,23.789750,23.951625,i,I,sd,u-17-1
sw3666A-ms98-a-0011,23.951625,24.249000,cut,I,sd,u-17-1
sw3666A-ms98-a-0011,24.249000,24.673875,it,I,sd,u-17-1
sw3666A-ms98-a-0011,24.878000,25.795500,occasionally,B,+,u-19-1
sw3666A-ms98-a-0011,26.169625,26.433625,is,B,qy,u-21-1
sw3666A-ms98-a-0011,26.569250,26.789000,uh,I,qy,u-21-1
sw3666A-ms98-a-0011,26.789000,27.059000,is,I,qy,u-21-1
sw3666A-ms98-a-0011,27.059000,27.289000,that,I,qy,u-21-1
sw3666A-ms98-a-0011,27.289000,27.649000,good,I,qy,u-21-1
sw3666A-ms98-a-0011,27.649000,28.169000,okay,B,%,u-21-2
sw3666A-ms98-a-0012,28.730250,29.063375,and,B,sd,u-23-1
sw3666A-ms98-a-0012,29.063375,29.113375,i,I,sd,u-23-1
sw3666A-ms98-a-0012,29.113375,29.483375,edge,I,sd,u-23-1
sw3666A-ms98-a-0012,29.483375,29.633375,it,I,sd,u-23-1
sw3666A-ms98-a-0012,29.633375,30.626625,occasionally,I,sd,u-23-1
sw3666A-ms98-a-0013,32.056875,32.306875,yeah,B,b,u-25-1
sw3666A-ms98-a-0013,32.306875,32.536875,see,B,qh,u-25-2
sw3666A-ms98-a-0013,32.536875,32.686875,am,I,qh,u-25-2
sw3666A-ms98-a-0013,32.686875,32.806875,i,I,qh,u-25-2
sw3666A-ms98-a-0013,32.806875,33.066875,good,I,qh,u-25-2
sw3666A-ms98-a-0013,33.066875,33.146875,or,I,qh,u-25-2
sw3666A-ms98-a-0013,33.146875,33.584250,what,I,qh,u-25-2
sw3666A-ms98-a-0014,34.461750,34.896625,and,B,sd,u-27-1
sw3666A-ms98-a-0014,34.896625,35.518250,uh,I,sd,u-27-1
sw3666A-ms98-a-0014,35.518250,36.047250,i,O,,
sw3666A-ms98-a-0014,36.047250,36.332625,uh,B,+,u-29-1
sw3666A-ms98-a-0014,36.332625,36.656625,m[uch]-,I,+,u-29-1
sw3666A-ms98-a-0014,36.656625,37.058250,much,I,+,u-29-1
sw3666A-ms98-a-0014,37.058250,37.498250,beyond,I,+,u-29-1
sw3666A-ms98-a-0014,37.498250,37.698250,that,I,+,u-29-1
sw3666A-ms98-a-0014,37.698250,37.798250,i,I,+,u-29-1
sw3666A-ms98-a-0014,37.798250,38.072375,don't,I,+,u-29-1
sw3666A-ms98-a-0014,38.072375,38.328250,do,I,+,u-29-1
sw3666A-ms98-a-0015,38.707500,39.865375,[laughter],O,,
sw3666A-ms98-a-0017,43.757750,44.131750,uh-huh,B,b,u-31-1
sw3666A-ms98-a-0019,46.487125,46.667125,oh,B,qy^d,u-33-1
sw3666A-ms98-a-0019,46.667125,46.797125,he,I,qy^d,u-33-1
sw3666A-ms98-a-0019,46.797125,46.997125,is,I,qy^d,u-33-1
sw3666A-ms98-a-0019,46.997125,47.217125,gonna,I,qy^d,u-33-1
sw3666A-ms98-a-0019,47.217125,47.377125,go,I,qy^d,u-33-1
sw3666A-ms98-a-0019,47.377125,47.557375,through,I,qy^d,u-33-1
sw3666A-ms98-a-0019,47.643125,47.814875,fence,I,qy^d,u-33-1
sw3666A-ms98-a-0020,49.080125,49.597375,uh-huh,B,b,u-35-1
sw3666A-ms98-a-0022,53.336250,53.563500,what,B,br,u-37-1
sw3666A-ms98-a-0022,53.563500,53.783500,for,I,br,u-37-1
sw3666A-ms98-a-0022,53.783500,53.855625,a,B,+,u-39-1
sw3666A-ms98-a-0022,53.855625,54.461250,fence,I,+,u-39-1
sw3666A-ms98-a-0024,56.600375,56.994625,oh,B,qy,u-41-1
sw3666A-ms98-a-0024,56.994625,57.141500,well,I,qy,u-41-1
sw3666A-ms98-a-0024,57.141500,57.325750,i,I,qy,u-41-1
sw3666A-ms98-a-0024,57.325750,57.813125,thought,I,qy,u-41-1
sw3666A-ms98-a-0024,57.813125,58.093000,isn't,I,qy,u-41-1
sw3666A-ms98-a-0024,58.093000,58.209750,he,I,qy,u-41-1
sw3666A-ms98-a-0024,58.209750,58.273750,the,I,qy,u-41-1
sw3666A-ms98-a-0024,58.273750,58.596875,same,I,qy,u-41-1
sw3666A-ms98-a-0024,58.596875,59.022375,one,I,qy,u-41-1
sw3666A-ms98-a-0025,60.156875,60.671375,yeah,B,b,u-43-1
sw3666A-ms98-a-0027,65.132250,65.314500,what,O,,
sw3666A-ms98-a-0027,65.314500,65.436125,am,O,,
sw3666A-ms98-a-0027,65.436125,65.620875,i,O,,
sw3666A-ms98-a-0027,65.620875,65.828875,i,B,sd,u-45-2
sw3666A-ms98-a-0027,65.828875,66.144875,don't,I,sd,u-45-2
sw3666A-ms98-a-0027,66.144875,66.431125,know,I,sd,u-45-2
sw3666A-ms98-a-0029,70.792125,71.207375,yeah,B,b,u-47-1
sw3666A-ms98-a-0031,72.933375,73.223250,yeah,B,b,u-49-1
sw3666A-ms98-a-0031,73.223250,73.353375,but,B,ad,u-49-2
sw3666A-ms98-a-0031,73.353375,73.483375,you,I,ad,u-49-2
sw3666A-ms98-a-0031,73.483375,73.603375,know,I,ad,u-49-2
sw3666A-ms98-a-0031,73.603375,73.783375,you,I,ad,u-49-2
sw3666A-ms98-a-0031,73.783375,73.843375,ought,I,ad,u-49-2
sw3666A-ms98-a-0031,73.843375,73.913375,to,I,ad,u-49-2
sw3666A-ms98-a-0031,73.913375,74.073375,get,I,ad,u-49-2
sw3666A-ms98-a-0031,74.073375,74.183375,him,I,ad,u-49-2
sw3666A-ms98-a-0031,74.183375,74.353375,to,I,ad,u-49-2
sw3666A-ms98-a-0031,74.353375,74.676500,g[o]-,I,ad,u-49-2
sw3666A-ms98-a-0031,74.676500,74.860500,pull,I,ad,u-49-2
sw3666A-ms98-a-0031,74.860500,74.983125,the,I,ad,u-49-2
sw3666A-ms98-a-0031,74.983125,75.549000,weeds,I,ad,u-49-2
sw3666A-ms98-a-0033,79.721500,80.008125,oh,B,b,u-51-1
sw3666A-ms98-a-0035,82.229750,82.609750,um-hum,B,b,u-53-1
sw3666A-ms98-a-0037,84.435375,84.927375,yeah,B,b,u-55-1
sw3666A-ms98-a-0039,88.629875,89.049875,uh-huh,B,b,u-57-1
sw3666A-ms98-a-0040,90.598625,90.999500,yeah,B,b,u-59-1
sw3666A-ms98-a-0042,94.253750,94.611375,well,B,%,u-61-1
sw3666A-ms98-a-0042,94.991375,95.341375,so,I,%,u-61-1
sw3666A-ms98-a-0044,98.782500,99.112500,yeah,B,b,u-63-1
sw3666A-ms98-a-0044,99.112500,99.292500,so,B,qy^d,u-63-2
sw3666A-ms98-a-0044,99.292500,99.382500,you,B,+,u-65-1
sw3666A-ms98-a-0044,99.382500,99.630000,haven't,I,+,u-65-1
sw3666A-ms98-a-0044,99.923750,100.002500,you,I,+,u-65-1
sw3666A-ms98-a-0044,100.002500,100.252500,haven't,I,+,u-65-1
sw3666A-ms98-a-0044,100.252500,100.562500,pulled,I,+,u-65-1
sw3666A-ms98-a-0044,100.562500,100.762500,any,I,+,u-65-1
sw3666A-ms98-a-0044,100.762500,101.082500,weeds,I,+,u-65-1
sw3666A-ms98-a-0044,101.082500,101.522500,lately,I,+,u-65-1
sw3666A-ms98-a-0045,101.894500,103.108500,[laughter],O,,
sw3666A-ms98-a-0047,108.089375,108.577625,yeah,B,b,u-69-1
sw3666A-ms98-a-0049,111.483125,111.753125,uh-huh,B,b,u-71-1
sw3666A-ms98-a-0051,118.040750,118.430750,oh,B,ba,u-73-1
sw3666A-ms98-a-0051,118.430750,118.660000,oh,I,ba,u-73-1
sw3666A-ms98-a-0051,118.660000,119.080750,goody,I,ba,u-73-1
sw3666A-ms98-a-0053,122.734875,122.910500,i,B,sd,u-75-1
sw3666A-ms98-a-0053,122.910500,123.075250,thought,I,sd,u-75-1
sw3666A-ms98-a-0053,123.075250,123.196125,you,I,sd,u-75-1
sw3666A-ms98-a-0053,123.196125,123.279000,were,I,sd,u-75-1
sw3666A-ms98-a-0053,123.279000,123.325625,going,I,sd,u-75-1
sw3666A-ms98-a-0053,123.325625,123.348250,to,I,sd,u-75-1
sw3666A-ms98-a-0053,123.348250,123.588250,say,I,sd,u-75-1
sw3666A-ms98-a-0053,123.588250,123.673375,the[re]-,O,,
sw3666A-ms98-a-0053,123.961500,124.070750,i,B,+,u-77-1
sw3666A-ms98-a-0053,124.070750,124.194875,thought,I,+,u-77-1
sw3666A-ms98-a-0053,124.194875,124.254875,you,I,+,u-77-1
sw3666A-ms98-a-0053,124.254875,124.384875,gonna,I,+,u-77-1
sw3666A-ms98-a-0053,124.384875,124.534875,say,I,+,u-77-1
sw3666A-ms98-a-0053,124.534875,124.634875,there,I,+,u-77-1
sw3666A-ms98-a-0053,124.634875,124.834875,was,I,+,u-77-1
sw3666A-ms98-a-0053,124.834875,124.874875,a,I,+,u-77-1
sw3666A-ms98-a-0053,124.874875,125.084875,snake,I,+,u-77-1
sw3666A-ms98-a-0053,125.084875,125.164875,[laughter-in],O,,
sw3666A-ms98-a-0053,125.164875,125.416750,[laughter-the],O,,
sw3666A-ms98-a-0053,125.416750,125.474000,[laughter-weeds],O,,
sw3666A-ms98-a-0054,126.582875,127.911000,[laughter],O,,
sw3666A-ms98-a-0054,127.911000,128.252500,[laughter-oh],O,,
sw3666A-ms98-a-0054,128.252500,128.562500,[laughter-God],O,,
sw3666A-ms98-a-0054,128.562500,128.987375,[laughter-oh],O,,
sw3666A-ms98-a-0054,128.987375,129.952500,[laughter],O,,
sw3666A-ms98-a-0056,132.743250,133.240750,yeah,B,b,u-81-1
sw3666A-ms98-a-0057,135.025375,135.386250,oh,B,ba,u-83-1
sw3666A-ms98-a-0057,135.386250,135.846250,God,I,ba,u-83-1
sw3666A-ms98-a-0058,137.480750,137.718625,but,B,qw,u-85-1
sw3666A-ms98-a-0058,137.718625,137.936000,uh,I,qw,u-85-1
sw3666A-ms98-a-0058,138.120500,138.330750,how,I,qw,u-85-1
sw3666A-ms98-a-0058,138.330750,138.410750,are,I,qw,u-85-1
sw3666A-ms98-a-0058,138.410750,138.692625,your,I,qw,u-85-1
sw3666A-ms98-a-0058,138.692625,138.900750,your,I,qw,u-85-1
sw3666A-ms98-a-0058,138.900750,139.802875,flowers,I,qw,u-85-1
sw3666A-ms98-a-0058,139.983625,140.130750,your,I,qw,u-85-1
sw3666A-ms98-a-0058,140.130750,140.390750,little,I,qw,u-85-1
sw3666A-ms98-a-0058,140.390750,140.730750,things,I,qw,u-85-1
sw3666A-ms98-a-0058,140.730750,140.800750,you,I,qw,u-85-1
sw3666A-ms98-a-0058,140.800750,141.210750,planted,I,qw,u-85-1
sw3666A-ms98-a-0058,141.210750,141.350750,did,B,qy,u-85-2
sw3666A-ms98-a-0058,141.350750,141.470750,they,I,qy,u-85-2
sw3666A-ms98-a-0058,141.470750,141.820750,die,I,qy,u-85-2
sw3666A-ms98-a-0058,141.820750,141.940750,or,I,qy,u-85-2
sw3666A-ms98-a-0058,141.940750,142.245000,what,I,qy,u-85-2
sw3666A-ms98-a-0059,143.412875,143.662875,oh,B,%,u-87-1
sw3666A-ms98-a-0059,143.662875,143.802875,they're,I,%,u-87-1
sw3666A-ms98-a-0059,143.802875,144.012875,all,I,%,u-87-1
sw3666A-ms98-a-0059,144.012875,144.232875,so,B,%,u-87-2
sw3666A-ms98-a-0059,144.232875,144.452875,they,I,%,u-87-2
sw3666A-ms98-a-0059,144.452875,144.562875,oh,I,%,u-87-2
sw3666A-ms98-a-0059,144.562875,144.672875,are,B,qy,u-87-3
sw3666A-ms98-a-0059,144.672875,144.762875,they,I,qy,u-87-3
sw3666A-ms98-a-0059,144.762875,144.882875,going,I,qy,u-87-3
sw3666A-ms98-a-0059,144.882875,144.942875,to,I,qy,u-87-3
sw3666A-ms98-a-0059,144.942875,145.102875,come,I,qy,u-87-3
sw3666A-ms98-a-0059,145.102875,145.302875,back,I,qy,u-87-3
sw3666A-ms98-a-0059,145.302875,145.382875,in,I,qy,u-87-3
sw3666A-ms98-a-0059,145.382875,145.472875,the,I,qy,u-87-3
sw3666A-ms98-a-0059,145.472875,146.103250,spring,I,qy,u-87-3
sw3666A-ms98-a-0060,147.187000,147.610750,oh,B,b,u-89-1
sw3666A-ms98-a-0062,153.055125,153.435125,uh-huh,B,b,u-91-1
sw3666A-ms98-a-0064,156.488125,156.942250,yeah,B,b,u-93-1
sw3666A-ms98-a-0066,161.430375,162.000375,oh,B,b,u-95-1
sw3666A-ms98-a-0068,164.204250,164.624250,yeah,B,b,u-97-1
sw3666A-ms98-a-0070,168.547375,168.687375,i,B,sd,u-99-1
sw3666A-ms98-a-0070,168.687375,168.867375,don't,I,sd,u-99-1
sw3666A-ms98-a-0070,168.867375,169.135500,know,I,sd,u-99-1
sw3666A-ms98-a-0070,169.135500,169.605625,uh,I,sd,u-99-1
sw3666A-ms98-a-0071,170.438875,170.818875,those,B,qy,u-101-1
sw3666A-ms98-a-0071,170.818875,171.428875,flowers,I,qy,u-101-1
sw3666A-ms98-a-0071,171.428875,171.738875,remember,I,qy,u-101-1
sw3666A-ms98-a-0071,171.738875,171.928875,those,I,qy,u-101-1
sw3666A-ms98-a-0071,171.928875,172.108875,little,I,qy,u-101-1
sw3666A-ms98-a-0071,172.108875,172.368875,ones,I,qy,u-101-1
sw3666A-ms98-a-0071,172.368875,172.458875,you,I,qy,u-101-1
sw3666A-ms98-a-0071,172.458875,172.718875,gave,I,qy,u-101-1
sw3666A-ms98-a-0071,172.718875,173.038875,me,I,qy,u-101-1
sw3666A-ms98-a-0072,174.054750,174.264750,yeah,B,b^m,u-103-1
sw3666A-ms98-a-0072,174.264750,174.444750,well,B,sd,u-103-2
sw3666A-ms98-a-0072,174.444750,174.724750,they're,I,sd,u-103-2
sw3666A-ms98-a-0072,174.724750,174.754750,i,I,sd,u-103-2
sw3666A-ms98-a-0072,174.754750,174.934750,know,I,sd,u-103-2
sw3666A-ms98-a-0072,174.934750,175.104750,they,I,sd,u-103-2
sw3666A-ms98-a-0072,175.104750,175.234750,were,I,sd,u-103-2
sw3666A-ms98-a-0072,175.234750,175.594750,still,I,sd,u-103-2
sw3666A-ms98-a-0072,175.594750,176.034750,blooming,I,sd,u-103-2
sw3666A-ms98-a-0072,176.034750,176.184750,up,I,sd,u-103-2
sw3666A-ms98-a-0072,176.184750,176.454750,until,I,sd,u-103-2
sw3666A-ms98-a-0072,176.454750,176.834750,about,I,sd,u-103-2
sw3666A-ms98-a-0072,176.834750,176.884750,a,I,sd,u-103-2
sw3666A-ms98-a-0072,176.884750,176.934750,a,I,sd,u-103-2
sw3666A-ms98-a-0072,176.934750,177.124750,few,I,sd,u-103-2
sw3666A-ms98-a-0072,177.124750,177.424750,weeks,I,sd,u-103-2
sw3666A-ms98-a-0072,177.424750,177.774500,ago,I,sd,u-103-2
sw3666A-ms98-a-0073,178.363625,179.037250,yeah,B,ny,u-105-1
sw3666A-ms98-a-0075,181.083000,181.493000,yeah,B,b,u-107-1
sw3666A-ms98-a-0075,181.493000,181.728625,they,B,sv,u-107-2
sw3666A-ms98-a-0077,183.640625,183.900625,they're,B,+,u-109-1
sw3666A-ms98-a-0077,183.900625,184.120625,really,I,+,u-109-1
sw3666A-ms98-a-0077,184.120625,184.529875,pretty,I,+,u-109-1
sw3666A-ms98-a-0079,190.144125,190.479000,uh-huh,B,b,u-111-1
sw3666A-ms98-a-0080,191.778500,192.245000,yeah,B,b,u-113-1
sw3666A-ms98-a-0082,194.249250,194.902000,[laughter],O,,
sw3666A-ms98-a-0083,196.220500,196.560500,yeah,B,ny,u-115-1
sw3666A-ms98-a-0083,196.560500,196.590500,i,B,qy^t,u-115-2
sw3666A-ms98-a-0083,196.590500,196.810500,mean,I,qy^t,u-115-2
sw3666A-ms98-a-0083,196.810500,197.060500,isn't,B,+,u-117-1
sw3666A-ms98-a-0083,197.060500,197.130500,it,I,+,u-117-1
sw3666A-ms98-a-0083,197.130500,197.370500,supposed,I,+,u-117-1
sw3666A-ms98-a-0083,197.370500,197.450500,to,I,+,u-117-1
sw3666A-ms98-a-0083,197.450500,197.510500,be,I,+,u-117-1
sw3666A-ms98-a-0083,197.510500,197.810500,five,I,+,u-117-1
sw3666A-ms98-a-0083,197.810500,198.167875,minutes,I,+,u-117-1
sw3666A-ms98-a-0085,200.258250,200.458250,we,B,qy^g,u-119-1
sw3666A-ms98-a-0085,200.458250,200.738250,didn't,I,qy^g,u-119-1
sw3666A-ms98-a-0085,200.738250,201.348250,disconnect,I,qy^g,u-119-1
sw3666A-ms98-a-0085,201.348250,201.548250,did,I,qy^g,u-119-1
sw3666A-ms98-a-0085,201.548250,201.708250,we,I,qy^g,u-119-1
sw3666A-ms98-a-0085,201.708250,202.158125,[laughter],O,,
sw3666A-ms98-a-0086,202.677125,203.804375,[laughter],O,,
sw3666A-ms98-a-0087,204.526375,204.626375,oh,O,,
sw3666A-ms98-a-0087,204.626375,204.716375,i,B,sd,u-123-1
sw3666A-ms98-a-0087,204.716375,204.946375,hate,I,sd,u-123-1
sw3666A-ms98-a-0087,204.946375,205.026375,to,I,sd,u-123-1
sw3666A-ms98-a-0087,205.026375,205.264000,think,I,sd,u-123-1
sw3666A-ms98-a-0087,205.452375,205.556375,i,B,+,u-125-1
sw3666A-ms98-a-0087,205.556375,205.776375,hate,I,+,u-125-1
sw3666A-ms98-a-0087,205.776375,205.886375,to,I,+,u-125-1
sw3666A-ms98-a-0087,205.886375,206.136375,think,I,+,u-125-1
sw3666A-ms98-a-0087,206.136375,206.276375,i'd,I,+,u-125-1
sw3666A-ms98-a-0087,206.276375,206.366375,be,I,+,u-125-1
sw3666A-ms98-a-0087,206.366375,206.776375,talking,I,+,u-125-1
sw3666A-ms98-a-0087,206.776375,206.866375,to,I,+,u-125-1
sw3666A-ms98-a-0087,206.866375,206.956375,you,I,+,u-125-1
sw3666A-ms98-a-0087,206.956375,207.296375,without,I,+,u-125-1
sw3666A-ms98-a-0087,207.296375,207.556375,getting,I,+,u-125-1
sw3666A-ms98-a-0087,207.556375,207.736375,paid,I,+,u-125-1
sw3666A-ms98-a-0087,207.736375,208.366375,[laughter],O,,
sw3666A-ms98-a-0088,208.573250,210.281750,[laughter],O,,
sw3666A-ms98-a-0090,212.066500,212.408125,what,B,br,u-127-1
sw3666A-ms98-a-0091,213.471000,213.885375,uh-huh,B,b,u-129-1
sw3666A-ms98-a-0093,215.876500,216.046500,you're,B,ba,u-131-1
sw3666A-ms98-a-0093,216.046500,216.711750,kidding,I,ba,u-131-1
