sw2407B-ms98-a-0003,2.304625,3.025125,okay,B,o,u-1-1
sw2407B-ms98-a-0003,3.448500,3.837625,well,B,%,u-1-2
sw2407B-ms98-a-0005,12.538750,13.082875,ah,B,b,u-3-1
sw2407B-ms98-a-0005,13.700375,14.179250,yeah,B,b,u-5-1
sw2407B-ms98-a-0006,15.451500,15.611500,so,B,bf,u-7-1
sw2407B-ms98-a-0006,15.611500,15.811500,you,I,bf,u-7-1
sw2407B-ms98-a-0006,15.811500,16.121500,haven't,I,bf,u-7-1
sw2407B-ms98-a-0006,16.121500,16.611500,really,I,bf,u-7-1
sw2407B-ms98-a-0006,16.611500,17.005750,uh,I,bf,u-7-1
sw2407B-ms98-a-0006,17.288250,17.651500,dealt,I,bf,u-7-1
sw2407B-ms98-a-0006,17.651500,17.861500,with,I,bf,u-7-1
sw2407B-ms98-a-0006,17.861500,18.121500,that,I,bf,u-7-1
sw2407B-ms98-a-0006,18.121500,18.261500,in,I,bf,u-7-1
sw2407B-ms98-a-0006,18.261500,18.331500,a,I,bf,u-7-1
sw2407B-ms98-a-0006,18.331500,19.086625,sense,I,bf,u-7-1
sw2407B-ms98-a-0008,23.443125,25.507375,[laughter],O,,
sw2407B-ms98-a-0010,27.298125,27.708125,yeah,B,b,u-11-1
sw2407B-ms98-a-0010,28.078125,28.438125,yeah,B,b,u-13-1
sw2407B-ms98-a-0012,31.185750,31.565750,uh,B,ng,u-15-1
sw2407B-ms98-a-0012,31.565750,31.795750,mine,I,ng,u-15-1
sw2407B-ms98-a-0012,31.795750,31.855750,are,I,ng,u-15-1
sw2407B-ms98-a-0012,31.855750,32.105750,both,I,ng,u-15-1
sw2407B-ms98-a-0012,32.105750,32.225750,out,I,ng,u-15-1
sw2407B-ms98-a-0012,32.225750,32.305750,of,I,ng,u-15-1
sw2407B-ms98-a-0012,32.305750,32.781500,school,I,ng,u-15-1
sw2407B-ms98-a-0012,33.312500,33.885750,and,B,sd,u-17-1
sw2407B-ms98-a-0012,33.885750,34.335750,uh,I,sd,u-17-1
sw2407B-ms98-a-0013,35.434250,35.504250,you,B,+,u-19-1
sw2407B-ms98-a-0013,35.504250,35.684250,know,I,+,u-19-1
sw2407B-ms98-a-0013,35.684250,35.866875,i,I,+,u-19-1
sw2407B-ms98-a-0013,36.059000,36.584125,i've,I,+,u-19-1
sw2407B-ms98-a-0014,37.745125,38.095125,in,I,+,u-19-1
sw2407B-ms98-a-0014,38.095125,39.132000,hindsight,I,+,u-19-1
sw2407B-ms98-a-0014,39.487375,40.065125,seen,I,+,u-19-1
sw2407B-ms98-a-0014,40.065125,40.275125,some,I,+,u-19-1
sw2407B-ms98-a-0014,40.275125,40.655125,things,I,+,u-19-1
sw2407B-ms98-a-0014,40.655125,40.845125,that,I,+,u-19-1
sw2407B-ms98-a-0014,40.845125,41.055125,i,I,+,u-19-1
sw2407B-ms98-a-0014,41.055125,41.585125,wished,I,+,u-19-1
sw2407B-ms98-a-0014,41.585125,41.815125,that,I,+,u-19-1
sw2407B-ms98-a-0014,42.545125,42.635125,you,I,+,u-19-1
sw2407B-ms98-a-0014,42.635125,42.885125,know,I,+,u-19-1
sw2407B-ms98-a-0014,42.885125,43.015125,i,I,+,u-19-1
sw2407B-ms98-a-0014,43.015125,43.245125,had,I,+,u-19-1
sw2407B-ms98-a-0014,43.245125,43.435125,done,I,+,u-19-1
sw2407B-ms98-a-0014,43.435125,43.755125,something,I,+,u-19-1
sw2407B-ms98-a-0014,43.755125,44.409125,about,I,+,u-19-1
sw2407B-ms98-a-0014,44.672750,44.845125,that,I,+,u-19-1
sw2407B-ms98-a-0014,44.845125,44.995125,was,I,+,u-19-1
sw2407B-ms98-a-0014,45.195125,45.305125,you,I,+,u-19-1
sw2407B-ms98-a-0014,45.305125,45.395125,know,I,+,u-19-1
sw2407B-ms98-a-0014,45.395125,45.725125,within,I,+,u-19-1
sw2407B-ms98-a-0014,45.725125,45.915125,my,I,+,u-19-1
sw2407B-ms98-a-0014,45.915125,46.535125,power,I,+,u-19-1
sw2407B-ms98-a-0014,46.535125,47.004750,or,I,+,u-19-1
sw2407B-ms98-a-0014,47.581125,48.060125,uh,I,+,u-19-1
sw2407B-ms98-a-0015,48.567250,48.767250,you,I,+,u-19-1
sw2407B-ms98-a-0015,48.767250,48.917250,know,I,+,u-19-1
sw2407B-ms98-a-0015,48.917250,49.147250,wish,I,+,u-19-1
sw2407B-ms98-a-0015,49.147250,49.377250,that,I,+,u-19-1
sw2407B-ms98-a-0015,50.177250,50.287250,in,I,+,u-19-1
sw2407B-ms98-a-0015,50.287250,50.557250,some,I,+,u-19-1
sw2407B-ms98-a-0015,50.557250,51.237250,ways,I,+,u-19-1
sw2407B-ms98-a-0015,51.237250,51.587250,we,I,+,u-19-1
sw2407B-ms98-a-0015,51.587250,51.777250,as,I,+,u-19-1
sw2407B-ms98-a-0015,51.777250,52.347250,parents,I,+,u-19-1
sw2407B-ms98-a-0015,52.347250,52.607250,had,I,+,u-19-1
sw2407B-ms98-a-0015,52.607250,52.817250,more,I,+,u-19-1
sw2407B-ms98-a-0015,52.817250,53.397250,control,I,+,u-19-1
sw2407B-ms98-a-0015,53.397250,53.858500,over,I,+,u-19-1
sw2407B-ms98-a-0016,54.672000,54.832000,what's,B,+,u-21-1
sw2407B-ms98-a-0016,54.832000,55.362000,happening,I,+,u-21-1
sw2407B-ms98-a-0016,55.362000,55.512000,up,I,+,u-21-1
sw2407B-ms98-a-0016,55.512000,55.882000,there,I,+,u-21-1
sw2407B-ms98-a-0016,55.882000,55.942000,[laughter-you],I,+,u-21-1
sw2407B-ms98-a-0016,55.942000,56.112000,[laughter-know],I,+,u-21-1
sw2407B-ms98-a-0016,56.112000,56.392000,type,I,+,u-21-1
sw2407B-ms98-a-0016,56.392000,56.692000,thing,I,+,u-21-1
sw2407B-ms98-a-0016,57.392000,57.874000,um,B,sd,u-21-2
sw2407B-ms98-a-0016,58.329750,58.782000,well,I,sd,u-21-2
sw2407B-ms98-a-0017,59.867125,60.197125,just,I,sd,u-21-2
sw2407B-ms98-a-0017,60.197125,60.407125,over,I,sd,u-21-2
