sw3144B-ms98-a-0002,1.193125,1.644125,yeah,B,ny,u-2-1
sw3144B-ms98-a-0004,4.237000,4.542125,well,B,^h,u-4-1
sw3144B-ms98-a-0004,4.785625,5.178250,uh,I,^h,u-4-1
sw3144B-ms98-a-0004,5.279875,5.557000,it's,I,^h,u-4-1
sw3144B-ms98-a-0004,5.557000,6.122875,funny,I,^h,u-4-1
sw3144B-ms98-a-0004,6.759375,6.977000,when,I,^h,u-4-1
sw3144B-ms98-a-0004,6.977000,7.087000,i,I,^h,u-4-1
sw3144B-ms98-a-0004,7.087000,7.377000,tried,I,^h,u-4-1
sw3144B-ms98-a-0004,7.377000,7.547000,to,B,+,u-6-1
sw3144B-ms98-a-0004,7.547000,7.767000,make,I,+,u-6-1
sw3144B-ms98-a-0004,7.767000,7.884750,the,I,+,u-6-1
sw3144B-ms98-a-0004,7.884750,8.165000,call,I,+,u-6-1
sw3144B-ms98-a-0004,8.165000,8.297000,the,I,+,u-6-1
sw3144B-ms98-a-0004,8.297000,8.515000,other,I,+,u-6-1
sw3144B-ms98-a-0004,8.628000,9.027000,days,I,+,u-6-1
sw3144B-ms98-a-0004,9.027000,9.197000,i,B,sd,u-6-2
sw3144B-ms98-a-0004,9.197000,9.547000,thought,I,sd,u-6-2
sw3144B-ms98-a-0004,9.547000,9.663250,i,B,sd,u-8-1
sw3144B-ms98-a-0004,9.663250,9.949500,hadn't,I,sd,u-8-1
sw3144B-ms98-a-0004,9.949500,10.317000,seen,I,sd,u-8-1
sw3144B-ms98-a-0004,10.317000,10.767000,anything,I,sd,u-8-1
sw3144B-ms98-a-0004,10.767000,11.067000,since,I,sd,u-8-1
sw3144B-ms98-a-0004,11.067000,11.517000,Dances,I,sd,u-8-1
sw3144B-ms98-a-0004,11.517000,11.707000,With,I,sd,u-8-1
sw3144B-ms98-a-0004,11.707000,12.097000,Wolves,I,sd,u-8-1
sw3144B-ms98-a-0004,12.097000,12.317000,but,B,sd,u-8-2
sw3144B-ms98-a-0004,12.317000,12.757000,today,I,sd,u-8-2
sw3144B-ms98-a-0004,12.757000,12.847000,i,I,sd,u-8-2
sw3144B-ms98-a-0004,12.847000,13.097000,went,I,sd,u-8-2
sw3144B-ms98-a-0004,13.097000,13.197000,to,I,sd,u-8-2
sw3144B-ms98-a-0004,13.197000,13.477000,see,I,sd,u-8-2
sw3144B-ms98-a-0004,13.477000,13.967000,Regarding,I,sd,u-8-2
sw3144B-ms98-a-0004,13.967000,14.137000,With,I,sd,u-8-2
sw3144B-ms98-a-0004,14.137000,14.637000,Henry,I,sd,u-8-2
sw3144B-ms98-a-0005,15.969625,16.159625,it,B,sv,u-10-1
sw3144B-ms98-a-0005,16.159625,16.429625,was,I,sv,u-10-1
sw3144B-ms98-a-0005,16.429625,16.899625,really,I,sv,u-10-1
sw3144B-ms98-a-0005,16.899625,17.559625,good,I,sv,u-10-1
sw3144B-ms98-a-0005,17.559625,17.789625,we,B,%,u-10-2
sw3144B-ms98-a-0005,17.789625,18.430250,uh,B,sd,u-12-1
sw3144B-ms98-a-0005,18.430250,18.759625,Jeff,I,sd,u-12-1
sw3144B-ms98-a-0005,18.759625,19.089625,Warner,I,sd,u-12-1
sw3144B-ms98-a-0005,19.089625,19.359625,just,I,sd,u-12-1
sw3144B-ms98-a-0005,19.359625,19.539625,got,I,sd,u-12-1
sw3144B-ms98-a-0005,19.539625,19.689625,out,I,sd,u-12-1
sw3144B-ms98-a-0005,19.689625,19.799625,of,I,sd,u-12-1
sw3144B-ms98-a-0005,19.799625,19.929625,the,I,sd,u-12-1
sw3144B-ms98-a-0005,19.929625,20.935875,hospital,I,sd,u-12-1
sw3144B-ms98-a-0005,20.935875,21.296125,and,B,sd,u-14-1
sw3144B-ms98-a-0005,21.296125,21.621875,uh,I,sd,u-14-1
sw3144B-ms98-a-0005,21.621875,21.899625,Jeff,I,sd,u-14-1
sw3144B-ms98-a-0005,21.899625,22.029625,and,I,sd,u-14-1
sw3144B-ms98-a-0005,22.029625,22.399625,Deanna,I,sd,u-14-1
sw3144B-ms98-a-0005,22.399625,22.889625,went,I,sd,u-14-1
sw3144B-ms98-a-0005,22.889625,23.322500,and,I,sd,u-14-1
sw3144B-ms98-a-0006,23.818875,24.078875,another,I,sd,u-14-1
sw3144B-ms98-a-0006,24.078875,24.358875,friend,I,sd,u-14-1
sw3144B-ms98-a-0006,24.358875,24.438875,in,I,sd,u-14-1
sw3144B-ms98-a-0006,24.438875,24.498875,the,I,sd,u-14-1
sw3144B-ms98-a-0006,24.498875,25.188875,neighborhood,I,sd,u-14-1
sw3144B-ms98-a-0006,25.188875,25.378125,and,B,sd,u-14-2
sw3144B-ms98-a-0006,25.935625,26.405875,uh,I,sd,u-14-2
sw3144B-ms98-a-0006,26.405875,26.608875,we,I,sd,u-14-2
sw3144B-ms98-a-0006,26.608875,26.812750,all,I,sd,u-14-2
sw3144B-ms98-a-0006,26.812750,27.088875,liked,I,sd,u-14-2
sw3144B-ms98-a-0006,27.088875,27.198875,it,I,sd,u-14-2
sw3144B-ms98-a-0006,27.198875,27.348875,we,B,sd,u-14-3
sw3144B-ms98-a-0006,27.348875,27.828875,had,I,sd,u-14-3
sw3144B-ms98-a-0006,27.828875,28.106375,uh,I,sd,u-14-3
sw3144B-ms98-a-0006,28.456625,28.962625,both,I,sd,u-14-3
sw3144B-ms98-a-0006,29.320375,30.118875,moms,I,sd,u-14-3
