sw3085B-ms98-a-0002,1.764000,2.347500,okay,B,b^m,u-2-1
sw3085B-ms98-a-0002,2.780625,3.014000,i,B,%,u-2-2
sw3085B-ms98-a-0002,3.014000,3.264000,my,B,sd,u-2-3
sw3085B-ms98-a-0002,3.264000,3.694000,children,I,sd,u-2-3
sw3085B-ms98-a-0002,3.694000,3.844000,as,I,sd,u-2-3
sw3085B-ms98-a-0002,3.844000,3.904000,a,I,sd,u-2-3
sw3085B-ms98-a-0002,3.904000,4.154000,matter,I,sd,u-2-3
sw3085B-ms98-a-0002,4.154000,4.224000,of,I,sd,u-2-3
sw3085B-ms98-a-0002,4.224000,4.588000,fact,I,sd,u-2-3
sw3085B-ms98-a-0002,4.588000,4.701000,are,I,sd,u-2-3
sw3085B-ms98-a-0002,4.701000,5.014000,all,I,sd,u-2-3
sw3085B-ms98-a-0002,5.014000,5.374000,grown,I,sd,u-2-3
sw3085B-ms98-a-0002,5.374000,5.652750,now,I,sd,u-2-3
sw3085B-ms98-a-0002,5.874875,6.174000,so,B,sd,u-2-4
sw3085B-ms98-a-0002,6.174000,6.304000,i,I,sd,u-2-4
sw3085B-ms98-a-0002,6.304000,6.580250,am,I,sd,u-2-4
sw3085B-ms98-a-0002,6.779625,6.896375,a[ssisting]-,O,,
sw3085B-ms98-a-0002,6.896375,7.741875,assisting,B,+,u-4-1
sw3085B-ms98-a-0002,7.741875,7.876000,uh,I,+,u-4-1
sw3085B-ms98-a-0002,7.876000,8.312875,them,I,+,u-4-1
sw3085B-ms98-a-0002,8.312875,8.728250,with,I,+,u-4-1
sw3085B-ms98-a-0002,8.811125,9.214000,their,I,+,u-4-1
sw3085B-ms98-a-0002,9.214000,9.774000,children,I,+,u-4-1
sw3085B-ms98-a-0002,9.774000,9.864000,in,B,+,u-6-1
sw3085B-ms98-a-0002,9.864000,10.014000,their,I,+,u-6-1
sw3085B-ms98-a-0002,10.014000,10.924000,selections,I,+,u-6-1
sw3085B-ms98-a-0002,10.924000,11.244000,so,B,%,u-6-2
sw3085B-ms98-a-0004,14.693625,15.187750,um-hum,B,b,u-8-1
sw3085B-ms98-a-0006,19.975750,20.433125,um-hum,B,b,u-10-1
sw3085B-ms98-a-0008,26.837250,27.127250,uh-huh,B,b,u-12-1
sw3085B-ms98-a-0010,32.863625,33.376625,um-hum,B,b,u-14-1
sw3085B-ms98-a-0012,38.407625,38.679125,um-hum,B,b,u-16-1
sw3085B-ms98-a-0013,39.856875,40.041125,well,B,sv,u-18-1
sw3085B-ms98-a-0013,40.041125,40.190375,i,I,sv,u-18-1
sw3085B-ms98-a-0013,40.190375,40.785375,myself,I,sv,u-18-1
sw3085B-ms98-a-0013,40.785375,41.161125,really,I,sv,u-18-1
sw3085B-ms98-a-0013,41.161125,41.521125,feel,I,sv,u-18-1
sw3085B-ms98-a-0013,41.521125,41.801125,like,I,sv,u-18-1
sw3085B-ms98-a-0013,41.801125,41.871125,the,I,sv,u-18-1
sw3085B-ms98-a-0013,41.871125,42.421125,structured,I,sv,u-18-1
sw3085B-ms98-a-0013,42.421125,42.571125,day,I,sv,u-18-1
sw3085B-ms98-a-0013,42.571125,42.896375,care,I,sv,u-18-1
sw3085B-ms98-a-0013,42.896375,43.634625,program,I,sv,u-18-1
sw3085B-ms98-a-0013,43.634625,44.031125,is,I,sv,u-18-1
sw3085B-ms98-a-0013,44.031125,44.241125,more,I,sv,u-18-1
sw3085B-ms98-a-0013,44.241125,45.110250,successful,I,sv,u-18-1
sw3085B-ms98-a-0013,45.110250,45.366375,in,I,sv,u-18-1
sw3085B-ms98-a-0013,45.366375,46.201125,today's,I,sv,u-18-1
sw3085B-ms98-a-0013,46.201125,47.191125,environment,I,sv,u-18-1
sw3085B-ms98-a-0014,47.828875,48.408875,than,B,+,u-20-1
sw3085B-ms98-a-0014,48.408875,48.598875,[vocalized-noise],I,+,u-20-1
sw3085B-ms98-a-0014,48.598875,48.678875,the,I,+,u-20-1
sw3085B-ms98-a-0014,48.678875,48.948875,one,I,+,u-20-1
sw3085B-ms98-a-0014,48.948875,49.198875,on,I,+,u-20-1
sw3085B-ms98-a-0014,49.198875,49.528875,one,I,+,u-20-1
sw3085B-ms98-a-0014,49.528875,49.868875,care,I,+,u-20-1
sw3085B-ms98-a-0014,49.868875,50.272750,is,I,+,u-20-1
sw3085B-ms98-a-0015,50.719125,51.009125,uh,B,sd,u-20-2
sw3085B-ms98-a-0015,51.009125,51.169125,when,I,sd,u-20-2
sw3085B-ms98-a-0015,51.169125,51.339125,my,I,sd,u-20-2
sw3085B-ms98-a-0015,51.339125,51.729125,children,I,sd,u-20-2
sw3085B-ms98-a-0015,51.729125,51.839125,were,I,sd,u-20-2
sw3085B-ms98-a-0015,51.839125,52.269125,growing,I,sd,u-20-2
sw3085B-ms98-a-0015,52.269125,52.609125,up,I,sd,u-20-2
sw3085B-ms98-a-0015,52.609125,52.759125,i,I,sd,u-20-2
sw3085B-ms98-a-0015,52.759125,53.339125,actually,I,sd,u-20-2
sw3085B-ms98-a-0015,53.339125,53.629125,had,I,sd,u-20-2
sw3085B-ms98-a-0015,53.629125,53.862500,them,I,sd,u-20-2
sw3085B-ms98-a-0015,54.379125,54.569125,up,I,sd,u-20-2
sw3085B-ms98-a-0015,54.569125,54.729125,and,I,sd,u-20-2
sw3085B-ms98-a-0015,54.729125,54.979125,until,I,sd,u-20-2
sw3085B-ms98-a-0015,54.979125,55.219125,they,I,sd,u-20-2
sw3085B-ms98-a-0015,55.219125,55.469125,were,I,sd,u-20-2
sw3085B-ms98-a-0015,55.469125,55.639125,in,I,sd,u-20-2
sw3085B-ms98-a-0015,55.639125,55.699125,the,I,sd,u-20-2
sw3085B-ms98-a-0015,55.699125,56.249125,preschool,I,sd,u-20-2
sw3085B-ms98-a-0015,56.249125,57.039125,situation,I,sd,u-20-2
sw3085B-ms98-a-0015,57.039125,57.149125,i,I,sd,u-20-2
sw3085B-ms98-a-0015,57.149125,57.449125,had,I,sd,u-20-2
sw3085B-ms98-a-0015,57.449125,57.689125,them,I,sd,u-20-2
sw3085B-ms98-a-0015,57.689125,57.819125,in,I,sd,u-20-2
sw3085B-ms98-a-0015,57.819125,58.083375,a,I,sd,u-20-2
sw3085B-ms98-a-0015,58.166250,58.279125,in,I,sd,u-20-2
sw3085B-ms98-a-0015,58.279125,58.339125,a,I,sd,u-20-2
sw3085B-ms98-a-0015,58.339125,58.829125,home,I,sd,u-20-2
sw3085B-ms98-a-0015,58.829125,58.959125,with,I,sd,u-20-2
sw3085B-ms98-a-0015,58.959125,59.039125,a,I,sd,u-20-2
sw3085B-ms98-a-0015,59.039125,59.299125,lady,I,sd,u-20-2
sw3085B-ms98-a-0015,59.299125,59.389125,who,I,sd,u-20-2
