sw3784A-ms98-a-0003,10.651000,11.070875,uh-huh,B,b,u-2-1
sw3784A-ms98-a-0005,26.305500,26.487250,i,B,aa,u-4-1
sw3784A-ms98-a-0005,26.487250,26.697250,do,I,aa,u-4-1
sw3784A-ms98-a-0005,26.697250,27.017250,too,I,aa,u-4-1
sw3784A-ms98-a-0007,31.214375,31.609125,um-hum,B,aa,u-6-1
sw3784A-ms98-a-0008,32.301000,32.479500,why,O,,
sw3784A-ms98-a-0008,32.479500,32.579500,is,O,,
sw3784A-ms98-a-0008,32.579500,32.709500,it,O,,
sw3784A-ms98-a-0008,32.709500,32.859500,you,B,sd,u-6-2
sw3784A-ms98-a-0008,32.859500,33.189500,know,I,sd,u-6-2
sw3784A-ms98-a-0008,33.189500,33.429500,i-,I,sd,u-6-2
sw3784A-ms98-a-0008,33.429500,33.849500,i'm,I,sd,u-6-2
sw3784A-ms98-a-0008,33.849500,34.019500,i'm,I,sd,u-6-2
sw3784A-ms98-a-0008,34.019500,34.099500,in,I,sd,u-6-2
sw3784A-ms98-a-0008,34.099500,34.299500,that,I,sd,u-6-2
sw3784A-ms98-a-0008,34.299500,34.539500,same,I,sd,u-6-2
sw3784A-ms98-a-0008,34.539500,34.639500,i,B,sd,u-6-3
sw3784A-ms98-a-0008,34.639500,34.929500,think,I,sd,u-6-3
sw3784A-ms98-a-0008,34.929500,35.119500,if,I,sd,u-6-3
sw3784A-ms98-a-0008,35.119500,35.369500,it's,I,sd,u-6-3
sw3784A-ms98-a-0008,35.369500,35.718250,uh,I,sd,u-6-3
sw3784A-ms98-a-0009,36.375125,36.539000,if,I,sd,u-6-3
sw3784A-ms98-a-0009,36.539000,36.729000,it's,I,sd,u-6-3
sw3784A-ms98-a-0009,36.729000,36.789000,a,I,sd,u-6-3
sw3784A-ms98-a-0009,36.789000,37.148000,con[victed]-,I,sd,u-6-3
sw3784A-ms98-a-0009,37.584875,37.739000,if,I,sd,u-6-3
sw3784A-ms98-a-0009,37.739000,37.915875,it's,I,sd,u-6-3
sw3784A-ms98-a-0009,37.915875,38.099000,a,I,sd,u-6-3
sw3784A-ms98-a-0009,38.099000,39.039625,convicted,I,sd,u-6-3
sw3784A-ms98-a-0009,39.039625,39.279000,uh,I,sd,u-6-3
sw3784A-ms98-a-0009,39.279000,39.961875,felon,I,sd,u-6-3
sw3784A-ms98-a-0009,40.161500,40.379000,on,I,sd,u-6-3
sw3784A-ms98-a-0009,40.379000,41.065125,parole,I,sd,u-6-3
sw3784A-ms98-a-0010,41.846250,42.234625,uh,B,+,u-8-1
sw3784A-ms98-a-0010,42.234625,42.404625,and,I,+,u-8-1
sw3784A-ms98-a-0010,42.404625,42.524625,he,I,+,u-8-1
sw3784A-ms98-a-0010,42.524625,42.794625,goes,I,+,u-8-1
