sw3457B-ms98-a-0003,7.314000,7.707750,uh-huh,B,b,u-2-1
sw3457B-ms98-a-0005,21.802875,21.920250,well,B,sv,u-4-1
sw3457B-ms98-a-0005,21.920250,22.000250,i,I,sv,u-4-1
sw3457B-ms98-a-0005,22.000250,22.170250,think,I,sv,u-4-1
sw3457B-ms98-a-0005,22.170250,22.420250,that's,I,sv,u-4-1
sw3457B-ms98-a-0005,22.420250,22.857000,wonderful,I,sv,u-4-1
sw3457B-ms98-a-0005,23.493500,23.718000,my,B,sd,u-6-1
sw3457B-ms98-a-0005,23.718000,24.246625,children,I,sd,u-6-1
sw3457B-ms98-a-0005,24.246625,24.687250,are,I,sd,u-6-1
sw3457B-ms98-a-0005,24.687250,24.850250,in,I,sd,u-6-1
sw3457B-ms98-a-0005,24.850250,25.417125,college,I,sd,u-6-1
sw3457B-ms98-a-0006,26.187625,26.333750,but,B,sd,u-8-1
sw3457B-ms98-a-0006,26.333750,26.550625,i,I,sd,u-8-1
sw3457B-ms98-a-0006,26.550625,26.837125,teach,I,sd,u-8-1
sw3457B-ms98-a-0006,26.837125,27.257125,school,I,sd,u-8-1
sw3457B-ms98-a-0006,27.257125,27.357125,and,B,sd,u-8-2
sw3457B-ms98-a-0006,27.357125,27.417125,i,I,sd,u-8-2
sw3457B-ms98-a-0006,27.417125,27.807125,teach,I,sd,u-8-2
sw3457B-ms98-a-0006,27.807125,27.927125,uh,I,sd,u-8-2
sw3457B-ms98-a-0006,27.927125,28.177125,middle,I,sd,u-8-2
sw3457B-ms98-a-0006,28.177125,28.552875,school,I,sd,u-8-2
sw3457B-ms98-a-0006,28.775875,29.056875,age,I,sd,u-8-2
sw3457B-ms98-a-0006,29.056875,29.472125,children,I,sd,u-8-2
sw3457B-ms98-a-0007,30.419500,30.599500,and,B,sd,u-10-1
sw3457B-ms98-a-0007,30.599500,30.829500,so,I,sd,u-10-1
sw3457B-ms98-a-0007,30.829500,31.037125,i,I,sd,u-10-1
sw3457B-ms98-a-0007,31.037125,31.482625,see,I,sd,u-10-1
sw3457B-ms98-a-0007,31.832875,31.955500,a,I,sd,u-10-1
sw3457B-ms98-a-0007,31.955500,32.199500,lot,I,sd,u-10-1
sw3457B-ms98-a-0007,32.199500,32.469500,of,I,sd,u-10-1
sw3457B-ms98-a-0007,32.469500,32.909250,uh,I,sd,u-10-1
sw3457B-ms98-a-0007,32.909250,33.609500,variation,I,sd,u-10-1
sw3457B-ms98-a-0007,33.609500,34.136375,in,I,sd,u-10-1
sw3457B-ms98-a-0007,34.136375,34.299500,what,I,sd,u-10-1
sw3457B-ms98-a-0007,34.299500,34.939000,happens,I,sd,u-10-1
sw3457B-ms98-a-0007,34.939000,35.109500,when,I,sd,u-10-1
sw3457B-ms98-a-0007,35.109500,35.369500,kids,I,sd,u-10-1
sw3457B-ms98-a-0007,35.369500,35.429500,are,I,sd,u-10-1
sw3457B-ms98-a-0007,35.429500,35.509500,at,I,sd,u-10-1
sw3457B-ms98-a-0007,35.509500,35.886500,home,I,sd,u-10-1
sw3457B-ms98-a-0008,36.549000,36.948875,uh,B,sd,u-12-1
sw3457B-ms98-a-0008,36.948875,37.202000,i,I,sd,u-12-1
sw3457B-ms98-a-0008,37.202000,37.428500,have,I,sd,u-12-1
sw3457B-ms98-a-0008,37.428500,37.668500,taught,I,sd,u-12-1
sw3457B-ms98-a-0008,37.668500,38.219750,school,I,sd,u-12-1
sw3457B-ms98-a-0008,38.483500,38.678500,ever,I,sd,u-12-1
sw3457B-ms98-a-0008,38.678500,38.988500,since,I,sd,u-12-1
sw3457B-ms98-a-0008,38.988500,39.078500,my,I,sd,u-12-1
sw3457B-ms98-a-0008,39.078500,39.468500,children,I,sd,u-12-1
sw3457B-ms98-a-0008,39.468500,39.588500,were,I,sd,u-12-1
sw3457B-ms98-a-0008,39.588500,39.953125,little,I,sd,u-12-1
sw3457B-ms98-a-0008,40.450250,40.568500,but,B,sd,u-14-1
sw3457B-ms98-a-0008,40.568500,40.638500,the,I,sd,u-14-1
sw3457B-ms98-a-0008,40.638500,41.078500,advantage,I,sd,u-14-1
sw3457B-ms98-a-0008,41.078500,41.138500,of,I,sd,u-14-1
sw3457B-ms98-a-0008,41.138500,41.548500,teaching,I,sd,u-14-1
sw3457B-ms98-a-0008,41.548500,42.008500,school,I,sd,u-14-1
sw3457B-ms98-a-0008,42.008500,42.208500,is,I,sd,u-14-1
sw3457B-ms98-a-0008,42.208500,42.408500,your,I,sd,u-14-1
sw3457B-ms98-a-0008,42.408500,42.708500,hours,I,sd,u-14-1
sw3457B-ms98-a-0008,42.708500,42.778500,are,I,sd,u-14-1
sw3457B-ms98-a-0008,42.778500,43.108500,closer,I,sd,u-14-1
sw3457B-ms98-a-0008,43.108500,43.238500,to,I,sd,u-14-1
sw3457B-ms98-a-0008,43.238500,43.581500,your,I,sd,u-14-1
sw3457B-ms98-a-0008,43.713375,44.118500,children's,I,sd,u-14-1
sw3457B-ms98-a-0008,44.118500,44.208500,and,B,sd,u-14-2
sw3457B-ms98-a-0008,44.208500,44.358500,your,I,sd,u-14-2
sw3457B-ms98-a-0008,44.358500,44.828500,holidays,I,sd,u-14-2
sw3457B-ms98-a-0008,44.828500,44.948500,are,I,sd,u-14-2
sw3457B-ms98-a-0008,44.948500,45.329875,too,I,sd,u-14-2
sw3457B-ms98-a-0008,45.981500,46.128500,so,B,sv,u-16-1
