sw3417A-ms98-a-0002,0.661500,1.280625,yes,B,o,u-1-1
sw3417A-ms98-a-0003,2.506000,3.155125,um,B,sv,u-1-2
sw3417A-ms98-a-0004,4.395625,4.565500,i,I,sv,u-1-2
sw3417A-ms98-a-0004,4.565500,4.745500,guess,I,sv,u-1-2
sw3417A-ms98-a-0004,4.745500,4.975500,my,I,sv,u-1-2
sw3417A-ms98-a-0005,6.244000,6.614000,initial,I,sv,u-1-2
sw3417A-ms98-a-0005,6.614000,6.834000,view,I,sv,u-1-2
sw3417A-ms98-a-0005,6.834000,7.324250,is,I,sv,u-1-2
sw3417A-ms98-a-0006,8.416125,8.578875,our,I,sv,u-1-2
sw3417A-ms98-a-0006,8.578875,8.888875,tax,I,sv,u-1-2
sw3417A-ms98-a-0006,8.888875,9.288875,burden,I,sv,u-1-2
sw3417A-ms98-a-0006,9.288875,9.800875,hasn't,I,sv,u-1-2
sw3417A-ms98-a-0006,9.800875,10.198875,gone,I,sv,u-1-2
sw3417A-ms98-a-0006,10.198875,10.458875,down,I,sv,u-1-2
sw3417A-ms98-a-0006,10.458875,10.548875,in,I,sv,u-1-2
sw3417A-ms98-a-0006,10.548875,10.778875,recent,I,sv,u-1-2
sw3417A-ms98-a-0006,10.778875,11.008875,years,I,sv,u-1-2
sw3417A-ms98-a-0006,11.008875,11.443125,despite,I,sv,u-1-2
sw3417A-ms98-a-0006,11.443125,11.588875,our,I,sv,u-1-2
sw3417A-ms98-a-0006,11.588875,11.808875,total,I,sv,u-1-2
sw3417A-ms98-a-0006,11.808875,12.078875,tax,I,sv,u-1-2
sw3417A-ms98-a-0006,12.078875,12.408875,burden,I,sv,u-1-2
sw3417A-ms98-a-0006,12.408875,12.778875,despite,I,sv,u-1-2
sw3417A-ms98-a-0006,12.778875,13.058875,tax,I,sv,u-1-2
sw3417A-ms98-a-0006,13.058875,13.593250,cuts,I,sv,u-1-2
sw3417A-ms98-a-0006,14.196125,14.772500,but,B,sv,u-3-1
sw3417A-ms98-a-0007,15.784875,16.014875,among,I,sv,u-3-1
sw3417A-ms98-a-0007,16.014875,16.684875,industrialized,I,sv,u-3-1
sw3417A-ms98-a-0007,16.684875,17.262000,nations,I,sv,u-3-1
sw3417A-ms98-a-0007,17.710250,17.944875,we,I,sv,u-3-1
sw3417A-ms98-a-0007,17.944875,18.244875,have,I,sv,u-3-1
sw3417A-ms98-a-0007,18.244875,18.354875,one,I,sv,u-3-1
sw3417A-ms98-a-0007,18.354875,18.464875,of,I,sv,u-3-1
sw3417A-ms98-a-0007,18.464875,18.654875,the,I,sv,u-3-1
sw3417A-ms98-a-0008,19.535125,20.085375,lowest,I,sv,u-3-1
sw3417A-ms98-a-0008,20.085375,20.399000,in,I,sv,u-3-1
sw3417A-ms98-a-0008,20.892375,21.045375,in,I,sv,u-3-1
sw3417A-ms98-a-0008,21.045375,21.105375,the,I,sv,u-3-1
sw3417A-ms98-a-0008,21.105375,21.545375,world,I,sv,u-3-1
sw3417A-ms98-a-0008,21.545375,21.635375,and,B,%,u-3-2
sw3417A-ms98-a-0008,21.635375,21.745375,in,I,%,u-3-2
sw3417A-ms98-a-0008,21.745375,21.915375,part,O,,
sw3417A-ms98-a-0008,21.915375,21.975375,of,B,%,u-3-3
sw3417A-ms98-a-0008,21.975375,22.055375,the,I,%,u-3-3
sw3417A-ms98-a-0008,22.055375,22.275375,matter,I,%,u-3-3
sw3417A-ms98-a-0008,22.275375,22.485375,you,B,sv,u-3-4
sw3417A-ms98-a-0008,22.485375,22.685375,get,I,sv,u-3-4
sw3417A-ms98-a-0008,22.685375,22.815375,what,I,sv,u-3-4
sw3417A-ms98-a-0008,22.815375,22.875375,you,I,sv,u-3-4
sw3417A-ms98-a-0008,22.875375,23.085375,pay,I,sv,u-3-4
sw3417A-ms98-a-0008,23.085375,23.225375,for,I,sv,u-3-4
