sw4345A-ms98-a-0003,32.764625,33.114625,no,B,nn,u-2-1
sw4345A-ms98-a-0003,33.114625,33.314625,we,B,sd^e,u-2-2
sw4345A-ms98-a-0003,33.314625,33.524625,don't,I,sd^e,u-2-2
sw4345A-ms98-a-0003,33.524625,33.844625,have,I,sd^e,u-2-2
sw4345A-ms98-a-0003,33.844625,33.934625,the,I,sd^e,u-2-2
sw4345A-ms98-a-0003,33.934625,34.194625,uh,I,sd^e,u-2-2
sw4345A-ms98-a-0003,34.194625,34.534625,national,I,sd^e,u-2-2
sw4345A-ms98-a-0003,34.534625,34.844625,public,I,sd^e,u-2-2
sw4345A-ms98-a-0003,34.844625,35.304625,radio,I,sd^e,u-2-2
sw4345A-ms98-a-0003,35.304625,35.534625,in,I,sd^e,u-2-2
sw4345A-ms98-a-0003,35.644625,35.794625,in,I,sd^e,u-2-2
sw4345A-ms98-a-0003,35.794625,35.974625,my,I,sd^e,u-2-2
sw4345A-ms98-a-0003,35.974625,36.459875,area,I,sd^e,u-2-2
sw4345A-ms98-a-0003,36.625625,36.734625,i,B,sd,u-4-1
sw4345A-ms98-a-0003,36.734625,37.094625,can,I,sd,u-4-1
sw4345A-ms98-a-0003,37.094625,37.424625,hear,I,sd,u-4-1
sw4345A-ms98-a-0003,37.424625,37.523875,it,I,sd,u-4-1
sw4345A-ms98-a-0003,37.523875,37.628750,at,I,sd,u-4-1
sw4345A-ms98-a-0003,37.749250,38.029500,the,I,sd,u-4-1
sw4345A-ms98-a-0003,38.029500,38.412375,um,I,sd,u-4-1
sw4345A-ms98-a-0004,39.031375,39.460000,uh,I,sd,u-4-1
sw4345A-ms98-a-0004,39.614625,39.751375,oh,I,sd,u-4-1
sw4345A-ms98-a-0004,39.751375,39.831375,the,I,sd,u-4-1
sw4345A-ms98-a-0004,39.831375,40.271375,college,I,sd,u-4-1
sw4345A-ms98-a-0004,40.271375,40.631375,town,I,sd,u-4-1
sw4345A-ms98-a-0004,40.631375,41.161375,nearby,I,sd,u-4-1
sw4345A-ms98-a-0004,41.161375,41.311375,when,I,sd,u-4-1
sw4345A-ms98-a-0004,41.311375,41.411375,i'm,I,sd,u-4-1
sw4345A-ms98-a-0004,41.411375,41.511375,in,I,sd,u-4-1
sw4345A-ms98-a-0004,41.511375,42.171375,Stillwater,I,sd,u-4-1
sw4345A-ms98-a-0004,42.171375,42.411375,which,I,sd,u-4-1
sw4345A-ms98-a-0004,42.411375,42.699875,is,I,sd,u-4-1
sw4345A-ms98-a-0004,43.121750,43.311375,about,I,sd,u-4-1
sw4345A-ms98-a-0004,43.311375,43.411375,an,I,sd,u-4-1
sw4345A-ms98-a-0004,43.411375,43.691375,hour,I,sd,u-4-1
sw4345A-ms98-a-0004,43.691375,44.146750,away,I,sd,u-4-1
sw4345A-ms98-a-0004,44.146750,44.381375,but,B,sd,u-4-2
sw4345A-ms98-a-0004,44.381375,44.580500,the,I,sd,u-4-2
sw4345A-ms98-a-0004,44.697250,45.031375,FM,I,sd,u-4-2
sw4345A-ms98-a-0004,45.031375,45.361375,signal,I,sd,u-4-2
sw4345A-ms98-a-0004,45.361375,45.711375,doesn't,I,sd,u-4-2
sw4345A-ms98-a-0004,45.711375,45.981375,reach,I,sd,u-4-2
sw4345A-ms98-a-0004,45.981375,46.201375,this,I,sd,u-4-2
sw4345A-ms98-a-0004,46.201375,46.591375,far,I,sd,u-4-2
sw4345A-ms98-a-0005,47.437875,47.657875,uh,B,sd,u-6-1
sw4345A-ms98-a-0005,47.657875,47.747875,i,I,sd,u-6-1
sw4345A-ms98-a-0005,47.747875,48.067875,listen,I,sd,u-6-1
sw4345A-ms98-a-0005,48.067875,48.177875,to,I,sd,u-6-1
sw4345A-ms98-a-0005,48.177875,48.837875,shortwave,I,sd,u-6-1
sw4345A-ms98-a-0005,48.837875,49.137875,quite,I,sd,u-6-1
sw4345A-ms98-a-0005,49.137875,49.187875,a,I,sd,u-6-1
sw4345A-ms98-a-0005,49.187875,49.665500,bit,I,sd,u-6-1
sw4345A-ms98-a-0005,49.665500,49.831250,it,B,sv,u-6-2
