sw2623B-ms98-a-0002,4.389125,4.739125,okay,B,aa,u-2-1
sw2623B-ms98-a-0002,4.739125,5.079125,i,B,sd,u-2-2
sw2623B-ms98-a-0002,5.079125,5.393125,uh,I,sd,u-2-2
sw2623B-ms98-a-0002,5.568750,5.704250,i,I,sd,u-2-2
sw2623B-ms98-a-0002,5.704250,5.859125,have,I,sd,u-2-2
sw2623B-ms98-a-0002,5.859125,6.119125,five,I,sd,u-2-2
sw2623B-ms98-a-0002,6.119125,6.469125,children,I,sd,u-2-2
sw2623B-ms98-a-0002,6.469125,6.609125,all,I,sd,u-2-2
sw2623B-ms98-a-0002,6.609125,6.999125,together,I,sd,u-2-2
sw2623B-ms98-a-0003,7.965875,8.595000,uh,B,sd,u-4-1
sw2623B-ms98-a-0003,8.734375,9.005875,my,I,sd,u-4-1
sw2623B-ms98-a-0003,9.005875,9.415875,oldest,I,sd,u-4-1
sw2623B-ms98-a-0003,9.415875,9.685875,two,I,sd,u-4-1
sw2623B-ms98-a-0003,9.685875,9.825875,are,I,sd,u-4-1
sw2623B-ms98-a-0003,9.825875,10.135875,already,I,sd,u-4-1
sw2623B-ms98-a-0003,10.135875,10.235875,out,I,sd,u-4-1
sw2623B-ms98-a-0003,10.235875,10.325875,and,I,sd,u-4-1
sw2623B-ms98-a-0003,10.325875,10.605875,about,I,sd,u-4-1
sw2623B-ms98-a-0003,10.605875,10.665875,in,I,sd,u-4-1
sw2623B-ms98-a-0003,10.665875,10.725875,the,I,sd,u-4-1
sw2623B-ms98-a-0003,10.725875,11.085875,world,I,sd,u-4-1
sw2623B-ms98-a-0003,11.085875,11.265875,and,B,sd,u-4-2
sw2623B-ms98-a-0003,11.265875,11.425875,i,I,sd,u-4-2
sw2623B-ms98-a-0003,11.425875,11.665875,uh,I,sd,u-4-2
sw2623B-ms98-a-0003,11.665875,11.915875,have,I,sd,u-4-2
sw2623B-ms98-a-0003,12.105875,12.405875,a,I,sd,u-4-2
sw2623B-ms98-a-0003,12.405875,12.625875,set,I,sd,u-4-2
sw2623B-ms98-a-0003,12.625875,12.705875,of,I,sd,u-4-2
sw2623B-ms98-a-0003,12.705875,13.105875,twins,I,sd,u-4-2
sw2623B-ms98-a-0003,13.105875,13.195875,that,I,sd,u-4-2
sw2623B-ms98-a-0003,13.195875,13.255875,are,I,sd,u-4-2
sw2623B-ms98-a-0003,13.255875,13.842500,fourteen,I,sd,u-4-2
sw2623B-ms98-a-0003,14.464000,15.085875,and,B,sd,u-6-1
sw2623B-ms98-a-0003,15.085875,15.205875,uh,I,sd,u-6-1
sw2623B-ms98-a-0003,15.205875,15.365875,my,I,sd,u-6-1
sw2623B-ms98-a-0003,15.365875,15.775875,youngest,I,sd,u-6-1
sw2623B-ms98-a-0003,15.775875,15.915875,is,I,sd,u-6-1
sw2623B-ms98-a-0003,15.915875,16.515875,twelve,I,sd,u-6-1
sw2623B-ms98-a-0005,19.121875,19.654750,uh,B,b,u-8-1
sw2623B-ms98-a-0005,19.654750,19.958750,yeah,I,b,u-8-1
sw2623B-ms98-a-0005,19.958750,20.068750,if,B,sv,u-8-2
sw2623B-ms98-a-0005,20.068750,20.138750,you,I,sv,u-8-2
sw2623B-ms98-a-0005,20.138750,20.298750,like,I,sv,u-8-2
sw2623B-ms98-a-0005,20.298750,20.478750,doing,I,sv,u-8-2
sw2623B-ms98-a-0005,20.478750,20.798750,everything,I,sv,u-8-2
