sw4917B-ms98-a-0002,1.581875,1.874875,yes,B,aa,u-2-1
sw4917B-ms98-a-0002,2.262250,2.458125,the,B,sd,u-4-1
sw4917B-ms98-a-0002,2.458125,2.719375,uh,I,sd,u-4-1
sw4917B-ms98-a-0002,3.205250,3.417625,type,I,sd,u-4-1
sw4917B-ms98-a-0002,3.417625,3.537625,of,I,sd,u-4-1
sw4917B-ms98-a-0002,3.537625,3.967625,cars,I,sd,u-4-1
sw4917B-ms98-a-0002,3.967625,4.127625,that,I,sd,u-4-1
sw4917B-ms98-a-0002,4.127625,4.267625,i,I,sd,u-4-1
sw4917B-ms98-a-0002,4.267625,4.537625,was,I,sd,u-4-1
sw4917B-ms98-a-0002,4.537625,4.830625,uh,I,sd,u-4-1
sw4917B-ms98-a-0002,5.429500,5.650000,uh,I,sd,u-4-1
sw4917B-ms98-a-0002,5.650000,5.717625,i,I,sd,u-4-1
sw4917B-ms98-a-0002,5.717625,5.867625,would,I,sd,u-4-1
sw4917B-ms98-a-0002,5.867625,6.167625,probably,I,sd,u-4-1
sw4917B-ms98-a-0002,6.167625,6.287625,be,I,sd,u-4-1
sw4917B-ms98-a-0002,6.287625,6.597625,most,I,sd,u-4-1
sw4917B-ms98-a-0002,6.597625,7.047625,interested,I,sd,u-4-1
sw4917B-ms98-a-0002,7.047625,7.177625,in,I,sd,u-4-1
sw4917B-ms98-a-0002,7.177625,7.317625,if,I,sd,u-4-1
sw4917B-ms98-a-0002,7.317625,7.347625,i,I,sd,u-4-1
sw4917B-ms98-a-0002,7.347625,7.567625,was,I,sd,u-4-1
sw4917B-ms98-a-0002,7.567625,7.728125,going,I,sd,u-4-1
sw4917B-ms98-a-0002,7.728125,7.828500,to,I,sd,u-4-1
sw4917B-ms98-a-0002,8.031875,8.147625,buy,I,sd,u-4-1
sw4917B-ms98-a-0002,8.147625,8.397625,another,I,sd,u-4-1
sw4917B-ms98-a-0002,8.397625,8.647625,car,I,sd,u-4-1
