sw3082B-ms98-a-0002,1.597750,2.029250,yes,B,ny,u-2-1
sw3082B-ms98-a-0004,7.060000,7.240750,oh,B,bh,u-4-1
sw3082B-ms98-a-0004,7.240750,7.480750,are,I,bh,u-4-1
sw3082B-ms98-a-0004,7.480750,7.640750,you,I,bh,u-4-1
sw3082B-ms98-a-0004,7.640750,8.060750,really,I,bh,u-4-1
sw3082B-ms98-a-0004,8.060750,8.220750,where,B,qw,u-6-1
sw3082B-ms98-a-0004,8.220750,8.370750,is,I,qw,u-6-1
sw3082B-ms98-a-0004,8.370750,8.490750,it,I,qw,u-6-1
sw3082B-ms98-a-0004,8.490750,8.630750,going,I,qw,u-6-1
sw3082B-ms98-a-0004,8.630750,8.730750,to,I,qw,u-6-1
sw3082B-ms98-a-0004,8.730750,9.120000,be,I,qw,u-6-1
sw3082B-ms98-a-0005,10.222750,10.647500,oh,B,bk,u-8-1
sw3082B-ms98-a-0007,14.510250,15.000500,uh-huh,B,b,u-10-1
sw3082B-ms98-a-0009,21.435625,21.655625,oh,B,ba,u-12-1
sw3082B-ms98-a-0009,21.655625,21.995625,that's,I,ba,u-12-1
sw3082B-ms98-a-0009,21.995625,23.093000,marvelous,B,+,u-14-1
sw3082B-ms98-a-0011,24.698500,25.146750,um-hum,B,b,u-16-1
sw3082B-ms98-a-0013,29.873875,30.233375,uh-huh,B,b,u-18-1
sw3082B-ms98-a-0015,41.629875,42.349250,um-hum,B,b,u-20-1
sw3082B-ms98-a-0016,43.967750,44.126250,i'm,B,sv,u-22-1
sw3082B-ms98-a-0016,44.126250,44.386250,sure,I,sv,u-22-1
sw3082B-ms98-a-0016,44.386250,44.976250,location,I,sv,u-22-1
sw3082B-ms98-a-0016,44.976250,45.086250,is,I,sv,u-22-1
sw3082B-ms98-a-0016,45.086250,45.346250,really,I,sv,u-22-1
sw3082B-ms98-a-0016,45.346250,45.916250,important,I,sv,u-22-1
sw3082B-ms98-a-0016,45.916250,46.046250,as,I,sv,u-22-1
