sw2471B-ms98-a-0002,33.820750,34.030750,no,B,nn,u-2-1
sw2471B-ms98-a-0002,34.030750,34.180750,i,B,sd^e,u-2-2
sw2471B-ms98-a-0002,34.180750,34.330750,would,I,sd^e,u-2-2
sw2471B-ms98-a-0002,34.330750,34.640750,agree,I,sd^e,u-2-2
sw2471B-ms98-a-0002,34.640750,34.830750,with,I,sd^e,u-2-2
sw2471B-ms98-a-0002,34.830750,34.910750,you,I,sd^e,u-2-2
sw2471B-ms98-a-0002,34.910750,35.040750,we,B,sv,u-2-3
sw2471B-ms98-a-0002,35.040750,35.470750,haven't,I,sv,u-2-3
sw2471B-ms98-a-0002,35.470750,35.720750,had,I,sv,u-2-3
sw2471B-ms98-a-0002,35.720750,35.890750,too,I,sv,u-2-3
sw2471B-ms98-a-0002,35.890750,36.290750,much,I,sv,u-2-3
sw2471B-ms98-a-0002,36.290750,36.680750,but,B,sv,u-2-4
sw2471B-ms98-a-0002,36.680750,36.991250,uh,I,sv,u-2-4
sw2471B-ms98-a-0002,37.536000,38.420750,historically,I,sv,u-2-4
sw2471B-ms98-a-0002,38.420750,38.640750,we've,I,sv,u-2-4
sw2471B-ms98-a-0002,38.640750,39.250750,always,I,sv,u-2-4
sw2471B-ms98-a-0002,39.250750,39.724875,uh,I,sv,u-2-4
sw2471B-ms98-a-0003,40.937125,41.266750,almost,I,sv,u-2-4
sw2471B-ms98-a-0003,41.266750,41.466750,been,I,sv,u-2-4
sw2471B-ms98-a-0003,41.466750,41.656750,like,I,sv,u-2-4
sw2471B-ms98-a-0003,41.656750,41.736750,a,I,sv,u-2-4
sw2471B-ms98-a-0003,41.736750,42.006750,big,I,sv,u-2-4
sw2471B-ms98-a-0003,42.006750,42.476750,brother,I,sv,u-2-4
sw2471B-ms98-a-0003,42.476750,42.836750,to,I,sv,u-2-4
sw2471B-ms98-a-0003,42.836750,43.090125,in,I,sv,u-2-4
sw2471B-ms98-a-0003,43.512000,43.846750,and,I,sv,u-2-4
sw2471B-ms98-a-0003,43.846750,44.036750,to,I,sv,u-2-4
sw2471B-ms98-a-0003,44.036750,44.166750,the,I,sv,u-2-4
sw2471B-ms98-a-0003,44.166750,44.476750,Latin,I,sv,u-2-4
sw2471B-ms98-a-0003,44.476750,45.036750,American,I,sv,u-2-4
sw2471B-ms98-a-0003,45.036750,45.536750,area,I,sv,u-2-4
sw2471B-ms98-a-0003,45.536750,45.916750,and,I,sv,u-2-4
sw2471B-ms98-a-0003,45.916750,46.143000,uh,I,sv,u-2-4
sw2471B-ms98-a-0003,46.436875,46.756750,almost,I,sv,u-2-4
sw2471B-ms98-a-0003,46.756750,47.166750,used,I,sv,u-2-4
sw2471B-ms98-a-0003,47.166750,47.326750,them,I,sv,u-2-4
sw2471B-ms98-a-0003,47.326750,47.604500,i,B,%,u-4-1
sw2471B-ms98-a-0003,47.604500,47.919125,i,I,%,u-4-1
sw2471B-ms98-a-0003,47.919125,48.130125,i,I,%,u-4-1
sw2471B-ms98-a-0003,48.130125,48.614625,feel,I,%,u-4-1
sw2471B-ms98-a-0003,49.463000,50.117625,um,B,sv,u-6-1
sw2471B-ms98-a-0003,50.479125,50.586750,i,I,sv,u-6-1
sw2471B-ms98-a-0003,50.586750,50.766750,think,I,sv,u-6-1
sw2471B-ms98-a-0003,50.766750,51.136750,something,I,sv,u-6-1
sw2471B-ms98-a-0003,51.136750,51.226750,will,I,sv,u-6-1
sw2471B-ms98-a-0003,51.226750,51.406750,have,I,sv,u-6-1
sw2471B-ms98-a-0003,51.406750,51.516750,to,I,sv,u-6-1
sw2471B-ms98-a-0003,51.516750,51.646750,be,I,sv,u-6-1
sw2471B-ms98-a-0003,51.646750,51.936750,done,I,sv,u-6-1
sw2471B-ms98-a-0003,51.936750,52.136750,down,I,sv,u-6-1
sw2471B-ms98-a-0003,52.136750,52.246750,there,I,sv,u-6-1
sw2471B-ms98-a-0003,52.246750,52.506750,very,I,sv,u-6-1
sw2471B-ms98-a-0003,52.506750,52.826750,soon,I,sv,u-6-1
sw2471B-ms98-a-0003,52.826750,53.266750,about,I,sv,u-6-1
sw2471B-ms98-a-0003,53.266750,53.540625,uh,I,sv,u-6-1
sw2471B-ms98-a-0004,54.997125,55.245125,about,I,sv,u-6-1
sw2471B-ms98-a-0004,55.245125,55.995125,Mexico,I,sv,u-6-1
sw2471B-ms98-a-0004,55.995125,56.207750,and,I,sv,u-6-1
sw2471B-ms98-a-0004,56.471375,56.825125,and,I,sv,u-6-1
sw2471B-ms98-a-0004,56.825125,57.099125,uh,I,sv,u-6-1
sw2471B-ms98-a-0004,57.449375,57.665125,some,I,sv,u-6-1
sw2471B-ms98-a-0004,57.665125,57.735125,of,I,sv,u-6-1
sw2471B-ms98-a-0004,57.735125,57.865125,the,I,sv,u-6-1
sw2471B-ms98-a-0004,57.865125,57.975125,other,I,sv,u-6-1
sw2471B-ms98-a-0004,57.975125,58.455125,areas,I,sv,u-6-1
sw2471B-ms98-a-0004,58.455125,58.665500,but,B,sv,u-6-2
sw2471B-ms98-a-0004,58.816125,59.115125,with,I,sv,u-6-2
sw2471B-ms98-a-0004,59.115125,59.478125,the,I,sv,u-6-2
sw2471B-ms98-a-0004,59.734250,60.065125,Persian,I,sv,u-6-2
sw2471B-ms98-a-0004,60.065125,60.335125,Gulf,I,sv,u-6-2
sw2471B-ms98-a-0004,60.335125,60.455125,as,I,sv,u-6-2
sw2471B-ms98-a-0004,60.455125,60.575125,you,I,sv,u-6-2
sw2471B-ms98-a-0004,60.575125,60.975125,said,I,sv,u-6-2
sw2471B-ms98-a-0004,60.975125,61.245125,it's,I,sv,u-6-2
sw2471B-ms98-a-0004,61.245125,61.655125,just,I,sv,u-6-2
sw2471B-ms98-a-0004,61.655125,61.975625,uh,I,sv,u-6-2
sw2471B-ms98-a-0004,62.182750,62.365125,been,I,sv,u-6-2
sw2471B-ms98-a-0004,62.365125,62.605125,very,I,sv,u-6-2
sw2471B-ms98-a-0004,62.605125,63.035125,quiet,I,sv,u-6-2
sw2471B-ms98-a-0004,63.035125,63.232375,i,B,sd,u-6-3
sw2471B-ms98-a-0004,63.642875,63.715125,i-,I,sd,u-6-3
sw2471B-ms98-a-0004,63.715125,63.995125,keep,I,sd,u-6-3
sw2471B-ms98-a-0004,63.995125,64.275625,pretty,I,sd,u-6-3
sw2471B-ms98-a-0004,64.399875,64.655125,close,I,sd,u-6-3
sw2471B-ms98-a-0004,64.655125,64.985125,tabs,I,sd,u-6-3
sw2471B-ms98-a-0004,64.985125,65.075125,on,I,sd,u-6-3
sw2471B-ms98-a-0004,65.075125,65.135125,the,I,sd,u-6-3
sw2471B-ms98-a-0004,65.135125,65.395125,paper,I,sd,u-6-3
sw2471B-ms98-a-0004,65.395125,65.485125,and,B,sv,u-6-4
sw2471B-ms98-a-0004,65.485125,65.565125,you,I,sv,u-6-4
sw2471B-ms98-a-0004,65.565125,65.765125,don't,I,sv,u-6-4
sw2471B-ms98-a-0004,65.765125,66.075125,hardly,I,sv,u-6-4
