sw3774B-ms98-a-0003,2.164500,2.793000,um-hum,B,b,u-2-1
sw3774B-ms98-a-0005,5.883875,6.370250,um-hum,B,b,u-4-1
sw3774B-ms98-a-0007,11.823500,12.538500,well,B,na,u-6-1
sw3774B-ms98-a-0007,13.060625,13.358125,i-,I,na,u-6-1
sw3774B-ms98-a-0007,13.358125,13.711125,i,I,na,u-6-1
sw3774B-ms98-a-0007,13.711125,14.011125,think,I,na,u-6-1
sw3774B-ms98-a-0007,14.011125,14.151125,we,I,na,u-6-1
sw3774B-ms98-a-0007,14.151125,14.461125,have,I,na,u-6-1
sw3774B-ms98-a-0007,14.461125,14.531125,a,I,na,u-6-1
sw3774B-ms98-a-0007,14.531125,15.261125,neighborhood,I,na,u-6-1
sw3774B-ms98-a-0007,15.261125,16.519750,[laughter-watch],O,,
sw3774B-ms98-a-0007,16.519750,16.734000,i,B,sd^r,u-8-1
sw3774B-ms98-a-0007,16.734000,17.211125,think,I,sd^r,u-8-1
sw3774B-ms98-a-0007,17.211125,17.381125,i'm,B,%,u-10-1
sw3774B-ms98-a-0007,17.381125,17.631125,not,I,%,u-10-1
sw3774B-ms98-a-0007,17.631125,18.077500,real,I,%,u-10-1
sw3774B-ms98-a-0007,18.341125,18.461125,we,B,sd,u-10-2
sw3774B-ms98-a-0007,18.461125,18.671125,don't,I,sd,u-10-2
sw3774B-ms98-a-0007,18.671125,18.851125,get,I,sd,u-10-2
sw3774B-ms98-a-0007,18.851125,19.071125,real,I,sd,u-10-2
sw3774B-ms98-a-0007,19.071125,19.721125,involved,I,sd,u-10-2
sw3774B-ms98-a-0007,19.721125,19.861125,we're,B,sd,u-10-3
sw3774B-ms98-a-0007,19.861125,20.111125,never,I,sd,u-10-3
sw3774B-ms98-a-0007,20.111125,20.531125,home,I,sd,u-10-3
sw3774B-ms98-a-0007,20.531125,20.874125,so,B,%,u-10-4
sw3774B-ms98-a-0007,21.454250,21.973375,um,B,sd,u-12-1
sw3774B-ms98-a-0009,23.388750,23.480875,uh,I,sd,u-12-1
sw3774B-ms98-a-0009,23.648750,23.942875,well,I,sd,u-12-1
sw3774B-ms98-a-0009,23.942875,24.002875,i,I,sd,u-12-1
sw3774B-ms98-a-0009,24.002875,24.202875,know,I,sd,u-12-1
sw3774B-ms98-a-0009,24.202875,24.332875,they,I,sd,u-12-1
sw3774B-ms98-a-0009,24.332875,24.472875,were,I,sd,u-12-1
sw3774B-ms98-a-0009,24.472875,24.672875,gonna,I,sd,u-12-1
