sw4611B-ms98-a-0002,0.774250,0.970125,hi,B,fp,u-2-1
sw4611B-ms98-a-0004,5.062125,5.392125,uh-huh,B,b,u-4-1
sw4611B-ms98-a-0006,14.778375,15.285125,[laughter],O,,
sw4611B-ms98-a-0008,31.430875,31.620875,any,B,qy,u-8-1
sw4611B-ms98-a-0008,31.620875,32.160875,particular,I,qy,u-8-1
sw4611B-ms98-a-0008,32.160875,32.631250,reason,I,qy,u-8-1
sw4611B-ms98-a-0010,60.757000,61.057000,uh-huh,B,b,u-12-1
sw4611B-ms98-a-0012,70.224625,70.598125,uh-huh,B,b,u-14-1
sw4611B-ms98-a-0014,86.104500,86.244500,i,B,aa,u-16-1
sw4611B-ms98-a-0014,86.244500,86.554500,really,I,aa,u-16-1
sw4611B-ms98-a-0014,86.554500,86.784500,don't,I,aa,u-16-1
sw4611B-ms98-a-0014,86.784500,86.834500,i,B,sd,u-16-2
sw4611B-ms98-a-0014,86.834500,87.034500,mean,I,sd,u-16-2
sw4611B-ms98-a-0014,87.034500,87.253750,i,I,sd,u-16-2
sw4611B-ms98-a-0014,87.348000,87.654500,i,I,sd,u-16-2
sw4611B-ms98-a-0014,87.654500,87.854500,like,I,sd,u-16-2
sw4611B-ms98-a-0014,87.854500,87.984500,to,I,sd,u-16-2
sw4611B-ms98-a-0014,87.984500,88.264500,refer,I,sd,u-16-2
sw4611B-ms98-a-0014,88.264500,88.374500,to,I,sd,u-16-2
sw4611B-ms98-a-0014,88.374500,88.604500,this,I,sd,u-16-2
sw4611B-ms98-a-0014,88.604500,88.684500,as,I,sd,u-16-2
sw4611B-ms98-a-0014,88.684500,88.874500,sort,I,sd,u-16-2
sw4611B-ms98-a-0014,88.874500,88.954500,of,I,sd,u-16-2
sw4611B-ms98-a-0014,88.954500,89.424500,Consumer,I,sd,u-16-2
sw4611B-ms98-a-0014,89.424500,89.864500,Report,I,sd,u-16-2
sw4611B-ms98-a-0014,89.864500,90.414500,phenomenon,I,sd,u-16-2
sw4611B-ms98-a-0014,91.134500,91.284500,which,B,+,u-18-1
sw4611B-ms98-a-0014,91.284500,91.424500,is,I,+,u-18-1
sw4611B-ms98-a-0014,91.424500,91.924500,everybody,I,+,u-18-1
sw4611B-ms98-a-0014,91.924500,92.072375,that,I,+,u-18-1
sw4611B-ms98-a-0014,92.072375,92.211750,i,I,+,u-18-1
sw4611B-ms98-a-0014,92.211750,92.570625,know,I,+,u-18-1
sw4611B-ms98-a-0015,93.736750,93.976750,reads,I,+,u-18-1
sw4611B-ms98-a-0015,93.976750,94.466750,Consumer,I,+,u-18-1
sw4611B-ms98-a-0015,94.466750,94.876750,Reports,I,+,u-18-1
sw4611B-ms98-a-0015,94.876750,94.946750,so,I,+,u-18-1
sw4611B-ms98-a-0015,94.946750,95.006750,the,I,+,u-18-1
sw4611B-ms98-a-0015,95.006750,95.296750,people,I,+,u-18-1
sw4611B-ms98-a-0015,95.296750,95.416750,who,I,+,u-18-1
sw4611B-ms98-a-0015,95.416750,95.849750,do,I,+,u-18-1
sw4611B-ms98-a-0015,96.019250,96.356750,feel,I,+,u-18-1
sw4611B-ms98-a-0015,96.356750,96.496750,that,I,+,u-18-1
sw4611B-ms98-a-0015,96.496750,96.916750,Consumer,I,+,u-18-1
sw4611B-ms98-a-0015,96.916750,97.356750,Reports,I,+,u-18-1
sw4611B-ms98-a-0015,97.356750,97.586750,does,I,+,u-18-1
sw4611B-ms98-a-0015,97.586750,97.796125,a,I,+,u-18-1
sw4611B-ms98-a-0015,97.796125,97.995750,a,I,+,u-18-1
sw4611B-ms98-a-0015,97.995750,98.386750,wholly,I,+,u-18-1
sw4611B-ms98-a-0015,98.386750,98.976750,inadequate,I,+,u-18-1
sw4611B-ms98-a-0015,98.976750,99.406750,job,I,+,u-18-1
sw4611B-ms98-a-0015,99.406750,99.546750,in,I,+,u-18-1
sw4611B-ms98-a-0015,99.546750,99.786750,their,I,+,u-18-1
sw4611B-ms98-a-0015,99.786750,100.246750,area,I,+,u-18-1
sw4611B-ms98-a-0015,100.246750,100.476750,of,I,+,u-18-1
sw4611B-ms98-a-0015,100.476750,101.106750,particular,I,+,u-18-1
sw4611B-ms98-a-0015,101.106750,101.776750,interest,I,+,u-18-1
sw4611B-ms98-a-0015,102.386750,102.836750,but,B,+,u-20-1
sw4611B-ms98-a-0015,102.836750,103.316750,assume,I,+,u-20-1
sw4611B-ms98-a-0015,103.316750,103.426750,that,I,+,u-20-1
sw4611B-ms98-a-0015,103.426750,103.536750,they,I,+,u-20-1
sw4611B-ms98-a-0015,103.536750,103.726750,do,I,+,u-20-1
sw4611B-ms98-a-0015,103.726750,103.786750,a,I,+,u-20-1
sw4611B-ms98-a-0015,103.786750,104.306750,reasonable,I,+,u-20-1
sw4611B-ms98-a-0015,104.306750,104.626750,job,I,+,u-20-1
sw4611B-ms98-a-0015,104.626750,104.736750,in,I,+,u-20-1
sw4611B-ms98-a-0015,104.736750,105.026750,other,I,+,u-20-1
sw4611B-ms98-a-0015,105.026750,105.645250,areas,I,+,u-20-1
sw4611B-ms98-a-0016,106.761625,107.111625,uh,B,+,u-22-1
sw4611B-ms98-a-0016,107.111625,107.541625,without,I,+,u-22-1
sw4611B-ms98-a-0016,107.541625,107.911625,thinking,I,+,u-22-1
sw4611B-ms98-a-0016,107.911625,108.091625,that,I,+,u-22-1
sw4611B-ms98-a-0016,108.091625,108.241625,there,I,+,u-22-1
sw4611B-ms98-a-0016,108.241625,108.394750,were,I,+,u-22-1
sw4611B-ms98-a-0016,108.394750,108.933375,people,I,+,u-22-1
sw4611B-ms98-a-0016,108.933375,109.159375,in,I,+,u-22-1
sw4611B-ms98-a-0016,109.344000,109.501625,who,I,+,u-22-1
sw4611B-ms98-a-0016,109.501625,109.789125,think,I,+,u-22-1
sw4611B-ms98-a-0016,109.789125,110.030250,each,I,+,u-22-1
sw4611B-ms98-a-0016,110.030250,110.351625,other,I,+,u-22-1
sw4611B-ms98-a-0016,110.351625,110.801625,areas,I,+,u-22-1
sw4611B-ms98-a-0016,110.801625,111.344625,area,I,+,u-22-1
sw4611B-ms98-a-0016,111.446375,111.801625,of,I,+,u-22-1
sw4611B-ms98-a-0016,111.801625,111.911625,of,I,+,u-22-1
sw4611B-ms98-a-0016,111.911625,112.571625,specialty,I,+,u-22-1
sw4611B-ms98-a-0016,112.571625,112.830875,and,B,sv,u-22-2
sw4611B-ms98-a-0017,113.536625,114.155375,uh,I,sv,u-22-2
sw4611B-ms98-a-0017,114.475500,114.576625,i,I,sv,u-22-2
sw4611B-ms98-a-0017,114.576625,114.826625,guess,I,sv,u-22-2
sw4611B-ms98-a-0017,114.826625,114.906625,you,I,sv,u-22-2
sw4611B-ms98-a-0017,114.906625,115.016625,could,I,sv,u-22-2
sw4611B-ms98-a-0017,115.016625,115.406625,explain,I,sv,u-22-2
sw4611B-ms98-a-0017,115.406625,115.546625,it,I,sv,u-22-2
sw4611B-ms98-a-0017,115.546625,115.716625,two,I,sv,u-22-2
sw4611B-ms98-a-0017,115.716625,116.326625,ways,I,sv,u-22-2
sw4611B-ms98-a-0017,116.326625,116.636625,and,B,sv,u-22-3
sw4611B-ms98-a-0017,116.636625,116.808250,and,I,sv,u-22-3
sw4611B-ms98-a-0017,116.808250,116.883625,the,I,sv,u-22-3
sw4611B-ms98-a-0017,116.883625,117.366625,cynical,I,sv,u-22-3
sw4611B-ms98-a-0017,117.366625,117.666625,view,I,sv,u-22-3
sw4611B-ms98-a-0017,117.666625,118.030250,is,I,sv,u-22-3
sw4611B-ms98-a-0017,118.444625,118.546625,well,I,sv,u-22-3
sw4611B-ms98-a-0017,118.546625,118.706625,these,I,sv,u-22-3
sw4611B-ms98-a-0017,118.706625,118.976625,things,I,sv,u-22-3
sw4611B-ms98-a-0017,118.976625,119.176625,aren't,I,sv,u-22-3
sw4611B-ms98-a-0017,119.176625,119.416625,doing,I,sv,u-22-3
sw4611B-ms98-a-0017,119.416625,119.456625,a,I,sv,u-22-3
sw4611B-ms98-a-0017,119.456625,119.666625,very,I,sv,u-22-3
sw4611B-ms98-a-0017,119.666625,119.836625,good,I,sv,u-22-3
sw4611B-ms98-a-0017,119.836625,120.136625,job,I,sv,u-22-3
sw4611B-ms98-a-0017,120.136625,120.226625,at,I,sv,u-22-3
sw4611B-ms98-a-0017,120.226625,120.618375,all,I,sv,u-22-3
sw4611B-ms98-a-0018,121.285375,121.808625,and,B,sv,u-22-4
sw4611B-ms98-a-0018,121.808625,121.928500,the,I,sv,u-22-4
sw4611B-ms98-a-0018,121.928500,122.125375,view,I,sv,u-22-4
sw4611B-ms98-a-0018,122.125375,122.285375,that,I,sv,u-22-4
sw4611B-ms98-a-0018,122.285375,122.445375,i'd,I,sv,u-22-4
sw4611B-ms98-a-0018,122.445375,122.885375,[laughter-rather],I,sv,u-22-4
sw4611B-ms98-a-0018,122.885375,123.525375,take,I,sv,u-22-4
sw4611B-ms98-a-0018,123.525375,123.905375,is,B,+,u-24-1
sw4611B-ms98-a-0018,123.905375,124.179625,that,I,+,u-24-1
sw4611B-ms98-a-0019,124.947000,125.147000,there's,I,+,u-24-1
sw4611B-ms98-a-0019,125.147000,125.227000,a,I,+,u-24-1
sw4611B-ms98-a-0019,125.227000,125.557000,different,I,+,u-24-1
sw4611B-ms98-a-0019,125.557000,125.807000,amount,I,+,u-24-1
sw4611B-ms98-a-0019,125.807000,125.877000,of,I,+,u-24-1
sw4611B-ms98-a-0019,125.877000,126.507000,information,I,+,u-24-1
sw4611B-ms98-a-0019,126.507000,126.607000,you,I,+,u-24-1
sw4611B-ms98-a-0019,126.607000,126.937000,need,I,+,u-24-1
sw4611B-ms98-a-0019,126.937000,127.097000,when,I,+,u-24-1
sw4611B-ms98-a-0019,127.097000,127.257000,you're,I,+,u-24-1
sw4611B-ms98-a-0019,127.257000,127.882875,particularly,I,+,u-24-1
sw4611B-ms98-a-0019,127.882875,128.282125,interested,I,+,u-24-1
sw4611B-ms98-a-0019,128.282125,128.385000,in,I,+,u-24-1
sw4611B-ms98-a-0019,128.385000,128.452750,a,I,+,u-24-1
sw4611B-ms98-a-0019,128.452750,128.895750,topic,I,+,u-24-1
sw4611B-ms98-a-0019,129.099125,129.507000,or,I,+,u-24-1
sw4611B-ms98-a-0019,129.507000,129.645500,uh,I,+,u-24-1
