sw4055B-ms98-a-0003,2.401375,2.832000,yes,B,ny,u-2-1
sw4055B-ms98-a-0005,5.260250,5.672500,uh,B,ny,u-4-1
sw4055B-ms98-a-0005,5.672500,6.059250,yes,I,ny,u-4-1
sw4055B-ms98-a-0005,6.059250,6.359250,i'm,B,sd^e,u-4-2
sw4055B-ms98-a-0005,6.359250,6.389250,a,I,sd^e,u-4-2
sw4055B-ms98-a-0005,6.389250,7.089250,scoutmaster,I,sd^e,u-4-2
sw4055B-ms98-a-0005,7.089250,7.159250,in,I,sd^e,u-4-2
sw4055B-ms98-a-0005,7.159250,7.319250,Boy,I,sd^e,u-4-2
sw4055B-ms98-a-0005,7.319250,7.769250,Scouts,I,sd^e,u-4-2
sw4055B-ms98-a-0006,8.713250,8.959375,i,B,sd,u-6-1
sw4055B-ms98-a-0006,8.959375,9.320875,camp,I,sd,u-6-1
sw4055B-ms98-a-0006,9.320875,9.520875,uh,I,sd,u-6-1
sw4055B-ms98-a-0006,9.520875,9.800875,every,I,sd,u-6-1
sw4055B-ms98-a-0006,9.800875,10.280875,month,I,sd,u-6-1
sw4055B-ms98-a-0006,10.280875,10.704875,uh,I,sd,u-6-1
sw4055B-ms98-a-0006,10.976000,11.290875,camp,I,sd,u-6-1
sw4055B-ms98-a-0006,11.290875,11.360875,at,I,sd,u-6-1
sw4055B-ms98-a-0006,11.360875,11.600875,least,I,sd,u-6-1
sw4055B-ms98-a-0006,11.600875,11.820875,one,I,sd,u-6-1
sw4055B-ms98-a-0006,11.820875,12.300875,weekend,I,sd,u-6-1
sw4055B-ms98-a-0006,12.300875,12.570875,and,B,sd,u-6-2
sw4055B-ms98-a-0006,12.570875,12.780875,during,I,sd,u-6-2
sw4055B-ms98-a-0006,12.780875,12.840875,the,I,sd,u-6-2
sw4055B-ms98-a-0006,12.840875,13.200875,summer,I,sd,u-6-2
sw4055B-ms98-a-0006,13.200875,13.340875,we,I,sd,u-6-2
sw4055B-ms98-a-0006,13.340875,13.830875,camp,I,sd,u-6-2
sw4055B-ms98-a-0006,13.830875,14.090875,uh,I,sd,u-6-2
sw4055B-ms98-a-0006,14.090875,14.300875,two,I,sd,u-6-2
sw4055B-ms98-a-0006,14.300875,14.390875,or,I,sd,u-6-2
sw4055B-ms98-a-0006,14.390875,14.620875,three,I,sd,u-6-2
sw4055B-ms98-a-0006,14.620875,14.880875,weeks,I,sd,u-6-2
sw4055B-ms98-a-0006,14.880875,14.910875,a,I,sd,u-6-2
sw4055B-ms98-a-0006,14.910875,15.270875,year,I,sd,u-6-2
sw4055B-ms98-a-0006,15.270875,15.371750,[laughter],O,,
sw4055B-ms98-a-0008,17.930125,18.140125,i'd,B,sv,u-8-1
sw4055B-ms98-a-0008,18.140125,18.300125,say,I,sv,u-8-1
