sw3283A-ms98-a-0001,0.080000,0.250000,okay,B,o,u-1-1
sw3283A-ms98-a-0001,0.250000,0.410000,we're,B,sd,u-1-2
sw3283A-ms98-a-0001,0.410000,0.720000,talking,I,sd,u-1-2
sw3283A-ms98-a-0001,0.720000,0.960000,about,I,sd,u-1-2
sw3283A-ms98-a-0001,0.960000,1.290000,capital,I,sd,u-1-2
sw3283A-ms98-a-0001,1.290000,1.920000,punishment,I,sd,u-1-2
sw3283A-ms98-a-0002,3.146500,3.314125,how,B,qo,u-3-1
sw3283A-ms98-a-0002,3.314125,3.416000,do,I,qo,u-3-1
sw3283A-ms98-a-0002,3.416000,3.421500,you,I,qo,u-3-1
sw3283A-ms98-a-0002,3.421500,3.601500,feel,I,qo,u-3-1
sw3283A-ms98-a-0002,3.601500,3.861500,about,I,qo,u-3-1
sw3283A-ms98-a-0002,3.861500,4.021500,that,I,qo,u-3-1
sw3283A-ms98-a-0002,4.021500,4.532500,Lenore,I,qo,u-3-1
sw3283A-ms98-a-0004,6.901250,7.340500,well,B,ba,u-5-1
sw3283A-ms98-a-0004,7.340500,7.830500,wonderful,I,ba,u-5-1
sw3283A-ms98-a-0004,7.830500,8.030500,i,B,sd,u-5-2
sw3283A-ms98-a-0004,8.030500,8.240500,am,I,sd,u-5-2
sw3283A-ms98-a-0004,8.240500,8.540500,too,I,sd,u-5-2
sw3283A-ms98-a-0004,8.540500,8.780500,one,I,sd,u-5-2
sw3283A-ms98-a-0004,8.780500,8.990500,hundred,I,sd,u-5-2
sw3283A-ms98-a-0004,8.990500,9.604500,percent,I,sd,u-5-2
sw3283A-ms98-a-0006,14.409750,14.911000,um-hum,B,b,u-7-1
sw3283A-ms98-a-0008,19.860625,20.042625,all,B,^2,u-9-1
sw3283A-ms98-a-0008,20.042625,20.172625,your,I,^2,u-9-1
sw3283A-ms98-a-0008,20.172625,20.422625,life,I,^2,u-9-1
sw3283A-ms98-a-0008,20.422625,20.652625,huh,O,,
sw3283A-ms98-a-0008,20.652625,21.603250,uh-huh,B,b,u-11-1
sw3283A-ms98-a-0010,30.209875,30.389875,there's,B,^2,u-13-1
sw3283A-ms98-a-0010,30.389875,30.539875,no,I,^2,u-13-1
sw3283A-ms98-a-0010,30.539875,31.113000,deterrent,I,^2,u-13-1
sw3283A-ms98-a-0011,31.870875,32.160875,that's,B,aa,u-15-1
sw3283A-ms98-a-0011,32.160875,32.510875,right,I,aa,u-15-1
sw3283A-ms98-a-0011,32.510875,32.710875,there's,B,sv,u-15-2
sw3283A-ms98-a-0011,32.710875,32.910875,just,I,sv,u-15-2
