sw2611B-ms98-a-0003,11.129500,11.619500,uh-huh,B,b,u-2-1
sw2611B-ms98-a-0005,21.361500,24.503375,[laughter],O,,
sw2611B-ms98-a-0007,28.064250,28.694875,yeah,B,b,u-6-1
sw2611B-ms98-a-0009,59.444750,59.951625,yeah,B,b,u-8-1
sw2611B-ms98-a-0010,61.000625,61.260625,uh,I,b,u-8-1
sw2611B-ms98-a-0010,61.260625,61.370625,you,B,sv,u-8-2
sw2611B-ms98-a-0010,61.370625,61.470625,know,I,sv,u-8-2
sw2611B-ms98-a-0010,61.470625,61.660625,that's,I,sv,u-8-2
sw2611B-ms98-a-0010,61.660625,61.710625,a,I,sv,u-8-2
sw2611B-ms98-a-0010,61.710625,61.880625,good,I,sv,u-8-2
sw2611B-ms98-a-0010,61.880625,62.010625,way,I,sv,u-8-2
sw2611B-ms98-a-0010,62.010625,62.090625,to,I,sv,u-8-2
sw2611B-ms98-a-0010,62.090625,62.480625,approach,I,sv,u-8-2
sw2611B-ms98-a-0010,62.480625,62.540625,it,I,sv,u-8-2
sw2611B-ms98-a-0010,62.540625,62.630625,i've,B,sd,u-8-3
sw2611B-ms98-a-0010,62.630625,62.830625,never,I,sd,u-8-3
sw2611B-ms98-a-0010,62.830625,63.070625,thought,I,sd,u-8-3
sw2611B-ms98-a-0010,63.070625,63.623000,about,I,sd,u-8-3
sw2611B-ms98-a-0010,63.623000,64.050625,um,I,sd,u-8-3
sw2611B-ms98-a-0010,64.050625,64.200500,i,B,sd,u-8-4
sw2611B-ms98-a-0010,64.200500,64.629875,do,I,sd,u-8-4
sw2611B-ms98-a-0010,65.180625,65.490625,plan,I,sd,u-8-4
sw2611B-ms98-a-0010,65.490625,65.620625,my,I,sd,u-8-4
sw2611B-ms98-a-0010,65.620625,66.050625,clothes,I,sd,u-8-4
sw2611B-ms98-a-0010,66.050625,66.120625,a,I,sd,u-8-4
sw2611B-ms98-a-0010,66.120625,66.330625,week,I,sd,u-8-4
sw2611B-ms98-a-0010,66.330625,66.410625,in,I,sd,u-8-4
sw2611B-ms98-a-0010,66.410625,66.770625,advance,I,sd,u-8-4
sw2611B-ms98-a-0010,66.770625,67.450625,actually,B,sd,u-8-5
sw2611B-ms98-a-0010,67.450625,67.734750,i,I,sd,u-8-5
sw2611B-ms98-a-0010,68.103875,68.290625,plan,I,sd,u-8-5
sw2611B-ms98-a-0010,68.290625,68.410625,them,I,sd,u-8-5
sw2611B-ms98-a-0010,68.410625,68.460625,a,I,sd,u-8-5
sw2611B-ms98-a-0010,68.460625,68.750625,month,I,sd,u-8-5
sw2611B-ms98-a-0010,68.750625,68.810625,in,I,sd,u-8-5
sw2611B-ms98-a-0010,68.810625,69.426875,advance,I,sd,u-8-5
sw2611B-ms98-a-0010,69.671625,69.754375,i,B,sd,u-8-6
sw2611B-ms98-a-0010,69.754375,70.119750,usually,I,sd,u-8-6
sw2611B-ms98-a-0010,70.119750,70.500625,do,I,sd,u-8-6
sw2611B-ms98-a-0010,70.839500,70.932375,a,I,sd,u-8-6
sw2611B-ms98-a-0010,70.932375,71.150625,month,I,sd,u-8-6
sw2611B-ms98-a-0010,71.150625,71.230625,at,I,sd,u-8-6
sw2611B-ms98-a-0010,71.230625,71.280625,a,I,sd,u-8-6
sw2611B-ms98-a-0010,71.280625,71.530625,time,I,sd,u-8-6
sw2611B-ms98-a-0010,71.530625,71.650625,so,B,sd,u-8-7
sw2611B-ms98-a-0010,71.650625,71.680625,i,I,sd,u-8-7
sw2611B-ms98-a-0010,71.680625,71.960625,don't,I,sd,u-8-7
sw2611B-ms98-a-0010,71.960625,72.260625,repeat,I,sd,u-8-7
sw2611B-ms98-a-0010,72.260625,72.340625,an,I,sd,u-8-7
sw2611B-ms98-a-0010,72.340625,72.860375,outfit,I,sd,u-8-7
sw2611B-ms98-a-0011,73.737375,73.978000,but,B,sd,u-10-1
sw2611B-ms98-a-0011,73.978000,74.356000,um,I,sd,u-10-1
sw2611B-ms98-a-0011,74.723500,74.853875,i've,I,sd,u-10-1
sw2611B-ms98-a-0011,74.853875,75.063875,never,I,sd,u-10-1
sw2611B-ms98-a-0011,75.063875,75.283875,thought,I,sd,u-10-1
sw2611B-ms98-a-0011,75.283875,75.493875,about,I,sd,u-10-1
sw2611B-ms98-a-0011,75.493875,75.693875,wearing,I,sd,u-10-1
sw2611B-ms98-a-0011,75.693875,75.783875,your,I,sd,u-10-1
sw2611B-ms98-a-0011,75.783875,76.023875,worst,I,sd,u-10-1
sw2611B-ms98-a-0011,76.023875,76.303875,outfit,I,sd,u-10-1
sw2611B-ms98-a-0011,76.303875,76.413875,on,I,sd,u-10-1
sw2611B-ms98-a-0011,76.413875,76.663875,Monday,I,sd,u-10-1
sw2611B-ms98-a-0011,76.663875,77.013875,because,I,sd,u-10-1
sw2611B-ms98-a-0011,77.013875,77.193875,really,I,sd,u-10-1
sw2611B-ms98-a-0011,77.193875,77.293875,no,I,sd,u-10-1
sw2611B-ms98-a-0011,77.293875,77.453875,one's,I,sd,u-10-1
sw2611B-ms98-a-0011,77.453875,77.643875,paying,I,sd,u-10-1
sw2611B-ms98-a-0011,77.643875,78.098875,attention,I,sd,u-10-1
sw2611B-ms98-a-0011,78.351250,78.413875,but,B,sd,u-10-2
sw2611B-ms98-a-0011,78.413875,78.751125,anyway,I,sd,u-10-2
sw2611B-ms98-a-0012,79.389875,79.869625,um,I,sd,u-10-2
sw2611B-ms98-a-0012,79.991250,80.127125,i,I,sd,u-10-2
sw2611B-ms98-a-0012,80.127125,80.586625,really,I,sd,u-10-2
sw2611B-ms98-a-0012,80.586625,80.755125,i,I,sd,u-10-2
sw2611B-ms98-a-0012,80.755125,81.052625,don't,I,sd,u-10-2
sw2611B-ms98-a-0012,81.052625,81.441250,work,I,sd,u-10-2
sw2611B-ms98-a-0012,81.441250,81.851250,outside,I,sd,u-10-2
sw2611B-ms98-a-0012,81.851250,81.911250,of,I,sd,u-10-2
sw2611B-ms98-a-0012,81.911250,82.531250,school,I,sd,u-10-2
sw2611B-ms98-a-0012,82.531250,83.025250,um,B,sd,u-10-3
sw2611B-ms98-a-0012,83.025250,83.123250,i,I,sd,u-10-3
sw2611B-ms98-a-0012,83.123250,83.291250,work,I,sd,u-10-3
sw2611B-ms98-a-0012,83.291250,83.371250,in,I,sd,u-10-3
sw2611B-ms98-a-0012,83.371250,83.441250,the,I,sd,u-10-3
sw2611B-ms98-a-0012,83.441250,83.901250,computer,I,sd,u-10-3
sw2611B-ms98-a-0012,83.901250,84.161250,lab,I,sd,u-10-3
sw2611B-ms98-a-0012,84.161250,84.331250,at,I,sd,u-10-3
sw2611B-ms98-a-0012,84.331250,84.701250,school,I,sd,u-10-3
sw2611B-ms98-a-0012,84.701250,84.881250,so,B,sd,u-10-4
sw2611B-ms98-a-0012,84.881250,84.931250,i,I,sd,u-10-4
sw2611B-ms98-a-0012,84.931250,85.081250,can,I,sd,u-10-4
sw2611B-ms98-a-0012,85.081250,85.301250,just,I,sd,u-10-4
sw2611B-ms98-a-0012,85.301250,85.551250,wear,I,sd,u-10-4
sw2611B-ms98-a-0012,85.551250,86.051250,whatever,I,sd,u-10-4
sw2611B-ms98-a-0012,86.051250,86.091250,i,I,sd,u-10-4
sw2611B-ms98-a-0012,86.091250,86.331250,have,I,sd,u-10-4
sw2611B-ms98-a-0012,86.331250,86.481250,on,I,sd,u-10-4
sw2611B-ms98-a-0012,86.481250,86.611250,for,I,sd,u-10-4
sw2611B-ms98-a-0012,86.611250,86.981250,school,I,sd,u-10-4
sw2611B-ms98-a-0012,86.981250,87.200250,and,O,,
sw2611B-ms98-a-0013,88.039500,88.396250,and,B,%,u-10-5
sw2611B-ms98-a-0013,88.396250,88.845125,um,I,%,u-10-5
sw2611B-ms98-a-0014,90.066000,90.184750,and,I,%,u-10-5
sw2611B-ms98-a-0014,90.184750,90.604750,really,I,%,u-10-5
sw2611B-ms98-a-0014,90.604750,91.144750,it's,I,%,u-10-5
