sw3680B-ms98-a-0002,2.204000,2.514000,okay,B,aa,u-2-1
sw3680B-ms98-a-0002,2.514000,2.814000,well,B,sd,u-2-2
sw3680B-ms98-a-0002,2.814000,2.924000,i'm,I,sd,u-2-2
sw3680B-ms98-a-0002,2.924000,2.994000,a,I,sd,u-2-2
sw3680B-ms98-a-0002,2.994000,3.494000,Vietnam,I,sd,u-2-2
sw3680B-ms98-a-0002,3.494000,3.774000,era,I,sd,u-2-2
sw3680B-ms98-a-0002,3.774000,4.444000,veteran,I,sd,u-2-2
sw3680B-ms98-a-0002,4.444000,4.844000,and,B,sd,u-2-3
sw3680B-ms98-a-0002,4.844000,5.064000,uh,I,sd,u-2-3
sw3680B-ms98-a-0002,5.164000,5.314000,i,I,sd,u-2-3
sw3680B-ms98-a-0002,5.314000,5.674000,was,I,sd,u-2-3
sw3680B-ms98-a-0002,5.674000,5.868375,uh,I,sd,u-2-3
sw3680B-ms98-a-0002,6.384375,6.646750,uh,I,sd,u-2-3
sw3680B-ms98-a-0002,6.646750,7.114000,fortunate,I,sd,u-2-3
sw3680B-ms98-a-0002,7.114000,7.404000,not,I,sd,u-2-3
sw3680B-ms98-a-0002,7.404000,7.494000,to,I,sd,u-2-3
sw3680B-ms98-a-0002,7.494000,7.684000,have,I,sd,u-2-3
sw3680B-ms98-a-0002,7.684000,7.814000,to,I,sd,u-2-3
sw3680B-ms98-a-0002,7.814000,8.114000,serve,I,sd,u-2-3
sw3680B-ms98-a-0002,8.114000,8.214000,in,I,sd,u-2-3
sw3680B-ms98-a-0002,8.214000,8.294000,the,I,sd,u-2-3
sw3680B-ms98-a-0002,8.294000,8.674000,theater,I,sd,u-2-3
sw3680B-ms98-a-0002,8.674000,9.224000,however,B,sd,u-2-4
sw3680B-ms98-a-0002,9.224000,9.494000,uh,I,sd,u-2-4
sw3680B-ms98-a-0002,9.494000,9.764000,m[y]-,I,sd,u-2-4
sw3680B-ms98-a-0002,9.764000,10.042500,my,I,sd,u-2-4
sw3680B-ms98-a-0002,10.042500,10.483125,support,I,sd,u-2-4
sw3680B-ms98-a-0002,10.483125,10.724000,roll,I,sd,u-2-4
sw3680B-ms98-a-0002,10.724000,10.844000,in,I,sd,u-2-4
sw3680B-ms98-a-0002,10.844000,10.914000,the,I,sd,u-2-4
sw3680B-ms98-a-0002,10.914000,11.374000,service,I,sd,u-2-4
sw3680B-ms98-a-0002,11.374000,11.654000,was,I,sd,u-2-4
sw3680B-ms98-a-0002,11.654000,11.814000,to,I,sd,u-2-4
sw3680B-ms98-a-0002,11.814000,12.264000,support,I,sd,u-2-4
sw3680B-ms98-a-0002,12.264000,12.574000,those,I,sd,u-2-4
sw3680B-ms98-a-0002,12.654000,12.994000,in,I,sd,u-2-4
sw3680B-ms98-a-0002,12.994000,13.134000,the,I,sd,u-2-4
sw3680B-ms98-a-0002,13.134000,13.504000,theater,I,sd,u-2-4
sw3680B-ms98-a-0002,13.504000,13.614000,of,I,sd,u-2-4
sw3680B-ms98-a-0002,13.614000,14.254000,operation,I,sd,u-2-4
sw3680B-ms98-a-0003,15.081625,15.381625,uh,I,sd,u-2-4
