sw2568A-ms98-a-0002,2.063500,2.718625,okay,B,b^m,u-2-1
sw2568A-ms98-a-0004,5.249500,5.493875,well,B,%,u-4-1
sw2568A-ms98-a-0004,5.493875,6.102000,actually,I,%,u-4-1
sw2568A-ms98-a-0004,6.395750,6.628125,what,I,%,u-4-1
sw2568A-ms98-a-0004,6.628125,6.688125,i,I,%,u-4-1
sw2568A-ms98-a-0004,6.688125,6.988125,do,I,%,u-4-1
sw2568A-ms98-a-0004,6.988125,7.118125,i,B,nd,u-4-2
sw2568A-ms98-a-0004,7.118125,7.438125,haven't,I,nd,u-4-2
sw2568A-ms98-a-0004,7.438125,7.678125,been,I,nd,u-4-2
sw2568A-ms98-a-0004,7.678125,7.928125,to,I,nd,u-4-2
sw2568A-ms98-a-0004,7.928125,7.968125,a,I,nd,u-4-2
sw2568A-ms98-a-0004,7.968125,8.308125,movie,I,nd,u-4-2
sw2568A-ms98-a-0004,8.308125,8.869375,theater,I,nd,u-4-2
sw2568A-ms98-a-0004,9.144250,9.508125,in,I,nd,u-4-2
sw2568A-ms98-a-0004,9.508125,10.937250,probably,I,nd,u-4-2
sw2568A-ms98-a-0004,10.937250,11.158125,eight,I,nd,u-4-2
sw2568A-ms98-a-0004,11.158125,11.228125,or,I,nd,u-4-2
sw2568A-ms98-a-0004,11.228125,11.498125,nine,I,nd,u-4-2
sw2568A-ms98-a-0004,11.498125,12.062750,months,I,nd,u-4-2
sw2568A-ms98-a-0005,12.470875,12.769375,so,B,sd,u-6-1
sw2568A-ms98-a-0005,12.769375,12.919375,i,I,sd,u-6-1
sw2568A-ms98-a-0005,12.919375,13.319375,haven't,I,sd,u-6-1
sw2568A-ms98-a-0005,13.319375,13.689375,really,I,sd,u-6-1
sw2568A-ms98-a-0005,13.689375,14.169375,seen,I,sd,u-6-1
sw2568A-ms98-a-0005,14.169375,14.409375,any,I,sd,u-6-1
sw2568A-ms98-a-0005,14.409375,14.829375,movies,I,sd,u-6-1
sw2568A-ms98-a-0005,14.829375,14.909375,in,I,sd,u-6-1
sw2568A-ms98-a-0005,14.909375,14.969375,the,I,sd,u-6-1
sw2568A-ms98-a-0005,14.969375,15.319375,movie,I,sd,u-6-1
sw2568A-ms98-a-0005,15.319375,15.882125,theater,I,sd,u-6-1
sw2568A-ms98-a-0005,16.272000,17.009375,but,B,sd,u-6-2
sw2568A-ms98-a-0005,17.009375,17.109375,i,I,sd,u-6-2
sw2568A-ms98-a-0005,17.109375,17.539375,rent,I,sd,u-6-2
sw2568A-ms98-a-0005,17.539375,18.229375,probably,I,sd,u-6-2
sw2568A-ms98-a-0005,18.229375,18.779375,four,I,sd,u-6-2
