sw3626B-ms98-a-0002,3.597625,4.093625,yes,B,b,u-2-1
sw3626B-ms98-a-0004,6.386625,6.720250,uh,B,ny,u-4-1
sw3626B-ms98-a-0004,6.720250,7.176625,yes,I,ny,u-4-1
sw3626B-ms98-a-0004,7.176625,7.538625,um,B,sd^e,u-4-2
sw3626B-ms98-a-0004,7.813625,7.916625,we,I,sd^e,u-4-2
sw3626B-ms98-a-0004,7.916625,8.106625,own,I,sd^e,u-4-2
sw3626B-ms98-a-0004,8.106625,8.446250,one,I,sd^e,u-4-2
sw3626B-ms98-a-0005,10.135500,10.205500,uh,B,sd,u-6-1
sw3626B-ms98-a-0005,10.205500,10.565500,its,I,sd,u-6-1
sw3626B-ms98-a-0005,10.565500,10.655500,an,I,sd,u-6-1
sw3626B-ms98-a-0005,10.655500,11.286750,Emerson,I,sd,u-6-1
sw3626B-ms98-a-0005,11.524125,11.845500,eighty,I,sd,u-6-1
sw3626B-ms98-a-0005,11.845500,12.025500,eighty,I,sd,u-6-1
sw3626B-ms98-a-0005,12.025500,12.596500,six,I,sd,u-6-1
sw3626B-ms98-a-0005,13.560500,14.010000,um,I,sd,u-6-1
sw3626B-ms98-a-0005,14.567500,14.705500,two,I,sd,u-6-1
sw3626B-ms98-a-0005,14.705500,14.865500,low,I,sd,u-6-1
sw3626B-ms98-a-0005,14.865500,15.285500,density,I,sd,u-6-1
sw3626B-ms98-a-0005,15.285500,15.655500,floppy,I,sd,u-6-1
sw3626B-ms98-a-0005,15.655500,16.273875,drives,I,sd,u-6-1
sw3626B-ms98-a-0005,16.513375,17.495500,and,I,sd,u-6-1
sw3626B-ms98-a-0005,17.495500,17.645500,no,I,sd,u-6-1
sw3626B-ms98-a-0005,17.645500,17.865500,hard,I,sd,u-6-1
sw3626B-ms98-a-0005,17.865500,18.125500,drive,I,sd,u-6-1
sw3626B-ms98-a-0005,18.125500,18.391375,yet,I,sd,u-6-1
sw3626B-ms98-a-0006,19.776625,20.006125,but,B,sd,u-6-2
sw3626B-ms98-a-0006,20.006125,20.274000,uh,I,sd,u-6-2
