sw3734B-ms98-a-0003,6.767000,7.236875,oh,B,b,u-2-1
sw3734B-ms98-a-0005,10.888500,11.254875,uh-huh,B,b,u-4-1
sw3734B-ms98-a-0007,21.371500,21.694875,uh-huh,B,b,u-6-1
sw3734B-ms98-a-0009,30.784500,31.337625,yeah,B,b,u-8-1
sw3734B-ms98-a-0009,31.337625,31.607625,uh,B,b,u-8-2
sw3734B-ms98-a-0010,32.658125,33.110875,ah,O,,
sw3734B-ms98-a-0012,37.094625,37.298625,oh,B,sd,u-12-1
sw3734B-ms98-a-0012,37.298625,37.518625,me,I,sd,u-12-1
sw3734B-ms98-a-0012,37.518625,38.006875,neither,I,sd,u-12-1
sw3734B-ms98-a-0012,38.006875,38.538375,[laughter],O,,
sw3734B-ms98-a-0014,41.537125,41.963625,yeah,B,b,u-14-1
sw3734B-ms98-a-0016,46.207250,46.559625,yeah,B,b,u-16-1
sw3734B-ms98-a-0016,46.559625,46.939625,same,B,sd,u-16-2
sw3734B-ms98-a-0016,46.939625,47.491625,here,I,sd,u-16-2
sw3734B-ms98-a-0016,47.491625,47.619625,i,B,sd,u-16-3
sw3734B-ms98-a-0016,47.619625,47.871000,don't,I,sd,u-16-3
sw3734B-ms98-a-0016,48.044250,48.359625,mind,I,sd,u-16-3
sw3734B-ms98-a-0016,48.359625,48.589625,not,I,sd,u-16-3
sw3734B-ms98-a-0016,48.589625,48.859625,wearing,I,sd,u-16-3
sw3734B-ms98-a-0016,48.859625,48.989625,any,I,sd,u-16-3
sw3734B-ms98-a-0016,48.989625,49.480250,makeup,I,sd,u-16-3
sw3734B-ms98-a-0016,49.480250,50.124750,[laughter],O,,
sw3734B-ms98-a-0018,52.110500,52.445500,um,B,sd,u-18-1
sw3734B-ms98-a-0018,52.946500,53.099375,i,I,sd,u-18-1
sw3734B-ms98-a-0018,53.099375,53.339375,work,I,sd,u-18-1
sw3734B-ms98-a-0018,53.339375,53.549375,at,I,sd,u-18-1
sw3734B-ms98-a-0018,53.549375,53.589375,a,I,sd,u-18-1
sw3734B-ms98-a-0018,53.589375,54.260000,bakery,I,sd,u-18-1
sw3734B-ms98-a-0018,54.260000,54.992000,[laughter],O,,
sw3734B-ms98-a-0018,54.992000,55.149375,because_1,O,,
sw3734B-ms98-a-0018,55.149375,55.339375,i'm,B,+,u-20-1
sw3734B-ms98-a-0018,55.339375,55.448375,a,I,+,u-20-1
sw3734B-ms98-a-0018,55.727125,55.929375,still,I,+,u-20-1
sw3734B-ms98-a-0018,55.929375,56.129375,a,I,+,u-20-1
sw3734B-ms98-a-0018,56.129375,56.179375,a,I,+,u-20-1
sw3734B-ms98-a-0018,56.179375,56.619375,college,I,+,u-20-1
sw3734B-ms98-a-0018,56.619375,57.199375,student,I,+,u-20-1
sw3734B-ms98-a-0018,57.199375,57.486875,um,I,+,u-20-1
sw3734B-ms98-a-0019,58.341625,58.533375,but,B,sd,u-22-1
sw3734B-ms98-a-0019,58.619750,58.952000,we,I,sd,u-22-1
sw3734B-ms98-a-0019,59.087250,59.161375,we,I,sd,u-22-1
sw3734B-ms98-a-0019,59.161375,59.301375,have,I,sd,u-22-1
sw3734B-ms98-a-0019,59.301375,59.421375,to,I,sd,u-22-1
sw3734B-ms98-a-0019,59.421375,59.794500,wear,I,sd,u-22-1
sw3734B-ms98-a-0019,59.794500,60.011375,white,I,sd,u-22-1
sw3734B-ms98-a-0019,60.011375,60.808375,pants,I,sd,u-22-1
sw3734B-ms98-a-0019,60.808375,61.181375,and,I,sd,u-22-1
sw3734B-ms98-a-0019,61.181375,61.528125,um,I,sd,u-22-1
sw3734B-ms98-a-0020,62.333500,62.581875,any,I,sd,u-22-1
sw3734B-ms98-a-0020,62.712875,62.935375,color,I,sd,u-22-1
sw3734B-ms98-a-0020,62.935375,63.175375,T,I,sd,u-22-1
sw3734B-ms98-a-0020,63.175375,63.395375,shirt,I,sd,u-22-1
sw3734B-ms98-a-0020,63.395375,63.505375,as,I,sd,u-22-1
sw3734B-ms98-a-0020,63.505375,63.695375,long,I,sd,u-22-1
sw3734B-ms98-a-0020,63.695375,63.815375,as,I,sd,u-22-1
sw3734B-ms98-a-0020,63.815375,63.955375,it's,I,sd,u-22-1
sw3734B-ms98-a-0020,63.955375,64.135375,not,I,sd,u-22-1
sw3734B-ms98-a-0020,64.135375,64.275375,like,I,sd,u-22-1
sw3734B-ms98-a-0020,64.275375,64.345375,a,I,sd,u-22-1
sw3734B-ms98-a-0020,64.345375,64.705375,bright,I,sd,u-22-1
sw3734B-ms98-a-0020,64.705375,65.025375,color,I,sd,u-22-1
sw3734B-ms98-a-0020,65.025375,65.261625,like,I,sd,u-22-1
sw3734B-ms98-a-0020,65.261625,65.383375,a,I,sd,u-22-1
sw3734B-ms98-a-0020,65.631875,66.287250,pastel,I,sd,u-22-1
sw3734B-ms98-a-0022,68.002000,68.392625,yeah,B,ny,u-24-1
sw3734B-ms98-a-0022,68.818625,69.459250,yeah,B,ny^r,u-26-1
sw3734B-ms98-a-0022,69.459250,69.569250,the,B,sd^e,u-26-2
sw3734B-ms98-a-0022,69.569250,70.039250,bakers,I,sd^e,u-26-2
sw3734B-ms98-a-0022,70.039250,70.219250,wear,I,sd^e,u-26-2
sw3734B-ms98-a-0022,70.219250,70.369250,all,I,sd^e,u-26-2
sw3734B-ms98-a-0022,70.369250,70.689250,white,I,sd^e,u-26-2
sw3734B-ms98-a-0022,70.689250,71.859250,[laughter],O,,
sw3734B-ms98-a-0022,71.859250,72.359250,and,B,sd,u-28-1
sw3734B-ms98-a-0022,72.359250,72.479250,we,I,sd,u-28-1
sw3734B-ms98-a-0022,72.479250,72.783750,wear,I,sd,u-28-1
sw3734B-ms98-a-0022,72.783750,73.319250,aprons,I,sd,u-28-1
sw3734B-ms98-a-0022,73.319250,73.593125,and,I,sd,u-28-1
sw3734B-ms98-a-0022,73.811625,73.969250,have,I,sd,u-28-1
sw3734B-ms98-a-0022,73.969250,74.079250,to,I,sd,u-28-1
sw3734B-ms98-a-0022,74.079250,74.249250,pull,I,sd,u-28-1
sw3734B-ms98-a-0022,74.249250,74.359250,our,I,sd,u-28-1
sw3734B-ms98-a-0022,74.359250,74.539250,hair,I,sd,u-28-1
sw3734B-ms98-a-0022,74.539250,74.899250,back,I,sd,u-28-1
sw3734B-ms98-a-0022,74.899250,75.099750,and,B,%,u-28-2
sw3734B-ms98-a-0022,75.547875,75.950250,so,I,%,u-28-2
sw3734B-ms98-a-0023,77.549875,78.519000,Cullentini's,O,,
sw3734B-ms98-a-0025,80.963500,81.417625,[laughter-yeah],O,,
sw3734B-ms98-a-0025,81.417625,81.786750,[laughter],O,,
sw3734B-ms98-a-0025,81.786750,81.945750,it's,B,sd^e,u-34-1
sw3734B-ms98-a-0025,81.945750,82.395750,Italian,I,sd^e,u-34-1
sw3734B-ms98-a-0025,82.395750,82.835000,bakery,I,sd^e,u-34-1
sw3734B-ms98-a-0025,83.501625,83.765750,and,B,sd,u-34-2
sw3734B-ms98-a-0025,83.765750,83.945750,uh,I,sd,u-34-2
sw3734B-ms98-a-0025,83.945750,84.332000,so,I,sd,u-34-2
sw3734B-ms98-a-0026,85.267375,85.331125,i,I,sd,u-34-2
sw3734B-ms98-a-0026,85.331125,85.541125,don't,I,sd,u-34-2
sw3734B-ms98-a-0026,85.541125,85.821125,mind,I,sd,u-34-2
sw3734B-ms98-a-0026,85.821125,86.218875,having,I,sd,u-34-2
sw3734B-ms98-a-0026,86.422250,86.671125,having,I,sd,u-34-2
sw3734B-ms98-a-0026,86.671125,86.741125,to,I,sd,u-34-2
sw3734B-ms98-a-0026,86.741125,86.871125,wear,I,sd,u-34-2
sw3734B-ms98-a-0026,86.871125,86.911125,a,I,sd,u-34-2
sw3734B-ms98-a-0026,86.911125,87.391125,uniform,I,sd,u-34-2
