sw4339A-ms98-a-0001,0.113625,0.210000,yeah,B,o,u-1-1
sw4339A-ms98-a-0001,0.210000,0.850000,Jonathan,B,sd,u-1-2
sw4339A-ms98-a-0001,0.850000,1.110000,uh,I,sd,u-1-2
sw4339A-ms98-a-0001,1.110000,1.332750,y[ou]-,I,sd,u-1-2
sw4339A-ms98-a-0001,1.607625,1.720000,you,I,sd,u-1-2
sw4339A-ms98-a-0001,1.720000,2.200000,s[ay]-,I,sd,u-1-2
sw4339A-ms98-a-0001,2.200000,2.280000,you,I,sd,u-1-2
sw4339A-ms98-a-0001,2.280000,2.560000,say,I,sd,u-1-2
sw4339A-ms98-a-0001,2.560000,2.750000,it's,I,sd,u-1-2
sw4339A-ms98-a-0001,2.750000,2.940000,near,I,sd,u-1-2
sw4339A-ms98-a-0001,2.940000,3.040000,and,I,sd,u-1-2
sw4339A-ms98-a-0001,3.040000,3.200000,dear,I,sd,u-1-2
sw4339A-ms98-a-0001,3.200000,3.260000,to,I,sd,u-1-2
sw4339A-ms98-a-0001,3.260000,3.460000,your,I,sd,u-1-2
sw4339A-ms98-a-0001,3.460000,3.856375,heart,I,sd,u-1-2
sw4339A-ms98-a-0001,4.161500,4.420000,buying,B,qy^d,u-1-3
sw4339A-ms98-a-0001,4.420000,4.479875,a,I,qy^d,u-1-3
sw4339A-ms98-a-0001,4.513750,4.860000,car,I,qy^d,u-1-3
sw4339A-ms98-a-0001,4.860000,5.120000,is,I,qy^d,u-1-3
sw4339A-ms98-a-0001,5.120000,5.318250,uh,I,qy^d,u-1-3
sw4339A-ms98-a-0001,5.789125,6.100000,something,I,qy^d,u-1-3
sw4339A-ms98-a-0001,6.100000,6.210000,you're,I,qy^d,u-1-3
sw4339A-ms98-a-0001,6.210000,6.850000,contemplating,I,qy^d,u-1-3
sw4339A-ms98-a-0001,6.850000,6.920000,i,I,qy^d,u-1-3
sw4339A-ms98-a-0001,6.920000,7.190000,take,I,qy^d,u-1-3
sw4339A-ms98-a-0001,7.190000,7.396625,it,I,qy^d,u-1-3
sw4339A-ms98-a-0003,10.288125,10.460375,ah,O,,
sw4339A-ms98-a-0005,14.257500,14.627500,uh-huh,B,b,u-5-1
sw4339A-ms98-a-0007,18.635500,18.754625,uh,B,%,u-7-1
sw4339A-ms98-a-0009,23.215250,23.615875,uh-huh,B,b,u-9-1
sw4339A-ms98-a-0011,29.887500,30.130250,wow,B,ba@,u-11-1
sw4339A-ms98-a-0011,30.313125,31.055750,[laughter],O,,
sw4339A-ms98-a-0011,31.055750,31.145750,you,O,,
sw4339A-ms98-a-0011,31.145750,31.267500,get,B,+@,u-13-1
sw4339A-ms98-a-0013,34.220875,34.587750,uh-huh,B,b,u-15-1
sw4339A-ms98-a-0013,35.275750,35.390875,what,B,qw,u-15-2
sw4339A-ms98-a-0013,35.390875,35.450875,do,I,qw,u-15-2
sw4339A-ms98-a-0013,35.450875,35.540875,you,I,qw,u-15-2
sw4339A-ms98-a-0013,35.540875,35.740000,think,I,qw,u-15-2
sw4339A-ms98-a-0013,35.820875,36.290875,you'll,I,qw,u-15-2
sw4339A-ms98-a-0013,36.290875,36.702125,uh,I,qw,u-15-2
sw4339A-ms98-a-0013,36.977125,37.130875,what,I,qw,u-15-2
sw4339A-ms98-a-0013,37.130875,37.300875,kind,I,qw,u-15-2
sw4339A-ms98-a-0013,37.300875,37.370875,of,I,qw,u-15-2
sw4339A-ms98-a-0013,37.370875,37.430875,a,I,qw,u-15-2
sw4339A-ms98-a-0013,37.430875,37.650875,car,I,qw,u-15-2
sw4339A-ms98-a-0013,37.650875,37.710875,do,I,qw,u-15-2
sw4339A-ms98-a-0013,37.710875,37.790875,you,I,qw,u-15-2
sw4339A-ms98-a-0013,37.790875,37.980875,think,I,qw,u-15-2
