sw3133B-ms98-a-0003,2.190500,2.627250,okay,B,o,u-1-1
sw3133B-ms98-a-0005,6.972625,7.259750,no,B,nn,u-5-1
sw3133B-ms98-a-0007,10.512250,10.908125,yeah,B,b,u-7-1
sw3133B-ms98-a-0009,17.687250,17.807875,i,B,sv,u-9-1
sw3133B-ms98-a-0009,17.807875,18.147875,think,I,sv,u-9-1
sw3133B-ms98-a-0009,18.147875,18.337875,it's,I,sv,u-9-1
sw3133B-ms98-a-0009,18.337875,18.407875,a,I,sv,u-9-1
sw3133B-ms98-a-0009,18.407875,18.597875,good,I,sv,u-9-1
sw3133B-ms98-a-0009,18.597875,19.087875,idea,I,sv,u-9-1
sw3133B-ms98-a-0009,19.087875,19.137875,i,B,sv,u-9-2
sw3133B-ms98-a-0009,19.137875,19.407875,think,I,sv,u-9-2
sw3133B-ms98-a-0009,19.407875,19.887875,everybody,I,sv,u-9-2
sw3133B-ms98-a-0009,19.887875,20.237375,should,I,sv,u-9-2
sw3133B-ms98-a-0009,20.768500,21.100375,should,I,sv,u-9-2
sw3133B-ms98-a-0009,21.100375,21.350000,uh,I,sv,u-9-2
sw3133B-ms98-a-0010,22.256000,22.413375,put,I,sv,u-9-2
sw3133B-ms98-a-0010,22.413375,22.533375,in,I,sv,u-9-2
sw3133B-ms98-a-0010,22.533375,22.643375,their,I,sv,u-9-2
sw3133B-ms98-a-0010,22.643375,23.013375,time,I,sv,u-9-2
sw3133B-ms98-a-0010,23.013375,23.213375,so,I,sv,u-9-2
sw3133B-ms98-a-0010,23.213375,23.313375,to,I,sv,u-9-2
sw3133B-ms98-a-0010,23.313375,23.693375,speak,I,sv,u-9-2
sw3133B-ms98-a-0010,23.693375,23.883375,for,I,sv,u-9-2
sw3133B-ms98-a-0010,23.883375,24.038375,the,I,sv,u-9-2
sw3133B-ms98-a-0011,24.852625,25.012625,for,I,sv,u-9-2
sw3133B-ms98-a-0011,25.012625,25.132625,the,I,sv,u-9-2
sw3133B-ms98-a-0011,25.132625,25.352625,good,I,sv,u-9-2
sw3133B-ms98-a-0011,25.352625,25.452625,of,I,sv,u-9-2
sw3133B-ms98-a-0011,25.452625,25.602500,the,I,sv,u-9-2
sw3133B-ms98-a-0011,25.930250,26.012625,the,I,sv,u-9-2
sw3133B-ms98-a-0011,26.012625,26.372625,nation,I,sv,u-9-2
sw3133B-ms98-a-0011,26.372625,26.522625,and,I,sv,u-9-2
sw3133B-ms98-a-0011,26.522625,26.592625,for,I,sv,u-9-2
sw3133B-ms98-a-0011,26.592625,26.652625,the,I,sv,u-9-2
sw3133B-ms98-a-0011,26.652625,26.782625,good,I,sv,u-9-2
sw3133B-ms98-a-0011,26.782625,26.842625,of,I,sv,u-9-2
sw3133B-ms98-a-0011,26.842625,27.593250,themselves,I,sv,u-9-2
sw3133B-ms98-a-0011,27.781500,27.862625,i,B,sv,u-11-1
sw3133B-ms98-a-0011,27.862625,28.092625,think,I,sv,u-11-1
sw3133B-ms98-a-0011,28.092625,28.282625,it's,I,sv,u-11-1
sw3133B-ms98-a-0011,28.282625,28.376250,uh,I,sv,u-11-1
sw3133B-ms98-a-0011,28.666375,28.849000,would,B,sv,u-11-2
sw3133B-ms98-a-0011,28.849000,29.051000,help,I,sv,u-11-2
sw3133B-ms98-a-0011,29.051000,29.512625,every[one]-,I,sv,u-11-2
sw3133B-ms98-a-0011,29.512625,30.065500,everyone,I,sv,u-11-2
sw3133B-ms98-a-0011,30.555125,30.762625,grow,I,sv,u-11-2
sw3133B-ms98-a-0011,30.762625,30.892625,up,I,sv,u-11-2
sw3133B-ms98-a-0011,30.892625,31.012625,and,I,sv,u-11-2
sw3133B-ms98-a-0011,31.012625,31.422625,mature,I,sv,u-11-2
sw3133B-ms98-a-0011,31.422625,31.685625,and,I,sv,u-11-2
sw3133B-ms98-a-0011,31.685625,31.972625,and,I,sv,u-11-2
sw3133B-ms98-a-0011,31.972625,32.282625,realize,I,sv,u-11-2
sw3133B-ms98-a-0011,32.282625,32.392625,what,I,sv,u-11-2
sw3133B-ms98-a-0011,32.392625,32.512625,this,I,sv,u-11-2
sw3133B-ms98-a-0011,32.512625,32.862625,country's,I,sv,u-11-2
sw3133B-ms98-a-0011,32.862625,33.032625,all,I,sv,u-11-2
sw3133B-ms98-a-0011,33.032625,33.332875,about,I,sv,u-11-2
sw3133B-ms98-a-0013,48.367750,48.581000,did,B,qy,u-15-1
sw3133B-ms98-a-0013,48.581000,48.731000,you,I,qy,u-15-1
sw3133B-ms98-a-0013,49.339500,49.524875,oh,B,fe,u-15-2
sw3133B-ms98-a-0015,56.247125,56.539750,uh-huh,B,b,u-19-1
sw3133B-ms98-a-0017,69.700625,70.039375,yeah,B,b,u-23-1
sw3133B-ms98-a-0019,72.841250,73.293625,really,B,b,u-25-1
sw3133B-ms98-a-0019,73.293625,73.960125,[laughter],O,,
sw3133B-ms98-a-0020,74.887750,75.011625,yeah,B,%,u-25-2
sw3133B-ms98-a-0020,75.011625,75.051625,i,B,sv,u-25-3
sw3133B-ms98-a-0020,75.051625,75.251625,think,I,sv,u-25-3
sw3133B-ms98-a-0020,75.251625,75.421625,that's,I,sv,u-25-3
sw3133B-ms98-a-0020,75.421625,75.751625,probably,I,sv,u-25-3
sw3133B-ms98-a-0020,75.751625,75.961625,like,I,sv,u-25-3
sw3133B-ms98-a-0020,75.961625,76.095375,uh,I,sv,u-25-3
sw3133B-ms98-a-0020,76.483375,76.671625,quite,I,sv,u-25-3
sw3133B-ms98-a-0020,76.671625,76.751625,a,I,sv,u-25-3
sw3133B-ms98-a-0020,76.751625,76.901625,few,I,sv,u-25-3
sw3133B-ms98-a-0020,76.901625,77.211625,things,I,sv,u-25-3
sw3133B-ms98-a-0020,77.211625,77.481625,that,I,sv,u-25-3
sw3133B-ms98-a-0020,77.481625,77.671625,that,I,sv,u-25-3
sw3133B-ms98-a-0020,77.671625,77.741625,the,I,sv,u-25-3
sw3133B-ms98-a-0020,77.741625,78.205000,kids,I,sv,u-25-3
sw3133B-ms98-a-0020,78.634375,78.934750,uh,I,sv,u-25-3
sw3133B-ms98-a-0020,78.934750,79.361625,maybe,I,sv,u-25-3
sw3133B-ms98-a-0020,79.361625,79.551625,not,I,sv,u-25-3
sw3133B-ms98-a-0020,79.551625,79.651625,so,I,sv,u-25-3
sw3133B-ms98-a-0020,79.651625,79.851625,much,I,sv,u-25-3
sw3133B-ms98-a-0020,79.851625,80.501625,nowadays,I,sv,u-25-3
sw3133B-ms98-a-0020,80.501625,80.621625,but,I,sv,u-25-3
sw3133B-ms98-a-0020,80.621625,80.901625,used,I,sv,u-25-3
sw3133B-ms98-a-0020,80.901625,81.234875,to,I,sv,u-25-3
sw3133B-ms98-a-0020,81.234875,81.461625,go,B,+,u-27-1
sw3133B-ms98-a-0020,81.461625,81.851625,through,I,+,u-27-1
sw3133B-ms98-a-0020,81.851625,81.961625,you,I,+,u-27-1
sw3133B-ms98-a-0020,81.961625,82.201625,know,I,+,u-27-1
sw3133B-ms98-a-0020,82.201625,82.479000,they,B,sv,u-27-2
sw3133B-ms98-a-0020,82.848125,83.078750,just,I,sv,u-27-2
sw3133B-ms98-a-0020,83.481750,83.661625,they,I,sv,u-27-2
sw3133B-ms98-a-0020,83.661625,83.870750,were,I,sv,u-27-2
sw3133B-ms98-a-0020,84.047750,84.161625,they,I,sv,u-27-2
sw3133B-ms98-a-0020,84.161625,84.381625,did,I,sv,u-27-2
sw3133B-ms98-a-0020,84.381625,84.701625,things,I,sv,u-27-2
sw3133B-ms98-a-0020,84.701625,84.851625,for,I,sv,u-27-2
sw3133B-ms98-a-0020,84.851625,85.253625,people,I,sv,u-27-2
sw3133B-ms98-a-0021,85.937875,86.062250,you,B,+,u-29-1
sw3133B-ms98-a-0021,86.062250,86.202250,know,I,+,u-29-1
sw3133B-ms98-a-0021,86.202250,86.362250,for,I,+,u-29-1
sw3133B-ms98-a-0021,86.362250,86.482250,their,I,+,u-29-1
sw3133B-ms98-a-0021,86.482250,87.022250,communities,I,+,u-29-1
sw3133B-ms98-a-0021,87.022250,87.142250,for,I,+,u-29-1
sw3133B-ms98-a-0021,87.142250,87.303750,their,I,+,u-29-1
sw3133B-ms98-a-0021,87.917750,88.100500,their,I,+,u-29-1
sw3133B-ms98-a-0021,88.654125,88.872250,uh,I,+,u-29-1
sw3133B-ms98-a-0021,88.872250,89.372250,families,I,+,u-29-1
sw3133B-ms98-a-0021,89.372250,89.502250,for,I,+,u-29-1
sw3133B-ms98-a-0021,89.502250,89.662250,their,I,+,u-29-1
sw3133B-ms98-a-0021,89.662250,90.132250,friends,I,+,u-29-1
sw3133B-ms98-a-0021,90.132250,90.302250,where,I,+,u-29-1
sw3133B-ms98-a-0021,90.302250,90.662250,now,I,+,u-29-1
sw3133B-ms98-a-0021,90.662250,90.762250,i'm,I,+,u-29-1
sw3133B-ms98-a-0021,90.762250,90.932250,not,I,+,u-29-1
sw3133B-ms98-a-0021,90.932250,91.102250,sure,I,+,u-29-1
sw3133B-ms98-a-0021,91.102250,91.292250,they,I,+,u-29-1
sw3133B-ms98-a-0021,91.292250,91.522250,really,I,+,u-29-1
sw3133B-ms98-a-0021,91.522250,91.938375,do,I,+,u-29-1
sw3133B-ms98-a-0023,115.810125,116.140000,um-hum,B,b,u-31-1
sw3133B-ms98-a-0025,120.249250,120.467500,yeah,B,aa,u-35-1
sw3133B-ms98-a-0025,120.467500,120.717500,that's,B,aa,u-35-2
sw3133B-ms98-a-0025,120.717500,121.007500,probably,I,aa,u-35-2
sw3133B-ms98-a-0025,121.007500,121.328000,true,I,aa,u-35-2
sw3133B-ms98-a-0027,126.875875,126.974375,you,B,+,u-37-1
sw3133B-ms98-a-0027,126.974375,127.074375,know,I,+,u-37-1
sw3133B-ms98-a-0027,127.074375,127.208000,but,B,qy,u-37-2
sw3133B-ms98-a-0027,127.469625,127.744375,eve[n]-,I,qy,u-37-2
sw3133B-ms98-a-0027,127.744375,127.994375,even,I,qy,u-37-2
sw3133B-ms98-a-0027,127.994375,128.184375,through,I,qy,u-37-2
sw3133B-ms98-a-0027,128.184375,128.496750,those,I,qy,u-37-2
sw3133B-ms98-a-0027,128.878875,128.973000,gr[oups]-,I,qy,u-37-2
sw3133B-ms98-a-0027,128.973000,129.344375,groups,I,qy,u-37-2
sw3133B-ms98-a-0027,129.344375,129.454375,do,I,qy,u-37-2
