sw3454B-ms98-a-0003,4.499000,5.098125,well,B,%,u-2-1
sw3454B-ms98-a-0005,7.154375,7.288625,well,B,sd,u-4-1
sw3454B-ms98-a-0005,7.288625,7.522625,i'm,I,sd,u-4-1
sw3454B-ms98-a-0005,7.522625,7.858625,i'm,I,sd,u-4-1
sw3454B-ms98-a-0005,7.858625,8.138625,uh,I,sd,u-4-1
sw3454B-ms98-a-0005,8.138625,8.428625,thirty,I,sd,u-4-1
sw3454B-ms98-a-0005,8.428625,8.788625,one,I,sd,u-4-1
sw3454B-ms98-a-0006,10.407625,10.677000,yeah,B,b,u-6-1
sw3454B-ms98-a-0006,10.677000,10.937625,[laughter-right],O,,
sw3454B-ms98-a-0006,10.937625,15.577625,[laughter],O,,
sw3454B-ms98-a-0006,15.577625,15.967625,well,O,,
sw3454B-ms98-a-0006,15.967625,16.304250,i,B,sd,u-8-1
sw3454B-ms98-a-0006,16.304250,16.518875,you,I,sd,u-8-1
sw3454B-ms98-a-0006,16.518875,16.877625,know,I,sd,u-8-1
sw3454B-ms98-a-0006,16.877625,17.077000,i've,I,sd,u-8-1
sw3454B-ms98-a-0006,17.077000,17.267625,i've,I,sd,u-8-1
sw3454B-ms98-a-0006,17.267625,17.446625,seen,I,sd,u-8-1
sw3454B-ms98-a-0006,17.446625,17.549750,a,I,sd,u-8-1
sw3454B-ms98-a-0006,17.549750,17.674000,a,I,sd,u-8-1
sw3454B-ms98-a-0006,17.674000,18.087625,social,I,sd,u-8-1
sw3454B-ms98-a-0006,18.087625,18.637625,change,I,sd,u-8-1
sw3454B-ms98-a-0006,18.637625,19.135875,yes,O,,
sw3454B-ms98-a-0007,19.660250,19.836125,it's,B,%,u-10-1
sw3454B-ms98-a-0007,19.836125,20.276125,definitely,I,%,u-10-1
sw3454B-ms98-a-0007,20.276125,20.426125,for,B,%,u-10-2
sw3454B-ms98-a-0007,20.426125,20.856125,sure,I,%,u-10-2
sw3454B-ms98-a-0007,20.856125,21.026125,and,B,sv,u-10-3
sw3454B-ms98-a-0007,21.026125,21.306125,it's,I,sv,u-10-3
sw3454B-ms98-a-0007,21.306125,21.776125,uh,I,sv,u-10-3
sw3454B-ms98-a-0007,22.535875,23.103000,uh,I,sv,u-10-3
sw3454B-ms98-a-0007,23.103000,23.253750,and,I,sv,u-10-3
sw3454B-ms98-a-0007,23.253750,23.586125,besides,I,sv,u-10-3
sw3454B-ms98-a-0007,23.586125,23.766125,that,I,sv,u-10-3
sw3454B-ms98-a-0007,23.766125,23.816125,i,I,sv,u-10-3
sw3454B-ms98-a-0007,23.816125,24.066125,came,I,sv,u-10-3
sw3454B-ms98-a-0007,24.066125,24.286125,from,I,sv,u-10-3
sw3454B-ms98-a-0007,24.286125,25.134375,California,I,sv,u-10-3
sw3454B-ms98-a-0007,25.817125,25.996125,where,I,sv,u-10-3
sw3454B-ms98-a-0007,25.996125,26.396125,social,I,sv,u-10-3
sw3454B-ms98-a-0007,26.396125,26.816125,change,I,sv,u-10-3
sw3454B-ms98-a-0007,26.816125,26.996125,is,I,sv,u-10-3
sw3454B-ms98-a-0007,26.996125,27.319000,like,I,sv,u-10-3
sw3454B-ms98-a-0007,27.609375,27.696125,you,I,sv,u-10-3
sw3454B-ms98-a-0007,27.696125,27.917500,know,I,sv,u-10-3
sw3454B-ms98-a-0008,28.907375,29.339125,yeah,B,ny,u-12-1
sw3454B-ms98-a-0008,29.541750,29.620750,i,B,sd,u-14-1
sw3454B-ms98-a-0008,29.620750,29.774875,mean,I,sd,u-14-1
sw3454B-ms98-a-0008,29.774875,29.924875,every,I,sd,u-14-1
sw3454B-ms98-a-0008,29.924875,30.814750,second,I,sd,u-14-1
sw3454B-ms98-a-0009,32.198375,32.320875,you,B,sd,u-16-1
sw3454B-ms98-a-0009,32.320875,32.696125,know,I,sd,u-16-1
sw3454B-ms98-a-0009,32.696125,33.154250,social,I,sd,u-16-1
sw3454B-ms98-a-0009,33.154250,33.444250,change,I,sd,u-16-1
sw3454B-ms98-a-0009,33.444250,33.564250,in,I,sd,u-16-1
sw3454B-ms98-a-0009,33.564250,34.134250,California,I,sd,u-16-1
sw3454B-ms98-a-0009,34.134250,34.645000,means,I,sd,u-16-1
sw3454B-ms98-a-0009,34.645000,34.854250,it,I,sd,u-16-1
sw3454B-ms98-a-0009,34.854250,35.124250,takes,I,sd,u-16-1
sw3454B-ms98-a-0009,35.124250,35.464250,another,I,sd,u-16-1
sw3454B-ms98-a-0009,35.464250,35.674250,two,I,sd,u-16-1
sw3454B-ms98-a-0009,35.674250,35.734250,or,I,sd,u-16-1
sw3454B-ms98-a-0009,35.734250,35.954250,three,I,sd,u-16-1
sw3454B-ms98-a-0009,35.954250,36.374250,minutes,I,sd,u-16-1
sw3454B-ms98-a-0009,36.374250,36.754250,longer,I,sd,u-16-1
