sw2151A-ms98-a-0003,1.703000,2.240125,okay,B,b^m,u-2-1
sw2151A-ms98-a-0005,9.717125,9.862625,well,B,sv,u-4-1
sw2151A-ms98-a-0005,9.862625,10.150125,i,I,sv,u-4-1
sw2151A-ms98-a-0005,10.150125,10.370125,i,I,sv,u-4-1
sw2151A-ms98-a-0005,10.370125,10.610125,think,I,sv,u-4-1
sw2151A-ms98-a-0005,10.610125,10.790125,it's,I,sv,u-4-1
sw2151A-ms98-a-0005,10.790125,10.860125,a,I,sv,u-4-1
sw2151A-ms98-a-0005,10.860125,11.110125,pretty,I,sv,u-4-1
sw2151A-ms98-a-0005,11.110125,11.310125,good,I,sv,u-4-1
sw2151A-ms98-a-0005,11.310125,11.580125,deal,O,,
sw2151A-ms98-a-0005,11.580125,11.680125,i,B,sv,u-4-2
sw2151A-ms98-a-0005,11.680125,11.964500,think,I,sv,u-4-2
sw2151A-ms98-a-0005,12.537000,12.670125,they,I,sv,u-4-2
sw2151A-ms98-a-0005,12.670125,12.870125,should,I,sv,u-4-2
sw2151A-ms98-a-0005,12.870125,13.150125,either,I,sv,u-4-2
sw2151A-ms98-a-0005,13.150125,13.350125,do,I,sv,u-4-2
sw2151A-ms98-a-0005,13.350125,13.690125,that,I,sv,u-4-2
sw2151A-ms98-a-0005,13.690125,13.860125,o[r]-,I,sv,u-4-2
sw2151A-ms98-a-0005,13.860125,14.170125,or,I,sv,u-4-2
sw2151A-ms98-a-0005,14.170125,14.420125,or,I,sv,u-4-2
sw2151A-ms98-a-0005,14.420125,14.770125,afford,I,sv,u-4-2
sw2151A-ms98-a-0005,14.770125,14.950125,some,I,sv,u-4-2
sw2151A-ms98-a-0005,14.950125,15.280125,time,I,sv,u-4-2
sw2151A-ms98-a-0005,15.280125,15.420125,to,I,sv,u-4-2
sw2151A-ms98-a-0005,15.420125,15.510125,the,I,sv,u-4-2
sw2151A-ms98-a-0005,15.510125,16.100125,military,I,sv,u-4-2
sw2151A-ms98-a-0005,16.100125,16.280125,or,I,sv,u-4-2
sw2151A-ms98-a-0005,16.280125,16.450125,or,I,sv,u-4-2
sw2151A-ms98-a-0005,16.450125,16.850125,helping,I,sv,u-4-2
sw2151A-ms98-a-0005,16.850125,17.360125,elderly,I,sv,u-4-2
sw2151A-ms98-a-0005,17.360125,17.740125,people,I,sv,u-4-2
sw2151A-ms98-a-0005,17.740125,17.784625,i,B,sv,u-6-1
sw2151A-ms98-a-0006,18.496625,18.739500,i,I,sv,u-6-1
sw2151A-ms98-a-0006,18.739500,19.089500,i'd,I,sv,u-6-1
sw2151A-ms98-a-0006,19.089500,19.239500,you,I,sv,u-6-1
sw2151A-ms98-a-0006,19.239500,19.439500,know,I,sv,u-6-1
sw2151A-ms98-a-0006,19.439500,19.589500,i,I,sv,u-6-1
sw2151A-ms98-a-0006,19.589500,19.924750,think,I,sv,u-6-1
sw2151A-ms98-a-0006,20.365375,20.489500,that,I,sv,u-6-1
sw2151A-ms98-a-0006,20.489500,20.689500,we,I,sv,u-6-1
sw2151A-ms98-a-0006,20.689500,20.909500,have,I,sv,u-6-1
sw2151A-ms98-a-0006,20.909500,21.009500,a,I,sv,u-6-1
sw2151A-ms98-a-0006,21.009500,21.299500,bunch,I,sv,u-6-1
sw2151A-ms98-a-0006,21.299500,21.379500,of,I,sv,u-6-1
sw2151A-ms98-a-0006,21.379500,21.769500,elderly,I,sv,u-6-1
sw2151A-ms98-a-0006,21.769500,22.099500,folks,I,sv,u-6-1
sw2151A-ms98-a-0006,22.099500,22.179500,in,I,sv,u-6-1
sw2151A-ms98-a-0006,22.179500,22.239500,the,I,sv,u-6-1
sw2151A-ms98-a-0006,22.239500,22.599500,country,I,sv,u-6-1
sw2151A-ms98-a-0006,22.599500,22.789500,that,I,sv,u-6-1
sw2151A-ms98-a-0006,22.789500,22.929500,could,I,sv,u-6-1
sw2151A-ms98-a-0006,22.929500,23.179500,use,I,sv,u-6-1
sw2151A-ms98-a-0006,23.179500,23.309500,some,I,sv,u-6-1
sw2151A-ms98-a-0006,23.309500,23.639500,help,I,sv,u-6-1
sw2151A-ms98-a-0006,23.639500,23.839500,and,B,sv,u-6-2
sw2151A-ms98-a-0006,23.839500,23.879500,i,I,sv,u-6-2
sw2151A-ms98-a-0006,23.879500,24.209500,think,I,sv,u-6-2
sw2151A-ms98-a-0006,24.209500,24.389500,that,I,sv,u-6-2
sw2151A-ms98-a-0006,24.389500,24.759500,before,I,sv,u-6-2
sw2151A-ms98-a-0006,24.759500,24.929500,we,I,sv,u-6-2
sw2151A-ms98-a-0006,24.929500,25.389500,expend,I,sv,u-6-2
sw2151A-ms98-a-0006,25.389500,25.559500,all,I,sv,u-6-2
sw2151A-ms98-a-0006,25.559500,25.689500,our,I,sv,u-6-2
sw2151A-ms98-a-0006,25.689500,25.929500,young,I,sv,u-6-2
sw2151A-ms98-a-0006,25.929500,26.289500,talent,I,sv,u-6-2
sw2151A-ms98-a-0006,26.289500,26.969500,overseas,I,sv,u-6-2
sw2151A-ms98-a-0006,26.969500,27.188500,and,I,sv,u-6-2
sw2151A-ms98-a-0007,27.605375,27.768875,and,I,sv,u-6-2
sw2151A-ms98-a-0007,27.768875,28.058875,helping,I,sv,u-6-2
sw2151A-ms98-a-0007,28.058875,28.238875,other,I,sv,u-6-2
sw2151A-ms98-a-0007,28.238875,28.638875,countries,I,sv,u-6-2
sw2151A-ms98-a-0007,28.638875,28.768875,we,I,sv,u-6-2
sw2151A-ms98-a-0007,28.768875,28.938875,ought,I,sv,u-6-2
sw2151A-ms98-a-0007,28.938875,28.998875,to,I,sv,u-6-2
sw2151A-ms98-a-0007,28.998875,29.358875,perhaps,I,sv,u-6-2
sw2151A-ms98-a-0007,29.358875,29.508875,give,I,sv,u-6-2
sw2151A-ms98-a-0007,29.508875,29.568875,a,I,sv,u-6-2
sw2151A-ms98-a-0007,29.568875,29.768875,little,I,sv,u-6-2
sw2151A-ms98-a-0007,29.768875,29.968875,bit,I,sv,u-6-2
sw2151A-ms98-a-0007,29.968875,30.078875,of,I,sv,u-6-2
sw2151A-ms98-a-0007,30.078875,30.218875,our,I,sv,u-6-2
sw2151A-ms98-a-0007,30.218875,30.478875,help,I,sv,u-6-2
sw2151A-ms98-a-0007,30.478875,30.699250,to,I,sv,u-6-2
sw2151A-ms98-a-0007,31.415000,31.598875,our,I,sv,u-6-2
sw2151A-ms98-a-0007,31.598875,31.748875,own,I,sv,u-6-2
sw2151A-ms98-a-0007,31.748875,32.098875,folks,I,sv,u-6-2
sw2151A-ms98-a-0007,32.098875,32.188875,at,I,sv,u-6-2
sw2151A-ms98-a-0007,32.188875,32.598875,home,I,sv,u-6-2
sw2151A-ms98-a-0007,32.598875,32.859000,and,B,sv,u-6-3
sw2151A-ms98-a-0008,33.779000,33.931125,i'm,B,+,u-8-1
sw2151A-ms98-a-0008,33.931125,34.161125,not,I,+,u-8-1
sw2151A-ms98-a-0008,34.161125,34.401125,sure,I,+,u-8-1
sw2151A-ms98-a-0008,34.401125,34.651125,that,I,+,u-8-1
sw2151A-ms98-a-0008,34.651125,34.891125,that's,I,+,u-8-1
sw2151A-ms98-a-0008,34.891125,35.142250,not,I,+,u-8-1
sw2151A-ms98-a-0008,35.142250,35.262750,a,I,+,u-8-1
sw2151A-ms98-a-0008,35.262750,35.451125,bad,I,+,u-8-1
sw2151A-ms98-a-0008,35.451125,35.951125,{idear},O,,
sw2151A-ms98-a-0008,35.951125,36.105125,and,B,sv,u-8-2
sw2151A-ms98-a-0008,36.311125,36.441125,or,I,sv,u-8-2
sw2151A-ms98-a-0008,36.441125,36.511125,the,I,sv,u-8-2
sw2151A-ms98-a-0008,36.511125,37.121125,military,I,sv,u-8-2
sw2151A-ms98-a-0008,37.121125,37.261125,for,I,sv,u-8-2
sw2151A-ms98-a-0008,37.261125,37.321125,a,I,sv,u-8-2
sw2151A-ms98-a-0008,37.321125,37.611125,year,I,sv,u-8-2
sw2151A-ms98-a-0008,37.611125,37.671125,or,I,sv,u-8-2
sw2151A-ms98-a-0008,37.671125,37.851125,two,I,sv,u-8-2
sw2151A-ms98-a-0008,37.851125,38.211125,wouldn't,B,+,u-10-1
sw2151A-ms98-a-0008,38.211125,38.341125,be,I,+,u-10-1
sw2151A-ms98-a-0008,38.341125,38.611125,bad,I,+,u-10-1
sw2151A-ms98-a-0008,38.611125,38.804375,for,I,+,u-10-1
sw2151A-ms98-a-0008,38.804375,39.000125,i,B,sv,u-10-2
sw2151A-ms98-a-0008,39.000125,39.141125,think,I,sv,u-10-2
sw2151A-ms98-a-0008,39.141125,39.281125,it,I,sv,u-10-2
sw2151A-ms98-a-0008,39.281125,39.631125,teaches,I,sv,u-10-2
sw2151A-ms98-a-0008,39.631125,39.901125,kids,I,sv,u-10-2
sw2151A-ms98-a-0008,39.901125,40.001125,how,I,sv,u-10-2
sw2151A-ms98-a-0008,40.001125,40.151125,to,I,sv,u-10-2
sw2151A-ms98-a-0008,40.151125,40.471125,grow,I,sv,u-10-2
sw2151A-ms98-a-0008,40.471125,40.621125,how,B,qo,u-10-3
sw2151A-ms98-a-0008,40.621125,40.801125,about_1,I,qo,u-10-3
sw2151A-ms98-a-0008,40.801125,41.405375,yourself,I,qo,u-10-3
sw2151A-ms98-a-0010,74.846125,74.960125,yeah,B,b,u-12-1
sw2151A-ms98-a-0010,74.960125,75.220125,i've,B,%,u-12-2
sw2151A-ms98-a-0010,75.220125,75.360125,i,O,,
sw2151A-ms98-a-0010,75.360125,75.710125,that's,B,sv,u-12-3
sw2151A-ms98-a-0010,75.710125,75.910125,really,I,sv,u-12-3
sw2151A-ms98-a-0010,75.910125,76.150125,great,I,sv,u-12-3
sw2151A-ms98-a-0010,76.150125,76.346875,i,B,sv,u-12-4
sw2151A-ms98-a-0010,76.422250,76.630125,i,I,sv,u-12-4
sw2151A-ms98-a-0010,76.630125,76.880125,really,I,sv,u-12-4
sw2151A-ms98-a-0010,76.880125,77.110125,think,I,sv,u-12-4
sw2151A-ms98-a-0010,77.110125,77.250125,that,I,sv,u-12-4
sw2151A-ms98-a-0010,77.250125,77.550125,both,I,sv,u-12-4
sw2151A-ms98-a-0010,77.550125,77.620125,the,I,sv,u-12-4
sw2151A-ms98-a-0010,77.620125,77.880125,Boy,I,sv,u-12-4
sw2151A-ms98-a-0010,77.880125,78.240125,Scouts,I,sv,u-12-4
sw2151A-ms98-a-0010,78.240125,78.450125,and,I,sv,u-12-4
sw2151A-ms98-a-0010,78.450125,78.620125,Girl,I,sv,u-12-4
sw2151A-ms98-a-0010,78.620125,78.940125,Scouts,I,sv,u-12-4
sw2151A-ms98-a-0010,78.940125,79.120125,is,I,sv,u-12-4
sw2151A-ms98-a-0010,79.120125,79.243000,a,I,sv,u-12-4
sw2151A-ms98-a-0010,79.400125,79.800125,excellent,I,sv,u-12-4
sw2151A-ms98-a-0010,79.800125,79.950125,two,I,sv,u-12-4
sw2151A-ms98-a-0010,79.950125,80.310125,excellent,I,sv,u-12-4
sw2151A-ms98-a-0010,80.310125,81.016125,organizations,I,sv,u-12-4
sw2151A-ms98-a-0011,81.839375,81.989750,but,O,,
sw2151A-ms98-a-0011,82.080375,82.229375,you,B,sv,u-14-1
