sw3134B-ms98-a-0003,7.377500,7.946250,no,B,nn,u-2-1
sw3134B-ms98-a-0003,8.142125,8.337250,as,B,sd,u-2-2
sw3134B-ms98-a-0003,8.337250,8.537250,many,I,sd,u-2-2
sw3134B-ms98-a-0003,8.537250,8.757250,years,I,sd,u-2-2
sw3134B-ms98-a-0003,8.757250,8.877250,as,I,sd,u-2-2
sw3134B-ms98-a-0003,8.877250,9.047250,we've,I,sd,u-2-2
sw3134B-ms98-a-0003,9.047250,9.247250,been,I,sd,u-2-2
sw3134B-ms98-a-0003,9.637250,10.087250,involved,I,sd,u-2-2
sw3134B-ms98-a-0003,10.087250,10.257250,in,I,sd,u-2-2
sw3134B-ms98-a-0003,10.257250,10.487250,one,I,sd,u-2-2
sw3134B-ms98-a-0003,11.014500,11.120000,i,B,sd,u-2-3
sw3134B-ms98-a-0003,11.120000,11.347250,really,I,sd,u-2-3
sw3134B-ms98-a-0003,11.347250,11.527250,feel,I,sd,u-2-3
sw3134B-ms98-a-0003,11.527250,12.097250,fortunate,I,sd,u-2-3
sw3134B-ms98-a-0003,12.097250,12.367250,in,I,sd,u-2-3
sw3134B-ms98-a-0003,12.367250,12.557250,that,I,sd,u-2-3
sw3134B-ms98-a-0003,12.557250,12.909500,there,I,sd,u-2-3
sw3134B-ms98-a-0003,13.361375,13.547250,even,I,sd,u-2-3
sw3134B-ms98-a-0003,13.547250,13.637250,though,I,sd,u-2-3
sw3134B-ms98-a-0003,13.637250,13.797250,there,I,sd,u-2-3
sw3134B-ms98-a-0003,13.797250,13.967250,are,I,sd,u-2-3
sw3134B-ms98-a-0003,13.967250,14.417250,problems,I,sd,u-2-3
sw3134B-ms98-a-0003,14.417250,14.517250,they're,B,sd,u-2-4
sw3134B-ms98-a-0003,14.517250,14.737250,not,I,sd,u-2-4
sw3134B-ms98-a-0003,14.737250,14.767250,a,I,sd,u-2-4
sw3134B-ms98-a-0003,14.767250,15.037250,lot,I,sd,u-2-4
sw3134B-ms98-a-0003,15.037250,15.107250,of,I,sd,u-2-4
sw3134B-ms98-a-0003,15.107250,15.527250,problems,I,sd,u-2-4
sw3134B-ms98-a-0003,15.527250,15.647250,where,I,sd,u-2-4
sw3134B-ms98-a-0003,15.647250,15.737250,i,I,sd,u-2-4
sw3134B-ms98-a-0003,15.737250,16.217250,teach,I,sd,u-2-4
sw3134B-ms98-a-0004,17.488625,17.782125,but,B,sd,u-4-1
