sw2109A-ms98-a-0003,2.640500,3.023625,yes,B,b,u-2-1
sw2109A-ms98-a-0005,31.449625,31.637125,oh,B,ba,u-4-1
sw2109A-ms98-a-0005,31.637125,31.850250,how,I,ba,u-4-1
sw2109A-ms98-a-0005,31.926000,32.480625,awful,I,ba,u-4-1
sw2109A-ms98-a-0006,33.206750,34.226875,[laughter],O,,
sw2109A-ms98-a-0008,72.882375,72.978125,i,B,sd,u-6-1
sw2109A-ms98-a-0008,72.978125,73.254875,wonder,I,sd,u-6-1
sw2109A-ms98-a-0008,73.254875,73.775375,how,I,sd,u-6-1
sw2109A-ms98-a-0008,73.944875,74.847625,truthful,I,sd,u-6-1
sw2109A-ms98-a-0008,75.051000,75.254875,all,I,sd,u-6-1
sw2109A-ms98-a-0008,75.254875,75.364875,of,I,sd,u-6-1
sw2109A-ms98-a-0008,75.364875,75.552750,that,I,sd,u-6-1
sw2109A-ms98-a-0008,75.665750,76.144875,was,I,sd,u-6-1
sw2109A-ms98-a-0008,76.144875,76.274875,or,I,sd,u-6-1
sw2109A-ms98-a-0008,76.274875,76.534875,whether,I,sd,u-6-1
sw2109A-ms98-a-0008,76.534875,76.734875,that,I,sd,u-6-1
sw2109A-ms98-a-0008,76.734875,76.904875,was,I,sd,u-6-1
sw2109A-ms98-a-0008,76.904875,77.697500,fictional,O,,
sw2109A-ms98-a-0010,84.117250,84.460125,yeah,B,aa,u-8-1
sw2109A-ms98-a-0010,84.460125,84.681625,well,B,sv,u-8-2
sw2109A-ms98-a-0010,84.745750,84.812375,they,I,sv,u-8-2
sw2109A-ms98-a-0010,84.812375,85.022375,keep,I,sv,u-8-2
sw2109A-ms98-a-0010,85.022375,85.162375,it,I,sv,u-8-2
sw2109A-ms98-a-0010,85.162375,85.412375,rather,I,sv,u-8-2
sw2109A-ms98-a-0010,85.412375,85.992375,secretive,I,sv,u-8-2
sw2109A-ms98-a-0010,85.992375,86.156250,yes,B,aa,u-8-3
sw2109A-ms98-a-0010,86.156250,87.247875,[laughter],O,,
sw2109A-ms98-a-0011,88.245250,88.360875,uh,O,,
sw2109A-ms98-a-0011,88.360875,88.430250,the,B,sd,u-10-1
sw2109A-ms98-a-0011,88.430250,88.730250,most,I,sd,u-10-1
sw2109A-ms98-a-0011,88.730250,89.130250,recent,I,sd,u-10-1
sw2109A-ms98-a-0011,89.130250,89.450250,movie,I,sd,u-10-1
sw2109A-ms98-a-0011,89.450250,89.640250,i,I,sd,u-10-1
sw2109A-ms98-a-0011,89.640250,90.059500,saw,I,sd,u-10-1
sw2109A-ms98-a-0011,90.669625,91.177750,uh,I,sd,u-10-1
sw2109A-ms98-a-0011,91.177750,91.440250,i'm,I,sd,u-10-1
sw2109A-ms98-a-0011,91.440250,91.844375,afraid,I,sd,u-10-1
sw2109A-ms98-a-0011,91.927250,92.404500,was,I,sd,u-10-1
sw2109A-ms98-a-0011,92.404500,92.878125,uh,I,sd,u-10-1
sw2109A-ms98-a-0011,93.288625,93.484750,well,B,sd,u-10-2
sw2109A-ms98-a-0011,93.484750,93.870375,two,I,sd,u-10-2
sw2109A-ms98-a-0011,94.013500,94.196375,two,I,sd,u-10-2
sw2109A-ms98-a-0011,94.196375,94.302250,of,I,sd,u-10-2
sw2109A-ms98-a-0011,94.362750,94.449375,them,I,sd,u-10-2
sw2109A-ms98-a-0011,94.449375,95.260250,actually,I,sd,u-10-2
sw2109A-ms98-a-0011,95.260250,95.414625,uh,B,sd,u-10-3
sw2109A-ms98-a-0011,95.448625,95.530250,the,I,sd,u-10-3
sw2109A-ms98-a-0011,95.530250,95.790250,Rain,I,sd,u-10-3
sw2109A-ms98-a-0011,95.790250,96.270250,Man,I,sd,u-10-3
sw2109A-ms98-a-0011,96.270250,96.510250,was,I,sd,u-10-3
sw2109A-ms98-a-0011,96.510250,96.942000,one,I,sd,u-10-3
sw2109A-ms98-a-0012,98.032250,98.489875,wasn't,B,aa,u-12-1
sw2109A-ms98-a-0012,98.489875,98.700250,that,I,aa,u-12-1
sw2109A-ms98-a-0012,98.700250,99.479875,fabulous,I,aa,u-12-1
sw2109A-ms98-a-0012,99.479875,99.772625,and,B,sd,u-12-2
sw2109A-ms98-a-0012,100.492625,100.862625,and,B,+,u-14-1
sw2109A-ms98-a-0012,100.862625,101.292625,Driving,I,+,u-14-1
sw2109A-ms98-a-0012,101.292625,101.440500,Miss,I,+,u-14-1
sw2109A-ms98-a-0012,101.565250,102.216125,Daisy,I,+,u-14-1
sw2109A-ms98-a-0014,104.468250,105.278375,oh,B,aa,u-16-1
sw2109A-ms98-a-0014,105.759750,106.181625,you,I,aa,u-16-1
sw2109A-ms98-a-0014,106.181625,106.624125,need,I,aa,u-16-1
sw2109A-ms98-a-0014,106.624125,106.785000,to,I,aa,u-16-1
sw2109A-ms98-a-0014,106.785000,107.067500,see,I,aa,u-16-1
sw2109A-ms98-a-0014,107.067500,107.464500,that,I,aa,u-16-1
sw2109A-ms98-a-0014,107.571250,107.938875,that,B,sv,u-18-1
sw2109A-ms98-a-0014,107.938875,108.221375,is,I,sv,u-18-1
sw2109A-ms98-a-0014,108.221375,108.374125,the,I,sv,u-18-1
sw2109A-ms98-a-0014,108.374125,108.684125,most,I,sv,u-18-1
sw2109A-ms98-a-0014,108.684125,109.054125,heart,I,sv,u-18-1
sw2109A-ms98-a-0014,109.178375,109.974125,rendering,I,sv,u-18-1
sw2109A-ms98-a-0014,109.974125,110.744125,story,I,sv,u-18-1
sw2109A-ms98-a-0014,110.744125,111.002500,of,I,sv,u-18-1
sw2109A-ms98-a-0014,111.102875,112.064125,relationships,I,sv,u-18-1
sw2109A-ms98-a-0014,112.064125,113.267500,between,I,sv,u-18-1
sw2109A-ms98-a-0014,113.409000,113.610000,two,I,sv,u-18-1
sw2109A-ms98-a-0014,113.610000,114.235750,people,I,sv,u-18-1
sw2109A-ms98-a-0015,114.990500,115.369625,two,B,+,u-20-1
sw2109A-ms98-a-0015,115.466750,116.357875,diametrically,I,+,u-20-1
sw2109A-ms98-a-0015,116.357875,117.037625,opposed,I,+,u-20-1
sw2109A-ms98-a-0015,117.192000,117.610250,people,I,+,u-20-1
sw2109A-ms98-a-0015,117.610250,117.870250,from,I,+,u-20-1
sw2109A-ms98-a-0015,117.870250,117.960250,the,I,+,u-20-1
sw2109A-ms98-a-0015,117.960250,118.350250,stand,I,+,u-20-1
sw2109A-ms98-a-0015,118.350250,118.604375,point,I,+,u-20-1
sw2109A-ms98-a-0015,118.702375,118.813125,that,I,+,u-20-1
sw2109A-ms98-a-0015,118.884625,119.070250,one,I,+,u-20-1
sw2109A-ms98-a-0015,119.070250,119.279625,was,I,+,u-20-1
sw2109A-ms98-a-0015,119.354875,119.880250,Jewish,I,+,u-20-1
