sw3682A-ms98-a-0002,0.687875,1.091375,okay,B,b,u-2-1
sw3682A-ms98-a-0004,3.669875,4.237500,um,B,sd,u-4-1
sw3682A-ms98-a-0004,4.768500,5.086750,well,I,sd,u-4-1
sw3682A-ms98-a-0004,5.086750,5.197500,i,I,sd,u-4-1
sw3682A-ms98-a-0004,5.197500,5.461125,like,I,sd,u-4-1
sw3682A-ms98-a-0004,5.461125,5.576750,to,I,sd,u-4-1
sw3682A-ms98-a-0004,5.576750,6.194000,cook,I,sd,u-4-1
sw3682A-ms98-a-0004,6.194000,6.746375,um,I,sd,u-4-1
sw3682A-ms98-a-0004,7.469250,7.600750,but,B,sd,u-6-1
sw3682A-ms98-a-0004,7.600750,7.646000,i,I,sd,u-6-1
sw3682A-ms98-a-0004,7.646000,7.886750,don't,I,sd,u-6-1
sw3682A-ms98-a-0004,7.886750,8.136750,like,I,sd,u-6-1
sw3682A-ms98-a-0004,8.136750,8.491000,getting,I,sd,u-6-1
sw3682A-ms98-a-0004,8.649125,9.166750,too,I,sd,u-6-1
sw3682A-ms98-a-0004,9.166750,9.496750,awfully,I,sd,u-6-1
sw3682A-ms98-a-0004,9.496750,9.966750,fancy,I,sd,u-6-1
sw3682A-ms98-a-0004,9.966750,10.256750,about,I,sd,u-6-1
sw3682A-ms98-a-0004,10.256750,10.402375,it,I,sd,u-6-1
sw3682A-ms98-a-0004,10.402375,10.636750,just,I,sd,u-6-1
sw3682A-ms98-a-0004,10.636750,11.287500,because,B,+,u-8-1
sw3682A-ms98-a-0004,11.287500,11.707875,um,I,+,u-8-1
sw3682A-ms98-a-0005,12.053000,12.270875,uh,I,+,u-8-1
sw3682A-ms98-a-0005,12.371750,12.631750,it's,I,+,u-8-1
sw3682A-ms98-a-0005,12.631750,12.761750,too,I,+,u-8-1
sw3682A-ms98-a-0005,12.761750,12.991750,much,I,+,u-8-1
sw3682A-ms98-a-0005,12.991750,13.408375,pressure,I,+,u-8-1
sw3682A-ms98-a-0005,13.408375,14.142875,[laughter],O,,
sw3682A-ms98-a-0005,14.142875,14.191750,you,B,+,u-10-1
sw3682A-ms98-a-0005,14.191750,14.251750,know,I,+,u-10-1
sw3682A-ms98-a-0005,14.251750,14.351750,if,B,sd,u-10-2
sw3682A-ms98-a-0005,14.351750,14.431750,i,I,sd,u-10-2
sw3682A-ms98-a-0005,14.431750,14.581750,have,I,sd,u-10-2
sw3682A-ms98-a-0005,14.581750,14.911750,people,I,sd,u-10-2
sw3682A-ms98-a-0005,14.911750,15.081750,over,I,sd,u-10-2
sw3682A-ms98-a-0005,15.081750,15.251750,for,I,sd,u-10-2
sw3682A-ms98-a-0005,15.251750,15.611750,dinner,I,sd,u-10-2
sw3682A-ms98-a-0005,15.611750,15.691750,i,I,sd,u-10-2
sw3682A-ms98-a-0005,15.691750,15.911750,like,I,sd,u-10-2
sw3682A-ms98-a-0005,15.911750,16.021750,it,I,sd,u-10-2
sw3682A-ms98-a-0005,16.021750,16.101750,to,I,sd,u-10-2
sw3682A-ms98-a-0005,16.101750,16.453250,be,I,sd,u-10-2
sw3682A-ms98-a-0005,16.969250,17.412375,nice,B,+,u-12-1
sw3682A-ms98-a-0005,17.412375,17.606875,but,I,+,u-12-1
sw3682A-ms98-a-0005,17.606875,18.459375,relaxed,I,+,u-12-1
sw3682A-ms98-a-0005,18.573875,18.846875,yeah,B,b,u-14-1
sw3682A-ms98-a-0006,19.167500,19.293125,and,B,sd,u-14-2
sw3682A-ms98-a-0006,19.293125,19.373125,so,I,sd,u-14-2
sw3682A-ms98-a-0006,19.373125,19.433125,i,I,sd,u-14-2
sw3682A-ms98-a-0006,19.433125,19.583125,don't,I,sd,u-14-2
sw3682A-ms98-a-0006,19.583125,19.743125,like,I,sd,u-14-2
sw3682A-ms98-a-0006,19.743125,19.863125,to,I,sd,u-14-2
sw3682A-ms98-a-0006,19.863125,20.325750,arrive,I,sd,u-14-2
sw3682A-ms98-a-0006,20.325750,20.612750,or,I,sd,u-14-2
sw3682A-ms98-a-0006,21.132500,21.458625,or,I,sd,u-14-2
sw3682A-ms98-a-0006,21.613000,21.743125,when,I,sd,u-14-2
sw3682A-ms98-a-0006,21.743125,21.883125,they,I,sd,u-14-2
sw3682A-ms98-a-0006,21.883125,22.366250,arrive,I,sd,u-14-2
sw3682A-ms98-a-0006,22.366250,22.573125,for,I,sd,u-14-2
sw3682A-ms98-a-0006,22.573125,22.733125,me,I,sd,u-14-2
sw3682A-ms98-a-0006,22.733125,22.803125,to,I,sd,u-14-2
sw3682A-ms98-a-0006,22.803125,23.129000,be,I,sd,u-14-2
sw3682A-ms98-a-0006,23.129000,23.593125,completely,I,sd,u-14-2
sw3682A-ms98-a-0006,23.593125,23.903125,worn,I,sd,u-14-2
sw3682A-ms98-a-0006,23.903125,24.123625,out,I,sd,u-14-2
sw3682A-ms98-a-0006,24.537875,24.971500,so,O,,
sw3682A-ms98-a-0008,29.117625,29.598000,yeah,B,b,u-16-1
sw3682A-ms98-a-0008,30.186875,30.964375,exactly,B,aa,u-18-1
sw3682A-ms98-a-0010,34.294250,34.763625,uh-huh,B,b,u-20-1
sw3682A-ms98-a-0010,35.494375,35.879000,yeah,B,b,u-22-1
sw3682A-ms98-a-0012,41.457375,42.021875,uh-huh,B,b,u-24-1
sw3682A-ms98-a-0012,42.021875,43.210000,[laughter],O,,
sw3682A-ms98-a-0014,45.387500,45.776375,uh-huh,B,b,u-26-1
sw3682A-ms98-a-0014,45.776375,45.976375,you,O,,
sw3682A-ms98-a-0014,45.976375,46.176375,just,B,bf,u-26-2
sw3682A-ms98-a-0014,46.176375,46.366375,do,I,bf,u-26-2
sw3682A-ms98-a-0014,46.366375,46.541000,it,I,bf,u-26-2
sw3682A-ms98-a-0014,46.541000,47.026000,[vocalized-noise],O,,
sw3682A-ms98-a-0015,48.277625,48.677500,uh-huh,O,,
sw3682A-ms98-a-0017,51.461250,51.939250,yeah,B,b,u-30-1
sw3682A-ms98-a-0019,55.549750,55.905750,uh-huh,B,b,u-32-1
sw3682A-ms98-a-0021,60.771375,61.412500,um,B,ba,u-34-1
sw3682A-ms98-a-0021,61.638500,61.816000,boy,I,ba,u-34-1
sw3682A-ms98-a-0021,61.816000,61.916000,i,I,ba,u-34-1
sw3682A-ms98-a-0021,61.916000,62.156000,like,I,ba,u-34-1
sw3682A-ms98-a-0021,62.156000,62.419375,that,I,ba,u-34-1
sw3682A-ms98-a-0022,63.616125,64.204625,yeah,B,b,u-36-1
sw3682A-ms98-a-0022,64.204625,64.308750,well,B,sd,u-36-2
