sw4605B-ms98-a-0002,0.175250,0.662250,hi,B,fp,u-1-1
sw4605B-ms98-a-0004,5.035000,5.385000,sort,B,na,u-3-1
sw4605B-ms98-a-0004,5.385000,5.525000,of,I,na,u-3-1
sw4605B-ms98-a-0004,5.525000,5.675000,i'm,B,sd,u-3-2
sw4605B-ms98-a-0004,5.675000,5.858125,a,I,sd,u-3-2
sw4605B-ms98-a-0004,5.858125,6.035000,i'm,I,sd,u-3-2
sw4605B-ms98-a-0004,6.035000,6.105000,a,I,sd,u-3-2
sw4605B-ms98-a-0004,6.105000,6.697375,student,I,sd,u-3-2
sw4605B-ms98-a-0004,7.025125,7.205000,but,B,sd,u-3-3
sw4605B-ms98-a-0004,7.205000,7.573500,uh,I,sd,u-3-3
sw4605B-ms98-a-0004,7.682625,7.775000,i'm,B,+,u-5-1
sw4605B-ms98-a-0004,7.775000,7.835000,in,I,+,u-5-1
sw4605B-ms98-a-0004,7.835000,7.905000,the,I,+,u-5-1
sw4605B-ms98-a-0004,7.905000,8.295000,National,I,+,u-5-1
sw4605B-ms98-a-0004,8.295000,8.695000,Guard,I,+,u-5-1
sw4605B-ms98-a-0004,8.695000,8.795000,and,B,sd,u-5-2
sw4605B-ms98-a-0004,8.795000,8.905000,they,I,sd,u-5-2
sw4605B-ms98-a-0004,8.905000,9.129750,do,I,sd,u-5-2
sw4605B-ms98-a-0004,9.129750,9.424875,a,I,sd,u-5-2
sw4605B-ms98-a-0004,9.967250,10.205000,little,I,sd,u-5-2
sw4605B-ms98-a-0004,10.205000,10.335000,bit,I,sd,u-5-2
sw4605B-ms98-a-0004,10.335000,10.395000,of,I,sd,u-5-2
sw4605B-ms98-a-0004,10.395000,10.615000,drug,I,sd,u-5-2
sw4605B-ms98-a-0004,10.615000,11.055000,testing,I,sd,u-5-2
sw4605B-ms98-a-0005,12.045750,12.554625,yeah,B,ny,u-7-1
sw4605B-ms98-a-0007,16.760000,17.000000,uh,B,na,u-9-1
sw4605B-ms98-a-0007,17.000000,17.171500,they,I,na,u-9-1
sw4605B-ms98-a-0007,17.352250,17.470000,they,I,na,u-9-1
sw4605B-ms98-a-0007,17.470000,17.620000,do,I,na,u-9-1
sw4605B-ms98-a-0007,17.620000,17.720000,it,I,na,u-9-1
sw4605B-ms98-a-0007,17.720000,18.010000,before,I,na,u-9-1
sw4605B-ms98-a-0007,18.010000,18.160000,you,I,na,u-9-1
sw4605B-ms98-a-0007,18.160000,18.340000,go,I,na,u-9-1
sw4605B-ms98-a-0007,18.340000,18.630750,in,I,na,u-9-1
sw4605B-ms98-a-0007,18.630750,19.041625,and,B,sd,u-9-2
sw4605B-ms98-a-0007,19.181000,19.620000,occasionally,I,sd,u-9-2
sw4605B-ms98-a-0007,19.620000,19.830000,they'll,I,sd,u-9-2
sw4605B-ms98-a-0007,19.830000,20.040000,have,I,sd,u-9-2
sw4605B-ms98-a-0007,20.040000,20.194250,a,I,sd,u-9-2
sw4605B-ms98-a-0007,20.827000,21.050000,a,I,sd,u-9-2
sw4605B-ms98-a-0007,21.050000,21.676750,random,I,sd,u-9-2
sw4605B-ms98-a-0007,21.810000,22.690000,urinalysis,I,sd,u-9-2
sw4605B-ms98-a-0008,23.757500,23.987500,yeah,B,ny,u-11-1
sw4605B-ms98-a-0008,23.987500,24.137500,so,B,sd^e,u-11-2
sw4605B-ms98-a-0008,24.137500,24.237500,you,I,sd^e,u-11-2
sw4605B-ms98-a-0008,24.237500,24.487500,can't,I,sd^e,u-11-2
sw4605B-ms98-a-0008,24.487500,24.597500,be,I,sd^e,u-11-2
sw4605B-ms98-a-0008,24.597500,25.175125,smoking,I,sd^e,u-11-2
sw4605B-ms98-a-0008,25.367250,25.867500,marijuana,I,sd^e,u-11-2
sw4605B-ms98-a-0008,25.867500,26.055625,in,I,sd^e,u-11-2
sw4605B-ms98-a-0008,26.055625,26.157500,in,I,sd^e,u-11-2
sw4605B-ms98-a-0008,26.157500,26.217500,the,I,sd^e,u-11-2
sw4605B-ms98-a-0008,26.217500,26.617500,military,I,sd^e,u-11-2
sw4605B-ms98-a-0008,26.617500,27.054750,anymore,I,sd^e,u-11-2
sw4605B-ms98-a-0008,27.054750,28.286375,[laughter],O,,
sw4605B-ms98-a-0010,34.715625,35.230875,oh,B,b,u-13-1
sw4605B-ms98-a-0012,42.942000,43.429625,oh,B,b,u-15-1
sw4605B-ms98-a-0014,52.986500,53.346500,uh-huh,B,b,u-17-1
sw4605B-ms98-a-0016,57.175750,57.334750,yeah,B,aa,u-19-1
sw4605B-ms98-a-0016,57.334750,57.516000,i-,O,,
sw4605B-ms98-a-0016,57.584375,57.674750,i,B,sv,u-19-2
sw4605B-ms98-a-0016,57.674750,57.934750,believe,I,sv,u-19-2
sw4605B-ms98-a-0016,57.934750,58.014750,they,I,sv,u-19-2
sw4605B-ms98-a-0016,58.014750,58.244750,should,I,sv,u-19-2
sw4605B-ms98-a-0016,58.244750,58.614750,too,I,sv,u-19-2
sw4605B-ms98-a-0018,65.552000,65.900500,uh-huh,B,b,u-21-1
sw4605B-ms98-a-0019,67.275000,67.446000,yeah,B,aa,u-23-1
sw4605B-ms98-a-0019,67.446000,67.997875,definitely,B,aa,u-23-2
sw4605B-ms98-a-0021,82.446500,82.566500,oh,B,b,u-25-1
sw4605B-ms98-a-0021,82.566500,82.767250,y[ou]-,O,,
sw4605B-ms98-a-0023,85.212625,85.651625,uh,B,b,u-27-1
sw4605B-ms98-a-0025,90.055875,90.160500,but,B,%,u-29-1
sw4605B-ms98-a-0025,90.160500,90.440500,actually,O,,
sw4605B-ms98-a-0025,90.440500,90.666000,yeah,O,,
sw4605B-ms98-a-0025,90.786500,90.880500,you,B,sv,u-29-2
sw4605B-ms98-a-0025,90.880500,91.150500,have,I,sv,u-29-2
sw4605B-ms98-a-0025,91.150500,91.468875,to,B,+,u-31-1
sw4605B-ms98-a-0025,91.468875,91.640500,do,I,+,u-31-1
sw4605B-ms98-a-0025,91.640500,91.740500,it,I,+,u-31-1
sw4605B-ms98-a-0025,91.740500,92.180500,randomly,I,+,u-31-1
sw4605B-ms98-a-0025,92.180500,92.530500,otherwise,I,+,u-31-1
sw4605B-ms98-a-0025,92.530500,92.840500,people,I,+,u-31-1
