sw3658A-ms98-a-0002,0.470250,1.948000,okay,B,b^m,u-2-1
sw3658A-ms98-a-0003,3.169125,3.404000,um,O,,
sw3658A-ms98-a-0003,3.589000,3.792625,that's,B,na,u-4-1
sw3658A-ms98-a-0003,3.792625,4.183250,right,I,na,u-4-1
sw3658A-ms98-a-0005,7.583625,7.753625,what,B,qw,u-6-1
sw3658A-ms98-a-0005,7.753625,7.863625,would,I,qw,u-6-1
sw3658A-ms98-a-0005,7.863625,7.973625,we,I,qw,u-6-1
sw3658A-ms98-a-0005,7.973625,8.153625,like,I,qw,u-6-1
sw3658A-ms98-a-0005,8.153625,8.263625,to,I,qw,u-6-1
sw3658A-ms98-a-0005,8.263625,8.574125,say,I,qw,u-6-1
sw3658A-ms98-a-0005,8.574125,9.213625,[laughter],O,,
sw3658A-ms98-a-0005,9.213625,9.283625,i,B,sv,u-6-2
sw3658A-ms98-a-0005,9.283625,9.592000,think,I,sv,u-6-2
sw3658A-ms98-a-0007,13.353625,13.920250,um-hum,B,b,u-8-1
sw3658A-ms98-a-0009,16.219750,16.491500,i,B,sv,u-10-1
sw3658A-ms98-a-0009,16.491500,16.681500,think,I,sv,u-10-1
sw3658A-ms98-a-0009,16.681500,16.871500,that's,I,sv,u-10-1
sw3658A-ms98-a-0009,16.871500,16.971500,what,I,sv,u-10-1
sw3658A-ms98-a-0009,16.971500,17.041500,the,I,sv,u-10-1
sw3658A-ms98-a-0009,17.041500,17.461500,subject,I,sv,u-10-1
sw3658A-ms98-a-0009,17.461500,17.581500,is,I,sv,u-10-1
sw3658A-ms98-a-0009,17.581500,18.096250,about,I,sv,u-10-1
sw3658A-ms98-a-0011,23.110375,23.210375,in,B,qy^d^h,u-12-1
sw3658A-ms98-a-0011,23.210375,23.270375,the,I,qy^d^h,u-12-1
sw3658A-ms98-a-0011,23.270375,23.803250,Dallas,I,qy^d^h,u-12-1
sw3658A-ms98-a-0011,23.803250,23.970375,the,I,qy^d^h,u-12-1
sw3658A-ms98-a-0011,23.970375,24.418500,Morning,I,qy^d^h,u-12-1
sw3658A-ms98-a-0011,24.418500,25.065625,Times,I,qy^d^h,u-12-1
sw3658A-ms98-a-0011,25.065625,25.290375,i,B,sd,u-14-1
sw3658A-ms98-a-0011,25.290375,25.520375,guess,I,sd,u-14-1
sw3658A-ms98-a-0011,25.520375,25.590375,i,I,sd,u-14-1
sw3658A-ms98-a-0011,25.590375,25.850375,did,I,sd,u-14-1
sw3658A-ms98-a-0011,25.850375,26.444125,not,I,sd,u-14-1
sw3658A-ms98-a-0013,62.488625,62.618625,well,B,sv,u-16-1
sw3658A-ms98-a-0013,62.618625,62.778625,it's,I,sv,u-16-1
sw3658A-ms98-a-0013,62.778625,62.898625,been,I,sv,u-16-1
sw3658A-ms98-a-0013,62.898625,63.664875,interesting,I,sv,u-16-1
sw3658A-ms98-a-0013,63.664875,63.958625,that,I,sv,u-16-1
sw3658A-ms98-a-0013,63.958625,64.224875,we,I,sv,u-16-1
sw3658A-ms98-a-0014,65.127500,65.469500,yes,B,aa,u-18-1
sw3658A-ms98-a-0015,66.136500,66.246500,so,B,sv,u-18-2
sw3658A-ms98-a-0015,66.246500,66.366500,we,I,sv,u-18-2
sw3658A-ms98-a-0015,66.366500,66.566500,live,I,sv,u-18-2
sw3658A-ms98-a-0015,66.566500,66.676500,in,I,sv,u-18-2
sw3658A-ms98-a-0015,66.676500,66.746500,a,I,sv,u-18-2
sw3658A-ms98-a-0015,66.746500,67.256500,society,I,sv,u-18-2
sw3658A-ms98-a-0015,67.256500,67.466500,though,I,sv,u-18-2
sw3658A-ms98-a-0015,67.466500,67.616500,where,I,sv,u-18-2
sw3658A-ms98-a-0015,67.616500,68.096500,everyone,I,sv,u-18-2
sw3658A-ms98-a-0015,68.096500,68.226500,if,I,sv,u-18-2
sw3658A-ms98-a-0015,68.226500,68.316500,you,I,sv,u-18-2
sw3658A-ms98-a-0015,68.316500,68.676500,ask,I,sv,u-18-2
sw3658A-ms98-a-0015,68.676500,68.786500,them_1,I,sv,u-18-2
sw3658A-ms98-a-0015,68.786500,68.916500,on,I,sv,u-18-2
sw3658A-ms98-a-0015,68.916500,69.494000,polls,I,sv,u-18-2
sw3658A-ms98-a-0015,69.833000,70.248250,will,I,sv,u-18-2
sw3658A-ms98-a-0015,70.248250,70.676500,um,I,sv,u-18-2
sw3658A-ms98-a-0015,70.676500,71.086500,say,I,sv,u-18-2
sw3658A-ms98-a-0015,71.086500,71.246500,that,I,sv,u-18-2
sw3658A-ms98-a-0015,71.246500,71.366500,they,I,sv,u-18-2
sw3658A-ms98-a-0015,71.366500,71.636500,think,I,sv,u-18-2
sw3658A-ms98-a-0015,71.636500,71.833375,that,I,sv,u-18-2
sw3658A-ms98-a-0015,71.833375,72.226500,everyone,I,sv,u-18-2
sw3658A-ms98-a-0015,72.226500,72.436500,has,I,sv,u-18-2
sw3658A-ms98-a-0015,72.436500,72.486500,a,I,sv,u-18-2
sw3658A-ms98-a-0015,72.486500,72.816500,right,I,sv,u-18-2
sw3658A-ms98-a-0015,72.816500,72.956500,to,I,sv,u-18-2
sw3658A-ms98-a-0015,72.956500,73.495125,health,I,sv,u-18-2
sw3658A-ms98-a-0015,73.920750,74.476500,care,I,sv,u-18-2
sw3658A-ms98-a-0016,74.995500,75.125500,and,B,sv,u-20-1
sw3658A-ms98-a-0016,75.125500,75.265500,yet,I,sv,u-20-1
sw3658A-ms98-a-0016,75.265500,75.345500,i,I,sv,u-20-1
sw3658A-ms98-a-0016,75.345500,75.575500,don't,I,sv,u-20-1
sw3658A-ms98-a-0016,75.575500,75.745500,think,I,sv,u-20-1
sw3658A-ms98-a-0016,75.745500,75.905500,we've,I,sv,u-20-1
sw3658A-ms98-a-0016,75.905500,76.075500,ever,I,sv,u-20-1
sw3658A-ms98-a-0016,76.075500,76.455500,quite,I,sv,u-20-1
sw3658A-ms98-a-0016,76.455500,76.975500,decided,I,sv,u-20-1
sw3658A-ms98-a-0016,76.975500,77.148500,who's,I,sv,u-20-1
sw3658A-ms98-a-0016,77.148500,77.455500,really,I,sv,u-20-1
sw3658A-ms98-a-0016,77.455500,77.875500,supposed,I,sv,u-20-1
sw3658A-ms98-a-0016,77.875500,77.945500,to,I,sv,u-20-1
sw3658A-ms98-a-0016,77.945500,78.225875,pay,I,sv,u-20-1
sw3658A-ms98-a-0016,78.225875,78.538500,for,I,sv,u-20-1
sw3658A-ms98-a-0016,78.538500,78.688000,it,I,sv,u-20-1
sw3658A-ms98-a-0016,79.442375,79.794875,and,O,,
sw3658A-ms98-a-0018,91.763125,92.013375,which,B,sv,u-22-1
sw3658A-ms98-a-0018,92.013375,92.221875,is,I,sv,u-22-1
sw3658A-ms98-a-0018,92.483500,92.896125,why,I,sv,u-22-1
sw3658A-ms98-a-0018,93.254000,93.473375,people,I,sv,u-22-1
sw3658A-ms98-a-0018,93.473375,93.533375,are,I,sv,u-22-1
sw3658A-ms98-a-0018,93.533375,93.843375,talking,I,sv,u-22-1
sw3658A-ms98-a-0018,93.843375,94.318125,[laughter-about],O,,
sw3658A-ms98-a-0018,94.596875,94.733375,we,B,sv,u-22-2
sw3658A-ms98-a-0018,94.733375,94.813375,ought,I,sv,u-22-2
sw3658A-ms98-a-0018,94.813375,94.893375,to,I,sv,u-22-2
sw3658A-ms98-a-0018,94.893375,95.103375,just,I,sv,u-22-2
sw3658A-ms98-a-0018,95.103375,95.403375,admit,I,sv,u-22-2
sw3658A-ms98-a-0018,95.403375,95.533375,it,I,sv,u-22-2
sw3658A-ms98-a-0018,95.533375,96.053375,perhaps,I,sv,u-22-2
sw3658A-ms98-a-0018,96.053375,96.173375,and,B,+,u-24-1
sw3658A-ms98-a-0018,96.173375,96.333375,then,I,+,u-24-1
sw3658A-ms98-a-0018,96.333375,96.543375,try,I,+,u-24-1
sw3658A-ms98-a-0018,96.543375,96.723375,and,I,+,u-24-1
sw3658A-ms98-a-0018,96.723375,97.173375,somehow,I,+,u-24-1
sw3658A-ms98-a-0018,97.173375,97.793375,subsidize,I,+,u-24-1
sw3658A-ms98-a-0018,97.793375,97.913375,it,I,+,u-24-1
sw3658A-ms98-a-0018,97.913375,98.033375,in,I,+,u-24-1
sw3658A-ms98-a-0018,98.033375,98.073375,a,I,+,u-24-1
sw3658A-ms98-a-0018,98.073375,98.233375,way,I,+,u-24-1
sw3658A-ms98-a-0018,98.233375,98.453375,that's,I,+,u-24-1
sw3658A-ms98-a-0018,98.453375,98.643375,more,I,+,u-24-1
sw3658A-ms98-a-0018,98.643375,99.153375,fair,I,+,u-24-1
