sw3062A-ms98-a-0003,12.127375,12.559000,uh-huh,B,b,u-2-1
sw3062A-ms98-a-0005,18.006500,18.166500,now,B,qy,u-4-1
sw3062A-ms98-a-0005,18.166500,18.276500,is,I,qy,u-4-1
sw3062A-ms98-a-0005,18.276500,18.426500,he,I,qy,u-4-1
sw3062A-ms98-a-0005,18.426500,18.526500,the,I,qy,u-4-1
sw3062A-ms98-a-0005,18.526500,19.136500,elementary,I,qy,u-4-1
sw3062A-ms98-a-0005,19.136500,19.416500,school,I,qy,u-4-1
sw3062A-ms98-a-0006,20.848000,21.332250,uh-huh,B,b,u-6-1
sw3062A-ms98-a-0007,22.707125,23.006000,uh-huh,B,b,u-8-1
sw3062A-ms98-a-0007,23.333750,23.468500,but,B,^2,u-10-1
sw3062A-ms98-a-0007,23.468500,23.658500,he,I,^2,u-10-1
sw3062A-ms98-a-0007,23.658500,23.748500,is,I,^2,u-10-1
sw3062A-ms98-a-0007,23.748500,24.008500,being,I,^2,u-10-1
sw3062A-ms98-a-0007,24.008500,24.408500,helped,I,^2,u-10-1
sw3062A-ms98-a-0009,30.415625,30.955625,uh-huh,B,b,u-12-1
sw3062A-ms98-a-0010,32.518875,32.993250,oh,B,ba,u-14-1
sw3062A-ms98-a-0010,32.993250,33.360125,great,I,ba,u-14-1
sw3062A-ms98-a-0012,43.400875,43.666750,no,B,nn,u-16-1
sw3062A-ms98-a-0012,43.666750,43.946750,that's,B,sd^e,u-16-2
sw3062A-ms98-a-0012,43.946750,44.266750,something,I,sd^e,u-16-2
sw3062A-ms98-a-0012,44.266750,44.426750,new,I,sd^e,u-16-2
sw3062A-ms98-a-0012,44.426750,44.486750,to,I,sd^e,u-16-2
sw3062A-ms98-a-0012,44.486750,44.706750,me,I,sd^e,u-16-2
sw3062A-ms98-a-0012,44.706750,44.855750,i'm,B,%,u-16-3
sw3062A-ms98-a-0012,44.855750,44.993875,[vocalized-noise],O,,
sw3062A-ms98-a-0014,53.060000,53.253000,oh,B,b,u-18-1
sw3062A-ms98-a-0015,53.821875,53.979250,i,B,sd,u-20-1
sw3062A-ms98-a-0015,53.979250,54.165875,think,I,sd,u-20-1
sw3062A-ms98-a-0015,54.165875,54.242750,i,I,sd,u-20-1
sw3062A-ms98-a-0015,54.242750,54.442750,read,I,sd,u-20-1
sw3062A-ms98-a-0015,54.442750,54.672750,about,I,sd,u-20-1
sw3062A-ms98-a-0015,54.672750,54.802750,that,I,sd,u-20-1
sw3062A-ms98-a-0015,54.802750,54.862750,in,I,sd,u-20-1
sw3062A-ms98-a-0015,54.862750,54.922750,the,I,sd,u-20-1
sw3062A-ms98-a-0015,54.922750,55.424375,paper,I,sd,u-20-1
sw3062A-ms98-a-0015,55.627875,55.932750,doctor,B,sd,u-22-1
sw3062A-ms98-a-0015,55.932750,56.332750,Haggard,I,sd,u-22-1
sw3062A-ms98-a-0015,56.332750,56.635250,is,I,sd,u-22-1
sw3062A-ms98-a-0016,57.408250,57.838250,is,I,sd,u-22-1
