sw4735B-ms98-a-0003,25.551000,26.075375,right,B,b,u-2-1
sw4735B-ms98-a-0005,34.644375,35.153625,um-hum,B,b,u-4-1
sw4735B-ms98-a-0007,42.488625,42.995500,um-hum,B,b,u-6-1
sw4735B-ms98-a-0009,47.640875,48.148250,um-hum,B,b,u-8-1
sw4735B-ms98-a-0011,58.807875,59.127375,hum,O,,
sw4735B-ms98-a-0011,59.766375,60.045875,well,B,sv,u-10-1
sw4735B-ms98-a-0011,60.045875,60.275875,that's,I,sv,u-10-1
sw4735B-ms98-a-0011,60.275875,60.335875,a,I,sv,u-10-1
sw4735B-ms98-a-0011,60.335875,60.525875,good,I,sv,u-10-1
sw4735B-ms98-a-0011,60.525875,60.945875,idea,I,sv,u-10-1
sw4735B-ms98-a-0011,60.945875,61.085875,to,I,sv,u-10-1
sw4735B-ms98-a-0011,61.085875,61.375875,have,I,sv,u-10-1
sw4735B-ms98-a-0011,61.375875,61.795875,it,I,sv,u-10-1
sw4735B-ms98-a-0011,61.795875,62.135875,as,I,sv,u-10-1
sw4735B-ms98-a-0011,62.135875,62.165875,a,I,sv,u-10-1
sw4735B-ms98-a-0011,62.165875,62.627500,study,I,sv,u-10-1
sw4735B-ms98-a-0011,62.627500,63.177375,program,I,sv,u-10-1
sw4735B-ms98-a-0011,63.177375,63.583875,for,I,sv,u-10-1
sw4735B-ms98-a-0011,63.583875,64.145125,school,I,sv,u-10-1
sw4735B-ms98-a-0011,64.145125,64.355875,where,I,sv,u-10-1
sw4735B-ms98-a-0011,64.355875,64.565875,it'd,I,sv,u-10-1
sw4735B-ms98-a-0011,65.055875,65.175875,be,I,sv,u-10-1
sw4735B-ms98-a-0011,65.175875,65.545875,more,I,sv,u-10-1
sw4735B-ms98-a-0011,65.545875,65.635875,on,I,sv,u-10-1
sw4735B-ms98-a-0011,65.635875,65.665875,a,I,sv,u-10-1
sw4735B-ms98-a-0011,65.665875,66.355875,voluntary,I,sv,u-10-1
sw4735B-ms98-a-0011,66.355875,66.955875,basis,I,sv,u-10-1
sw4735B-ms98-a-0011,66.955875,67.145875,as,B,+,u-12-1
sw4735B-ms98-a-0011,67.145875,67.635875,opposed,I,+,u-12-1
sw4735B-ms98-a-0011,67.635875,68.042500,to,I,+,u-12-1
sw4735B-ms98-a-0011,68.882375,69.175875,uh,I,+,u-12-1
sw4735B-ms98-a-0011,69.175875,70.235875,mandatory,I,+,u-12-1
sw4735B-ms98-a-0012,70.824000,71.278125,yeah,B,b,u-14-1
sw4735B-ms98-a-0012,71.724250,72.059625,an[d]-,O,,
sw4735B-ms98-a-0012,72.059625,72.299625,yeah,B,%,u-14-3
sw4735B-ms98-a-0012,72.299625,72.399625,i,B,aa,u-14-4
sw4735B-ms98-a-0012,72.399625,72.659625,kind,I,aa,u-14-4
sw4735B-ms98-a-0012,72.659625,72.719625,of,I,aa,u-14-4
sw4735B-ms98-a-0012,72.719625,72.959625,agree,I,aa,u-14-4
sw4735B-ms98-a-0012,72.959625,73.199625,with,I,aa,u-14-4
sw4735B-ms98-a-0012,73.199625,73.599625,that,I,aa,u-14-4
sw4735B-ms98-a-0012,73.825625,74.359625,um,B,%,u-14-5
sw4735B-ms98-a-0013,75.433375,75.557750,i,I,%,u-14-5
sw4735B-ms98-a-0013,75.557750,75.756000,don't,I,%,u-14-5
sw4735B-ms98-a-0013,75.756000,76.043375,think,I,%,u-14-5
sw4735B-ms98-a-0013,76.503375,76.803375,you,B,sv,u-14-6
sw4735B-ms98-a-0013,76.803375,76.983375,know,I,sv,u-14-6
sw4735B-ms98-a-0013,76.983375,77.353375,i[t]-,I,sv,u-14-6
sw4735B-ms98-a-0013,77.353375,77.583375,it,I,sv,u-14-6
sw4735B-ms98-a-0013,77.583375,77.723375,they,I,sv,u-14-6
sw4735B-ms98-a-0013,77.723375,78.009250,shouldn't,I,sv,u-14-6
sw4735B-ms98-a-0013,78.009250,78.562875,have,I,sv,u-14-6
sw4735B-ms98-a-0013,78.799750,78.893375,they,I,sv,u-14-6
sw4735B-ms98-a-0013,78.893375,79.083375,should,I,sv,u-14-6
sw4735B-ms98-a-0013,79.083375,79.233375,have,I,sv,u-14-6
sw4735B-ms98-a-0013,79.233375,79.313375,the,I,sv,u-14-6
sw4735B-ms98-a-0013,79.313375,79.633375,same,I,sv,u-14-6
sw4735B-ms98-a-0013,79.633375,79.993375,rights,I,sv,u-14-6
sw4735B-ms98-a-0013,79.993375,80.103375,as,I,sv,u-14-6
sw4735B-ms98-a-0013,80.103375,80.573375,anyone,I,sv,u-14-6
sw4735B-ms98-a-0013,80.573375,80.939750,else,I,sv,u-14-6
sw4735B-ms98-a-0014,81.616250,81.806250,you,B,+,u-16-1
sw4735B-ms98-a-0014,81.806250,82.102875,know,I,+,u-16-1
sw4735B-ms98-a-0014,82.784625,82.976250,it,B,sv,u-18-1
sw4735B-ms98-a-0014,82.976250,83.256250,shouldn't,I,sv,u-18-1
sw4735B-ms98-a-0014,83.256250,83.606250,be,I,sv,u-18-1
sw4735B-ms98-a-0014,83.606250,83.936250,uh,I,sv,u-18-1
sw4735B-ms98-a-0014,83.936250,84.486250,anything,I,sv,u-18-1
sw4735B-ms98-a-0014,84.486250,84.776250,shouldn't,I,sv,u-18-1
sw4735B-ms98-a-0014,84.776250,84.936250,be,I,sv,u-18-1
sw4735B-ms98-a-0014,84.936250,85.925625,mandatory,I,sv,u-18-1
sw4735B-ms98-a-0014,86.624875,86.916250,other,I,sv,u-18-1
sw4735B-ms98-a-0014,86.916250,87.366250,than,I,sv,u-18-1
sw4735B-ms98-a-0014,87.366250,87.446250,i,I,sv,u-18-1
sw4735B-ms98-a-0014,87.446250,87.923750,guess,I,sv,u-18-1
sw4735B-ms98-a-0014,88.119625,88.505000,like,I,sv,u-18-1
sw4735B-ms98-a-0014,88.667000,89.186250,uh,I,sv,u-18-1
sw4735B-ms98-a-0014,89.186250,89.426250,when,I,sv,u-18-1
sw4735B-ms98-a-0014,89.426250,89.516250,you,I,sv,u-18-1
sw4735B-ms98-a-0014,89.516250,89.796250,come,I,sv,u-18-1
sw4735B-ms98-a-0014,89.796250,89.996250,to,I,sv,u-18-1
sw4735B-ms98-a-0014,89.996250,90.326250,paying,I,sv,u-18-1
sw4735B-ms98-a-0014,90.326250,90.916250,taxes,I,sv,u-18-1
sw4735B-ms98-a-0014,90.916250,91.086250,or,I,sv,u-18-1
sw4735B-ms98-a-0014,91.086250,91.356250,something,I,sv,u-18-1
sw4735B-ms98-a-0014,91.356250,91.596250,like,I,sv,u-18-1
sw4735B-ms98-a-0014,91.596250,92.026250,that,I,sv,u-18-1
sw4735B-ms98-a-0015,92.800500,93.290500,uh,B,sv,u-18-2
sw4735B-ms98-a-0015,93.290500,93.520500,or,I,sv,u-18-2
sw4735B-ms98-a-0015,93.520500,93.840500,if,I,sv,u-18-2
sw4735B-ms98-a-0015,93.840500,94.220875,it's,I,sv,u-18-2
sw4735B-ms98-a-0015,94.738250,95.510500,beneficial,I,sv,u-18-2
sw4735B-ms98-a-0015,95.510500,95.640500,in,I,sv,u-18-2
sw4735B-ms98-a-0015,95.640500,95.860500,some,I,sv,u-18-2
sw4735B-ms98-a-0015,95.860500,96.120500,kind,I,sv,u-18-2
sw4735B-ms98-a-0015,96.120500,96.210500,of,I,sv,u-18-2
sw4735B-ms98-a-0015,96.210500,96.557000,way,I,sv,u-18-2
sw4735B-ms98-a-0015,96.734125,96.980500,then,I,sv,u-18-2
sw4735B-ms98-a-0015,96.980500,97.477125,maybe,I,sv,u-18-2
sw4735B-ms98-a-0016,98.273500,98.951375,uh,B,+,u-20-1
sw4735B-ms98-a-0016,99.585875,99.891500,people,I,+,u-20-1
sw4735B-ms98-a-0016,99.891500,100.031500,be,I,+,u-20-1
sw4735B-ms98-a-0016,100.031500,100.291500,more,I,+,u-20-1
sw4735B-ms98-a-0016,100.291500,100.661500,[eagle/eager],I,+,u-20-1
sw4735B-ms98-a-0016,100.661500,100.851500,to,I,+,u-20-1
sw4735B-ms98-a-0016,100.851500,101.141500,do,I,+,u-20-1
sw4735B-ms98-a-0016,101.141500,101.645250,it,I,+,u-20-1
sw4735B-ms98-a-0016,101.645250,102.117250,uh-huh,O,,
