sw4127A-ms98-a-0005,3.935625,4.432000,okay,B,b^m,u-3-1
sw4127A-ms98-a-0005,4.795500,4.927250,i,B,sv^t,u-3-2
sw4127A-ms98-a-0005,4.927250,5.012125,thought,I,sv^t,u-3-2
sw4127A-ms98-a-0005,5.012125,5.044750,it,I,sv^t,u-3-2
sw4127A-ms98-a-0005,5.044750,5.147750,was,I,sv^t,u-3-2
sw4127A-ms98-a-0005,5.147750,5.395625,supposed,I,sv^t,u-3-2
sw4127A-ms98-a-0005,5.395625,5.475625,to,I,sv^t,u-3-2
sw4127A-ms98-a-0005,5.475625,5.605625,give,I,sv^t,u-3-2
sw4127A-ms98-a-0005,5.605625,5.635625,a,I,sv^t,u-3-2
sw4127A-ms98-a-0005,5.635625,6.095625,recording,I,sv^t,u-3-2
sw4127A-ms98-a-0005,6.095625,6.195625,but,B,sd,u-3-3
sw4127A-ms98-a-0005,6.195625,6.635625,anyway,I,sd,u-3-3
sw4127A-ms98-a-0006,7.375500,7.935500,um,I,sd,u-3-3
sw4127A-ms98-a-0007,9.233750,9.546375,well,I,sd,u-3-3
sw4127A-ms98-a-0007,9.711625,9.912500,i-,I,sd,u-3-3
sw4127A-ms98-a-0007,10.308000,10.573625,i,I,sd,u-3-3
sw4127A-ms98-a-0007,10.573625,10.683750,do,I,sd,u-3-3
sw4127A-ms98-a-0007,10.683750,10.933750,take,I,sd,u-3-3
sw4127A-ms98-a-0007,10.933750,11.153750,care,I,sd,u-3-3
sw4127A-ms98-a-0007,11.153750,11.233750,of,I,sd,u-3-3
sw4127A-ms98-a-0007,11.233750,11.483750,pretty,I,sd,u-3-3
sw4127A-ms98-a-0007,11.483750,11.743750,much,I,sd,u-3-3
sw4127A-ms98-a-0007,11.743750,11.993750,[laughter-all],I,sd,u-3-3
sw4127A-ms98-a-0007,11.993750,12.103750,of,I,sd,u-3-3
sw4127A-ms98-a-0007,12.103750,12.183750,the,I,sd,u-3-3
sw4127A-ms98-a-0007,12.183750,12.503750,stuff,I,sd,u-3-3
sw4127A-ms98-a-0007,12.503750,12.873625,for,I,sd,u-3-3
sw4127A-ms98-a-0007,13.208875,13.333750,for,I,sd,u-3-3
sw4127A-ms98-a-0007,13.333750,13.483750,my,I,sd,u-3-3
sw4127A-ms98-a-0007,13.483750,13.803750,wife,I,sd,u-3-3
sw4127A-ms98-a-0007,13.803750,13.963750,and,I,sd,u-3-3
sw4127A-ms98-a-0007,13.963750,14.103750,for,I,sd,u-3-3
sw4127A-ms98-a-0007,14.103750,14.383750,me,I,sd,u-3-3
sw4127A-ms98-a-0007,14.383750,15.013750,and,B,sv,u-3-4
sw4127A-ms98-a-0007,15.013750,15.493750,um,B,+,u-5-1
sw4127A-ms98-a-0008,16.842875,17.053250,i,I,+,u-5-1
sw4127A-ms98-a-0008,17.267875,17.772875,embarrassed,I,+,u-5-1
sw4127A-ms98-a-0008,17.772875,17.872875,to,I,+,u-5-1
sw4127A-ms98-a-0008,17.872875,18.022875,say,I,+,u-5-1
sw4127A-ms98-a-0008,18.022875,18.192875,it's,I,+,u-5-1
sw4127A-ms98-a-0008,18.192875,18.605500,pretty,I,+,u-5-1
sw4127A-ms98-a-0008,18.869125,19.412000,trivial,I,+,u-5-1
sw4127A-ms98-a-0008,19.551375,19.779750,all,B,sd,u-5-2
sw4127A-ms98-a-0008,19.779750,20.030375,we,I,sd,u-5-2
sw4127A-ms98-a-0008,20.369375,20.592875,all,I,sd,u-5-2
sw4127A-ms98-a-0008,20.592875,20.652875,i,I,sd,u-5-2
