sw2710A-ms98-a-0003,7.767000,8.276250,yes,B,b,u-2-1
sw2710A-ms98-a-0005,11.765500,12.213000,um-hum,B,b,u-4-1
sw2710A-ms98-a-0007,15.884750,16.280250,right,B,b,u-6-1
sw2710A-ms98-a-0009,22.046125,22.259500,you,B,sv,u-8-1
sw2710A-ms98-a-0009,22.259500,22.449500,have,I,sv,u-8-1
sw2710A-ms98-a-0009,22.449500,22.499500,a,I,sv,u-8-1
sw2710A-ms98-a-0009,22.499500,22.719500,lot,I,sv,u-8-1
sw2710A-ms98-a-0009,22.719500,22.869500,of,I,sv,u-8-1
sw2710A-ms98-a-0009,22.869500,23.685625,discipline,I,sv,u-8-1
sw2710A-ms98-a-0009,24.194125,24.269500,they,B,sd,u-8-2
sw2710A-ms98-a-0009,24.269500,24.469500,make,I,sd,u-8-2
sw2710A-ms98-a-0009,24.469500,24.609500,it,I,sd,u-8-2
sw2710A-ms98-a-0009,24.609500,25.039500,really,I,sd,u-8-2
sw2710A-ms98-a-0009,25.039500,25.539500,easy,I,sd,u-8-2
sw2710A-ms98-a-0009,25.539500,25.699500,for,I,sd,u-8-2
sw2710A-ms98-a-0009,25.699500,26.202625,people,I,sd,u-8-2
sw2710A-ms98-a-0009,26.202625,26.529500,to,I,sd,u-8-2
sw2710A-ms98-a-0009,26.529500,26.761125,uh,I,sd,u-8-2
sw2710A-ms98-a-0009,26.934375,27.039500,to,I,sd,u-8-2
sw2710A-ms98-a-0009,27.039500,27.289500,get,I,sd,u-8-2
sw2710A-ms98-a-0009,27.289500,27.589500,credit,I,sd,u-8-2
sw2710A-ms98-a-0009,27.589500,27.929500,cards,I,sd,u-8-2
sw2710A-ms98-a-0009,27.929500,28.559500,especially,I,sd,u-8-2
sw2710A-ms98-a-0009,28.559500,28.999500,college,I,sd,u-8-2
sw2710A-ms98-a-0009,28.999500,29.664750,students,I,sd,u-8-2
sw2710A-ms98-a-0010,30.715000,30.871375,i,B,sd,u-10-1
sw2710A-ms98-a-0010,30.871375,31.221375,have,I,sd,u-10-1
sw2710A-ms98-a-0010,31.221375,31.421375,uh,I,sd,u-10-1
sw2710A-ms98-a-0010,31.421375,31.681375,two,I,sd,u-10-1
sw2710A-ms98-a-0010,31.681375,32.171375,daughters,I,sd,u-10-1
sw2710A-ms98-a-0010,32.171375,32.453250,who,I,sd,u-10-1
sw2710A-ms98-a-0010,32.453250,32.711375,who,I,sd,u-10-1
sw2710A-ms98-a-0010,32.711375,33.061375,both,I,sd,u-10-1
sw2710A-ms98-a-0010,33.061375,33.231375,are,I,sd,u-10-1
sw2710A-ms98-a-0010,33.231375,33.381375,in,I,sd,u-10-1
sw2710A-ms98-a-0010,33.381375,33.908250,college,I,sd,u-10-1
sw2710A-ms98-a-0010,33.908250,34.107875,or,B,sd,u-10-2
sw2710A-ms98-a-0010,34.107875,34.341375,in,I,sd,u-10-2
sw2710A-ms98-a-0010,34.341375,34.571375,fact,I,sd,u-10-2
sw2710A-ms98-a-0010,34.571375,34.781375,one,I,sd,u-10-2
sw2710A-ms98-a-0010,34.781375,34.991375,has,I,sd,u-10-2
sw2710A-ms98-a-0010,34.991375,35.481375,finished,I,sd,u-10-2
sw2710A-ms98-a-0010,35.481375,35.761375,now,I,sd,u-10-2
sw2710A-ms98-a-0010,35.761375,36.027875,but,B,sd,u-10-3
sw2710A-ms98-a-0010,36.205000,36.371375,they,I,sd,u-10-3
sw2710A-ms98-a-0010,36.371375,36.651375,both,I,sd,u-10-3
sw2710A-ms98-a-0010,36.651375,36.871625,have,I,sd,u-10-3
sw2710A-ms98-a-0010,36.871625,37.018625,[laughter],I,sd,u-10-3
sw2710A-ms98-a-0010,37.018625,37.081375,a,I,sd,u-10-3
sw2710A-ms98-a-0010,37.081375,37.321375,lot,I,sd,u-10-3
sw2710A-ms98-a-0010,37.321375,37.441375,of,I,sd,u-10-3
sw2710A-ms98-a-0010,37.441375,37.771375,credit,I,sd,u-10-3
sw2710A-ms98-a-0010,37.771375,38.349125,cards,I,sd,u-10-3
sw2710A-ms98-a-0011,39.545500,39.988375,and,O,,
sw2710A-ms98-a-0013,41.778000,42.371750,uh-huh,B,b,u-12-1
sw2710A-ms98-a-0015,47.056000,47.309375,uh,B,b,u-14-1
sw2710A-ms98-a-0015,47.309375,47.663250,right,I,b,u-14-1
sw2710A-ms98-a-0016,48.496375,48.652875,and,B,sd,u-14-2
sw2710A-ms98-a-0016,48.652875,48.832875,then,I,sd,u-14-2
sw2710A-ms98-a-0016,48.832875,49.032875,they,I,sd,u-14-2
sw2710A-ms98-a-0016,49.032875,49.362875,they,I,sd,u-14-2
sw2710A-ms98-a-0016,49.362875,49.612875,give,I,sd,u-14-2
sw2710A-ms98-a-0016,49.612875,49.772875,you,I,sd,u-14-2
sw2710A-ms98-a-0016,49.772875,50.176875,uh,I,sd,u-14-2
sw2710A-ms98-a-0016,50.346375,50.660750,uh,I,sd,u-14-2
sw2710A-ms98-a-0016,51.432875,51.542875,the,I,sd,u-14-2
sw2710A-ms98-a-0016,51.542875,51.982875,credit,I,sd,u-14-2
sw2710A-ms98-a-0016,51.982875,52.342875,limit,I,sd,u-14-2
sw2710A-ms98-a-0016,52.342875,52.502875,and,B,sd,u-14-3
sw2710A-ms98-a-0016,52.502875,52.692875,then,I,sd,u-14-3
sw2710A-ms98-a-0016,52.692875,52.902875,you're,I,sd,u-14-3
sw2710A-ms98-a-0016,52.902875,53.334125,always,I,sd,u-14-3
sw2710A-ms98-a-0016,53.620375,53.992875,seem[ingly]-,I,sd,u-14-3
sw2710A-ms98-a-0016,53.992875,54.887250,seemingly,I,sd,u-14-3
sw2710A-ms98-a-0016,54.887250,55.162875,up,I,sd,u-14-3
sw2710A-ms98-a-0016,55.162875,55.432875,to,I,sd,u-14-3
sw2710A-ms98-a-0016,55.432875,55.752875,that,I,sd,u-14-3
sw2710A-ms98-a-0016,55.752875,56.215625,limit,I,sd,u-14-3
sw2710A-ms98-a-0016,56.968875,57.172875,now,B,sd,u-14-4
sw2710A-ms98-a-0016,57.172875,57.282875,i,I,sd,u-14-4
sw2710A-ms98-a-0016,57.282875,57.695750,have,I,sd,u-14-4
sw2710A-ms98-a-0016,57.925500,58.202875,quite,I,sd,u-14-4
sw2710A-ms98-a-0016,58.202875,58.322875,a,I,sd,u-14-4
sw2710A-ms98-a-0016,58.322875,58.472875,few,I,sd,u-14-4
sw2710A-ms98-a-0016,58.472875,58.842875,credit,I,sd,u-14-4
sw2710A-ms98-a-0016,58.842875,59.252875,cards,I,sd,u-14-4
sw2710A-ms98-a-0016,59.252875,59.342875,that,I,sd,u-14-4
sw2710A-ms98-a-0016,59.342875,59.472875,i'm,I,sd,u-14-4
sw2710A-ms98-a-0016,59.472875,59.882875,always,I,sd,u-14-4
sw2710A-ms98-a-0016,59.882875,60.112875,almost,I,sd,u-14-4
sw2710A-ms98-a-0016,60.112875,60.172875,up,I,sd,u-14-4
sw2710A-ms98-a-0016,60.172875,60.262875,to,I,sd,u-14-4
sw2710A-ms98-a-0016,60.262875,60.322875,the,I,sd,u-14-4
sw2710A-ms98-a-0016,60.322875,60.662875,limit,I,sd,u-14-4
sw2710A-ms98-a-0016,60.662875,60.822875,on,I,sd,u-14-4
sw2710A-ms98-a-0016,60.822875,61.152875,most,I,sd,u-14-4
sw2710A-ms98-a-0016,61.152875,61.292875,of,I,sd,u-14-4
sw2710A-ms98-a-0016,61.292875,61.533250,them_1,O,,
sw2710A-ms98-a-0017,62.666625,62.865250,and,B,sd,u-14-5
sw2710A-ms98-a-0017,62.865250,63.045250,that's,I,sd,u-14-5
sw2710A-ms98-a-0017,63.045250,63.435250,that's,I,sd,u-14-5
sw2710A-ms98-a-0017,63.435250,63.645250,how,I,sd,u-14-5
sw2710A-ms98-a-0017,63.645250,63.675250,a,I,sd,u-14-5
sw2710A-ms98-a-0017,63.675250,63.845250,lot,I,sd,u-14-5
sw2710A-ms98-a-0017,63.845250,63.915250,of,I,sd,u-14-5
sw2710A-ms98-a-0017,63.915250,64.235250,people,I,sd,u-14-5
sw2710A-ms98-a-0017,64.235250,64.405250,get,I,sd,u-14-5
sw2710A-ms98-a-0017,64.405250,64.635250,into,I,sd,u-14-5
sw2710A-ms98-a-0017,64.635250,65.184000,trouble,I,sd,u-14-5
sw2710A-ms98-a-0019,72.728875,73.228625,um-hum,B,b,u-16-1
sw2710A-ms98-a-0021,80.274875,80.745750,right,B,b,u-18-1
sw2710A-ms98-a-0023,83.976250,84.443250,yeah,B,b,u-20-1
sw2710A-ms98-a-0025,93.129125,93.571625,yeah,B,b,u-22-1
sw2710A-ms98-a-0025,94.469750,94.543500,well,B,sv,u-22-2
sw2710A-ms98-a-0025,94.543500,94.673500,you,I,sv,u-22-2
sw2710A-ms98-a-0025,94.673500,94.883500,have,I,sv,u-22-2
sw2710A-ms98-a-0025,94.883500,94.953500,a,I,sv,u-22-2
sw2710A-ms98-a-0025,94.953500,95.253500,lot,I,sv,u-22-2
sw2710A-ms98-a-0025,95.253500,95.403500,of,I,sv,u-22-2
sw2710A-ms98-a-0025,95.403500,96.234000,discipline,I,sv,u-22-2
sw2710A-ms98-a-0025,96.849875,97.133500,i,B,sd,u-22-3
sw2710A-ms98-a-0025,97.133500,97.514875,uh,I,sd,u-22-3
sw2710A-ms98-a-0026,98.829125,99.019125,i'm,I,sd,u-22-3
sw2710A-ms98-a-0026,99.019125,99.409125,trying,I,sd,u-22-3
sw2710A-ms98-a-0026,99.409125,99.589125,my,I,sd,u-22-3
sw2710A-ms98-a-0026,99.589125,100.439125,best,I,sd,u-22-3
sw2710A-ms98-a-0026,100.439125,100.719125,right,I,sd,u-22-3
sw2710A-ms98-a-0026,100.719125,101.029125,now,I,sd,u-22-3
sw2710A-ms98-a-0026,101.029125,101.229125,to,I,sd,u-22-3
sw2710A-ms98-a-0026,101.229125,101.559125,pay,I,sd,u-22-3
sw2710A-ms98-a-0026,101.559125,101.819125,off,I,sd,u-22-3
sw2710A-ms98-a-0026,101.819125,101.979125,some,I,sd,u-22-3
sw2710A-ms98-a-0026,101.979125,102.099125,of,I,sd,u-22-3
sw2710A-ms98-a-0026,102.099125,102.495875,mine,I,sd,u-22-3
sw2710A-ms98-a-0026,102.495875,102.769125,i,B,sd,u-22-4
sw2710A-ms98-a-0026,102.769125,102.969125,i've,I,sd,u-22-4
sw2710A-ms98-a-0026,102.969125,103.239125,paid,I,sd,u-22-4
sw2710A-ms98-a-0026,103.239125,103.601750,off,I,sd,u-22-4
sw2710A-ms98-a-0026,103.888000,104.249125,about,I,sd,u-22-4
sw2710A-ms98-a-0026,104.249125,104.469125,four,I,sd,u-22-4
sw2710A-ms98-a-0026,104.469125,104.819125,credit,I,sd,u-22-4
sw2710A-ms98-a-0026,104.819125,105.229125,cards,I,sd,u-22-4
sw2710A-ms98-a-0026,105.229125,105.469125,this,I,sd,u-22-4
sw2710A-ms98-a-0026,105.469125,105.841125,year,I,sd,u-22-4
sw2710A-ms98-a-0026,106.827250,107.391250,and,B,sd,u-24-1
sw2710A-ms98-a-0026,107.391250,107.872750,uh,I,sd,u-24-1
sw2710A-ms98-a-0027,108.567875,108.697875,but,I,sd,u-24-1
sw2710A-ms98-a-0027,108.697875,108.957875,still,I,sd,u-24-1
sw2710A-ms98-a-0027,108.957875,109.057875,i,I,sd,u-24-1
sw2710A-ms98-a-0027,109.057875,109.267875,have,I,sd,u-24-1
sw2710A-ms98-a-0027,109.267875,109.587875,some,I,sd,u-24-1
sw2710A-ms98-a-0027,109.587875,109.747875,that,I,sd,u-24-1
sw2710A-ms98-a-0027,109.747875,109.858250,are,I,sd,u-24-1
sw2710A-ms98-a-0027,109.858250,110.110625,[laughter],I,sd,u-24-1
sw2710A-ms98-a-0027,110.110625,110.277875,are,I,sd,u-24-1
sw2710A-ms98-a-0027,110.277875,110.427875,up,I,sd,u-24-1
sw2710A-ms98-a-0027,110.427875,110.577875,to,I,sd,u-24-1
sw2710A-ms98-a-0027,110.577875,110.727875,the,I,sd,u-24-1
sw2710A-ms98-a-0027,110.727875,111.147875,limit,I,sd,u-24-1
sw2710A-ms98-a-0027,111.147875,111.440125,and,B,sd,u-24-2
sw2710A-ms98-a-0027,111.861875,112.357875,especially,I,sd,u-24-2
sw2710A-ms98-a-0027,112.357875,112.477875,the,I,sd,u-24-2
sw2710A-ms98-a-0027,112.477875,112.867875,Visa,I,sd,u-24-2
sw2710A-ms98-a-0027,112.867875,113.457250,card,I,sd,u-24-2
sw2710A-ms98-a-0027,113.720875,113.937875,that,B,+,u-26-1
sw2710A-ms98-a-0027,113.937875,114.037875,you,I,+,u-26-1
sw2710A-ms98-a-0027,114.037875,114.227875,can,I,+,u-26-1
sw2710A-ms98-a-0027,114.227875,114.357875,go,I,+,u-26-1
sw2710A-ms98-a-0027,114.357875,114.507875,and,I,+,u-26-1
sw2710A-ms98-a-0027,114.507875,114.717875,get,I,+,u-26-1
sw2710A-ms98-a-0027,114.717875,115.137875,cash,I,+,u-26-1
sw2710A-ms98-a-0027,115.137875,115.556000,on,I,+,u-26-1
sw2710A-ms98-a-0027,116.076750,117.133875,[laughter],O,,
sw2710A-ms98-a-0027,117.133875,117.237875,it,B,sd,u-28-1
sw2710A-ms98-a-0027,117.237875,117.497875,seems,I,sd,u-28-1
sw2710A-ms98-a-0027,117.497875,117.677875,like,I,sd,u-28-1
sw2710A-ms98-a-0027,117.677875,117.930625,every,I,sd,u-28-1
sw2710A-ms98-a-0027,117.930625,118.157875,time,I,sd,u-28-1
sw2710A-ms98-a-0027,118.157875,118.337875,i'm,I,sd,u-28-1
sw2710A-ms98-a-0027,118.337875,118.617875,short,I,sd,u-28-1
sw2710A-ms98-a-0027,118.617875,118.747875,of,I,sd,u-28-1
sw2710A-ms98-a-0027,118.747875,119.157875,cash,I,sd,u-28-1
sw2710A-ms98-a-0027,119.157875,119.217875,i,I,sd,u-28-1
sw2710A-ms98-a-0027,119.217875,119.477875,just,I,sd,u-28-1
sw2710A-ms98-a-0027,119.477875,119.607875,go,I,sd,u-28-1
sw2710A-ms98-a-0027,119.607875,120.052375,get,I,sd,u-28-1
sw2710A-ms98-a-0027,120.052375,120.227875,get,I,sd,u-28-1
sw2710A-ms98-a-0027,120.227875,120.407875,it,I,sd,u-28-1
sw2710A-ms98-a-0027,120.407875,120.627875,from,I,sd,u-28-1
sw2710A-ms98-a-0027,120.627875,121.240375,Visa,I,sd,u-28-1
sw2710A-ms98-a-0029,125.079000,125.560250,uh-huh,B,b,u-30-1
sw2710A-ms98-a-0030,126.967875,127.277625,uh,B,b,u-32-1
sw2710A-ms98-a-0031,128.652250,129.030375,it,O,,
sw2710A-ms98-a-0031,129.667000,130.276625,well,B,sd,u-34-1
sw2710A-ms98-a-0031,130.709750,131.060000,uh,I,sd,u-34-1
sw2710A-ms98-a-0031,131.060000,131.266750,you,I,sd,u-34-1
sw2710A-ms98-a-0031,131.266750,131.436750,can,I,sd,u-34-1
sw2710A-ms98-a-0031,131.436750,131.596750,go,I,sd,u-34-1
sw2710A-ms98-a-0031,131.596750,131.816750,in,I,sd,u-34-1
sw2710A-ms98-a-0031,131.816750,131.896750,a,I,sd,u-34-1
sw2710A-ms98-a-0031,131.896750,132.316750,bank,I,sd,u-34-1
